GeneSymbol.src	GeneSymbol.dst
CALCR	A2LD1
LRRIQ3	A2LD1
CLDN11	A2M
IGFBP7	A2M
RGMA	A2M
MEIS2	AA045174
PTTG1	AA045174
GPSM2	AA053967
TRO	AA053967
WARS	AA053967
GPRC5A	AA156240
TPD52	AA156240
VAV3	AA156240
SLC3A1	AA420614
USP46	AA420614
CTNND2	AA583336
YWHAZ	AA583336
DDX28	AA621286
LILRB2	AA621286
EMX1	AA923707
PRX	AA923707
UBE2M	AAAS
PPP2R1B	AADAC
ORC6L	AADAT
C12orf47	AAMP
SNX17	AANAT
ZNF345	AANAT
COX4NB	AARS
DHX38	AARS
PPP2R5D	AARS2
SARDH	AARSD1
WDR27	AARSD1
C14orf139	AASS
PDSS1	AASS
C3orf18	AATK
JMJD2B	AB007975
TDO2	AB007975
CDH11	AB007978
ENO1	AB011146
RRP15	AB011146
NM_004261	AB014540
PDCD6	AB014540
SFRS2IP	AB014540
DENND5B	AB016902
BRWD2	AB029156
BTBD1	AB029156
CYP7A1	AB042555
ITGBL1	AB042555
TRPC1	AB042555
PGK1	AB051438
AW972351	AB051441
RHEB	AB051441
ASPH	AB051442
MYH1	AB051442
CPE	AB051446
NPVF	AB051446
TSHZ2	AB051446
BAT1	AB051447
RIOK3	AB051447
TRO	AB051447
CHGA	AB051448
CYP2A7	AB051448
CCDC96	ABAT
ESR1	ABAT
MLPH	ABAT
LDB3	ABCA1
CLCA2	ABCA12
GCHFR	ABCA12
GGT1	ABCA12
KMO	ABCA12
PPA2	ABCA12
BSG	ABCA2
METRN	ABCA3
TMC4	ABCA3
BZRAP1	ABCA4
DMXL1	ABCA5
SNX1	ABCA5
IGF1	ABCA6
ADH1B	ABCA8
CHRDL1	ABCA8
DARC	ABCA8
IGF1	ABCA8
LAMA2	ABCA8
MFAP4	ABCA8
SLIT2	ABCA8
TNXB	ABCA8
DARC	ABCB1
IL17B	ABCB1
IL33	ABCB1
ITM2A	ABCB1
LMO2	ABCB1
MEOX2	ABCB1
GNB5	ABCB11
NACA2	ABCB11
NDST1	ABCB11
DCX	ABCB4
F13A1	ABCB4
HIST1H1A	ABCB6
OSBPL8	ABCB6
NACA2	ABCB7
BTBD2	ABCB8
OR10H2	ABCB8
SLC4A2	ABCB8
TRIM3	ABCB8
ABCD1	ABCB9
C17orf28	ABCB9
IDH3G	ABCB9
KPNA2	ABCC1
EIF4E2	ABCC10
CRAT	ABCC11
EMCN	ABCC2
PIN1	ABCC2
DUSP6	ABCC3
FHL2	ABCC3
PHLDA2	ABCC3
C1S	ABCC4
FMNL2	ABCC4
TCP10	ABCC4
CHRDL1	ABCC5
REPS2	ABCC5
SLC24A3	ABCC5
HGD	ABCC6
MFGE8	ABCC6
CACNA1D	ABCC8
DNAJC12	ABCC8
STK32B	ABCC8
BRCC3	ABCC9
DUSP1	ABCD1
PRPH	ABCD1
UHRF1BP1	ABCD1
GAGE1	ABCD2
RRP12	ABCD2
FPGT	ABCD3
PRLR	ABCD3
PNO1	ABCE1
CALD1	ABCF2
ORC6L	ABCF2
TOP3B	ABCF2
FOXA1	ABCG1
RAD51	ABCG2
GOLGA4	ABCG5
HMMR	ABCG5
C3orf18	ABHD14A
ARF1	ABHD2
IGF1R	ABHD2
TAF9B	ABHD2
TMEM143	ABHD2
SRGN	ABHD4
DDX46	ABHD5
CDC5L	ABHD6
GIMAP6	ABHD6
SCN9A	ABHD6
FKBP8	ABHD8
POLD4	ABHD8
CA10	ABHD9
MIA	ABHD9
MSN	ABHD9
SPDEF	ABHD9
WAC	ABI1
NOLC1	ABI2
WTAP	ABI2
GINS2	ABI3BP
VRK3	ABI3BP
TCP11L1	ABL2
PPP2R2B	ABLIM1
ANKRD2	ABLIM2
LRRC40	ABLIM2
NACA2	ABLIM2
ALDH3A2	ABLIM3
CTPS	ABLIM3
ESR1	ABLIM3
TBC1D9	ABLIM3
ERCC2	ABO
REG4	ABO
CCNE1	ABP1
TP53	ABR
HIF1A	ABTB2
VAV3	ABTB2
CEP170	ACAA1
PIGV	ACAA1
CYP11B2	ACAA2
OASL	ACAA2
TRIM36	ACAA2
NDUFS1	ACACA
SEC14L5	ACACA
SORD	ACACA
GPD1	ACACB
ITGA7	ACACB
NAALAD2	ACADL
PDK3	ACADL
YWHAQ	ACADL
PATZ1	ACADM
CREBL2	ACADSB
ESR1	ACADSB
FOXA1	ACADSB
TBC1D9	ACADSB
UBE2O	ACAN
FXYD2	ACAP1
TCF15	ACAP1
DHODH	ACAP2
MDM1	ACAP2
C6orf173	ACAT2
HEXIM1	ACBD4
