gene_symbol	module
AASS	blue
ABLIM3	blue
ACADS	blue
ACAT2	blue
ACBD4	blue
ACOT7	blue
ACSM5	blue
ADRA2A	blue
ANG	blue
ANLN	blue
APITD1	blue
APOBEC3B	blue
ARD1A	blue
ARHGAP11A	blue
ASF1B	blue
ASNS	blue
ASPM	blue
ATAD2	blue
ATAD3A	blue
ATP5G3	blue
AURKA	blue
AURKB	blue
BARD1	blue
BCL2A1	blue
BCL2L11	blue
BEND3	blue
BEST1	blue
BIRC5	blue
BLM	blue
BUB1	blue
BUB1B	blue
BXDC2	blue
BYSL	blue
C11orf84	blue
C12orf48	blue
C13orf3	blue
C13orf34	blue
C14orf132	blue
C15orf23	blue
C15orf42	blue
C16orf45	blue
C16orf59	blue
C16orf61	blue
C18orf56	blue
C1orf112	blue
C1orf113	blue
C1orf135	blue
C20orf103	blue
C20orf20	blue
C20orf24	blue
C21orf45	blue
C3orf26	blue
C3orf37	blue
C5orf34	blue
C6orf129	blue
C6orf173	blue
CABLES2	blue
CALCOCO1	blue
CASC5	blue
CBX7	blue
CCDC86	blue
CCNA2	blue
CCNB1	blue
CCNB2	blue
CCNE1	blue
CCNE2	blue
CCNF	blue
CCT5	blue
CDC2	blue
CDC20	blue
CDC25A	blue
CDC25B	blue
CDC25C	blue
CDC45L	blue
CDC6	blue
CDC7	blue
CDCA2	blue
CDCA3	blue
CDCA4	blue
CDCA7	blue
CDCA7L	blue
CDCA8	blue
CDK2	blue
CDKN2C	blue
CDKN2D	blue
CDKN3	blue
CDT1	blue
CEBPG	blue
CENPA	blue
CENPE	blue
CENPF	blue
CENPI	blue
CENPL	blue
CENPM	blue
CENPN	blue
CENPO	blue
CEP55	blue
CFD	blue
CHAC1	blue
CHAF1A	blue
CHAF1B	blue
CHEK1	blue
CHEK2	blue
CHID1	blue
CHRD	blue
CIAO1	blue
CIRBP	blue
CIT	blue
CKAP2	blue
CKAP5	blue
CKS1B	blue
CKS2	blue
CLCC1	blue
CPSF3	blue
CRIM1	blue
CROCC	blue
CROT	blue
CRTAP	blue
CRY2	blue
CSE1L	blue
CSTF2	blue
CTDSP1	blue
CTPS	blue
CTSF	blue
CTSL2	blue
CXCL14	blue
CYBRD1	blue
DBF4	blue
DCLRE1B	blue
DDX11	blue
DDX39	blue
DECR1	blue
DENND1A	blue
DEPDC1	blue
DEPDC1B	blue
DHCR7	blue
DHFR	blue
DHRS12	blue
DHTKD1	blue
DIAPH3	blue
DIRAS3	blue
DIXDC1	blue
DKC1	blue
DLGAP5	blue
DNA2	blue
DNAJC9	blue
DNM1L	blue
DNMT3A	blue
DNMT3B	blue
DOCK1	blue
DONSON	blue
DSCC1	blue
DSN1	blue
DTL	blue
DTYMK	blue
DUSP9	blue
E2F1	blue
E2F2	blue
E2F7	blue
E2F8	blue
EBP	blue
ECT2	blue
EIF2C2	blue
EIF3B	blue
EIF4EBP1	blue
EMG1	blue
ERCC6L	blue
ESPL1	blue
EXO1	blue
EXOSC4	blue
EZH2	blue
FAM111B	blue
FAM176B	blue
FAM54A	blue
FAM62B	blue
FAM64A	blue
FANCA	blue
FANCG	blue
FANCI	blue
FBXO45	blue
FBXO5	blue
FEN1	blue
FMOD	blue
FNDC5	blue
FOXM1	blue
FOXO4	blue
FRY	blue
FXR1	blue
GABPB1	blue
GARS	blue
GART	blue
GGH	blue
GINS1	blue
GINS2	blue
GINS3	blue
GLI3	blue
GMNN	blue
GMPS	blue
GPR19	blue
GPSM2	blue
GPT2	blue
GTPBP4	blue
GTSE1	blue
H2AFV	blue
H2AFX	blue
H2AFZ	blue
HELLS	blue
HIST1H4B	blue
HIST1H4C	blue
HIST1H4I	blue
HIST2H4A	blue
HJURP	blue
HMGA1	blue
HMGB2	blue
HMGB3	blue
HMGN2	blue
HMMR	blue
HN1	blue
HNRNPA2B1	blue
HPRT1	blue
HRK	blue
HSPD1	blue
IGFBP4	blue
ILF2	blue
IMPA2	blue
INHBC	blue
INPP4A	blue
ITCH	blue
ITPR3	blue
JMJD4	blue
KIAA0101	blue
KIAA0226	blue
KIF11	blue
KIF13B	blue
KIF14	blue
KIF15	blue
KIF18A	blue
KIF18B	blue
KIF20A	blue
KIF23	blue
KIF2C	blue
KIF4A	blue
KIFC1	blue
KNTC1	blue
KPNA2	blue
LAPTM4B	blue
LIG1	blue
LIN9	blue
LMNB1	blue
LMNB2	blue
LRP8	blue
LSG1	blue
LYAR	blue
MAD2L1	blue
MAP3K1	blue
MARS	blue
MASTL	blue
MATN3	blue
MCAM	blue
MCM10	blue
MCM2	blue
MCM3	blue
MCM4	blue
MCM5	blue
MCM6	blue
MCM7	blue
MEIS3P1	blue
MELK	blue
MEX3A	blue
MKI67	blue
MLF1IP	blue
MMP1	blue
MRPL2	blue
MRPL36	blue
MRPS5	blue
MSH6	blue
MTHFD1	blue
MTHFD2	blue
MXD3	blue
MYBL1	blue
MYBL2	blue
NASP	blue
NCAPD2	blue
NCAPD3	blue
NCAPG	blue
NCAPG2	blue
NCAPH	blue
NDC80	blue
NDUFA9	blue
NEIL3	blue
NEK2	blue
NFIA	blue
NIPSNAP1	blue
NMU	blue
NOP2	blue
NP	blue
NTN4	blue
NUDCD1	blue
NUDT1	blue
NUF2	blue
NUP155	blue
NUP205	blue
NUP50	blue
NUSAP1	blue
OIP5	blue
ORC6L	blue
PAICS	blue
PARP2	blue
PBK	blue
PCNA	blue
PDCD2L	blue
PDCD5	blue
PDGFD	blue
PDHA1	blue
PDIA4	blue
PDSS1	blue
PFDN2	blue
PGAM5	blue
PHGDH	blue
PHYHD1	blue
PIF1	blue
PINK1	blue
PIR	blue
PKMYT1	blue
PLAGL2	blue
PLCXD1	blue
PLK1	blue
PLK4	blue
PNO1	blue
PNPT1	blue
POLA2	blue
POLD1	blue
POLE	blue
POLE2	blue
POLQ	blue
POP7	blue
PPFIA1	blue
PPIA	blue
PPP2R3B	blue
PRAME	blue
PRC1	blue
PRIM1	blue
PRIM2	blue
PRPF3	blue
PRR11	blue
PSMA1	blue
PSMB2	blue
PSMB7	blue
PSMC3IP	blue
PSMD1	blue
PSME4	blue
PSMG1	blue
PSRC1	blue
PTTG1	blue
PTTG2	blue
PTTG3	blue
PUS1	blue
PYCR1	blue
QSOX2	blue
RACGAP1	blue
RAD51	blue
