source	target
3-Mar	OGFRL1
3-Mar	GLIS3
3-Mar	CHST3
3-Mar	AK000103
3-Mar	DMN
3-Mar	MS4A8B
ABHD3	ARSJ
ACOX1	NQO1
AF019618	RAB9B
AF019618	SCAMP1
AF087999	Contig25597_RC
AF087999	ARMCX5
AF087999	HSS00001365
AHCYL1	RGS20
AJ227863	PKN2
AK022789	ABCC12
AK023565	HSS00291630
AK024121	Contig21200_RC
AK024121	Contig33039_RC
AK024121	RP11-535K18.3
AK025799	HSS00048903
AK025799	AL117426
AK025799	AL080095
AK025799	Contig5403_RC
AK025799	AK024099
AK054975	C13orf1
AKR1C3	NQO1
AL049355	CSNK2A1
AL049355	MAS1L
AL049355	HSS00087976
AL050053	AK022789
AL831861	AK025799
ALG11	HSS00264781
ARMCX5	HSS00006239
ARMET	DDIT3
ARMET	XBP1
ARMET	SDF2L1
ATBF1	CCDC50
BAG3	3-Mar
BC017428	Contig40549_RC
BC032913	PKN2
BST2	GIMAP1
C13orf1	C6orf57
C13orf1	NM_024666
C13orf1	RTF1
C13orf1	TXNDC13
C13orf1	DDHD2
C13orf1	PCNX
C13orf1	BC040287
C13orf1	DPP10
C13orf1	HSS00138593
C13orf1	Contig24986
C13orf1	Contig51566_RC
C13orf1	Contig38398_RC
C1orf61	RGS20
C1orf71	PLEKHA1
C1orf90	XM_211811
CASP4	CLEC2B
CCDC50	GIMAP1
CCDC50	PTPLAD2
CCDC50	hCT1971305.1
CCDC50	HSS00145777
CCDC50	BST2
CCDC50	LEF1
CCDC50	HHEX
CD44	3-Mar
CHD9	LRRIQ1
CHD9	POLR3G
CHD9	Contig36385_RC
CHD9	HSS00176616
CHST3	PPAPDC1A
CLEC2B	TNFAIP8
CLEC2B	B2M
CMAS	ZDHHC21
CMAS	SRPK2
CMAS	SNCA
CMAS	TOMM20
CMAS	PCMT1
CMAS	OXR1
CMAS	MAPK9
CMAS	ATP6V1B2
CMAS	EPB41L3
CMAS	UBE2V2
CMAS	DDX1
Contig25597_RC	Contig6383_RC
Contig25597_RC	ZZEF1
Contig25597_RC	Contig37142_RC
Contig25809_RC	KIF1B
Contig25861_RC	BC017428
Contig25861_RC	Contig12803_RC
Contig25861_RC	Contig36122_RC
Contig25861_RC	HSS00332697
Contig30671_RC	BC029571
Contig30671_RC	ENST00000284857
Contig30671_RC	HSS00045980
Contig30671_RC	PPFIBP1
Contig31208_RC	SREBF2
Contig31208_RC	HSS00045980
Contig31928_RC	Contig34605_RC
Contig33039_RC	Contig20953_RC
Contig34605_RC	Contig12803_RC
Contig34605_RC	NM_015092
Contig34605_RC	EXOC1
Contig34732_RC	AK023526
Contig36385_RC	SREBF2
Contig36385_RC	Contig30671_RC
Contig36385_RC	Contig25861_RC
Contig36385_RC	AK022789
Contig40549_RC	AF086074
Contig40549_RC	HSS00264849
Contig40549_RC	UHMK1
Contig47381_RC	P4HA1
