nodename	color	shape	size	font_size
3-Mar	grey	circle	40	12
6-Sep	grey	circle	40	12
AB002361	grey	circle	40	12
AB046420	grey	circle	40	12
ABCC12	grey	circle	40	12
ABHD3	grey	circle	40	12
ACOX1	grey	circle	40	12
ACTN2	grey	circle	40	12
ACTR3B	grey	circle	40	12
ADM	grey	circle	40	12
AF007147	grey	circle	40	12
AF019618	grey	circle	40	12
AF035318	grey	circle	40	12
AF052117	grey	circle	40	12
AF052176	grey	circle	40	12
AF075087	grey	circle	40	12
AF085874	grey	circle	40	12
AF086007	grey	circle	40	12
AF086074	grey	circle	40	12
AF086164	grey	circle	40	12
AF086375	grey	circle	40	12
AF087999	grey	circle	40	12
AF088024	grey	circle	40	12
AF131813	red	circle	120	36
AF143866	grey	circle	40	12
AF143880	grey	circle	40	12
AF264622	grey	circle	40	12
AF318328	red	circle	120	36
AF339799	grey	circle	40	12
AF339810	grey	circle	40	12
AGT	grey	circle	40	12
AHCYL1	red	circle	120	36
AI962169	grey	circle	40	12
AJ227863	grey	circle	40	12
AJ227908	grey	circle	40	12
AJ227909	grey	circle	40	12
AK000103	red	circle	120	36
AK000144	grey	circle	40	12
AK000176	grey	circle	40	12
AK000792	grey	circle	40	12
AK001875	grey	circle	40	12
AK021858	grey	circle	40	12
AK021887	grey	circle	40	12
AK021977	grey	circle	40	12
AK022082	grey	circle	40	12
AK022264	grey	circle	40	12
AK022320	grey	circle	40	12
AK022347	grey	circle	40	12
AK022789	grey	circle	40	12
AK023526	grey	circle	40	12
AK023565	grey	circle	40	12
AK023601	grey	circle	40	12
AK023748	grey	circle	40	12
AK024099	red	circle	120	36
AK024121	grey	circle	40	12
AK024198	grey	circle	40	12
AK024321	grey	circle	40	12
AK024566	grey	circle	40	12
AK024580	grey	circle	40	12
AK024876	grey	circle	40	12
AK024979	grey	circle	40	12
AK025799	grey	circle	40	12
AK027027	grey	circle	40	12
AK054975	grey	circle	40	12
AK055794	grey	circle	40	12
AK056609	grey	circle	40	12
AK057241	grey	circle	40	12
AK057974	grey	circle	40	12
AK058002	grey	circle	40	12
AK075186	grey	circle	40	12
AK090949	grey	circle	40	12
AK091571	grey	circle	40	12
AK092114	grey	circle	40	12
AK092472	grey	circle	40	12
AK093202	grey	circle	40	12
AK094447	grey	circle	40	12
AK096481	grey	circle	40	12
AK096932	grey	circle	40	12
AK097312	grey	circle	40	12
AK098087	grey	circle	40	12
AK3L1	grey	circle	40	12
AKR1C1	grey	circle	40	12
AKR1C3	grey	circle	40	12
AL049355	grey	circle	40	12
AL049357	grey	circle	40	12
AL049991	red	circle	120	36
AL050053	grey	circle	40	12
AL079277	grey	circle	40	12
AL080095	grey	circle	40	12
AL109781	grey	circle	40	12
AL110176	grey	circle	40	12
AL110203	grey	circle	40	12
AL117426	grey	circle	40	12
AL117636	grey	circle	40	12
AL137513	grey	circle	40	12
AL157466	grey	circle	40	12
AL359560	grey	circle	40	12
AL360255	grey	circle	40	12
AL831861	grey	circle	40	12
AL832086	grey	circle	40	12
AL832775	grey	circle	40	12
AL832820	grey	circle	40	12
AL832835	grey	circle	40	12
ALG11	grey	circle	40	12
AMY2B	grey	circle	40	12
ANK2	grey	circle	40	12
ANKRD13D	grey	circle	40	12
ANKRD18B	grey	circle	40	12
ANKRD39	grey	circle	40	12
ANKRD56	grey	circle	40	12
ARHGAP18	grey	circle	40	12
ARHGAP20	grey	circle	40	12
ARHGAP29	grey	circle	40	12
ARID5A	red	circle	120	36
ARL4C	grey	circle	40	12
ARMC9	grey	circle	40	12
ARMCX5	grey	circle	40	12
ARMET	grey	circle	40	12
ARSJ	grey	circle	40	12
ATBF1	grey	circle	40	12
ATF3	grey	circle	40	12
ATP11C	grey	circle	40	12
ATP2B1	grey	circle	40	12
ATP6AP2	grey	circle	40	12
ATP6V0E2	grey	circle	40	12
ATP6V1A	grey	circle	40	12
ATP6V1B2	grey	circle	40	12
AUH	grey	circle	40	12
AW673036_RC	grey	circle	40	12
B2M	grey	circle	40	12
B3GALNT1	grey	circle	40	12
B4GALT6	grey	circle	40	12
BACE2	grey	circle	40	12
BAG3	grey	circle	40	12
BC000975	grey	circle	40	12
BC006563	grey	circle	40	12
BC008052	grey	circle	40	12
BC017428	grey	circle	40	12
BC022570	grey	circle	40	12
BC029571	grey	circle	40	12
BC032913	grey	circle	40	12
BC035072	grey	circle	40	12
BC037827	grey	circle	40	12
BC040287	grey	circle	40	12
BCL6	grey	circle	40	12
BCMO1	grey	circle	40	12
BEX1	grey	circle	40	12
BEXL1	grey	circle	40	12
BMPR1B	grey	circle	40	12
BST2	grey	circle	40	12
C10orf10	grey	circle	40	12
C10orf54	grey	circle	40	12
C10orf85	grey	circle	40	12
C11orf70	grey	circle	40	12
C12orf28	grey	circle	40	12
C13orf1	grey	circle	40	12
C14orf128	grey	circle	40	12
C1orf192	grey	circle	40	12
C1orf198	grey	circle	40	12
C1orf61	grey	circle	40	12
C1orf71	grey	circle	40	12
C1orf78	grey	circle	40	12
C1orf88	grey	circle	40	12
C1orf90	grey	circle	40	12
C1QL3	grey	circle	40	12
C20orf141	grey	circle	40	12
C20orf149	grey	circle	40	12
C20orf175	grey	circle	40	12
C3orf14	grey	circle	40	12
C4orf27	grey	circle	40	12
C5orf22	grey	circle	40	12
C6orf145	grey	circle	40	12
C6orf57	grey	circle	40	12
C8orf47	grey	circle	40	12
C9orf72	grey	circle	40	12
CA10	grey	circle	40	12
CALB1	grey	circle	40	12
CALCA	grey	circle	40	12
CAMK1D	grey	circle	40	12
CARD6	grey	circle	40	12
CARHSP1	grey	circle	40	12
CASP1	grey	circle	40	12
CASP4	grey	circle	40	12
CCDC102A	grey	circle	40	12
CCDC50	grey	circle	40	12
CCDC6	grey	circle	40	12
CCNB1	grey	circle	40	12
CCNC	grey	circle	40	12
CCNH	grey	circle	40	12
CD109	grey	circle	40	12
CD44	grey	circle	40	12
CD59	grey	circle	40	12
CD99	grey	circle	40	12
CDA	grey	circle	40	12
CDC40	grey	circle	40	12
CDK2AP2	grey	circle	40	12
CDKN1A	grey	circle	40	12
CEBPB	grey	circle	40	12
CHAC2	grey	circle	40	12
CHCHD6	grey	circle	40	12
CHD9	grey	circle	40	12
CHEK1	grey	circle	40	12
CHGB	grey	circle	40	12
CHI3L2	grey	circle	40	12
CHN2	grey	circle	40	12
CHST3	red	circle	120	36
CKMT1B	grey	circle	40	12
CLEC2B	grey	circle	40	12
CLGN	grey	circle	40	12
CLIC1	grey	circle	40	12
CLIC2	grey	circle	40	12
CMAS	grey	circle	40	12
CMYA5	grey	circle	40	12
CNKSR2	grey	circle	40	12
CNN3	grey	circle	40	12
CNTN6	grey	circle	40	12
COL14A1	grey	circle	40	12
COL27A1	grey	circle	40	12
Contig11275_RC	grey	circle	40	12
Contig12205_RC	grey	circle	40	12
Contig12648_RC	grey	circle	40	12
Contig12803_RC	grey	circle	40	12
Contig15496_RC	grey	circle	40	12
Contig17350_RC	grey	circle	40	12
Contig1970_RC	grey	circle	40	12
Contig20953_RC	grey	circle	40	12
Contig21200_RC	grey	circle	40	12
Contig24024_RC	grey	circle	40	12
Contig24152_RC	grey	circle	40	12
Contig24453_RC	grey	circle	40	12
Contig24986	grey	circle	40	12
Contig25597_RC	grey	circle	40	12
Contig25809_RC	red	circle	120	36
Contig25861_RC	grey	circle	40	12
Contig26627_RC	grey	circle	40	12
Contig26975_RC	grey	circle	40	12
Contig30671_RC	grey	circle	40	12
Contig31208_RC	grey	circle	40	12
Contig31928_RC	grey	circle	40	12
Contig32084_RC	red	circle	120	36
Contig32758_RC	red	circle	120	36
Contig32899_RC	grey	circle	40	12
Contig33039_RC	grey	circle	40	12
Contig33870_RC	grey	circle	40	12
Contig34504_RC	grey	circle	40	12
Contig34605_RC	grey	circle	40	12
Contig34732_RC	red	circle	120	36
Contig35138_RC	grey	circle	40	12
Contig35522_RC	grey	circle	40	12
Contig35568_RC	grey	circle	40	12
Contig36122_RC	grey	circle	40	12
Contig36385_RC	grey	circle	40	12
Contig36420_RC	grey	circle	40	12
Contig37142_RC	grey	circle	40	12
Contig38398_RC	grey	circle	40	12
Contig39408_RC	grey	circle	40	12
Contig39490_RC	grey	circle	40	12
Contig39732_RC	grey	circle	40	12
Contig40149_RC	grey	circle	40	12
Contig40464_RC	grey	circle	40	12
Contig40549_RC	grey	circle	40	12
Contig40585_RC	red	circle	120	36
Contig41774_RC	grey	circle	40	12
Contig41850_RC	red	circle	120	36
