source	target
ADIPOR2	DLST
ALS2	OVCA2
APC	KDM6A
APLP2	LGALS3BP
APLP2	NCSTN
APLP2	ERGIC1
ATF6	FBXL5
ATF6	DIAPH2
ATP11B	ZMYND8
ATP11B	AVL9
ATP11B	SMURF1
ATP11B	C5orf22
ATP11B	STK38L
ATP13A3	IMPAD1
AVL9	LRBA
AVL9	NSFP1
AVL9	TIAF1
AVL9	GNAQ
BACH1	PPP1R3B
BACH1	FNIP1
CAND1	CNOT6
CAND1	FBXO28
CAND1	SLC30A6
CAND1	RPS6KA3
CAND1	GOSR1
CAND1	RMI1
CAND1	FBXO22
CAND1	MED21
CAND1	RBM27
CAND1	ZW10
CAND1	CHUK
CBL	GPATCH8
CBL	NEK1
CBL	YEATS2
CD2AP	LNX2
CEP350	ZNF292
CEP350	MAP3K2
CEP350	SLC4A7
CHUK	UCHL5
CHUK	COPB1
CHUK	HNRPLL
CHUK	TBK1
CNOT6	ATF2
CNOT6	FAM199X
CNST	TMEM133
CNST	ZFP41
CTSO	CNN3
CTSO	HBP1
DCAF12	TFDP1
DCUN1D1	LIN54
DDX21	SLC25A32
DDX21	CHSY1
DDX21	ATP13A3
DDX21	PIGW
DDX21	AAED1
DIXDC1	KANK2
DIXDC1	TMEM47
DIXDC1	PODXL
DIXDC1	MSRB3
EAF1	DCUN1D3
EFR3A	BACH1
EFR3A	CTSO
EGLN1	EDN1
EGLN1	RNF11
EGLN1	PLOD2
EGLN1	APLP2
EGLN1	PLEKHB2
FBXL5	LOC729176
FBXL5	TGFBR1
FBXO28	TSC22D2
FEM1C	TIPARP
FKBP15	SEL1L3
FKBP15	SFMBT2
FOXJ3	UBR4
FOXJ3	MED14
G3BP2	SLMAP
G3BP2	VPS4B
GMFB	RABL3
GOSR1	KDM3B
GPATCH8	ZNF45
GPATCH8	PDPR
GPATCH8	PMS2
GPATCH8	ZNF776
IMPAD1	RP2
IPO7	SYNCRIP
IPO7	DIXDC1
IPO7	SMAD5
IPO7	PDE12
KCTD20	WDR47
KRAS	NRAS
KRAS	ATP11B
KRAS	FEM1C
LDLRAD2	OVCA2
LMBR1	NAA50
MAN1A1	GULP1
MAN1A1	NEDD4
MAN1A1	SEC23A
MAN1A1	CD2AP
MAP3K2	RB1CC1
MAP3K2	APC
MAP3K2	ERBB2IP
MAP3K2	USP12
MAP3K2	NIPA1
MAP3K2	TCP11L2
MAP3K2	ITGB8
MAP3K2	PAG1
METAP1	DCAF12
MFAP3	MEGF9
MIER1	SLC25A40
MSRB3	TMEM47
MTF1	TRIM25
MTF1	NDEL1
MTF1	LHFPL2
NAA50	FAM107B
NEDD4	NABP1
NEDD4	ALS2
NEDD4	PDE8A
NF1	YAP1
NF1	EFR3A
NF1	CAND1
NF1	USP9X
NRAS	GMFB
NRAS	MIER1
NRAS	ESF1
NUPL1	SDE2
ORC2	FGFR1OP
ORC2	DHFR
ORC2	METAP1
PLEKHB2	ADIPOR2
PLEKHB2	STX3
PLEKHB2	TGFA
PPP1R3B	TNFRSF10D
PPP4R2	G3BP2
PTPN11	DCAF12
PTPN11	ATF6
PTPN11	LMBR1
PTPN11	DDX21
PTPN11	NUPL1
PTPN11	EAF1
PTPN11	IPO7
PTPN11	PPP4R2
PTPN11	MFAP3
PTPN11	MCMBP
PTPN11	KCTD20
PTPN11	MBTPS2
PTPN11	RPL7L1
PTPN11	SPTY2D1
RAF1	CXCR7
RAF1	DLST
RAF1	TPCN2
RAF1	KDM6A
RAP2A	CASC4
RB1CC1	UCHL5
RB1CC1	HBP1
RBM27	RBBP5
RBM27	ZNF800
RBM27	DCUN1D1
RMI1	LIN54
RNF11	SGPL1
RP2	GBE1
RP2	CTBS
RP2	KLF10
RP2	TXNRD1
RP2	ATL3
RPL7L1	HNRNPA1P10
RPS6KA3	DCLRE1A
SEC23A	GALNT1
SEC23A	CTAGE7P
SEC23A	REEP3
SEC23A	SUCO
SLC4A7	ITGB8
SMAD5	TANC1
SMAD5	RAP2A
SMAD5	CASC4
SMAD5	FZD6
SMAD5	TEAD1
SMURF1	TNFRSF10D
SMURF1	41525
SOS1	ZNF175
SOS1	BRWD3
SOS1	DAPK1
SOS1	GTF3C3
SOS1	CEP350
SOS1	ATXN7
SOS1	TNKS
SOS1	TRAPPC8
SOS1	UBE4A
SOS2	MAN1A1
SOS2	EGLN1
SOS2	CNST
SOS2	FAM73A
SOS2	LDLRAD2
SPTY2D1	MTF1
SPTY2D1	RP2
STK38L	AGPS
SYNCRIP	HNRNPR
TBK1	MCMBP
TFDP1	SFMBT1
TIAF1	LDLRAD2
TIPARP	ERLIN1
TRAPPC8	SMURF2
UBE4A	ORC2
UBE4A	FOXJ3
UBE4A	RBM41
UBR2	SP1
UBR2	CCP110
UBR2	TRANK1
UBR2	SPAG9
USP9X	UBR2
YEATS2	FKBP15
ZMYND8	EGFR
ZNF175	THAP6
ZNF175	USP42
ZNF45	TRAF3
ZNF45	ZSCAN25
ZNF45	ZSCAN12
ZW10	DHX29
