nodename	color	shape	size	font_size
AB007969	grey	circle	40	12
ABCC9	grey	circle	40	12
ABHD2	grey	circle	40	12
ACADM	grey	circle	40	12
ACADSB	grey	circle	40	12
ACSL4	grey	circle	40	12
ADFP	grey	circle	40	12
ADIPOQ	grey	circle	40	12
AF009267	grey	circle	40	12
AF010236	grey	circle	40	12
AF038199	grey	circle	40	12
AF052141	grey	circle	40	12
AF052174	grey	circle	40	12
AF055018	grey	circle	40	12
AF070565	grey	circle	40	12
AF074993	grey	circle	40	12
AF085871	grey	circle	40	12
AF086074	grey	circle	40	12
AF086106	grey	circle	40	12
AF086195	grey	circle	40	12
AF086316	grey	circle	40	12
AF088018	grey	circle	40	12
AF147313	grey	circle	40	12
AF147375	grey	circle	40	12
AF147415	grey	circle	40	12
AF330042	grey	circle	40	12
AFF3	grey	circle	40	12
AGPAT2	grey	circle	40	12
AHCYL1	grey	circle	40	12
AHI1	grey	circle	40	12
AIG1	grey	circle	40	12
AK000019	grey	circle	40	12
AK000106	grey	circle	40	12
AK000792	grey	circle	40	12
AK001125	grey	circle	40	12
AK001910	grey	circle	40	12
AK002123	grey	circle	40	12
AK021471	grey	circle	40	12
AK021505	grey	circle	40	12
AK021524	grey	circle	40	12
AK021744	grey	circle	40	12
AK021977	grey	circle	40	12
AK022061	grey	circle	40	12
AK022072	grey	circle	40	12
AK022117	grey	circle	40	12
AK022185	grey	circle	40	12
AK022236	grey	circle	40	12
AK022347	grey	circle	40	12
AK022379	grey	circle	40	12
AK023542	grey	circle	40	12
AK024198	grey	circle	40	12
AK024580	grey	circle	40	12
AK024629	grey	circle	40	12
AK024805	grey	circle	40	12
AK024918	grey	circle	40	12
AK024924	grey	circle	40	12
AK025101	grey	circle	40	12
AK025209	grey	circle	40	12
AK025271	grey	circle	40	12
AK025286	grey	circle	40	12
AK025659	grey	circle	40	12
AK025799	grey	circle	40	12
AK025909	grey	circle	40	12
AK026456	grey	circle	40	12
AK026477	grey	circle	40	12
AK026703	grey	circle	40	12
AK055572	grey	circle	40	12
AK055658	grey	circle	40	12
AK056315	grey	circle	40	12
AK056396	grey	circle	40	12
AK056431	red	circle	120	36
AK090686	grey	circle	40	12
AK091662	grey	circle	40	12
AK091667	grey	circle	40	12
AK092482	grey	circle	40	12
AK092571	grey	circle	40	12
AK093202	grey	circle	40	12
AK094031	grey	circle	40	12
AK094210	grey	circle	40	12
AK095208	grey	circle	40	12
AK095239	grey	circle	40	12
AK095250	grey	circle	40	12
AK096685	grey	circle	40	12
AK098043	grey	circle	40	12
AK098473	grey	circle	40	12
AK3	grey	circle	40	12
AK3L1	grey	circle	40	12
AKAP11	red	circle	120	36
AKAP5	grey	circle	40	12
AKR1B10	grey	circle	40	12
AKR1C1	grey	circle	40	12
AKR1C2	grey	circle	40	12
AKR1C3	grey	circle	40	12
AL049279	grey	circle	40	12
AL049312	grey	circle	40	12
AL049423	grey	circle	40	12
AL049450	grey	circle	40	12
AL080190	grey	circle	40	12
AL109691	grey	circle	40	12
AL109705	grey	circle	40	12
AL109707	grey	circle	40	12
AL109784	grey	circle	40	12
AL110203	grey	circle	40	12
AL117656	grey	circle	40	12
AL137257	grey	circle	40	12
AL137346	grey	circle	40	12
AL137474	grey	circle	40	12
AL137645	grey	circle	40	12
AL157455	grey	circle	40	12
AL365371	grey	circle	40	12
AL390143	grey	circle	40	12
AL832406	grey	circle	40	12
AL832820	grey	circle	40	12
AL833423	grey	circle	40	12
AL833463	grey	circle	40	12
ALDH1L2	grey	circle	40	12
ALDOC	grey	circle	40	12
ALG11	grey	circle	40	12
ALKBH8	grey	circle	40	12
ANGPT1	grey	circle	40	12
ANO5	grey	circle	40	12
ANUBL1	grey	circle	40	12
ANXA1	grey	circle	40	12
ANXA2	grey	circle	40	12
ANXA6	grey	circle	40	12
AP2B1	grey	circle	40	12
APP	grey	circle	40	12
ARFGAP3	grey	circle	40	12
ARHGAP20	grey	circle	40	12
ARHGAP21	grey	circle	40	12
ARHGAP28	grey	circle	40	12
ARHGEF6	grey	circle	40	12
ARID4A	grey	circle	40	12
ARID4B	grey	circle	40	12
ARRDC3	grey	circle	40	12
ARSG	grey	circle	40	12
AS3MT	grey	circle	40	12
ASAH1	grey	circle	40	12
ASPH	grey	circle	40	12
ATF6B	grey	circle	40	12
ATG2B	grey	circle	40	12
ATL3	grey	circle	40	12
ATP13A3	grey	circle	40	12
ATP2B1	grey	circle	40	12
ATP6AP2	grey	circle	40	12
ATP6V1B2	grey	circle	40	12
ATPBD4	grey	circle	40	12
AY007114	grey	circle	40	12
AZIN1	grey	circle	40	12
B3GNT2	grey	circle	40	12
BANK1	grey	circle	40	12
BC004287	grey	circle	40	12
BC013657	grey	circle	40	12
BC030766	grey	circle	40	12
BC031314	grey	circle	40	12
BC035072	grey	circle	40	12
BC037838	grey	circle	40	12
BC038512	grey	circle	40	12
BC038763	grey	circle	40	12
BC039332	grey	circle	40	12
BC039450	grey	circle	40	12
BCL2	grey	circle	40	12
BCLAF1	grey	circle	40	12
BDH2	grey	circle	40	12
BIVM	grey	circle	40	12
BMPR2	grey	circle	40	12
BMS1	grey	circle	40	12
BPTF	grey	circle	40	12
C10orf111	grey	circle	40	12
C10orf118	grey	circle	40	12
C11orf63	grey	circle	40	12
C11orf73	grey	circle	40	12
C12orf4	grey	circle	40	12
C14orf149	grey	circle	40	12
C1orf128	grey	circle	40	12
C1orf71	grey	circle	40	12
C3AR1	grey	circle	40	12
C4orf19	grey	circle	40	12
C5orf41	grey	circle	40	12
C5orf42	grey	circle	40	12
C6	grey	circle	40	12
C6orf170	grey	circle	40	12
C6orf224	grey	circle	40	12
C9	grey	circle	40	12
CA4	grey	circle	40	12
CALHM2	grey	circle	40	12
CASKIN2	grey	circle	40	12
CAV1	grey	circle	40	12
CAV2	grey	circle	40	12
CBR3	grey	circle	40	12
CBX5	grey	circle	40	12
CCDC15	grey	circle	40	12
CCDC55	red	circle	120	36
CCNG1	grey	circle	40	12
CCPG1	grey	circle	40	12
CD24	grey	circle	40	12
CD2AP	grey	circle	40	12
CD3G	grey	circle	40	12
CD44	grey	circle	40	12
CD47	grey	circle	40	12
CD48	grey	circle	40	12
CD58	grey	circle	40	12
CD83	grey	circle	40	12
CDCA7L	grey	circle	40	12
CDH1	grey	circle	40	12
CDH11	grey	circle	40	12
CDK6	grey	circle	40	12
CDKN1A	grey	circle	40	12
CDO1	grey	circle	40	12
CEP135	grey	circle	40	12
CEPT1	grey	circle	40	12
CES1	red	circle	120	36
CHEK1	grey	circle	40	12
CKS2	grey	circle	40	12
CLCN5	grey	circle	40	12
CLIC5	grey	circle	40	12
CLPTM1	grey	circle	40	12
CNN3	red	circle	120	36
COBLL1	grey	circle	40	12
COG6	grey	circle	40	12
COL24A1	grey	circle	40	12
COL4A2	grey	circle	40	12
COL4A3BP	grey	circle	40	12
COL5A2	grey	circle	40	12
Contig12357_RC	grey	circle	40	12
Contig12539_RC	grey	circle	40	12
Contig12803_RC	grey	circle	40	12
Contig12806_RC	grey	circle	40	12
Contig13957_RC	grey	circle	40	12
Contig14375_RC	grey	circle	40	12
Contig14671_RC	grey	circle	40	12
Contig15190_RC	grey	circle	40	12
Contig15261_RC	grey	circle	40	12
Contig1970_RC	grey	circle	40	12
Contig20302_RC	grey	circle	40	12
Contig20748_RC	grey	circle	40	12
Contig21192	grey	circle	40	12
Contig21319_RC	grey	circle	40	12
Contig21325_RC	grey	circle	40	12
Contig21370_RC	grey	circle	40	12
Contig21391_RC	grey	circle	40	12
Contig21478_RC	grey	circle	40	12
Contig21655_RC	grey	circle	40	12
Contig22534_RC	grey	circle	40	12
Contig23404_RC	grey	circle	40	12
Contig23436_RC	grey	circle	40	12
Contig24308_RC	grey	circle	40	12
Contig25707_RC	grey	circle	40	12
Contig25809_RC	grey	circle	40	12
Contig25944_RC	grey	circle	40	12
Contig26625_RC	grey	circle	40	12
Contig26760	grey	circle	40	12
Contig27391_RC	grey	circle	40	12
Contig28034_RC	grey	circle	40	12
Contig28074_RC	grey	circle	40	12
Contig28179_RC	grey	circle	40	12
Contig28455_RC	grey	circle	40	12
Contig29016_RC	grey	circle	40	12
Contig29689_RC	grey	circle	40	12
Contig30994_RC	grey	circle	40	12
Contig31208_RC	grey	circle	40	12
Contig31928_RC	grey	circle	40	12
Contig33003_RC	grey	circle	40	12
Contig33235_RC	grey	circle	40	12
Contig33441_RC	grey	circle	40	12
Contig34043_RC	grey	circle	40	12
Contig34438_RC	grey	circle	40	12
Contig35455_RC	grey	circle	40	12
Contig35522_RC	grey	circle	40	12
Contig35629_RC	grey	circle	40	12
Contig36123_RC	grey	circle	40	12
Contig36385_RC	grey	circle	40	12
Contig36931_RC	grey	circle	40	12
