source	target
AB007969	AK021524
AB007969	STK32A
ACADM	Contig20748_RC
ACADM	DLD
ACADSB	ACADM
ADFP	ADFP
AF009267	BPTF
AF088018	Contig31208_RC
AGPAT2	GPAM
AGPAT2	NM_006744_sat
AGPAT2	PARD6G
AGPAT2	THRSP
AGPAT2	XM_210320
AGPAT2	GPD1
AGPAT2	PPIF
AGPAT2	DDIT4
AGPAT2	NAT8L
AGPAT2	ADIPOQ
AGPAT2	GPR109A
AGPAT2	GPBAR1
AGPAT2	NQO2
AGPAT2	hCT1842078.2
AHCYL1	RHOBTB3
AHCYL1	C4orf19
AK001910	NM_173800
AK021471	AK024918
AK021977	AK055572
AK022117	Contig46183_RC
AK022185	Contig63302_RC
AK022236	AL109705
AK024805	KCNJ2
AK024805	TLK1
AK025209	SYNM
AK025209	PBLD
AK025659	Contig21478_RC
AK025799	Contig25809_RC
AK025799	AK055658
AK090686	AK021977
AK090686	AK023542
AK090686	HMGCS1
AK090686	Contig41122_RC
AK090686	AK000019
AK090686	SKAP2
AK091667	ARHGEF6
AK092482	HSS00334666
AK095208	CD24
AK098043	STK17B
AK098473	SYNM
AK098473	NMT2
AK3	ENST00000274652
AK3L1	CEPT1
AK3L1	hCT2276976
AK3L1	AK3L1
AKR1C1	AKR1C3
AKR1C1	AK095239
AKR1C2	UCHL1
AKR1C2	IMPAD1
AKR1C2	SPARC
AKR1C2	AKR1C1
AKR1C2	PPP1R1A
AKR1C2	ANXA1
AKR1C3	PPAP2A
AL049423	PEG3
AL109707	Contig40647_RC
AL109784	AS3MT
AL109784	Contig35522_RC
AL109784	Contig40549_RC
AL110203	Contig34043_RC
AL117656	ALDH1L2
AL137257	COL4A3BP
AL137257	ZDHHC2
AL137257	AK001910
AL137257	TMEM170B
AL137257	ASAH1
AL137257	RNF141
AL137257	AK024918
ALDOC	NM_173667
ALDOC	GLYAT
ALKBH8	PTER
ALKBH8	DERA
ALKBH8	HSS00100453
ALKBH8	HSS00236158
ANGPT1	TCF4
ANGPT1	COL24A1
ANXA2	AK095250
AP2B1	EPC1
AP2B1	RIT1
AP2B1	AL365371
AP2B1	IFFO2
APP	EPC1
APP	USP48
ARHGEF6	PBLD
ARHGEF6	GLDN
ARHGEF6	BMS1
ARHGEF6	ANUBL1
ARHGEF6	RGS22
ARHGEF6	AK055572
ARHGEF6	LIMCH1
ARHGEF6	H2AFJ
ARHGEF6	Contig20302_RC
ARHGEF6	HSS00092526
ARID4A	AY007114
ARID4B	GABPA
ARID4B	MOBKL1A
ARID4B	AL833463
ARID4B	PHACTR2
