nodename	color	shape	size	font_size
3-Mar	grey	circle	40	12
ABCC12	grey	circle	40	12
ABHD3	grey	circle	40	12
ACOX1	grey	circle	40	12
AF019618	grey	circle	40	12
AF035318	grey	circle	40	12
AF086074	grey	circle	40	12
AF087999	grey	circle	40	12
AF131813	grey	circle	40	12
AHCYL1	grey	circle	40	12
AJ227863	grey	circle	40	12
AK000103	grey	circle	40	12
AK000144	grey	circle	40	12
AK021887	grey	circle	40	12
AK021977	grey	circle	40	12
AK022347	grey	circle	40	12
AK022789	grey	circle	40	12
AK023526	grey	circle	40	12
AK023565	grey	circle	40	12
AK024099	grey	circle	40	12
AK024121	grey	circle	40	12
AK024566	grey	circle	40	12
AK025799	grey	circle	40	12
AK054975	grey	circle	40	12
AK091571	grey	circle	40	12
AK093202	grey	circle	40	12
AK094447	grey	circle	40	12
AKR1C3	grey	circle	40	12
AL049355	grey	circle	40	12
AL050053	grey	circle	40	12
AL080095	grey	circle	40	12
AL110176	grey	circle	40	12
AL110203	grey	circle	40	12
AL117426	grey	circle	40	12
AL157466	grey	circle	40	12
AL831861	grey	circle	40	12
AL832820	grey	circle	40	12
ALG11	grey	circle	40	12
ARMCX5	grey	circle	40	12
ARMET	grey	circle	40	12
ARSJ	grey	circle	40	12
ATBF1	grey	circle	40	12
ATP6V0E2	grey	circle	40	12
ATP6V1B2	grey	circle	40	12
B2M	grey	circle	40	12
BAG3	grey	circle	40	12
BC017428	grey	circle	40	12
BC022570	grey	circle	40	12
BC029571	grey	circle	40	12
BC032913	grey	circle	40	12
BC037827	grey	circle	40	12
BC040287	grey	circle	40	12
BCMO1	grey	circle	40	12
BST2	grey	circle	40	12
C10orf10	grey	circle	40	12
C13orf1	grey	circle	40	12
C14orf128	grey	circle	40	12
C1orf61	grey	circle	40	12
C1orf71	grey	circle	40	12
C1orf90	grey	circle	40	12
C3orf14	grey	circle	40	12
C6orf57	grey	circle	40	12
CA10	grey	circle	40	12
CASP4	grey	circle	40	12
CCDC50	grey	circle	40	12
CCDC6	grey	circle	40	12
CD44	grey	circle	40	12
CDKN1A	grey	circle	40	12
CHCHD6	grey	circle	40	12
CHD9	grey	circle	40	12
CHEK1	grey	circle	40	12
CHST3	grey	circle	40	12
CLEC2B	grey	circle	40	12
CLGN	grey	circle	40	12
CLIC2	grey	circle	40	12
CMAS	grey	circle	40	12
Contig12803_RC	grey	circle	40	12
Contig20953_RC	grey	circle	40	12
Contig21200_RC	grey	circle	40	12
Contig24986	grey	circle	40	12
Contig25597_RC	grey	circle	40	12
Contig25809_RC	red	circle	120	36
Contig25861_RC	grey	circle	40	12
Contig30671_RC	grey	circle	40	12
Contig31208_RC	grey	circle	40	12
Contig31928_RC	grey	circle	40	12
Contig33039_RC	grey	circle	40	12
Contig34605_RC	grey	circle	40	12
Contig34732_RC	grey	circle	40	12
Contig35522_RC	grey	circle	40	12
Contig36122_RC	grey	circle	40	12
Contig36385_RC	grey	circle	40	12
Contig37142_RC	grey	circle	40	12
Contig38398_RC	grey	circle	40	12
Contig40549_RC	grey	circle	40	12
Contig47381_RC	grey	circle	40	12
Contig48208_RC	grey	circle	40	12
Contig51566_RC	grey	circle	40	12
Contig5403_RC	grey	circle	40	12
Contig63649_RC	grey	circle	40	12
Contig6383_RC	grey	circle	40	12
CSNK2A1	grey	circle	40	12
CXCL5	grey	circle	40	12
DDHD2	grey	circle	40	12
DDIT3	grey	circle	40	12
DDIT4	grey	circle	40	12
DDX1	grey	circle	40	12
DMN	grey	circle	40	12
DMXL2	grey	circle	40	12
DNAH7	grey	circle	40	12
DPP10	grey	circle	40	12
EFCAB3	grey	circle	40	12
EFNA4	grey	circle	40	12
EMP2	grey	circle	40	12
ENST00000240700	grey	circle	40	12
ENST00000240820	grey	circle	40	12
ENST00000250621	grey	circle	40	12
ENST00000256973	grey	circle	40	12
ENST00000284857	grey	circle	40	12
ENST00000285289	grey	circle	40	12
ENST00000289005	grey	circle	40	12
ENST00000295319	grey	circle	40	12
ENST00000296660	grey	circle	40	12
EPB41L3	grey	circle	40	12
EVI1	grey	circle	40	12
EXOC1	grey	circle	40	12
FAIM2	grey	circle	40	12
FANCC	grey	circle	40	12
FLT1	grey	circle	40	12
FXYD3	grey	circle	40	12
GABRG2	grey	circle	40	12
GCLM	grey	circle	40	12
GIMAP1	grey	circle	40	12
GLIS3	grey	circle	40	12
GNA14	grey	circle	40	12
GRIA2	grey	circle	40	12
hCT1643811.3	grey	circle	40	12
hCT1829182.2	grey	circle	40	12
hCT1960490.1	grey	circle	40	12
hCT1971305.1	grey	circle	40	12
hCT2285108	grey	circle	40	12
hCT2316255	grey	circle	40	12
hCT23399.2	grey	circle	40	12
HHEX	grey	circle	40	12
HS3ST3B1	grey	circle	40	12
HSPA12A	grey	circle	40	12
HSS00001365	grey	circle	40	12
HSS00006239	grey	circle	40	12
HSS00045980	grey	circle	40	12
HSS00048903	grey	circle	40	12
HSS00087976	grey	circle	40	12
HSS00138593	grey	circle	40	12
HSS00145777	grey	circle	40	12
HSS00176616	grey	circle	40	12
HSS00258785	grey	circle	40	12
HSS00264781	grey	circle	40	12
HSS00264849	grey	circle	40	12
HSS00291630	grey	circle	40	12
HSS00303405	grey	circle	40	12
HSS00305875	grey	circle	40	12
HSS00332697	grey	circle	40	12
HSS00335211	grey	circle	40	12
IL3RA	grey	circle	40	12
INTU	grey	circle	40	12
IQWD1	grey	circle	40	12
KCNB1	grey	circle	40	12
KCNIP4	grey	circle	40	12
KCTD1	grey	circle	40	12
KIAA1731	grey	circle	40	12
KIF1B	grey	circle	40	12
KNS2	grey	circle	40	12
KRAS	lightgreen	circle	40	12
LARP6	grey	circle	40	12
LEF1	grey	circle	40	12
LRRC3B	grey	circle	40	12
LRRIQ1	grey	circle	40	12
MAGEH1	grey	circle	40	12
MAOB	grey	circle	40	12
MAP2K1	lightgreen	circle	40	12
