source	target
3-Mar	AK000103
3-Mar	OGFRL1
3-Mar	DMN
3-Mar	CHST3
3-Mar	MS4A8B
3-Mar	GLIS3
6-Sep	BASP1
6-Sep	Contig24986
6-Sep	CTNNA1
6-Sep	RGS7
6-Sep	VSNL1
AB002361	NM_014890
AB002361	PLA2G4C
AB002361	SEMA4D
ABCB1	IFI27
ABCC12	GPR128
ABCC12	AK058002
ABHD3	ARSJ
ABHD6	NM_016641
ABHD6	NM_007030
ACADSB	DYNC2LI1
ACADSB	AK024876
ACADSB	RPE65
ACBD7	HSS00342647
ACOT4	CDKN3
ACOT7	LARGE
ACOT7	SEZ6L2
ACOT7	SYN2
ACOX1	NQO1
ACP1	TIMM23
ACRC	AL359582
ACSL5	ELTD1
ACTL6A	NFE2L2
ACTN2	PEX11B
ACTR3B	SLITRK5
ACTR3B	STYK1
ACTR3B	Contig33654_RC
ACTR3B	TMEM132D
ACTR3B	DBC1
ACTR3B	FHOD3
ADAMTS9	STC1
ADAMTS9	GADD45A
ADM	Contig63649_RC
ADM	hCT2270866
ADM	AL359337
ADM	hCT1832239.2
ADORA2A	Contig56093_RC
AF007147	AF035318
AF019618	RAB9B
AF019618	SCAMP1
AF035318	AK024580
AF035318	AF052176
AF035318	SFRS5
AF035318	Contig39408_RC
AF035318	AF264622
AF052117	RAPGEF5
AF052117	PLP2
AF052117	KCNK1
AF052117	LMO2
AF052117	ANK3
AF052117	Contig41698_RC
AF052117	POPDC3
AF052152	HMGCLL1
AF052152	PPP1R14B
AF052152	TAF9
AF052152	ACTN2
AF052152	Contig23423_RC
AF052152	CHAF1B
AF052152	XM_115036
AF052152	CDC42
AF075087	ENST00000236199
AF086007	HSS00264213
AF086007	MRAS
AF086149	ADM
AF086424	AF511647
AF086424	Contig6064_RC
AF086424	MIA
AF087999	MKNK2
AF087999	LRRTM1
AF087999	HSS00138924
AF087999	AK098087
AF087999	HSS00330420
AF087999	HSS00143473
AF087999	ARMCX5
AF087999	GPLD1
AF087999	MIA
AF087999	KIAA1509
AF087999	HSS00001365
AF087999	FHL5
AF087999	HSS00372064
AF087999	Contig50004_RC
AF087999	AL359560
AF087999	Contig25597_RC
AF088024	Contig20600_RC
AF088024	Contig19324_RC
AF088024	EXPH5
AF088024	AK000864
AF088024	GAS2L3
AF088024	ENST00000284765
AF088024	AL831861
AF088024	HSS00084775
AF088024	HSS00169737
AF088024	AF074997
AF111801	FAM126B
AF131813	SDSL
AF131813	SLC44A3
AF143866	KIF14
AF143876	HSS00217042
AF143880	JUN
AF143880	LRRIQ1
AF183570	HSS00138605
AF183570	AL137331
AF183570	ANKRD13D
AF264622	ENST00000300598
AF264622	HSS00083079
AF264622	AK024979
AF318328	AK024118
AF318328	hCT1970937.1
AF339771	FBXL17
AGT	FADS1
AGT	C10orf65
AGT	PHKG1
AGTPBP1	NAV3
AGTPBP1	Contig45911_RC
AGTPBP1	BF959359
AHCYL1	RGS20
AHCYL1	LIX1
AHCYL1	BMPR1B
AHCYL1	AGT
AHCYL1	RYR3
AHCYL1	C1orf88
AJ227863	PKN2
AJ227863	Contig26627_RC
AJ227863	NM_153607
AJ227863	FBXO30
AJ227863	ELK4
AJ227908	CLGN
AJ227908	NM_018610
AJAP1	CHAC2
AK000103	MME
AK000176	HSS00180999
AK000792	HSS00048903
AK000792	AF143876
AK000792	AL117426
AK000792	AL050145
AK000792	KCNQ1OT1
AK000792	Contig7245_RC
AK002107	CYP26A1
AK021858	PERP
AK021858	TNFAIP8
AK021858	Contig47453_RC
AK021858	CYP3A5
AK021858	NR2F2
AK021858	TWIST1
AK022082	AL359582
AK022082	Contig34732_RC
AK022082	AK054759
AK022264	Contig34732_RC
AK022264	AL832567
AK022264	SATB1
AK022264	AL833045
AK022264	HSS00105008
AK022264	Contig33579_RC
AK022264	AK057822
AK022264	NEDD4L
AK022264	AK022141
AK022264	AK057907
AK022370	Contig39408_RC
AK022789	ABCC12
AK023565	Contig24024_RC
AK023565	AK024321
AK023565	HSS00001474
AK023565	Contig24152_RC
AK023565	AK022320
AK023565	Contig5667_RC
AK023565	HSS00291630
AK023565	ANKRD13D
AK023601	Contig38542_RC
AK023601	BC030740
AK023601	NM_024989
AK023601	FAM27L
AK023601	Contig35608_RC
AK023774	AB046420
AK024099	AK000176
AK024118	AL049991
AK024118	Contig37690_RC
AK024121	Contig21200_RC
AK024121	Contig33039_RC
AK024121	RP11-535K18.3
AK024198	AK021459
AK024198	AK021572
AK024321	AK022370
AK024876	CCDC25
AK024876	SESN3
AK024876	FADS1
AK024876	Contig37142_RC
AK024979	AK023947
AK025799	AL080095
AK025799	AL117426
AK025799	Contig5403_RC
AK025799	AK024099
AK025799	HSS00048903
AK027027	GP6
AK027027	AL157466
AK054759	AF007147
AK054975	C13orf1
AK054975	AL117636
AK054975	CHGB
AK054975	RP11-11C5.2
AK055125	NM_024969
AK055125	FLRT3
AK055125	NEGR1
AK055125	SLITRK4
AK055302	RP11-11C5.2
AK055302	TRHDE
AK055647	FBXL2
AK055794	C14orf29
AK056609	AK023565
AK057093	SLC26A6
AK057822	PCDH7
AK057822	AL832567
AK057907	AL833050
AK057923	AK022320
AK057974	AF264622
AK058002	RSAD2
AK075186	PBX1
AK075186	RAPGEF3
AK091571	GTF2A1
AK091571	HSS00344533
AK091571	AK096481
AK091667	NHLRC1
AK092249	HSS00126613
AK092472	FLT1
AK092472	SOX7
AK092472	APOLD1
AK095013	KCTD16
AK095013	Contig44168_RC
AK095013	DRD1
AK095178	AK091667
AK095544	FREM3
AK095544	F7
AK095761	FAM111A
AK095761	FAM81A
AK095761	ATP2B2
AK095761	PCSK1
AK095768	GOT2
AK096249	AK023748
AK096481	HSS00031488
AK096481	AL831861
AK096481	CAMK2N1
AK3L1	CCDC6
AK3L1	AK3L2
AKAP11	Contig57230_RC
AKAP5	ANKRD56
AKR1C1	AKR1C3
AKR1C2	AKR1C1
AKR1C3	NQO1
AKR1C3	PPIC
AKR1C3	NM_012385
AL049355	HSS00087976
AL049355	MAS1L
AL049355	CSNK2A1
AL049357	BC006563
AL049357	Contig6383_RC
AL049991	NFAT5
AL049991	AK023883
AL049991	Contig20953_RC
AL049991	AL832820
AL049991	HSS00123916
AL050053	hCT2322040
AL050053	AF339810
AL050053	Contig7245_RC
AL050053	AK022789
AL050053	Contig11275_RC
AL050061	AK023883
AL050061	RSHL3
AL050168	NUDT6
AL050168	Contig40585_RC
AL050168	AF143866
AL109716	HSS00342647
AL109781	NEGR1
AL109781	Contig54544_RC
AL109781	AK054975
AL109781	CHRM3
AL109781	CDC42
AL109781	AK095761
AL110203	BC006563
AL117426	HSS00136419
AL133090	VSTM2
AL137425	GABRA2
AL137425	DNAJB14
AL137425	WDR17
AL137513	AK091058
AL137513	NCAPG
AL157466	HSS00344378
AL157466	AF088024
AL161982	AL049357
AL357198	TP53BP2
AL359582	AK096249
AL360255	GOT2
AL512727	AF070632
AL831861	AK057974
AL831861	AK025799
AL831861	HSS00173586
AL832086	HSS00124010
AL832086	HSPA6
AL832086	HSS00128455
AL832835	ADAMTS9
AL832835	SH2D2A
AL832835	HAMP
AL832835	MT1A
AL832835	CH25H
AL832835	IL6
AL833045	HSS00131072
AL833045	GABRB3
AL833045	DNAJB14
AL833045	MAMDC1
AL833045	Contig35608_RC
AL833352	HSS00051919
AL833352	ENST00000296531
ALDOC	S73397
ALG11	HSS00264781
ALG11	ST3GAL5
ALOX5AP	RGS19
AMPH	AL109781
AMY2B	Contig63171_RC
AMY2B	ACSL6
ANG	C11orf70
ANK2	DNASE1
ANK2	ZNF238
ANK2	Contig10653_RC
ANK2	ENST00000258318
ANK2	NUDT4P1
ANK3	ANKS1B
ANKRD13D	SNORD44
