nodename	color	shape	size	font_size
AASS	grey	circle	40	12
ABAT	grey	circle	40	12
ABHD4	grey	circle	40	12
ABHD6	grey	circle	40	12
ABHD7	grey	circle	40	12
ACOT7	grey	circle	40	12
ACTL6A	grey	circle	40	12
ACTN2	grey	circle	40	12
ACTR2	grey	circle	40	12
ACVR1C	grey	circle	40	12
AF019618	grey	circle	40	12
AJ227863	grey	circle	40	12
AJ227908	grey	circle	40	12
AK022035	grey	circle	40	12
AK022738	grey	circle	40	12
AK022914	grey	circle	40	12
AK023134	grey	circle	40	12
AK023395	grey	circle	40	12
AK024921	grey	circle	40	12
AK054959	grey	circle	40	12
AK055026	grey	circle	40	12
AK055125	grey	circle	40	12
AK055229	grey	circle	40	12
AK056916	grey	circle	40	12
AK057885	grey	circle	40	12
AK091571	grey	circle	40	12
AK096481	grey	circle	40	12
AKAP11	grey	circle	40	12
AKT3	grey	circle	40	12
AL109781	grey	circle	40	12
AL133109	grey	circle	40	12
AL137761	grey	circle	40	12
AL162043	grey	circle	40	12
AL833045	grey	circle	40	12
ALDH1A2	grey	circle	40	12
ANKH	grey	circle	40	12
ANKRD20B	grey	circle	40	12
ANKRD5	grey	circle	40	12
ANP32A	grey	circle	40	12
ANP32D	grey	circle	40	12
ANXA6	grey	circle	40	12
AP2B1	grey	circle	40	12
ARL5B	grey	circle	40	12
ARMCX5	grey	circle	40	12
ATF7IP2	grey	circle	40	12
ATP1A3	grey	circle	40	12
ATP2B1	grey	circle	40	12
ATP6V0E1	grey	circle	40	12
B3GALNT1	grey	circle	40	12
B3GALT2	grey	circle	40	12
B4GALT6	grey	circle	40	12
BC030101	grey	circle	40	12
BC035108	grey	circle	40	12
BC035737	grey	circle	40	12
BC038548	grey	circle	40	12
BCCIP	grey	circle	40	12
BGN	grey	circle	40	12
BMPR2	grey	circle	40	12
BNIP3	grey	circle	40	12
BRIP1	red	circle	120	36
BRMS1L	grey	circle	40	12
BTBD1	grey	circle	40	12
BTBD14A	grey	circle	40	12
BTBD5	grey	circle	40	12
C12orf29	grey	circle	40	12
C14orf106	grey	circle	40	12
C1orf128	grey	circle	40	12
C1orf71	grey	circle	40	12
C20orf133	grey	circle	40	12
C20orf7	grey	circle	40	12
C3orf14	grey	circle	40	12
C8orf34	grey	circle	40	12
C9orf72	grey	circle	40	12
C9orf94	grey	circle	40	12
CACNB2	grey	circle	40	12
CACNB4	grey	circle	40	12
CADPS	grey	circle	40	12
CALM3	grey	circle	40	12
CAMK2A	grey	circle	40	12
CAMK4	grey	circle	40	12
CAP2	grey	circle	40	12
CCDC34	grey	circle	40	12
CCNB1	grey	circle	40	12
CCNH	grey	circle	40	12
CDC42	grey	circle	40	12
CDC42SE2	grey	circle	40	12
CDCA5	grey	circle	40	12
CDH8	grey	circle	40	12
CDK6	grey	circle	40	12
CDS1	grey	circle	40	12
CEP170L	grey	circle	40	12
CGNL1	grey	circle	40	12
CKMT1B	grey	circle	40	12
CLCN4	grey	circle	40	12
CLPTM1	grey	circle	40	12
CLTA	grey	circle	40	12
CLUL1	grey	circle	40	12
CMAS	grey	circle	40	12
CMYA5	grey	circle	40	12
CNTN1	grey	circle	40	12
Contig10575_RC	grey	circle	40	12
Contig14658_RC	grey	circle	40	12
Contig14671_RC	grey	circle	40	12
Contig15728_RC	grey	circle	40	12
Contig17333_RC	grey	circle	40	12
Contig20914_RC	grey	circle	40	12
Contig25809_RC	grey	circle	40	12
Contig29672_RC	grey	circle	40	12
Contig31208_RC	grey	circle	40	12
Contig31587_RC	grey	circle	40	12
Contig35608_RC	grey	circle	40	12
Contig36122_RC	grey	circle	40	12
Contig36432_RC	grey	circle	40	12
Contig40516_RC	grey	circle	40	12
Contig40549_RC	grey	circle	40	12
Contig40647_RC	grey	circle	40	12
Contig42161_RC	grey	circle	40	12
Contig43791_RC	grey	circle	40	12
Contig46578_RC	grey	circle	40	12
Contig47178_RC	grey	circle	40	12
Contig52635_RC	grey	circle	40	12
Contig52684	grey	circle	40	12
Contig52814_RC	red	circle	120	36
Contig53777_RC	grey	circle	40	12
Contig57230_RC	grey	circle	40	12
CPT2	grey	circle	40	12
CREG2	grey	circle	40	12
CTDSP1	grey	circle	40	12
CUL5	grey	circle	40	12
CXorf39	grey	circle	40	12
DBF4	grey	circle	40	12
DIRAS2	grey	circle	40	12
DLEU2L	grey	circle	40	12
DLG1	grey	circle	40	12
DMXL2	grey	circle	40	12
DNAJB14	grey	circle	40	12
DNMT3A	grey	circle	40	12
DNMT3B	grey	circle	40	12
DTWD2	grey	circle	40	12
DYNLT3	grey	circle	40	12
ELAVL4	grey	circle	40	12
ELOVL7	grey	circle	40	12
ENPP5	grey	circle	40	12
ENSA	red	circle	120	36
