nodename	color	shape	size	font_size
1-Mar	grey	circle	40	12
7-Mar	grey	circle	40	12
8-Mar	grey	circle	40	12
ABCB10	grey	circle	40	12
ABCC13	grey	circle	40	12
ABCC2	grey	circle	40	12
ABCC6	grey	circle	40	12
ABCD3	grey	circle	40	12
ABCE1	grey	circle	40	12
ABHD10	grey	circle	40	12
ABHD3	grey	circle	40	12
ABI1	grey	circle	40	12
ABL2	grey	circle	40	12
ACAD8	grey	circle	40	12
ACAP2	grey	circle	40	12
ACP6	grey	circle	40	12
ACTN1	grey	circle	40	12
ACTR2	grey	circle	40	12
ACVR1B	grey	circle	40	12
ADAM10	grey	circle	40	12
ADAM19	grey	circle	40	12
ADAMTSL4	grey	circle	40	12
ADD3	grey	circle	40	12
AHCYL1	grey	circle	40	12
AIF1	grey	circle	40	12
AK3	grey	circle	40	12
AKT1S1	grey	circle	40	12
ALDH5A1	grey	circle	40	12
ALG10B	grey	circle	40	12
ALOX5	grey	circle	40	12
ALOX5AP	grey	circle	40	12
ALPK3	grey	circle	40	12
AMD1	grey	circle	40	12
ANAPC10	grey	circle	40	12
ANGPT1	grey	circle	40	12
ANK1	grey	circle	40	12
ANKRD11	grey	circle	40	12
ANKRD13A	grey	circle	40	12
ANKRD13D	grey	circle	40	12
ANKRD40	grey	circle	40	12
ANKRD6	grey	circle	40	12
ANP32E	grey	circle	40	12
ANTXR2	grey	circle	40	12
AOC2	grey	circle	40	12
AOC3	grey	circle	40	12
AP2A1	grey	circle	40	12
APBB1IP	grey	circle	40	12
APOBEC3A	grey	circle	40	12
APPL1	grey	circle	40	12
ARFIP1	grey	circle	40	12
ARHGAP26	grey	circle	40	12
ARHGAP8	grey	circle	40	12
ARHGEF12	grey	circle	40	12
ARHGEF40	grey	circle	40	12
ARID4A	grey	circle	40	12
ARL11	grey	circle	40	12
ARL4A	grey	circle	40	12
ARL5A	grey	circle	40	12
ARL5B	grey	circle	40	12
ARL6IP1	grey	circle	40	12
ARMC12	red	circle	120	36
ARMC8	grey	circle	40	12
ARMCX1	grey	circle	40	12
ARMCX3	grey	circle	40	12
ARRDC3	grey	circle	40	12
ARSB	grey	circle	40	12
ARSG	grey	circle	40	12
ASAP1-IT1	grey	circle	40	12
ASF1A	grey	circle	40	12
ASUN	grey	circle	40	12
ATAD1	grey	circle	40	12
ATF2	grey	circle	40	12
ATG14	grey	circle	40	12
ATG5	grey	circle	40	12
ATG9A	grey	circle	40	12
ATP11B	grey	circle	40	12
ATP2B1	grey	circle	40	12
ATP2C2	grey	circle	40	12
ATP8A1	grey	circle	40	12
ATP8B2	grey	circle	40	12
ATXN7	grey	circle	40	12
AUH	grey	circle	40	12
AURKAPS1	grey	circle	40	12
AVL9	grey	circle	40	12
AXIN2	grey	circle	40	12
AZIN1	grey	circle	40	12
B3GNT5	grey	circle	40	12
B3GNTL1	grey	circle	40	12
B4GALT1	grey	circle	40	12
BACH1	red	circle	120	36
BAZ2B	grey	circle	40	12
BCKDK	grey	circle	40	12
BCL2L11	grey	circle	40	12
BEAN1	grey	circle	40	12
BEND7	grey	circle	40	12
BEST1	grey	circle	40	12
BICD2	grey	circle	40	12
BIRC2	grey	circle	40	12
BMP2K	grey	circle	40	12
BNIP2	grey	circle	40	12
BNIP3L	grey	circle	40	12
BPGM	grey	circle	40	12
BPNT1	grey	circle	40	12
BRAF	lightgreen	circle	40	12
BRMS1L	grey	circle	40	12
BROX	grey	circle	40	12
BRWD1	grey	circle	40	12
BRWD3	grey	circle	40	12
C10orf46	grey	circle	40	12
C12orf35	grey	circle	40	12
C14orf45	grey	circle	40	12
C17orf39	grey	circle	40	12
C1D	grey	circle	40	12
C1orf52	grey	circle	40	12
C1orf63	grey	circle	40	12
C20orf196	grey	circle	40	12
C2orf68	grey	circle	40	12
C2orf69	grey	circle	40	12
C3orf25	grey	circle	40	12
C4orf32	grey	circle	40	12
C4orf34	grey	circle	40	12
C5	grey	circle	40	12
C5orf24	grey	circle	40	12
C5orf43	grey	circle	40	12
C6orf163	grey	circle	40	12
C6orf62	grey	circle	40	12
C7orf23	grey	circle	40	12
C7orf60	grey	circle	40	12
C8orf44-SGK3	grey	circle	40	12
C8orf60	grey	circle	40	12
C9orf78	grey	circle	40	12
CAB39	red	circle	120	36
CABLES2	grey	circle	40	12
CABP7	grey	circle	40	12
CABYR	red	circle	120	36
CACUL1	grey	circle	40	12
CAHM	grey	circle	40	12
CALM1	grey	circle	40	12
CAMK1D	grey	circle	40	12
CAPZA2	grey	circle	40	12
CARD8	grey	circle	40	12
CASC4	grey	circle	40	12
CASS4	grey	circle	40	12
CBL	lightgreen	circle	40	12
CC2D2B	red	circle	120	36
CCDC117	grey	circle	40	12
CCDC126	grey	circle	40	12
CCDC147	grey	circle	40	12
CCDC75	grey	circle	40	12
CCNG2	grey	circle	40	12
CCRN4L	grey	circle	40	12
CD2AP	grey	circle	40	12
CD3EAP	grey	circle	40	12
CD46	grey	circle	40	12
CD53	grey	circle	40	12
CDC73	grey	circle	40	12
CDH2	grey	circle	40	12
CDK12	grey	circle	40	12
CDKN2B	grey	circle	40	12
CDYL	grey	circle	40	12
