source	target
1-Mar	KCNE1
7-Mar	YPEL5
8-Mar	C17orf39
8-Mar	OSBP2
8-Mar	GSPT1
ABCB10	XPR1
ABCB10	MOB1B
ABCD3	PIBF1
ABCD3	FAM117B
ABCD3	ARL5A
ABCE1	TIMM23
ABCE1	EIF2S1
ABCE1	LMAN1
ABCE1	PURA
ABCE1	NUDT15
ABCE1	WDR36
ABHD10	IMPAD1
ABHD3	HEATR5A
ABI1	YTHDF3
ABI1	GNG2
ACAP2	HIPK3
ACTN1	IL17RA
ACTR2	YWHAZ
ACTR2	EAF1
ACTR2	RAB11A
ACTR2	PPP1CB
ACTR2	RAB14
ACTR2	GOLPH3
ACTR2	KPNA4
ACTR2	RSPRY1
ACTR2	LOC100652987
ACVR1B	GADD45A
ADAM10	RAB21
ADAM10	UBA3
ADD3	CEP44
ALOX5	HRH2
ALOX5AP	LRRC4
ALOX5AP	CRISPLD2
ANAPC10	TRAPPC2
ANKRD11	MAP3K8
ANKRD11	KAT6A
ANKRD11	CMTM7
AOC3	SEMG1
AOC3	AOC2
AOC3	LOC728392
AOC3	MPPE1
AP2A1	AKT1S1
ARL11	ASAP1-IT1
ATF2	RHOQ
ATF2	SEC24A
ATF2	FAM18B1
ATF2	TSNAX
ATF2	TBL1XR1
ATF2	ITGAV
ATF2	TRMT1L
ATF2	LY75
ATF2	TMEM65
ATF2	NAB1
ATG14	DDX55
ATG14	SLC7A1
ATP11B	PPP4R2
ATP2B1	PHF17
ATP8A1	ERO1LB
ATP8A1	TRAPPC10
ATP8A1	NAA16
ATP8A1	PIK3C2A
ATP8A1	ZNF682
ATP8B2	CALM1
ATP8B2	HAUS2
ATP8B2	DCP1A
ATP8B2	EIF4B
ATP8B2	UXS1
ATP8B2	MYC
ATP8B2	LBH
B3GNTL1	TMEM88
BACH1	C4orf34
BIRC2	ABCB10
BIRC2	UBQLN1
BNIP3L	GYPE
BNIP3L	C20orf196
BPGM	XK
BROX	TLE4
BRWD3	ANGPT1
C10orf46	IL6R
C10orf46	APBB1IP
C12orf35	ZNF117
C12orf35	GCM1
C1orf63	ATXN7
C2orf68	TSC22D4
C5orf24	RBM15
C5orf24	PTPN11
C5orf24	CEP85L
C5orf24	HSPA13
C5orf43	TBCEL
C5orf43	C8orf44-SGK3
C5orf43	PDCL
C5orf43	MINPP1
C5orf43	NHLRC3
C5orf43	RDX
C6orf62	NUDT4
C6orf62	CDK12
C6orf62	CLCN3
C8orf60	ANKRD13D
C8orf60	LOC100653271
C8orf60	TPM3
C8orf60	FMNL1
C8orf60	YPEL3
C8orf60	CYTH4
C8orf60	LOC399900
C8orf60	TCP11L2
C9orf78	SRSF8
CACUL1	MAP3K5
CACUL1	CUX1
CACUL1	C10orf46
CACUL1	RAB11FIP1
CACUL1	SP1
CAPZA2	TAF13
CARD8	LRIF1
CARD8	MPZL2
CARD8	ARRDC3
CARD8	TGFBR2
CASC4	NFAT5
CASC4	FAM91A2
CASC4	LOC100506032
CBL	F11R
CCDC117	LOC100506732
CCDC117	TMEM230
CCDC147	PDE6H
CCNG2	LOC100507015
CCNG2	RAPGEF2
CCNG2	TMX4
CCNG2	SLC15A4
CCNG2	TMEM71
CCNG2	TMEM55A
CCRN4L	PCBP2
CCRN4L	UBE2C
CCRN4L	EIF5
CD2AP	GPLD1
CD46	ZBED6
CD46	TBK1
CD46	SMCHD1
CEBPD	PHC2
CEBPD	DUSP1
CEBPD	KIAA0146
CEBPG	DCUN1D5
CEP63	MGEA5
CEP63	SLC25A51
CEPT1	INPP4A
CHD1	KRCC1
CHMP1B	EP300
CHST15	ACP6
CHST15	SESN2
CHST15	ITPKC
CHUK	KPNA1
CHUK	BAZ2B
CHUK	OSBPL11
CHUK	DCTN4
CHUK	SERINC1
CHUK	TMEM30A
CHUK	IPMK
CHUK	PTPN12
CHUK	GALNT7
CHUK	SAMD8
CHUK	RP2
CHUK	SNX6
CLCN3	CSDE1
CLCN3	BRWD1
CLDN9	ARMC12
CPEB2	FCHO2
CPEB2	MIER1
CPPED1	ZMIZ1
CPPED1	MAP7
CREB1	PPTC7
CREBL2	MFHAS1
CSAD	FKBP15
CSNK1A1	YTHDC1
CUL4A	ABCB10
CUL4A	TPSB2
CUL5	DEK
CUL5	N4BP2
CUL5	LRRC58
CUL5	ALG10B
CUL5	MIER3
CUL5	C5orf43
CUL5	SOCS4
CUL5	CD2AP
CUL5	LMBRD2
CUX1	MYRIP
CUX1	NMNAT1
CUX1	ZFP106
CYB5B	STT3A
CYTH4	LINC00528
CYTH4	SEC24D
DCAF17	LIN7C
DCAF17	EIF4B
DCAF17	TGIF1
DCAF17	TMEM170A
DCAF17	TMEM14A
DCK	CCDC117
DCK	C6orf62
DCK	PCMTD2
DCK	CUL4A
DCTN4	UBQLN1
DCTN4	DCUN1D1
DCTN4	POC1B
DCTN4	SCYL2
DDI2	ZNF738
DDI2	DOCK7
DDI2	HSP90B1
DDX17	PRR14L
DDX17	ZNF430
DDX17	MALAT1
DEK	GPR65
