nodename	color	shape	size	font_size
41525	grey	circle	40	12
AAED1	grey	circle	40	12
ABCB10	grey	circle	40	12
ABHD13	grey	circle	40	12
ABHD4	grey	circle	40	12
ABHD5	red	circle	120	36
ABLIM1	grey	circle	40	12
ACLY	grey	circle	40	12
ADIPOR2	grey	circle	40	12
AFF1	grey	circle	40	12
AFTPH	grey	circle	40	12
AGPS	grey	circle	40	12
ALG11	grey	circle	40	12
ALS2	grey	circle	40	12
AMMECR1	grey	circle	40	12
ANKRD50	grey	circle	40	12
ANXA1	grey	circle	40	12
ANXA7	grey	circle	40	12
AP5M1	grey	circle	40	12
APC	grey	circle	40	12
APLP2	grey	circle	40	12
ARHGAP5	grey	circle	40	12
ARHGEF3	red	circle	120	36
ARL15	grey	circle	40	12
ARL5A	grey	circle	40	12
ARMC1	grey	circle	40	12
ARNT	grey	circle	40	12
ATF2	grey	circle	40	12
ATF6	grey	circle	40	12
ATL3	grey	circle	40	12
ATP11B	grey	circle	40	12
ATP13A3	grey	circle	40	12
ATP2A2	grey	circle	40	12
ATP6V1A	grey	circle	40	12
ATXN2	grey	circle	40	12
ATXN7	grey	circle	40	12
AVL9	grey	circle	40	12
AVPI1	grey	circle	40	12
AZIN1	grey	circle	40	12
B3GNT2	grey	circle	40	12
BACH1	grey	circle	40	12
BDKRB2	grey	circle	40	12
BMP4	grey	circle	40	12
BMPR2	grey	circle	40	12
BNIP3L	grey	circle	40	12
BRWD3	grey	circle	40	12
BTBD1	grey	circle	40	12
C12orf49	grey	circle	40	12
C12orf75	grey	circle	40	12
C1orf198	grey	circle	40	12
C3AR1	grey	circle	40	12
C5orf22	grey	circle	40	12
CAB39	grey	circle	40	12
CAND1	grey	circle	40	12
CASC4	grey	circle	40	12
CBL	lightgreen	circle	40	12
CCDC112	grey	circle	40	12
CCDC126	grey	circle	40	12
CCDC91	grey	circle	40	12
CCP110	grey	circle	40	12
CD209	grey	circle	40	12
CD2AP	grey	circle	40	12
CDC73	grey	circle	40	12
