source	target
41525	PLEKHG3
41525	ATXN2
ABHD13	ARMC1
ADIPOR2	SC5DL
ADIPOR2	DLST
ADIPOR2	OXNAD1
AGPS	DESI2
AGPS	RPE
ALS2	OVCA2
APC	KDM6A
APC	TMEM245
APLP2	LGALS3BP
APLP2	NCSTN
APLP2	ERGIC1
ARL5A	RNF11
ARL5A	ABCB10
ARL5A	LMBRD1
ARL5A	GCLM
ATF2	TRUB1
ATF2	KITLG
ATF6	DIAPH2
ATF6	FBXL5
ATP11B	ZMYND8
ATP11B	C5orf22
ATP11B	AVL9
ATP11B	STK38L
ATP11B	SMURF1
ATP13A3	IMPAD1
ATP2A2	EIF4G1
ATXN2	ARNT
ATXN2	NUP214
AVL9	NSFP1
AVL9	LRBA
AVL9	TIAF1
AVL9	GNAQ
AZIN1	RNF141
AZIN1	VAMP7
BACH1	FNIP1
BACH1	PPP1R3B
BMPR2	SLC30A7
C1orf198	CFL2
CAB39	SNX9
CAND1	ZW10
CAND1	CHUK
CAND1	FBXO28
CAND1	RMI1
CAND1	MED21
CAND1	RPS6KA3
CAND1	SLC30A6
CAND1	CNOT6
CAND1	FBXO22
CAND1	GOSR1
CAND1	RBM27
CASC4	PIGK
CASC4	RCN2
CBL	GPATCH8
CBL	YEATS2
CBL	NEK1
CD2AP	LNX2
CDC73	FUBP3
CEP350	ZNF292
CEP350	MAP3K2
CEP350	SLC4A7
CHUK	TBK1
CHUK	HNRPLL
CHUK	UCHL5
CHUK	COPB1
CMIP	CD209
CNOT6	ATF2
CNOT6	FAM199X
CNST	ZFP41
CNST	TMEM133
COPB1	TAX1BP1
CRK	SPTY2D1
CSNK1A1	RPE
CTAGE11P	CTAGE9
CTAGE11P	CTAGE5
CTAGE7P	CTAGE11P
CTSO	CNN3
CTSO	HBP1
CXorf23	ZNF33B
CYLD	PARP8
CYLD	ARHGEF3
CYLD	TNFAIP3
DCAF12	TFDP1
DCLRE1A	AMMECR1
DCUN1D1	LYSMD3
DCUN1D1	BTBD1
DCUN1D1	CDC73
DCUN1D1	ZDHHC20
DCUN1D1	CCDC91
DCUN1D1	PJA2
DCUN1D1	LIN54
DCUN1D1	SGMS1
DCUN1D1	VAMP7
DDX21	CHSY1
DDX21	PIGW
DDX21	AAED1
DDX21	SLC25A32
DDX21	ATP13A3
DDX6	PRKACB
DDX6	ZNF770
DHFR	SPAG5
DHFR	ZNF367
DHX29	KIAA1279
DIXDC1	MSRB3
DIXDC1	PODXL
DIXDC1	TMEM47
DIXDC1	KANK2
DYRK2	ERBB2IP
DYRK2	RPS6KA5
DYRK2	SLC30A1
DYRK2	ARHGAP5
EAF1	DCUN1D3
EEPD1	ABHD4
EFR3A	BACH1
EFR3A	CTSO
EGFR	ZNF417
EGFR	RGP1
EGFR	NCOR1
EGFR	DYRK2
EGLN1	PLOD2
EGLN1	RNF11
EGLN1	PLEKHB2
EGLN1	APLP2
EGLN1	EDN1
ENAH	GPM6B
ERGIC1	SPON1
ERLIN1	FAM45B
EXT2	CTNNA1
FAM126B	ZYG11B
FAM199X	TRAPPC13
FBXL5	TGFBR1
FBXL5	LOC729176
FBXO28	TSC22D2
FEM1C	TIPARP
FGD4	AFF1
FGD4	FCHO2
FKBP15	SFMBT2
FKBP15	SEL1L3
FNIP2	C12orf49
FNIP2	ZC3H12C
FNIP2	SLC37A3
FOXJ3	MED14
FOXJ3	UBR4
FZD6	LURAP1L
