nodename	color	shape	size	font_size
AB007969	grey	circle	40	12
AF052174	grey	circle	40	12
AGPAT2	grey	circle	40	12
AK001910	grey	circle	40	12
AK024918	red	circle	120	36
AK090686	red	circle	120	36
AK092482	grey	circle	40	12
AK092571	red	circle	120	36
AK093202	grey	circle	40	12
AK098043	grey	circle	40	12
AK3L1	grey	circle	40	12
AKR1C1	grey	circle	40	12
AKR1C2	grey	circle	40	12
AL109705	grey	circle	40	12
AL117656	grey	circle	40	12
AL137257	grey	circle	40	12
AL157455	red	circle	120	36
AL365371	grey	circle	40	12
ALKBH8	grey	circle	40	12
ANO5	grey	circle	40	12
AP2B1	grey	circle	40	12
ARHGAP20	grey	circle	40	12
ARHGEF6	grey	circle	40	12
ARID4A	grey	circle	40	12
ARRDC3	grey	circle	40	12
ASAH1	grey	circle	40	12
ASPH	grey	circle	40	12
ATP13A3	red	circle	120	36
ATP6V1B2	grey	circle	40	12
BANK1	grey	circle	40	12
BC004287	grey	circle	40	12
BC030766	grey	circle	40	12
BC038512	grey	circle	40	12
BC039332	grey	circle	40	12
C10orf118	grey	circle	40	12
C11orf63	grey	circle	40	12
C14orf149	grey	circle	40	12
C1orf71	grey	circle	40	12
C5orf42	red	circle	120	36
C9	grey	circle	40	12
CAV2	grey	circle	40	12
CD24	grey	circle	40	12
CLCN5	grey	circle	40	12
COBLL1	grey	circle	40	12
COL24A1	grey	circle	40	12
COL4A3BP	grey	circle	40	12
Contig12357_RC	grey	circle	40	12
Contig1970_RC	grey	circle	40	12
Contig21319_RC	grey	circle	40	12
Contig25809_RC	red	circle	120	36
Contig28455_RC	grey	circle	40	12
Contig31208_RC	grey	circle	40	12
Contig33003_RC	grey	circle	40	12
Contig33235_RC	grey	circle	40	12
Contig34043_RC	red	circle	120	36
Contig35522_RC	red	circle	120	36
Contig36931_RC	grey	circle	40	12
Contig40149_RC	grey	circle	40	12
Contig40549_RC	grey	circle	40	12
Contig40647_RC	red	circle	120	36
Contig41106_RC	grey	circle	40	12
