source	target
10-Sep	SSFA2
11-Sep	SLC41A3
15-Sep	AW026535
15-Sep	HS2ST1
15-Sep	LRRC8B
5-Mar	ALDH18A1
5-Mar	APOBEC3C
7-Mar	ATF1
7-Mar	CAMSAP1L1
7-Mar	CUL3
7-Mar	FASTKD2
7-Mar	MFSD6
7-Mar	MREG
7-Mar	RAB1A
7-Mar	RBM12
7-Mar	RIOK3
7-Mar	SMAD4
7-Mar	STAM2
7-Mar	UBXN4
7-Sep	AHR
7-Sep	DMTF1
7-Sep	PHTF2
7-Sep	TAX1BP1
8-Mar	C10orf26
8-Sep	PPIC
A1CF	APOA1
A1CF	CGA
A1CF	DEFA6
A1CF	SLC7A9
A1CF	UGT2B28
A2M	ADH1B
A2M	ANGPT1
A2M	C13orf15
A2M	C7
A2M	CHRDL1
A2M	FAM38B
A2M	FHL1
A2M	FMO2
A2M	FRZB
A2M	LAMA2
A2M	LHFP
A2M	MFAP4
A2M	MGP
A2M	NFASC
A2M	NR2F1
A2M	SCGB1A1
A2M	SPARCL1
A2M	TACC1
A2M	TGFBR2
AA045174	BDH2
AA045174	BG251521
AA053967	C4orf31
AA053967	PTCH1
AA393940	EIF5A
AA554945	ANGPTL4
AA554945	C7orf44
AA554945	PKM2
AA554945	STX1A
AA861608	BG545463
AA890010	AF130104
AA910371	AA393940
AA910371	AI348545
AA910371	AI378706
AA910371	BF984434
AA910371	W26593
AACS	CTNND2
AACS	DENR
AACS	MFSD9
AAGAB	SNAPC5
AAGAB	TRIP4
AARS	GLG1
AASDHPPT	MED17
AASDHPPT	QSK
AASDHPPT	YAP1
AATF	UTP6
ABCA3	HSPB8
ABCA3	LRP2
ABCA5	CROCCL1
ABCA5	KIAA0528
ABCA8	BCHE
ABCA8	CFH
ABCA8	FBLN5
ABCA8	H3F3B
ABCA8	KCND3
ABCA8	LEPR
ABCA8	LPPR4
ABCA8	PTPRN2
ABCA8	REEP1
ABCA8	TGFBR3
ABCA8	TPPP3
ABCB6	CA8
ABCB6	CABYR
ABCB6	GMPPA
ABCB6	OSGIN1
ABCC2	TSKU
ABCC3	CEACAM1
ABCC3	RAB15
ABCC3	SH2D4A
ABCC3	SLC16A5
ABCC3	SPATA20
ABCC5	KRT4
ABCC6	COL9A2
ABCC6	EFNA1
ABCC8	GP2
ABCD3	FAM59A
ABCD3	FNBP1L
ABCE1	EIF4E
ABCE1	NARG1
ABCF1	DHX16
ABCF1	FLOT1
ABCF1	MDC1
ABCF2	SLC4A2
ABCF2	TRRAP
ABHD10	DZIP3
ABHD11	CLDN3
ABHD14A	CABC1
ABHD14A	SUOX
ABHD2	WWP1
ABI1	ACTR3
ABI1	INTS1
ABI1	NMT2
ABI1	PPP1R2
ABI1	PRPF18
ABI1	STAM
ABI1	WAC
ABI1	YME1L1
ABLIM1	P2RY6
AC005011	RPL36AL
AC005011	RPS17P5
ACACA	DHCR24
ACAD8	ARMC9
ACAD8	GLB1L2
ACAD8	THYN1
ACADVL	CHD3
ACADVL	KIF1C
ACAP1	CORO1A
ACAP1	IL21R
ACAP1	ITGAL
ACAP1	MAP4K1
ACAP1	NUP210
ACAP1	PSTPIP1
ACAP1	PTK2B
ACAP1	PTPRCAP
ACAP1	SP140
ACAP1	ZAP70
ACAP2	ATP13A3
ACAP2	ATP2C1
ACAP2	DMXL2
ACAP2	HSPBAP1
ACAP2	RNF13
ACBD3	PPPDE1
ACIN1	AP1G2
ACLY	MAST4
ACOT13	NQO2
ACP1	COPS8
ACP1	MTCH2
ACP1	RNASEH1
ACP1	TSN
ACP1	TSSC1
ACP5	CCL18
ACSL4	GK
ACSL4	GK3P
ACSL5	HSPA2
ACSL5	RNF10
ACSM3	AK1
ACSM3	GPR161
ACSM3	HSDL2
ACSM3	PCBD1
ACTA2	ACTG2
ACTA2	AKT3
ACTA2	CNN1
ACTA2	MYLK
ACTA2	PLA2G5
ACTA2	PLN
ACTA2	PTGIS
ACTA2	TMEM47
ACTL6A	BF431965
ACTL6A	ECT2
ACTL6A	FXR1
ACTL6A	KIN
ACTL6A	MFN1
ACTL6A	MLF1
ACTL6A	PRIM2
ACTL6A	TBCCD1
ACTN1	PMPCA
ACTN4	EGLN2
ACTR10	MUDENG
ACTR10	PPM1A
ACTR10	PSMA3
ACTR2	AMFR
ACTR2	SERINC3
ACTR3	ARPC2
ACTR6	C12orf29
ACTR6	GPN3
ACTR6	METAP2
ACTR6	NFYB
ACTR6	RPAP3
ACTR6	UHRF1BP1L
ACVR1	PHLDA2
ACVR1	RTN4
ACVR1	TNFRSF11A
ACYP1	ITGB3BP
ADAM10	ABI1
ADAM10	AW612311
ADAM10	CAPZA2
ADAM10	CHMP2B
ADAM10	CYB5R4
ADAM10	FAM63B
ADAM10	N51370
ADAM10	PIK3CA
ADAM10	TMOD3
ADAM10	TWSG1
ADAM12	B3GNT1
ADAM12	COL11A1
ADAM12	FKBP14
ADAM12	GREM1
ADAM12	MXRA5
ADAM12	PDPN
ADAM12	SLC12A8
