source	interaction_type	target
RSE_00000753518	BN	MR1 
RSE_00000753518	BN	SNORD54 
RSE_00000772559	BN	CALCA 
RSE_00000772559	BN	PSG1 
RSE_00000772559	BN	EYA3 
RSE_00000772559	BN	ENST00000356048 
RSE_00000729974	BN	FDFT1 
RSE_00000729974	BN	Contig21464_RC 
RSE_00000729974	BN	Contig23804_RC 
RSE_00000729974	BN	BC038209 
SPIRE1	BN	TFF2 
SPIRE1	BN	CNIH2 
SPIRE1	BN	MSLN 
SPIRE1	BN	AF085967 
SPIRE1	BN	BE816138 
HSP90AA5P	BN	ENST00000299294 
HSP90AA5P	BN	NUP50 
RSE_00000807432	BN	UPP1 
RSE_00000807432	BN	MTHFD2 
RSE_00000807432	BN	NP 
SEMA4C	BN	IGHA1 
SEMA4C	BN	TSPAN18 
SEMA4C	BN	Contig35053_RC 
RSE_00000602448	BN	BHMT2 
EEF1A2	BN	KCNQ2 
EEF1A2	BN	AK025909 
EEF1A2	BN	TMEM178 
EEF1A2	BN	PRRT1 
GSTZ1	BN	HSD17B8 
GSTZ1	BN	NM_001001681 
AL157504	BN	BIRC3 
HLA-B	BN	C10orf116 
HLA-B	BN	HLA-DMA 
HLA-B	BN	PSMB9 
HLA-B	BN	HLA-A 
HLA-B	BN	HLA-C 
SLITRK3	BN	ATCAY 
SLITRK3	BN	AK094521 
KCNK9	BN	PLXNA2 
MS4A4A	BN	F13A1 
MAP1B	BN	AK055794 
IL18	BN	IQGAP2 
IL18	BN	Contig55221_RC 
IL18	BN	RGS1 
IL18	BN	LHFPL2 
4-Mar	BN	C14orf162 
4-Mar	BN	DIRAS1 
4-Mar	BN	SEZ6 
LZTS1	BN	NDST3 
LZTS1	BN	KNDC1 
LZTS1	BN	ANKRD24 
FABP3	BN	SEZ6L 
Contig56513_RC	BN	PLTP 
Contig56513_RC	BN	IL12A 
CTXN3	BN	NT5DC3 
TTC9	BN	SORCS1 
Contig56093_RC	BN	ANKRD37 
DDX1	BN	VPS36 
KLHDC5	BN	PTPRD 
KLHDC5	BN	ZNF658 
CYP4F2	BN	Contig6212_RC 
MYOT	BN	TGFB3 
MYOT	BN	hCT1970973 
SERPINA3	BN	CD44 
SERPINA3	BN	DTNA 
SERPINA3	BN	RPS2 
SERPINA3	BN	MAOB 
SERPINA3	BN	TPST1 
SERPINA3	BN	CP 
SERPINA3	BN	TMBIM1 
SERPINA3	BN	CHI3L2 
SERPINA3	BN	OSMR 
FREM3	BN	PNOC 
FREM3	BN	AP1S1 
FREM3	BN	MS4A8B 
FREM3	BN	KCNH7 
Contig13480_RC	BN	Contig40128_RC 
Contig13480_RC	BN	EBI2 
Contig13480_RC	BN	RGS1 
GLS	BN	AL137310 
GLS	BN	BSN 
GLS	BN	AK094685 
GLS	BN	XM_117397 
TUBB3	BN	HMGCS1 
RASGRP3	BN	TSPAN8 
SYNGR2	BN	M6PRBP1 
SYNGR2	BN	MYO1D 
SYNGR2	BN	PTMA 
SYNGR2	BN	LGALS3BP 
CKMT1B	BN	CLTA 
CKMT1B	BN	BEX2 
CKMT1B	BN	hCT1829585.2 
LMO2	BN	LMCD1 
NM_007281	BN	HRSP12 
NM_007281	BN	RGR 
NPTX1	BN	Contig5818_RC 
NPTX1	BN	NM_006477 
NPTX1	BN	GPRIN1 
NPTX1	BN	NM_175917 
SGCA	BN	TBX1 
EPS8	BN	SART2 
EPS8	BN	CD302 
EPS8	BN	Contig47146_RC 
EPS8	BN	ADH1B 
EPS8	BN	ZNF217 
EPS8	BN	NM_133646 
EPS8	BN	SLC40A1 
EPS8	BN	PRKD3 
FAM59B	BN	VIL2 
FAM59B	BN	SALL3 
FAM59B	BN	FZD9 
FAM59B	BN	NM_014147 
FAM59B	BN	ANKRD9 
FAM59B	BN	INPPL1 
FAM59B	BN	PSD2 
