source target
PLCD1 AK021634
RSE_00000729974 PNPT1
RSE_00000729974 PGM5P1
SPIRE1 IKZF5
HSP90AA5P HSP90AA1
RSE_00000807432 NP
RSE_00000807432 TRA@
RSE_00000807432 HSS00051214
RSE_00000807432 hCT2328309
SEMA4C HSS00299143
RSE_00000551358 XM_169393
RSE_00000551358 XM_172345
PTK7 AK023134
RAC3 NPM3
AL157504 TRIB3
AL157504 ARRDC3
HLA-B XM_167124
GPR160 CYP2S1
MS4A4A MRC1
MAP1B RTN4
MAP1B SNAP25
MAP1B CALM2
IL18 COL8A2
MARCH4 PLCH2
LZTS1 DUSP8
LZTS1 RHOBTB2
LZTS1 HSS00405184
LZTS1 TNFRSF25
FABP3 ENST00000267130
FABP3 hCT2266787
Contig56513_RC PDLIM3
Contig56513_RC TLR4
CTXN3 GRB14
Contig33077 BC022881
KLHDC5 EPM2AIP1
KLHDC5 STAT1
KLHDC5 PTPRD
KLHDC5 Contig43750_RC
KLHDC5 ARMC1
KLHDC5 HSS00095297
KLHDC5 hCT2323868
MYOT RNF130
MYOT Contig36931_RC
MYOT FRYL
SERPINA3 EDN3
SERPINA3 C6orf145
SERPINA3 ALPK1
SERPINA3 ADAMTS9
SERPINA3 TRIM47
Contig13480_RC Contig40128_RC
TUBB3 C5orf16
TUBB3 AK096556
RASGRP3 QDPR
TFRC ZNF528
SYNGR2 LMNA
SYNGR2 SPP1
SYNGR2 LASS2
SYNGR2 RPS6KA1
SYNGR2 SPSB1
SYNGR2 C1orf38
SYNGR2 TIMP2
SYNGR2 RALGDS
SYNGR2 EFNA1
SYNGR2 SH3BP4
SYNGR2 LGALS3BP
SYNGR2 BC039097
SYNGR2 SORT1
CKMT1B SEZ6L2
CKMT1B ACOT7
CKMT1B CLTA
CKMT1B GOT1
CKMT1B ROPN1L
CKMT1B GALNT14
KLF10 SFTPC
KLF10 hCT1971392.1
LMO2 HLX1
ARHGAP23 FAM102A
ARHGAP23 PCBP4
CASQ2 CRIP1
C11orf41 PRR11
C11orf41 HAS1
C11orf41 AK000877
C11orf41 IER5
C11orf41 KBTBD9
C11orf41 C1orf97
C11orf41 AJAP1
C11orf41 HESX1
C11orf41 DPYS
Contig46677_RC Contig46351_RC
Contig46677_RC ABCD2
ATP1A3 NEFL
ATP1A3 CGNL1
ATP1A3 SGPP2
PHF19 SELL
AZIN1 C6orf211
AZIN1 CHAC2
AL109781 CDH8
AL109781 NAPB
AL109781 BTBD14A
AL109781 MCHR2
SNCG HBQ1
SNCG LPA
SNCG ACOT4
GADD45B C13orf33
ERBB3 AFMID
ERBB3 NASP
ERBB3 HSS00001975
ERBB3 RP11-139H14.4
AL080082 ZNF404
GLUD2 ALDH1A1
GLUD2 AGPAT3
GLUD2 GLUD1
GLUD2 SERPINE2
Contig26081_RC HSS00291630
CALD1 SMAD6
C20orf175 WFIKKN1
C20orf175 AL832775
NPY1R FAP
Contig35424_RC ACAD11
Contig35424_RC HSS00008674
Contig40516_RC MCF2
LDHA AF007149
LDHA KPNA2
LDHA hCT1970968.1
JUNB NR4A1
JUNB FOS
CAV1 CAV2
CAV1 AF074993
ABCB1 ITM2A
ABCB1 U79300
Contig48473_RC ALDH1L1
SPAG5 SESN2
SPAG5 FRAT2
ABAT Contig436
ABAT AJ227908
ABAT WBSCR16
ABAT HSS00041590
CNTN6 Contig46942_RC
CNTN6 TDRD6
CNTN6 CCBE1
CNTN6 PLCH1
CNTN6 C7orf16
CNTN6 TRPC6
CNTN6 DHRS7C
CNTN6 FAM80A
CNTN6 KLK7
CNTN6 BC041456
CNTN6 AK094767
MIRN101-1 HSS00095236
LMNA MVP
LMNA H2AFJ
CCR6 HSS00387890
GPX3 AK000451
DNAJB1 SERPINH1
DNAJB1 HSS00299206
CDKN1C CLDN11
HN1 FAIM2
LIF MAK
LIF NM_001004321
C12orf5 AF086001
DUSP8 SOHLH1
Contig28383_RC AF147351
Contig28383_RC hCT2299530
QKI SLC16A1
Contig36728_RC FAM55C
CACNA2D3 SLC25A4
CACNA2D3 TPBG
CACNA2D3 AF052115
CACNA2D3 SUSD5
CACNA2D3 CCDC34
CACNA2D3 LRRC2
CACNA2D3 CBLN2
CACNA2D3 hCT2265402
VIL2 CTSH
VIL2 LRAT
NRXN1 Contig40516_RC
NRXN1 Contig51808_RC
NRXN1 CHL1
NRXN1 ZFPM2
NRXN1 KCND2
NRXN1 LNX1
C6orf137 SHC3
C6orf137 GPR153
C6orf137 AL390153
C6orf137 SCRT1
C6orf137 PDZD4
CENPA IRX2
PRG1 Contig40128_RC
PRG1 ZFP36
PRG1 THBD
TNFRSF11B WWTR1
HECW2 C10orf107
HECW2 NM_024592
HECW2 HSS00099763
HECW2 HSS00124010
Contig42599_RC Contig51566_RC
Contig42599_RC Contig35138_RC
Contig42599_RC AF086164
Contig42599_RC FAM81A
Contig42599_RC VPS41
Contig42599_RC HSS00296989
Contig41813_RC LHX2
Contig41813_RC SALL3
Contig41813_RC Contig57081_RC
Contig41813_RC TNS3
Contig41813_RC SLC1A4
Contig41813_RC HSS00062828
Contig41813_RC hCT1970811
Contig41813_RC NR2E1
Contig41813_RC SLC25A18
ALCAM H6PD
ALCAM CPLX2
ALCAM NM_020761
ALCAM TMED7
PGK1 EEF1E1
NM_019027 CD1D
NM_019027 BC026299
NM_019027 HSS00146632
GATM AK057857
GATM ARL6IP6
SOS1 AK056916
KLRC1 KLRC2
C8orf16 AL157458
NPC2 H3F3B
C1orf128 XM_063552
Contig53401_RC PIPOX
Contig53401_RC Contig49670_RC
Contig53401_RC SALL3
Contig53401_RC GLI3
Contig53401_RC Contig44111_RC
Contig53401_RC KLK10
ABCB4 CTLA4
KIAA1239 CNTN3
KIAA1239 Contig46789_RC
KIAA1239 ADAMTS3
KIAA1239 HSS00100143
KIAA1239 AK098543
PRKACB SACS
PRKACB AF131843
PRKACB DCK
PRKACB Contig41798_RC
PRKACB Contig42430_RC
PRKACB ENST00000297148
PRKACB CNOT7
PRKACB NM_024880
PRKACB LRRC7
