source	target
A1BG-AS	A1BG
A1BG-AS	ZNF497
A1BG-AS	ZSCAN22
A2M	LGMN
A2M	PTPRB
A4GALT	ATP7B
ABCA5	ABCA10
ABCA5	EPB41L5
ABCA9	ABCA6
ABCB1	EFHA2
ABCB1	SYTL2
ABCB1	TRAT1
ABCB1	YOD1
ABCB6	ATG9A
ABCB6	PLEKHH3
ABCB6	RBM38
ABCB8	ACCN3
ABCC1	C15orf17
ABCC1	SYNGAP1
ABCC2	ALDH8A1
ABCC4	ISPD
ABCD1	MICAL1
ABCD1	UCP2
ABCD1	ZC3H12D
ABCD2	SLC25A4
ABCD2	SNX25
ABCE1	C9orf41
ABCE1	ESF1
ABCE1	IPO7
ABCE1	LIMA1
ABCE1	LRPPRC
ABCE1	MAP7D3
ABCE1	NOC3L
ABCE1	PPAT
ABCE1	RG9MTD2
ABCE1	RPP40
ABHD10	TMEM106B
ABHD11	C7orf50
ABHD11	CHCHD10
ABHD11	CISD3
ABHD11	IQCE
ABHD11	SPR
ABHD11	STK32C
ABHD14A	DHCR24
ABHD14A	HIF1A
ABHD14A	MEF2A
ABHD14A	PAG1
ABHD2	MAP3K5
ABHD8	NUDT14
ABI2	JAM3
ABI2	LAMB2
ABI2	RUNX1
ABI2	VSIG10
ABI3	PHOSPHO1
ABLIM1	HPGD
ABLIM1	INPP4B
ABTB1	C17orf103
ACAD11	EFHC1
ACAD11	RRAGB
ACADSB	GATM
ACAP1	ATP2A3
ACBD4	CHD3
ACBD4	FBXO24
ACCN2	TRIB3
ACCN3	THBS2
ACER3	FAR1
ACOT11	C1orf175
ACOT11	FAM151A
ACOT2	CIB2
ACOT9	ANXA4
ACP2	HNRPLL
ACP6	BCL9
ACP6	ICA1
ACP6	SLC29A2
ACP6	ZNF662
ACPP	NAIP
ACPP	PLB1
ACPT	C17orf76
ACPT	CYP27B1
ACPT	NDRG4
ACSL4	ARFIP1
ACSM3	ACSM1
ACTB	DNAJC18
ACTN1	FLJ36031
ACTN1	SLC4A8
ACTR2	CYP2D7P1
ACTR2	LUZP6
ACTR2	RP2
ACTR2	SCNN1D
ACTR2	TPM2
ACVR2B	OPHN1
ACVR2B	XYLB
ACY1	ABHD14B
ADAM10	ITGB1
ADAM10	PANX1
ADAM22	ACO1
ADAM22	TMSB15B
ADAM6	ANKRD36BP2
ADAM6	C17orf28
ADAM6	C4B
ADAM6	FER1L4
ADAM6	IGJ
ADAM6	SDC1
ADAM9	GSR
ADAM9	TMEM55A
