source	interaction_type	target	status
RSE_00000753518	BN	MR1	non_indicated
RSE_00000753518	BN	SNORD54	non_indicated
RSE_00000772559	BN	CALCA	non_indicated
RSE_00000772559	BN	PSG1	non_indicated
RSE_00000772559	BN	EYA3	non_indicated
RSE_00000772559	BN	ENST00000356048	non_indicated
RSE_00000729974	BN	FDFT1	non_indicated
RSE_00000729974	BN	Contig21464_RC	non_indicated
RSE_00000729974	BN	Contig23804_RC	non_indicated
RSE_00000729974	BN	BC038209	non_indicated
SPIRE1	BN	TFF2	non_indicated
SPIRE1	BN	CNIH2	non_indicated
SPIRE1	BN	MSLN	non_indicated
SPIRE1	BN	AF085967	non_indicated
SPIRE1	BN	BE816138	non_indicated
HSP90AA5P	BN	ENST00000299294	non_indicated
HSP90AA5P	BN	NUP50	non_indicated
RSE_00000807432	BN	UPP1	non_indicated
RSE_00000807432	BN	MTHFD2	non_indicated
RSE_00000807432	BN	NP	non_indicated
SEMA4C	BN	IGHA1	non_indicated
SEMA4C	BN	TSPAN18	non_indicated
SEMA4C	BN	Contig35053_RC	non_indicated
RSE_00000602448	BN	BHMT2	non_indicated
EEF1A2	BN	KCNQ2	non_indicated
EEF1A2	BN	AK025909	non_indicated
EEF1A2	BN	TMEM178	non_indicated
EEF1A2	BN	PRRT1	non_indicated
GSTZ1	BN	HSD17B8	non_indicated
GSTZ1	BN	NM_001001681	non_indicated
AL157504	BN	BIRC3	non_indicated
HLA-B	BN	C10orf116	non_indicated
HLA-B	BN	HLA-DMA	non_indicated
HLA-B	BN	PSMB9	non_indicated
HLA-B	BN	HLA-A	non_indicated
HLA-B	BN	HLA-C	non_indicated
SLITRK3	BN	ATCAY	non_indicated
SLITRK3	BN	AK094521	non_indicated
KCNK9	BN	PLXNA2	non_indicated
MS4A4A	BN	F13A1	non_indicated
MAP1B	BN	AK055794	non_indicated
IL18	BN	IQGAP2	non_indicated
IL18	BN	Contig55221_RC	non_indicated
IL18	BN	RGS1	non_indicated
IL18	BN	LHFPL2	non_indicated
4-Mar	BN	C14orf162	non_indicated
4-Mar	BN	DIRAS1	non_indicated
4-Mar	BN	SEZ6	non_indicated
LZTS1	BN	NDST3	non_indicated
LZTS1	BN	KNDC1	non_indicated
LZTS1	BN	ANKRD24	non_indicated
FABP3	BN	SEZ6L	non_indicated
Contig56513_RC	BN	PLTP	non_indicated
Contig56513_RC	BN	IL12A	non_indicated
CTXN3	BN	NT5DC3	non_indicated
TTC9	BN	SORCS1	non_indicated
Contig56093_RC	BN	ANKRD37	non_indicated
DDX1	BN	VPS36	non_indicated
KLHDC5	BN	PTPRD	non_indicated
KLHDC5	BN	ZNF658	non_indicated
CYP4F2	BN	Contig6212_RC	non_indicated
MYOT	BN	TGFB3	non_indicated
MYOT	BN	hCT1970973	non_indicated
SERPINA3	BN	CD44	non_indicated
SERPINA3	BN	DTNA	non_indicated
SERPINA3	BN	RPS2	non_indicated
SERPINA3	BN	MAOB	non_indicated
SERPINA3	BN	TPST1	non_indicated
SERPINA3	BN	CP	non_indicated
SERPINA3	BN	TMBIM1	non_indicated
SERPINA3	BN	CHI3L2	non_indicated
SERPINA3	BN	OSMR	non_indicated
FREM3	BN	PNOC	non_indicated
FREM3	BN	AP1S1	non_indicated
FREM3	BN	MS4A8B	non_indicated
FREM3	BN	KCNH7	non_indicated
Contig13480_RC	BN	Contig40128_RC	non_indicated
Contig13480_RC	BN	EBI2	non_indicated
Contig13480_RC	BN	RGS1	non_indicated
GLS	BN	AL137310	non_indicated
GLS	BN	BSN	non_indicated
GLS	BN	AK094685	non_indicated
GLS	BN	XM_117397	non_indicated
TUBB3	BN	HMGCS1	non_indicated
RASGRP3	BN	TSPAN8	non_indicated
SYNGR2	BN	M6PRBP1	non_indicated
SYNGR2	BN	MYO1D	non_indicated
SYNGR2	BN	PTMA	non_indicated
SYNGR2	BN	LGALS3BP	non_indicated
CKMT1B	BN	CLTA	non_indicated
CKMT1B	BN	BEX2	non_indicated
CKMT1B	BN	hCT1829585.2	non_indicated
LMO2	BN	LMCD1	non_indicated
NM_007281	BN	HRSP12	non_indicated
NM_007281	BN	RGR	non_indicated
NPTX1	BN	Contig5818_RC	non_indicated
NPTX1	BN	NM_006477	non_indicated
NPTX1	BN	GPRIN1	non_indicated
NPTX1	BN	NM_175917	non_indicated
SGCA	BN	TBX1	non_indicated
EPS8	BN	SART2	non_indicated
EPS8	BN	CD302	non_indicated
EPS8	BN	Contig47146_RC	non_indicated
EPS8	BN	ADH1B	non_indicated
EPS8	BN	ZNF217	non_indicated
EPS8	BN	NM_133646	non_indicated
EPS8	BN	SLC40A1	non_indicated
EPS8	BN	PRKD3	non_indicated
FAM59B	BN	VIL2	non_indicated
FAM59B	BN	SALL3	non_indicated
FAM59B	BN	FZD9	non_indicated
FAM59B	BN	NM_014147	non_indicated
FAM59B	BN	ANKRD9	non_indicated
FAM59B	BN	INPPL1	non_indicated
FAM59B	BN	PSD2	non_indicated
FAM59B	BN	A2ML1	non_indicated
FAM59B	BN	KCNJ10	non_indicated
FAM59B	BN	COL5A3	non_indicated
Contig47779_RC	BN	FABP6	non_indicated
C11orf41	BN	KHDRBS3	non_indicated
C11orf41	BN	RAB15	non_indicated
C11orf41	BN	CCDC4	non_indicated
C11orf41	BN	Contig30499_RC	non_indicated
C11orf41	BN	KCNV1	non_indicated
C11orf41	BN	MUM1L1	non_indicated
C11orf41	BN	AK095543	non_indicated
C11orf41	BN	DPYS	non_indicated
GAS7	BN	COPG2	non_indicated
Contig46677_RC	BN	AL109716	non_indicated
Contig46677_RC	BN	BC037827	non_indicated
Contig31905_RC	BN	D83543	non_indicated
CAPG	BN	NPC2	non_indicated
PHF19	BN	CYP4X1	non_indicated
PHF19	BN	hCT1824065.2	non_indicated
GPRC5C	BN	BTG2	non_indicated
GPRC5C	BN	CDH23	non_indicated
AL109781	BN	NEGR1	non_indicated
AL109781	BN	Contig54544_RC	non_indicated
AL109781	BN	CHRM3	non_indicated
AL109781	BN	CDC42	non_indicated
AL109781	BN	AK054975	non_indicated
AL109781	BN	AK095761	non_indicated
ATP2B2	BN	CALB1	non_indicated
ATP2B2	BN	PRSS16	non_indicated
ATP2B2	BN	IFI16	non_indicated
ATP2B2	BN	AL832252	non_indicated
GADD45B	BN	ZFP36	non_indicated
GADD45B	BN	SAT1	non_indicated
GADD45B	BN	Contig4595	non_indicated
GADD45B	BN	THBS1	non_indicated
GADD45B	BN	FOS	non_indicated
GADD45B	BN	VASN	non_indicated
GADD45B	BN	NM_013332	non_indicated
GADD45B	BN	SNF1LK	non_indicated
GADD45B	BN	FOSL2	non_indicated
GADD45B	BN	CSDA	non_indicated
PAIP1	BN	FAM102B	non_indicated
PAIP1	BN	AL041224_RC	non_indicated
PAIP1	BN	Contig41698_RC	non_indicated
PAIP1	BN	STXBP5L	non_indicated
VAMP2	BN	Contig46747_RC	non_indicated
SPATA20	BN	EPN3	non_indicated
SPATA20	BN	C1orf172	non_indicated
ERBB3	BN	PLEKHH1	non_indicated
ERBB3	BN	AK022043	non_indicated
ERBB3	BN	AK094729	non_indicated
ERBB3	BN	AL832562	non_indicated
Contig39408_RC	BN	AK021439	non_indicated
PALMD	BN	PROCR	non_indicated
PALMD	BN	VWF	non_indicated
PALMD	BN	PRSS23	non_indicated
PALMD	BN	ID1	non_indicated
PALMD	BN	SOX18	non_indicated
GLUD2	BN	GPC5	non_indicated
GLUD2	BN	SUCLG2	non_indicated
GLUD2	BN	AK3	non_indicated
GLUD2	BN	ATP13A4	non_indicated
GLUD2	BN	SERPINE2	non_indicated
MPPED1	BN	NRSN1	non_indicated
MPPED1	BN	HYAL3	non_indicated
MPPED1	BN	OSBPL3	non_indicated
MPPED1	BN	PLCL2	non_indicated
TRIM38	BN	AK027848	non_indicated
Contig26081_RC	BN	Contig46595_RC	non_indicated
Contig26081_RC	BN	FGD6	non_indicated
Contig31928_RC	BN	Contig34605_RC	non_indicated
CALD1	BN	CAV1	non_indicated
CALD1	BN	RBPMS	non_indicated
CALD1	BN	TMEM169	non_indicated
FAM78B	BN	KIAA0513	non_indicated
FAM78B	BN	KCNC2	non_indicated
C9orf4	BN	AK092114	non_indicated
AB002361	BN	NM_014890	non_indicated
AB002361	BN	SEMA4D	non_indicated
AB002361	BN	PLA2G4C	non_indicated
Contig23421_RC	BN	ODZ3	non_indicated
Contig23421_RC	BN	AL050175	non_indicated
Contig23421_RC	BN	ZMAT4	non_indicated
Contig23421_RC	BN	PAK7	non_indicated
IGSF6	BN	HSS00001998	non_indicated
C20orf175	BN	GPR30	non_indicated
C20orf175	BN	HIGD1B	non_indicated
C20orf175	BN	HSS00143687	non_indicated
NPY1R	BN	PLAC2	non_indicated
NPY1R	BN	hCT1642584.2	non_indicated
FBXO2	BN	MRAS	non_indicated
FBXO2	BN	RND2	non_indicated
FBXO2	BN	SLC4A11	non_indicated
FBXO2	BN	AQP6	non_indicated
FBXO2	BN	MYBPH	non_indicated
S100P	BN	CD177	non_indicated
IL1R1	BN	BAIAP2L1	non_indicated
IL1R1	BN	TFPI	non_indicated
LDHA	BN	MRPL33	non_indicated
LDHA	BN	SLC2A14	non_indicated
LDHA	BN	hCT1970968.1	non_indicated
LDHA	BN	NUDT4P1	non_indicated
JUNB	BN	DUSP1	non_indicated
JUNB	BN	HES1	non_indicated
JUNB	BN	SNF1LK	non_indicated
CAV1	BN	CAV2	non_indicated
CAV1	BN	Contig8861_RC	non_indicated
