source target	status
PLCD1 AK021634	non_indicated
RSE_00000729974 PNPT1	non_indicated
RSE_00000729974 PGM5P1	non_indicated
SPIRE1 IKZF5	non_indicated
HSP90AA5P HSP90AA1	non_indicated
RSE_00000807432 NP	non_indicated
RSE_00000807432 TRA@	non_indicated
RSE_00000807432 HSS00051214	non_indicated
RSE_00000807432 hCT2328309	non_indicated
SEMA4C HSS00299143	non_indicated
RSE_00000551358 XM_169393	non_indicated
RSE_00000551358 XM_172345	non_indicated
PTK7 AK023134	non_indicated
RAC3 NPM3	non_indicated
AL157504 TRIB3	non_indicated
AL157504 ARRDC3	non_indicated
HLA-B XM_167124	non_indicated
GPR160 CYP2S1	non_indicated
MS4A4A MRC1	non_indicated
MAP1B RTN4	non_indicated
MAP1B SNAP25	non_indicated
MAP1B CALM2	non_indicated
IL18 COL8A2	non_indicated
MARCH4 PLCH2	non_indicated
LZTS1 DUSP8	non_indicated
LZTS1 RHOBTB2	non_indicated
LZTS1 HSS00405184	non_indicated
LZTS1 TNFRSF25	non_indicated
FABP3 ENST00000267130	non_indicated
FABP3 hCT2266787	non_indicated
Contig56513_RC PDLIM3	non_indicated
Contig56513_RC TLR4	non_indicated
CTXN3 GRB14	non_indicated
Contig33077 BC022881	non_indicated
KLHDC5 EPM2AIP1	non_indicated
KLHDC5 STAT1	non_indicated
KLHDC5 PTPRD	non_indicated
KLHDC5 Contig43750_RC	non_indicated
KLHDC5 ARMC1	non_indicated
KLHDC5 HSS00095297	non_indicated
KLHDC5 hCT2323868	non_indicated
MYOT RNF130	non_indicated
MYOT Contig36931_RC	non_indicated
MYOT FRYL	non_indicated
SERPINA3 EDN3	non_indicated
SERPINA3 C6orf145	non_indicated
SERPINA3 ALPK1	non_indicated
SERPINA3 ADAMTS9	non_indicated
SERPINA3 TRIM47	non_indicated
Contig13480_RC Contig40128_RC	non_indicated
TUBB3 C5orf16	non_indicated
TUBB3 AK096556	non_indicated
RASGRP3 QDPR	non_indicated
TFRC ZNF528	non_indicated
SYNGR2 LMNA	non_indicated
SYNGR2 SPP1	non_indicated
SYNGR2 LASS2	non_indicated
SYNGR2 RPS6KA1	non_indicated
SYNGR2 SPSB1	non_indicated
SYNGR2 C1orf38	non_indicated
SYNGR2 TIMP2	non_indicated
SYNGR2 RALGDS	non_indicated
SYNGR2 EFNA1	non_indicated
SYNGR2 SH3BP4	non_indicated
SYNGR2 LGALS3BP	non_indicated
SYNGR2 BC039097	non_indicated
SYNGR2 SORT1	non_indicated
CKMT1B SEZ6L2	non_indicated
CKMT1B ACOT7	non_indicated
CKMT1B CLTA	non_indicated
CKMT1B GOT1	non_indicated
CKMT1B ROPN1L	non_indicated
CKMT1B GALNT14	non_indicated
KLF10 SFTPC	non_indicated
KLF10 hCT1971392.1	non_indicated
LMO2 HLX1	non_indicated
ARHGAP23 FAM102A	non_indicated
ARHGAP23 PCBP4	non_indicated
CASQ2 CRIP1	non_indicated
C11orf41 PRR11	non_indicated
C11orf41 HAS1	non_indicated
C11orf41 AK000877	non_indicated
C11orf41 IER5	non_indicated
C11orf41 KBTBD9	non_indicated
C11orf41 C1orf97	non_indicated
C11orf41 AJAP1	non_indicated
C11orf41 HESX1	non_indicated
C11orf41 DPYS	non_indicated
Contig46677_RC Contig46351_RC	non_indicated
Contig46677_RC ABCD2	non_indicated
ATP1A3 NEFL	non_indicated
ATP1A3 CGNL1	non_indicated
ATP1A3 SGPP2	non_indicated
PHF19 SELL	non_indicated
AZIN1 C6orf211	non_indicated
AZIN1 CHAC2	non_indicated
AL109781 CDH8	non_indicated
AL109781 NAPB	non_indicated
AL109781 BTBD14A	non_indicated
AL109781 MCHR2	non_indicated
SNCG HBQ1	non_indicated
SNCG LPA	non_indicated
SNCG ACOT4	non_indicated
GADD45B C13orf33	non_indicated
ERBB3 AFMID	non_indicated
ERBB3 NASP	non_indicated
ERBB3 HSS00001975	non_indicated
ERBB3 RP11-139H14.4	non_indicated
AL080082 ZNF404	non_indicated
GLUD2 ALDH1A1	non_indicated
GLUD2 AGPAT3	non_indicated
GLUD2 GLUD1	non_indicated
GLUD2 SERPINE2	non_indicated
Contig26081_RC HSS00291630	non_indicated
CALD1 SMAD6	non_indicated
C20orf175 WFIKKN1	non_indicated
C20orf175 AL832775	non_indicated
NPY1R FAP	non_indicated
Contig35424_RC ACAD11	non_indicated
Contig35424_RC HSS00008674	non_indicated
Contig40516_RC MCF2	non_indicated
LDHA AF007149	non_indicated
LDHA KPNA2	non_indicated
LDHA hCT1970968.1	non_indicated
JUNB NR4A1	non_indicated
JUNB FOS	non_indicated
CAV1 CAV2	non_indicated
CAV1 AF074993	non_indicated
ABCB1 ITM2A	non_indicated
ABCB1 U79300	non_indicated
Contig48473_RC ALDH1L1	non_indicated
SPAG5 SESN2	non_indicated
SPAG5 FRAT2	non_indicated
ABAT Contig436	non_indicated
ABAT AJ227908	non_indicated
ABAT WBSCR16	non_indicated
ABAT HSS00041590	non_indicated
CNTN6 Contig46942_RC	non_indicated
CNTN6 TDRD6	non_indicated
CNTN6 CCBE1	non_indicated
CNTN6 PLCH1	non_indicated
CNTN6 C7orf16	non_indicated
CNTN6 TRPC6	non_indicated
CNTN6 DHRS7C	non_indicated
CNTN6 FAM80A	non_indicated
CNTN6 KLK7	non_indicated
CNTN6 BC041456	non_indicated
CNTN6 AK094767	non_indicated
MIRN101-1 HSS00095236	non_indicated
LMNA MVP	non_indicated
LMNA H2AFJ	non_indicated
CCR6 HSS00387890	non_indicated
GPX3 AK000451	non_indicated
DNAJB1 SERPINH1	non_indicated
DNAJB1 HSS00299206	non_indicated
CDKN1C CLDN11	non_indicated
HN1 FAIM2	non_indicated
LIF MAK	non_indicated
LIF NM_001004321	non_indicated
C12orf5 AF086001	non_indicated
DUSP8 SOHLH1	non_indicated
Contig28383_RC AF147351	non_indicated
Contig28383_RC hCT2299530	non_indicated
QKI SLC16A1	non_indicated
Contig36728_RC FAM55C	non_indicated
CACNA2D3 SLC25A4	non_indicated
CACNA2D3 TPBG	non_indicated
CACNA2D3 AF052115	non_indicated
CACNA2D3 SUSD5	non_indicated
CACNA2D3 CCDC34	non_indicated
CACNA2D3 LRRC2	non_indicated
CACNA2D3 CBLN2	non_indicated
CACNA2D3 hCT2265402	non_indicated
VIL2 CTSH	non_indicated
VIL2 LRAT	non_indicated
NRXN1 Contig40516_RC	non_indicated
NRXN1 Contig51808_RC	non_indicated
NRXN1 CHL1	non_indicated
NRXN1 ZFPM2	non_indicated
NRXN1 KCND2	non_indicated
NRXN1 LNX1	non_indicated
C6orf137 SHC3	non_indicated
C6orf137 GPR153	non_indicated
C6orf137 AL390153	non_indicated
C6orf137 SCRT1	non_indicated
C6orf137 PDZD4	non_indicated
CENPA IRX2	non_indicated
PRG1 Contig40128_RC	non_indicated
PRG1 ZFP36	non_indicated
PRG1 THBD	non_indicated
TNFRSF11B WWTR1	non_indicated
HECW2 C10orf107	non_indicated
HECW2 NM_024592	non_indicated
HECW2 HSS00099763	non_indicated
HECW2 HSS00124010	non_indicated
Contig42599_RC Contig51566_RC	non_indicated
Contig42599_RC Contig35138_RC	non_indicated
Contig42599_RC AF086164	non_indicated
Contig42599_RC FAM81A	non_indicated
Contig42599_RC VPS41	non_indicated
Contig42599_RC HSS00296989	non_indicated
Contig41813_RC LHX2	non_indicated
Contig41813_RC SALL3	non_indicated
Contig41813_RC Contig57081_RC	non_indicated
Contig41813_RC TNS3	non_indicated
Contig41813_RC SLC1A4	non_indicated
Contig41813_RC HSS00062828	non_indicated
Contig41813_RC hCT1970811	non_indicated
Contig41813_RC NR2E1	non_indicated
Contig41813_RC SLC25A18	non_indicated
ALCAM H6PD	non_indicated
ALCAM CPLX2	non_indicated
ALCAM NM_020761	non_indicated
ALCAM TMED7	non_indicated
PGK1 EEF1E1	non_indicated
NM_019027 CD1D	non_indicated
NM_019027 BC026299	non_indicated
NM_019027 HSS00146632	non_indicated
GATM AK057857	non_indicated
GATM ARL6IP6	non_indicated
SOS1 AK056916	RASopathy_gene
KLRC1 KLRC2	non_indicated
C8orf16 AL157458	non_indicated
NPC2 H3F3B	non_indicated
C1orf128 XM_063552	non_indicated
Contig53401_RC PIPOX	non_indicated
Contig53401_RC Contig49670_RC	non_indicated
Contig53401_RC SALL3	non_indicated
Contig53401_RC GLI3	non_indicated
Contig53401_RC Contig44111_RC	non_indicated
Contig53401_RC KLK10	non_indicated
ABCB4 CTLA4	non_indicated
KIAA1239 CNTN3	non_indicated
KIAA1239 Contig46789_RC	non_indicated
KIAA1239 ADAMTS3	non_indicated
KIAA1239 HSS00100143	non_indicated
KIAA1239 AK098543	non_indicated
PRKACB SACS	non_indicated
PRKACB AF131843	non_indicated
PRKACB DCK	non_indicated
PRKACB Contig41798_RC	non_indicated
PRKACB Contig42430_RC	non_indicated
PRKACB ENST00000297148	non_indicated
PRKACB CNOT7	non_indicated
PRKACB NM_024880	non_indicated
PRKACB LRRC7	non_indicated
PRKACB RBM18	non_indicated
PRKACB C14orf129	non_indicated
PRKACB MTMR6	non_indicated
PRKACB MBNL2	non_indicated
PRKACB GPR137C	non_indicated
EPM2AIP1 RIOK3	non_indicated
EPM2AIP1 CDC14B	non_indicated
