source	interaction_type	target	status
MAPK1	bn	TMEM45B	non_indicated
MAPK1	bn	BASP1	non_indicated
PXK	bn	F5	non_indicated
PXK	bn	MANSC1	non_indicated
PXK	bn	KCNH7	non_indicated
CCDC65	bn	KIF21A	non_indicated
PRSS33	bn	CLC	non_indicated
PRSS33	bn	CCL23	non_indicated
PRSS33	bn	IL5RA	non_indicated
PRSS33	bn	SPNS3	non_indicated
C4orf33	bn	EWSR1	non_indicated
SLAMF6	bn	PPP1R16B	non_indicated
SLAMF6	bn	USP28	non_indicated
GPBAR1	bn	CST3	non_indicated
GPBAR1	bn	OAS1	non_indicated
GPBAR1	bn	SYNGR1	non_indicated
GPBAR1	bn	C3	non_indicated
GPBAR1	bn	ASCL2	non_indicated
GPBAR1	bn	FOLR2	non_indicated
VTI1A	bn	SRGAP2P2	non_indicated
LETM2	bn	TEK	non_indicated
LETM2	bn	WLS	non_indicated
NLRC4	bn	ZDHHC19	non_indicated
FAM223A	bn	ZSCAN16	non_indicated
JAK1	bn	GON4L	non_indicated
JAK1	bn	SEC14L1	non_indicated
JAK1	bn	TACC1	non_indicated
JAK1	bn	MLL5	non_indicated
JAK1	bn	LOC285178	non_indicated
JAK1	bn	DOCK8	non_indicated
JAK1	bn	LCP2	non_indicated
RFWD2	bn	LOC100505812	non_indicated
RFWD2	bn	MCMBP	non_indicated
RFWD2	bn	GLIPR2	non_indicated
POLR2J2	bn	LOC441259	non_indicated
POLR2J2	bn	RASA4	non_indicated
POLR2J2	bn	POLR2J4	non_indicated
LOC441259	bn	NFATC3	non_indicated
ARL11	bn	ASAP1-IT1	non_indicated
CASC4	bn	FAM91A2	non_indicated
CASC4	bn	LOC100506032	non_indicated
CASC4	bn	NFAT5	non_indicated
LOC142937	bn	LOC494150	non_indicated
ALKBH5	bn	NDC80	non_indicated
ALKBH5	bn	C20orf11	non_indicated
SH2D1B	bn	AKR1C3	non_indicated
SH2D1B	bn	LOC100130872	non_indicated
SH2D1B	bn	LIM2	non_indicated
SH2D1B	bn	KLRF1	non_indicated
SH2D1B	bn	MIR181A2HG	non_indicated
RASEF	bn	LOC399491	non_indicated
RASEF	bn	SRGAP2C	non_indicated
OXER1	bn	RPH3AL	non_indicated
BRWD3	bn	ANGPT1	non_indicated
ZNF555	bn	BACE1	non_indicated
SPAG11A	bn	H19	non_indicated
C9orf84	bn	MIR21	non_indicated
DPCD	bn	ADD2	non_indicated
MED25	bn	KIAA1257	non_indicated
MED25	bn	CACNB4	non_indicated
C12orf66	bn	SPAG16	non_indicated
DNAJA3	bn	CCT4	non_indicated
DNAJA3	bn	DIEXF	non_indicated
DNAJA3	bn	COQ10A	non_indicated
DNAJA3	bn	LOC283713	non_indicated
PHF21A	bn	EXT1	non_indicated
FAM126B	bn	IAH1	non_indicated
HP1BP3	bn	2-Sep	non_indicated
HP1BP3	bn	GPM6B	non_indicated
HP1BP3	bn	CDC14A	non_indicated
HP1BP3	bn	DCAF8	non_indicated
CCRN4L	bn	UBE2C	non_indicated
CCRN4L	bn	PCBP2	non_indicated
CCRN4L	bn	EIF5	non_indicated
CYTH4	bn	LINC00528	non_indicated
CYTH4	bn	SEC24D	non_indicated
SNX29P1	bn	TCL1B	non_indicated
SNX29P1	bn	HVCN1	non_indicated
FBXO7	bn	PIP4K2A	non_indicated
FBXO7	bn	E2F2	non_indicated
LINS	bn	VPS13C	non_indicated
CARD8	bn	MPZL2	non_indicated
CARD8	bn	TGFBR2	non_indicated
CARD8	bn	LRIF1	non_indicated
CARD8	bn	ARRDC3	non_indicated
TSC22D4	bn	TYMP	non_indicated
TSC22D4	bn	LOC148696	non_indicated
CYB5R3	bn	ARF4	non_indicated
CYB5R3	bn	RGS16	non_indicated
HNRPDL	bn	FAM76B	non_indicated
ZBED1	bn	KCNE3	non_indicated
RASSF5	bn	STK38	non_indicated
MOCS1	bn	ADAMTS2	non_indicated
MOCS1	bn	FAM27E3	non_indicated
MOCS1	bn	OLAH	non_indicated
FGD3	bn	NEDD9	non_indicated
FGD3	bn	C2orf68	non_indicated
FGD3	bn	DOCK8	non_indicated
FGD3	bn	EZH1	non_indicated
FAM153B	bn	ZNF587	non_indicated
PRR5L	bn	CMKLR1	non_indicated
SLC2A4RG	bn	ZBTB46	non_indicated
6-Sep	bn	DDX18	non_indicated
6-Sep	bn	ILF3	non_indicated
6-Sep	bn	PRRC1	non_indicated
6-Sep	bn	LOC100507110	non_indicated
ZAP70	bn	ID2	non_indicated
TREML1	bn	E2F1	non_indicated
TREML1	bn	GP1BB	non_indicated
TREML1	bn	PCYT1B	non_indicated
AGTRAP	bn	TAPBP	non_indicated
AGTRAP	bn	CYBA	non_indicated
AGTRAP	bn	GADD45B	non_indicated
AGTRAP	bn	ANKRD33B	non_indicated
CCL5	bn	GNAO1	non_indicated
CD79A	bn	SYNPO	non_indicated
CD79A	bn	CD79B	non_indicated
CD79A	bn	BLK	non_indicated
CD79A	bn	LARGE	non_indicated
CD79A	bn	CXXC5	non_indicated
CD79A	bn	WDR34	non_indicated
ZFP82	bn	ZNF527	non_indicated
RHOA	bn	YIPF5	non_indicated
SAMD14	bn	RAB6B	non_indicated
PDHA1	bn	ERVK13-1	non_indicated
MGC21881	bn	LOC728903	non_indicated
CRTAP	bn	LY86	non_indicated
CRTAP	bn	PNPO	non_indicated
CRTAP	bn	GIMAP8	non_indicated
GON4L	bn	MAP3K13	non_indicated
VIM	bn	ADAM17	non_indicated
VIM	bn	LOC441402	non_indicated
LOC100506777	bn	SIK3	non_indicated
CSNK1A1	bn	YTHDC1	non_indicated
TTN-AS1	bn	LOC100506866	non_indicated
MTSS1L	bn	LARP7	non_indicated
LOC100506523	bn	TRIM13	non_indicated
LOC100506523	bn	ZMYM5	non_indicated
LOC100506523	bn	CCNE2	non_indicated
LOC100506523	bn	APC	non_indicated
LOC100506523	bn	ANP32A-IT1	non_indicated
LOC100506523	bn	C10orf118	non_indicated
LOC100506523	bn	KCNRG	non_indicated
LOC100506523	bn	CD53	non_indicated
VCPIP1	bn	TRIM6	non_indicated
LOC284889	bn	CUTA	non_indicated
LOC284889	bn	CHCHD10	non_indicated
CNPY3	bn	NINJ1	non_indicated
CNPY3	bn	EEPD1	non_indicated
LOC284513	bn	GNRH1	non_indicated
LOC439914	bn	PLA2G4C	non_indicated
DLEU2	bn	ZNF350	non_indicated
KCP	bn	GSTO1	non_indicated
KCP	bn	KDELR1	non_indicated
KCP	bn	LGALS1	non_indicated
KCP	bn	DDA1	non_indicated
APOL6	bn	GBP2	non_indicated
ZNF587	bn	ZNF418	non_indicated
MYCBP2	bn	NASP	non_indicated
CCDC147	bn	PDE6H	non_indicated
RAF1	bn	BCL2L11	RASopathy_gene
RAF1	bn	ZSCAN30	RASopathy_gene
RAF1	bn	GPR143	RASopathy_gene
RAF1	bn	VNN3	RASopathy_gene
RAF1	bn	JMJD1C	RASopathy_gene
RAF1	bn	SORL1	RASopathy_gene
RAF1	bn	RBM5	RASopathy_gene
RAF1	bn	LOC100130175	RASopathy_gene
RAF1	bn	LINC00173	RASopathy_gene
RAF1	bn	LOC646014	RASopathy_gene
RAF1	bn	LOC100507006	RASopathy_gene
RAF1	bn	STK19	RASopathy_gene
PPP2R5C	bn	SLC6A16	non_indicated
PPP2R5C	bn	TRAF3IP2	non_indicated
PPP2R5C	bn	NKTR	non_indicated
PPP2R5C	bn	FNBP1	non_indicated
AFG3L2	bn	VWA5A	non_indicated
GSTO1	bn	GGCX	non_indicated
TCTE3	bn	LOC340544	non_indicated
STRAP	bn	SYMPK	non_indicated
STRAP	bn	ZNF551	non_indicated
STRAP	bn	PBRM1	non_indicated
LOC399491	bn	C16orf62	non_indicated
LOC399491	bn	POGZ	non_indicated
LOC399491	bn	LOC100505915	non_indicated
TAF11	bn	LOC100190986	non_indicated
LOC439911	bn	ARHGEF40	non_indicated
FTX	bn	LOC100506599	non_indicated
