source	target	status
SRSF10	FANCD2	non_indicated
FANCD2	C18orf54	non_indicated
DKC1	CSPP1	non_indicated
DKC1	HMGB3P1	non_indicated
DKC1	LYAR	non_indicated
CSPP1	YLPM1	non_indicated
CSPP1	IWS1	non_indicated
CSPP1	ESF1	non_indicated
CSPP1	RBM17	non_indicated
LYAR	TRMT6	non_indicated
NT5C3	PCGF5	non_indicated
NT5C3	USP38	non_indicated
NT5C3	RSAD2	non_indicated
NT5C3	FGD6	non_indicated
PCGF5	ZDHHC2	non_indicated
PCGF5	LOC338758	non_indicated
USP38	CYB5R4	non_indicated
USP38	IFIT5	non_indicated
USP38	CDC42SE2	non_indicated
RSAD2	PKDCC	non_indicated
C16orf48	S100A6	non_indicated
NNT	FAM188A	non_indicated
NNT	UBL3	non_indicated
FAM188A	FKBP1A	non_indicated
FAM188A	RAB28	non_indicated
UBL3	SMPDL3A	non_indicated
UBL3	GNA13	non_indicated
UBL3	RNF138	non_indicated
UBL3	CITED2	non_indicated
UBL3	SUV420H1	non_indicated
UBL3	SLC17A5	non_indicated
UBL3	MTM1	non_indicated
KRT8	CALML4	non_indicated
KRT8	GCNT3	non_indicated
KRT8	KRT18	non_indicated
KRT8	KRT19	non_indicated
CALML4	S100A14	non_indicated
GCNT3	SGPP2	non_indicated
GCNT3	RHOF	non_indicated
MTDH	KDM4B	non_indicated
CASP1	CBR3	non_indicated
CASP1	HLA-DRB4	non_indicated
CASP1	CARD16	non_indicated
CBR3	NMT2	non_indicated
CARD16	RASGEF1B	non_indicated
REEP3	CCDC126	non_indicated
REEP3	KLHL28	non_indicated
REEP3	ADC	non_indicated
CCDC126	ORC1	non_indicated
ADC	LGALS9	non_indicated
ADC	ASAP3	non_indicated
SACS	EBF1	non_indicated
SACS	WHAMMP2	non_indicated
SACS	MAP4K4	non_indicated
SACS	ZCCHC11	non_indicated
EBF1	ZFPM2	non_indicated
EBF1	FAM167A	non_indicated
EBF1	NOTCH3	non_indicated
EBF1	LIX1L	non_indicated
EBF1	GLI3	non_indicated
MAP4K4	LYST	non_indicated
MAP4K4	ADAM23	non_indicated
MAP4K4	SYNE1	non_indicated
MAP4K4	ARHGAP24	non_indicated
MAP4K4	RAI14	non_indicated
MAP4K4	RNF141	non_indicated
KIAA1919	STAG3L1	non_indicated
STAG3L1	RDH5	non_indicated
NAT2	SOCS6	non_indicated
NAT2	NT5DC1	non_indicated
NAT2	CAT	non_indicated
SOCS6	SLC2A13	non_indicated
NT5DC1	C6orf120	non_indicated
NT5DC1	BBS12	non_indicated
NT5DC1	KLHL13	non_indicated
NT5DC1	DYNC2LI1	non_indicated
NT5DC1	SDC3	non_indicated
CAT	PDK4	non_indicated
CAT	CDC14B	non_indicated
CYYR1	TEK	non_indicated
CYYR1	PLCB1	non_indicated
CYYR1	ELTD1	non_indicated
CYYR1	PALMD	non_indicated
CYYR1	CLEC1A	non_indicated
CYYR1	FLT1	non_indicated
ELTD1	MMRN2	non_indicated
ELTD1	KIAA1462	non_indicated
CLEC1A	HIP1	non_indicated
FLT1	APOLD1	non_indicated
VSIG2	KLK3	non_indicated
VSIG2	ALPI	non_indicated
VSIG2	B4GALNT3	non_indicated
VSIG2	ESRP2	non_indicated
VSIG2	COX6B2	non_indicated
VSIG2	RALBP1	non_indicated
VSIG2	DHRS7C	non_indicated
VSIG2	DENND2A	non_indicated
VSIG2	GPER	non_indicated
VSIG2	CA4	non_indicated
VSIG2	CASC4	non_indicated
VSIG2	PARVA	non_indicated
VSIG2	FAM59B	non_indicated
KLK3	KLK1	non_indicated
ALPI	SLC5A11	non_indicated
ALPI	CIDEC	non_indicated
ALPI	FAM151A	non_indicated
B4GALNT3	PITPNM3	non_indicated
B4GALNT3	SCN8A	non_indicated
B4GALNT3	EML2	non_indicated
B4GALNT3	DIAPH2	non_indicated
B4GALNT3	IL20RA	non_indicated
B4GALNT3	MUC12	non_indicated
B4GALNT3	AGSK1	non_indicated
B4GALNT3	TLE1	non_indicated
B4GALNT3	GAL3ST2	non_indicated
B4GALNT3	EPS8L1	non_indicated
B4GALNT3	PYGB	non_indicated
B4GALNT3	INPP5F	non_indicated
B4GALNT3	LOC100505565	non_indicated
B4GALNT3	BSPRY	non_indicated
B4GALNT3	RHOV	non_indicated
B4GALNT3	GIPC1	non_indicated
B4GALNT3	ALS2CL	non_indicated
ESRP2	TLN2	non_indicated
ESRP2	SPATA20	non_indicated
ESRP2	SAV1	non_indicated
ESRP2	ATP6V1B2	non_indicated
ESRP2	SCNN1A	non_indicated
ESRP2	PRRT3-AS1	non_indicated
ESRP2	ELOVL6	non_indicated
ESRP2	EPN3	non_indicated
ESRP2	AP2B1	non_indicated
RALBP1	PCDH18	non_indicated
DENND2A	TEX11	non_indicated
DENND2A	ITM2C	non_indicated
CA4	LOC646627	non_indicated
PARVA	HSPA12A	non_indicated
FAM59B	SLC37A2	non_indicated
ZNF521	RUNX1T1	non_indicated
ZNF521	CD34	non_indicated
ZNF521	MYCT1	non_indicated
ZNF521	FGD5	non_indicated
RUNX1T1	SLC9A9	non_indicated
CD34	NUAK1	non_indicated
MYCT1	JAM2	non_indicated
MYCT1	NR2F1	non_indicated
FGD5	C11orf96	non_indicated
FGD5	COL27A1	non_indicated
FGD5	ATP8B3	non_indicated
FGD5	LOXL1	non_indicated
DAG1	SLC7A6OS	non_indicated
SLC7A6OS	NOL12	non_indicated
SLC7A6OS	RPUSD3	non_indicated
SLC7A6OS	ERVK13-1	non_indicated
SLC7A6OS	CHKB	non_indicated
