source	target	status
KLHL17	MIR3064	non_indicated
KLHL17	CAPN10	non_indicated
AGRN	TECPR2	non_indicated
TNFRSF4	TNFRSF18	non_indicated
FAM132A	FAM211B	non_indicated
SCNN1D	SLC25A45	non_indicated
SCNN1D	ENO3	non_indicated
ACAP3	MICALL2	non_indicated
MXRA8	EFS	non_indicated
MXRA8	MRC2	non_indicated
MXRA8	SCARF2	non_indicated
MXRA8	RNF215	non_indicated
CCNL2	CSAD	non_indicated
CCNL2	ITGA7	non_indicated
CCNL2	GOLGA8A	non_indicated
CCNL2	SGSM2	non_indicated
CCNL2	P2RX1	non_indicated
CCNL2	POFUT2	non_indicated
VWA1	NRSN2	non_indicated
ATAD3B	ASMTL-AS1	non_indicated
MIB2	C11orf35	non_indicated
PRKCZ	IGBP1P1	non_indicated
C1orf86	SCAND1	non_indicated
SKI	CXCL12	non_indicated
SKI	BCL9L	non_indicated
SKI	PDPR	non_indicated
SKI	ZBTB4	non_indicated
SKI	DAAM2	non_indicated
LOC115110	LOC100133445	non_indicated
LOC115110	LOC388152	non_indicated
ARHGEF16	ELMO3	non_indicated
ARHGEF16	SPIRE2	non_indicated
ARHGEF16	SH2D3A	non_indicated
ARHGEF16	HOOK2	non_indicated
ARHGEF16	FAM83E	non_indicated
TPRG1L	FAM213A	non_indicated
TPRG1L	MMP28	non_indicated
TP73-AS1	CRTC1	non_indicated
CEP104	RBBP5	non_indicated
KCNAB2	VAV1	non_indicated
KCNAB2	GMIP	non_indicated
KCNAB2	TRIB2	non_indicated
KCNAB2	PPM1M	non_indicated
GPR153	SYT7	non_indicated
ESPN	DHRS3	non_indicated
ESPN	TMEM82	non_indicated
ESPN	PRR13	non_indicated
ESPN	EEF1E1	non_indicated
ESPN	MSANTD3	non_indicated
PLEKHG5	DLL1	non_indicated
PLEKHG5	DTX2P1-UPK3BP1-PMS2P11	non_indicated
KLHL21	SLC35E3	non_indicated
KLHL21	COL6A1	non_indicated
DNAJC11	PEX10	non_indicated
PER3	TEF	non_indicated
PER3	NR1D2	non_indicated
ERRFI1	F3	non_indicated
ERRFI1	LDLR	non_indicated
ERRFI1	CCRN4L	non_indicated
ERRFI1	SPRY4	non_indicated
RERE	ZMYND8	non_indicated
PIK3CD	AGAP2	non_indicated
PIK3CD	ITGAL	non_indicated
PIK3CD	FGD3	non_indicated
PIK3CD	SASH3	non_indicated
LZIC	MRPL45P2	non_indicated
LZIC	RSPH3	non_indicated
UBE4B	KDM4A	non_indicated
UBE4B	MIA3	non_indicated
UBE4B	PCYOX1	non_indicated
UBE4B	GTF2I	non_indicated
KIF1B	ARHGAP21	non_indicated
KIF1B	ZMIZ1	non_indicated
KIF1B	LRP6	non_indicated
CASZ1	GUCY2C	non_indicated
CASZ1	EPPK1	non_indicated
CASZ1	PTPRD	non_indicated
