source target	status
LOC100506373 HOXB9	non_indicated
WDR59 GSTT1	non_indicated
LOC100652849 PBLD	non_indicated
PCDHGA1 ZBTB49	non_indicated
DKC1 EPHB2	non_indicated
SNX17 HAUS7	non_indicated
NT5C3 KDM1B	non_indicated
NT5C3 ZNF146	non_indicated
NNT ATL3	non_indicated
NNT ZNF506	non_indicated
MTDH AP5M1	non_indicated
TM4SF4 GLTP	non_indicated
REEP3 ARL5A	non_indicated
REEP3 ATP2B1	non_indicated
REEP3 SPATS2L	non_indicated
REEP3 PGAP1	non_indicated
SACS AMIGO2	non_indicated
SACS C2orf74	non_indicated
KIAA1919 SPRYD7	non_indicated
KIAA1919 RDH5	non_indicated
C6orf132 AGSK1	non_indicated
NAT2 LOC727916	non_indicated
VSIG2 WFDC2	non_indicated
ZNF521 FBN1	non_indicated
ZNF521 LINC00086	non_indicated
RPA1 TMLHE	non_indicated
DAG1 EP300	non_indicated
LOC113230 FLYWCH1	non_indicated
LOC113230 TMEM178A	non_indicated
LOC113230 MGC12982	non_indicated
FAM214A LOC283357	non_indicated
FAM214A CCDC75	non_indicated
GKN1 DPCR1	non_indicated
CRYZ LOC100422737	non_indicated
CNKSR3 CDKN2B-AS1	non_indicated
CNKSR3 GNG4	non_indicated
ACSS2 AMACR	non_indicated
TMEM133 TMEM192	non_indicated
TMEM133 RNF125	non_indicated
TMEM133 ADAM33	non_indicated
TMEM133 ARHGAP42	non_indicated
RBBP4 FAM135A	non_indicated
RBBP4 CTNNB1	non_indicated
RBBP4 SCUBE3	non_indicated
CPNE3 RBMXL1	non_indicated
CPNE3 SLC4A4	non_indicated
CPNE3 PRO2852	non_indicated
CPNE3 INF2	non_indicated
CPNE3 XIAP	non_indicated
COL1A2 COL1A1	non_indicated
COL1A2 COL5A1	non_indicated
COL1A2 GPR116	non_indicated
SLC35F5 PIEZO1	non_indicated
SLC29A2 NUP35	non_indicated
SLC29A2 CHMP4B	non_indicated
ANGPTL4 HIST2H2AA3	non_indicated
PFAS GUF1	non_indicated
PALLD TIA1	non_indicated
SLC30A4 SLC25A15	non_indicated
SLC30A4 TEAD2	non_indicated
SLC30A4 TECPR2	non_indicated
SLC30A4 LGALS9	non_indicated
SLC30A4 C17orf103	non_indicated
SLC30A4 SEC22C	non_indicated
SLC30A4 PYCR1	non_indicated
SLC30A4 IYD	non_indicated
SLC30A4 TMEM144	non_indicated
SLC30A4 SAR1B	non_indicated
SLC30A4 DDHD2	non_indicated
SLC30A4 RTEL1	non_indicated
SLC30A4 BDH2	non_indicated
ARFIP2 PRRT3	non_indicated
RAB7A FLJ36848	non_indicated
RAB7A ZC3H3	non_indicated
EMC8 C9orf100	non_indicated
EMC8 HKDC1	non_indicated
EMC8 POLR3B	non_indicated
IL18RAP CCRL2	non_indicated
IL18RAP SYTL3	non_indicated
NDUFA13 EIF4G1	non_indicated
NDUFA13 MGMT	non_indicated
NDUFA13 LSM7	non_indicated
C8orf82 SLC26A6	non_indicated
KIF21A CGN	non_indicated
KIF21A GGNBP2	non_indicated
DHX35 RGNEF	non_indicated
DHX35 SS18	non_indicated
DHX35 RHEB	non_indicated
DHX35 ZNF155	non_indicated
DHX35 NMNAT1	non_indicated
GLCCI1 E2F5	non_indicated
GLCCI1 RUNX2	non_indicated
CSTA ST3GAL1	non_indicated
CSTA UCP2	non_indicated
CSTA CD86	non_indicated
CSTA KYNU	non_indicated
CSTA CFP	non_indicated
CSTA NINJ2	non_indicated
CSTA F5	non_indicated
CSTA MRAS	non_indicated
CSTA RASSF5	non_indicated
RIF1 EEA1	non_indicated
RIF1 THOC2	non_indicated
DDX24 SPON1	non_indicated
DDX24 SMC1A	non_indicated
DDX24 TES	non_indicated
DDX24 HERC2P7	non_indicated
DDX24 C6orf106	non_indicated
DDX24 PQLC3	non_indicated
LTB LTA	non_indicated
LTB GGA2	non_indicated
ISY1 CCT2	non_indicated
ISY1 ADSS	non_indicated
ISY1 SYNGR2	non_indicated
ISY1 TFAM	non_indicated
ISY1 ARMC8	non_indicated
ANXA1 ASAH1	non_indicated
ANXA1 DCTD	non_indicated
ANXA1 LOC100652886	non_indicated
PPM1D STON2	non_indicated
PRKAA1 MYSM1	non_indicated
PRKAA1 SHC2	non_indicated
PRKAA1 PPP2R5E	non_indicated
PRKAA1 MIR210HG	non_indicated
CDK19 FAM210B	non_indicated
SLC17A5 LOC100652993	non_indicated
SLC17A5 LRRFIP2	non_indicated
SLC17A5 ZNF440	non_indicated
SLC17A5 FUS	non_indicated
LPAR6 RQCD1	non_indicated
LPAR6 TM6SF1	non_indicated
LPAR6 CREB1	non_indicated
LPAR6 ATP8B4	non_indicated
ATG9A MED7	non_indicated
ATG9A PFKL	non_indicated
SLC17A9 ATP6V0E2	non_indicated
SLC17A9 MARS	non_indicated
CD1C ERP27	non_indicated
CD1C LOC439949	non_indicated
LAMB2 TSC2	non_indicated
LAMB2 HTT	non_indicated
LAMB2 MIR143HG	non_indicated
DHRS11 THY1	non_indicated
BPNT1 DEPDC1B	non_indicated
BPNT1 UGT2B28	non_indicated
BPNT1 CA13	non_indicated
BPNT1 HIST1H3H	non_indicated
EGLN1 LRRC19	non_indicated
EGLN1 MARCH5	non_indicated
EGLN1 RARS2	non_indicated
EGLN1 EIF4E3	non_indicated
GTF2IRD2 PLXDC2	non_indicated
GTF2IRD2 MAPKAP1	non_indicated
R3HCC1 SH3GLB2	non_indicated
AGMAT BCMO1	non_indicated
TMOD2 CASP4	non_indicated
TMOD2 RNFT2	non_indicated
SLC39A5 PRKCZ	non_indicated
SLC39A5 TRIM3	non_indicated
SLC39A5 EMILIN3	non_indicated
SLC39A5 MYO1A	non_indicated
SLC39A5 KIAA2013	non_indicated
SLC39A5 AMN	non_indicated
ADNP HERPUD2	non_indicated
ADNP FYTTD1	non_indicated
MSRA CNNM3	non_indicated
MSRA MFI2	non_indicated
MSRA FAM211A	non_indicated
MSRA CEP76	non_indicated
CLN8 SPDYE2	non_indicated
TRMT1 PRKD2	non_indicated
TRMT1 CAD	non_indicated
TRMT1 SMARCD3	non_indicated
TRMT1 ATG16L2	non_indicated
TRMT1 TMEM41B	non_indicated
COX16 FAM105A	non_indicated
TUBAL3 B3GALT5	non_indicated
TUBAL3 FLVCR1-AS1	non_indicated
TUBAL3 ETFDH	non_indicated
KRI1 KLHL34	non_indicated
ZZEF1 FAM223A	non_indicated
ASAP1 STON1	non_indicated
ASAP1 TSHZ2	non_indicated
SRPK2 LOC727820	non_indicated
MIR181A2HG AIF1L	non_indicated
GRAMD1C SPAG5-AS1	non_indicated
GRAMD1C FMO4	non_indicated
GRAMD1C CDC14A	non_indicated
LOC282997 LRRC17	non_indicated
TELO2 SZT2	non_indicated
TELO2 CENPT	non_indicated
CXorf40A BOP1	non_indicated
CXorf40A BANP	non_indicated
CXorf40A POLE	non_indicated
VAC14 SLC29A3	non_indicated
PKP2 ESRP1	non_indicated
PKP2 MYO5C	non_indicated
PKP2 USP53	non_indicated
PKP2 ADAM9	non_indicated
PKP2 SPTSSA	non_indicated
PKP2 FUT4	non_indicated
PKP2 KIAA1244	non_indicated
PKP2 SARS	non_indicated
PKP2 FOXA1	non_indicated
CDHR2 ABCD1	non_indicated
CDHR2 BEGAIN	non_indicated
CDHR2 EPS8L2	non_indicated
PSMB10 TSTA3	non_indicated
LOC100128893 HCN3	non_indicated
PCYOX1L ZMAT1	non_indicated
PCYOX1L IPW	non_indicated
PTPRR DSC2	non_indicated
NCK1 FAS	non_indicated
NCK1 SEMA3C	non_indicated
FCRL2 CR1	non_indicated
FCRL2 FCRL4	non_indicated
FCRL2 LCN10	non_indicated
ST3GAL1 ADAM12	non_indicated
MEF2C KAL1	non_indicated
OVOL1 EPB41L1	non_indicated
OVOL1 IHH	non_indicated
OVOL1 ATP2C2	non_indicated
BCAR1 LOC653562	non_indicated
RBBP6 NIPBL	non_indicated
SEPT6 ARHGEF6	non_indicated
SEPT6 LOC100128751	non_indicated
SEPT6 PYHIN1	non_indicated
RABGGTB DDX52	non_indicated
C1orf54 ASPHD2	non_indicated
C1orf54 CPVL	non_indicated
APOL3 SPIRE2	non_indicated
APOL3 C2	non_indicated
MAP3K5 LPIN1	non_indicated
MAP3K5 E2F3	non_indicated
MAP3K5 SNRNP40	non_indicated
MAP3K5 TRIM16	non_indicated
MAOA SEPSECS	non_indicated
MAOA ABCA8	non_indicated
MAOA BMP8B	non_indicated
MAOA NAAA	non_indicated
SLC12A2 FAM54A	non_indicated
GALNT3 PLEKHA5	non_indicated
PRMT2 VAMP5	non_indicated
METTL7B CNTNAP2	non_indicated
METTL7B PNLIPRP2	non_indicated
SCNN1B PWWP2B	non_indicated
SCNN1B TMEM72	non_indicated
SYNC ATG4B	non_indicated
SUPT16H OTUD4	non_indicated
SUPT16H DDX18	non_indicated
SUPT16H TOP1	non_indicated
SUPT16H ATRX	non_indicated
SUPT16H EPRS	non_indicated
SUPT16H ZCCHC6	non_indicated
SUPT16H EWSR1	non_indicated
