source	target	status
RSE_00000753518	GATM	non_indicated
RSE_00000753518	NIPSNAP3B	non_indicated
RSE_00000753518	CIDEA	non_indicated
RSE_00000753518	SRPX	non_indicated
RSE_00000733189	C9orf80	non_indicated
RSE_00000733189	ZNF432	non_indicated
RSE_00000733189	HSS00094923	non_indicated
RSE_00000733189	HSS00061138	non_indicated
RSE_00000733189	HSS00049121	non_indicated
DDX6	MIRN101-1	non_indicated
DDX6	CDC14B	non_indicated
HSP90AA5P	CDC42BPA	non_indicated
HSP90AA5P	C13orf31	non_indicated
HSP90AA5P	AKAP2	non_indicated
HSP90AA5P	PTMAP7	non_indicated
RSE_00000840432	EPHA4	non_indicated
RSE_00000840432	UBE2H	non_indicated
RSE_00000840432	HSS00031488	non_indicated
POU2F2	FZD2	non_indicated
POU2F2	Contig35866_RC	non_indicated
EEF1A2	NELL1	non_indicated
EEF1A2	EPPK1	non_indicated
EEF1A2	HSS00296809	non_indicated
GSTZ1	SURF1	non_indicated
GSTZ1	AHNAK	non_indicated
BTNL3	BTNL8	non_indicated
RPL9	EEF1B2	non_indicated
RPL9	hCT20524.3	non_indicated
RPL9	hCT1640337.3	non_indicated
RPL9	hCT1817470.1	non_indicated
RPL9	RPL9	non_indicated
HLA-B	Contig14433_RC	non_indicated
HLA-B	PSME2	non_indicated
HLA-B	TAP1	non_indicated
HLA-B	HLA-G	non_indicated
HLA-B	HLA-A	non_indicated
HLA-B	XM_167124	non_indicated
Contig31335_RC	AK055510	non_indicated
GPR160	KLRG1	non_indicated
GPR160	TM4SF18	non_indicated
AL137347	PTHR1	non_indicated
Contig53177_RC	Contig40234_RC	non_indicated
Contig53177_RC	AK056037	non_indicated
Contig53177_RC	C8orf59	non_indicated
Contig53177_RC	AK023363	non_indicated
Contig53177_RC	SNORD54	non_indicated
Contig53177_RC	SNORD47	non_indicated
RB1CC1	Contig46242_RC	non_indicated
RB1CC1	CHML	non_indicated
RB1CC1	AL832164	non_indicated
RB1CC1	HSS00296528	non_indicated
MAP1B	ADAM22	non_indicated
MAP1B	ENPP1	non_indicated
MAP1B	RANBP3L	non_indicated
IL18	DFNA5	non_indicated
PLEK	FAM119A	non_indicated
PLEK	SIGLEC7	non_indicated
ASS1	ENST00000297572	non_indicated
ASS1	ELOVL1	non_indicated
ASS1	hCT1641141.3	non_indicated
PPIF	GLI3	non_indicated
PPIF	THRSP	non_indicated
PPIF	MRAP	non_indicated
Contig45062_RC	PCDHGA10	non_indicated
Contig45062_RC	BC023568	non_indicated
LZTS1	DYSF	non_indicated
LZTS1	BCAN	non_indicated
LZTS1	NID2	non_indicated
Contig8581_RC	Contig44425_RC	non_indicated
Contig56513_RC	SERPINA3	non_indicated
Contig56513_RC	NM_001085_sat	non_indicated
FUBP1	ZNF711	non_indicated
FUBP1	TTC32	non_indicated
FUBP1	SFRS18	non_indicated
FUBP1	FKTN	non_indicated
Contig51058_RC	Contig38965_RC	non_indicated
Contig51058_RC	SMC6	non_indicated
Contig51058_RC	HNRNPA2B1	non_indicated
Contig51058_RC	AK026259	non_indicated
XPO1	WBSCR27	non_indicated
Contig33077	AK026368	non_indicated
Contig33077	BC022881	non_indicated
DMD	CD302	non_indicated
DMD	LRP1B	non_indicated
DMD	Contig42977_RC	non_indicated
DMD	ITGB1	non_indicated
DMD	LGR4	non_indicated
Contig6270_RC	Contig39806_RC	non_indicated
Contig6270_RC	Contig33279_RC	non_indicated
Contig6270_RC	NM_018705	non_indicated
Contig6270_RC	AK024962	non_indicated
Contig6270_RC	AK024914	non_indicated
CYP4F2	PLG	non_indicated
MYOT	GPM6B	non_indicated
LIMK1	TOMM20	non_indicated
ITGA6	PTPRB	non_indicated
Contig13480_RC	Contig40128_RC	non_indicated
Contig13480_RC	PHLDA1	non_indicated
Contig13480_RC	AK023718	non_indicated
Contig13480_RC	BC036621	non_indicated
TUBB3	VCAN	non_indicated
TUBB3	PLA2G2A	non_indicated
TUBB3	SEC14L2	non_indicated
TUBB3	MFI2	non_indicated
TUBB3	MLLT11	non_indicated
TUBB3	PDLIM4	non_indicated
DHDH	SFXN2	non_indicated
DHDH	LYPD2	non_indicated
CKMT1B	UCP1	non_indicated
CKMT1B	CKMT1A	non_indicated
ARHGAP23	PLXNA2	non_indicated
ARHGAP23	AL049370	non_indicated
ARHGAP23	KLF2	non_indicated
ARHGAP23	GJC2	non_indicated
ARHGAP23	CELSR1	non_indicated
ARHGAP23	FGFRL1	non_indicated
ARHGAP23	SHB	non_indicated
ARHGAP23	AHDC1	non_indicated
ARHGAP23	MICAL2	non_indicated
ARHGAP23	PODXL	non_indicated
ARHGAP23	ABLIM2	non_indicated
ARHGAP23	AK092660	non_indicated
ARHGAP23	AF147321	non_indicated
ARHGAP23	AK025016	non_indicated
NM_007281	ST6GALNAC5	non_indicated
MORF4	ADSS	non_indicated
MORF4	ARFGAP3	non_indicated
MORF4	AHCYL1	non_indicated
MORF4	OTUD1	non_indicated
MORF4	ENST00000282683	non_indicated
MORF4	RBM18	non_indicated
MORF4	RALB	non_indicated
MORF4	SBDSP	non_indicated
MORF4	SNORD54	non_indicated
EPS8	LMO3	non_indicated
EPS8	TGFBR3	non_indicated
EPS8	CMPK1	non_indicated
EPS8	SASH1	non_indicated
EPS8	hCG_1806964	non_indicated
EPS8	Contig40026_RC	non_indicated
EPS8	PTPN12	non_indicated
EPS8	SVEP1	non_indicated
EPS8	BC040538	non_indicated
EPS8	HSS00063134	non_indicated
EPS8	TNFSF10	non_indicated
CHST4	GALNT14	non_indicated
CHST4	TFPI2	non_indicated
CHST4	RNF182	non_indicated
GAS7	TPPP3	non_indicated
GAS7	ADCY8	non_indicated
GAS7	TGFBI	non_indicated
GAS7	DNM1	non_indicated
GAS7	BDKRB2	non_indicated
GAS7	ANPEP	non_indicated
GAS7	DPYSL3	non_indicated
GAS7	HAS2	non_indicated
GAS7	EMILIN2	non_indicated
GAS7	C14orf139	non_indicated
GAS7	MYADML	non_indicated
GAS7	ZDHHC11	non_indicated
GAS7	KCNMA1	non_indicated
GAS7	SOX9	non_indicated
GAS7	FN1	non_indicated
GAS7	MYADM	non_indicated
GAS7	COL8A2	non_indicated
GAS7	PLXDC1	non_indicated
GAS7	CAMK1D	non_indicated
LPL	Contig44076_RC	non_indicated
LPL	FZD4	non_indicated
LPL	MOSC1	non_indicated
ITLN1	TTC23L	non_indicated
AZIN1	CRY1	non_indicated
SNCG	UCHL1	non_indicated
SNCG	ESR1	non_indicated
SNCG	MB	non_indicated
GADD45B	C14orf82	non_indicated
GADD45B	AXUD1	non_indicated
VAMP2	C14orf4	non_indicated
TULP4	C1orf226	non_indicated
PLEKHA5	AL049227	non_indicated
PLEKHA5	MAN1A2	non_indicated
PLEKHA5	PRUNE2	non_indicated
PLEKHA5	BC031314	non_indicated
CCDC40	ASTN1	non_indicated
CCDC40	WIT1	non_indicated
CCDC40	NGF	non_indicated
CCDC40	NM_018723	non_indicated
CCDC40	GAL3ST1	non_indicated
CCDC40	VTN	non_indicated
CCDC40	Contig48007_RC	non_indicated
CCDC40	KCNJ16	non_indicated
CCDC40	TRIM17	non_indicated
CCDC40	COL9A2	non_indicated
CCDC40	XM_212102	non_indicated
ERBB3	DLEC1	non_indicated
ERBB3	SSTR1	non_indicated
ERBB3	CMTM4	non_indicated
ERBB3	NEK5	non_indicated
AL080082	CLK4	non_indicated
PALMD	CAP2	non_indicated
PALMD	ASPA	non_indicated
PALMD	PPP2R1B	non_indicated
Contig1063_RC	PPM1K	non_indicated
Contig31928_RC	AF038171	non_indicated
CALD1	CNTN1	non_indicated
