source	interaction_type	target
MAPK1	bn	TMEM45B
MAPK1	bn	BASP1
PXK	bn	F5
PXK	bn	MANSC1
PXK	bn	KCNH7
CCDC65	bn	KIF21A
PRSS33	bn	CLC
PRSS33	bn	CCL23
PRSS33	bn	IL5RA
PRSS33	bn	SPNS3
C4orf33	bn	EWSR1
SLAMF6	bn	PPP1R16B
SLAMF6	bn	USP28
GPBAR1	bn	CST3
GPBAR1	bn	OAS1
GPBAR1	bn	SYNGR1
GPBAR1	bn	C3
GPBAR1	bn	ASCL2
GPBAR1	bn	FOLR2
VTI1A	bn	SRGAP2P2
LETM2	bn	TEK
LETM2	bn	WLS
NLRC4	bn	ZDHHC19
FAM223A	bn	ZSCAN16
JAK1	bn	GON4L
JAK1	bn	SEC14L1
JAK1	bn	TACC1
JAK1	bn	MLL5
JAK1	bn	LOC285178
JAK1	bn	DOCK8
JAK1	bn	LCP2
RFWD2	bn	LOC100505812
RFWD2	bn	MCMBP
RFWD2	bn	GLIPR2
POLR2J2	bn	LOC441259
POLR2J2	bn	RASA4
POLR2J2	bn	POLR2J4
LOC441259	bn	NFATC3
ARL11	bn	ASAP1-IT1
CASC4	bn	FAM91A2
CASC4	bn	LOC100506032
CASC4	bn	NFAT5
LOC142937	bn	LOC494150
ALKBH5	bn	NDC80
ALKBH5	bn	C20orf11
SH2D1B	bn	AKR1C3
SH2D1B	bn	LOC100130872
SH2D1B	bn	LIM2
SH2D1B	bn	KLRF1
SH2D1B	bn	MIR181A2HG
RASEF	bn	LOC399491
RASEF	bn	SRGAP2C
OXER1	bn	RPH3AL
BRWD3	bn	ANGPT1
ZNF555	bn	BACE1
SPAG11A	bn	H19
C9orf84	bn	MIR21
DPCD	bn	ADD2
MED25	bn	KIAA1257
MED25	bn	CACNB4
C12orf66	bn	SPAG16
DNAJA3	bn	CCT4
DNAJA3	bn	DIEXF
DNAJA3	bn	COQ10A
DNAJA3	bn	LOC283713
PHF21A	bn	EXT1
FAM126B	bn	IAH1
HP1BP3	bn	2-Sep
HP1BP3	bn	GPM6B
HP1BP3	bn	CDC14A
HP1BP3	bn	DCAF8
CCRN4L	bn	UBE2C
CCRN4L	bn	PCBP2
CCRN4L	bn	EIF5
CYTH4	bn	LINC00528
CYTH4	bn	SEC24D
SNX29P1	bn	TCL1B
SNX29P1	bn	HVCN1
FBXO7	bn	PIP4K2A
FBXO7	bn	E2F2
LINS	bn	VPS13C
CARD8	bn	MPZL2
CARD8	bn	TGFBR2
CARD8	bn	LRIF1
CARD8	bn	ARRDC3
TSC22D4	bn	TYMP
TSC22D4	bn	LOC148696
CYB5R3	bn	ARF4
CYB5R3	bn	RGS16
HNRPDL	bn	FAM76B
ZBED1	bn	KCNE3
RASSF5	bn	STK38
MOCS1	bn	ADAMTS2
MOCS1	bn	FAM27E3
MOCS1	bn	OLAH
FGD3	bn	NEDD9
FGD3	bn	C2orf68
FGD3	bn	DOCK8
FGD3	bn	EZH1
FAM153B	bn	ZNF587
PRR5L	bn	CMKLR1
SLC2A4RG	bn	ZBTB46
6-Sep	bn	DDX18
6-Sep	bn	ILF3
6-Sep	bn	PRRC1
6-Sep	bn	LOC100507110
ZAP70	bn	ID2
TREML1	bn	E2F1
TREML1	bn	GP1BB
TREML1	bn	PCYT1B
AGTRAP	bn	TAPBP
AGTRAP	bn	CYBA
AGTRAP	bn	GADD45B
AGTRAP	bn	ANKRD33B
CCL5	bn	GNAO1
CD79A	bn	SYNPO
CD79A	bn	CD79B
CD79A	bn	BLK
CD79A	bn	LARGE
CD79A	bn	CXXC5
CD79A	bn	WDR34
ZFP82	bn	ZNF527
RHOA	bn	YIPF5
SAMD14	bn	RAB6B
PDHA1	bn	ERVK13-1
MGC21881	bn	LOC728903
CRTAP	bn	LY86
CRTAP	bn	PNPO
CRTAP	bn	GIMAP8
GON4L	bn	MAP3K13
VIM	bn	ADAM17
VIM	bn	LOC441402
LOC100506777	bn	SIK3
CSNK1A1	bn	YTHDC1
TTN-AS1	bn	LOC100506866
MTSS1L	bn	LARP7
LOC100506523	bn	TRIM13
LOC100506523	bn	ZMYM5
LOC100506523	bn	CCNE2
LOC100506523	bn	APC
LOC100506523	bn	ANP32A-IT1
LOC100506523	bn	C10orf118
LOC100506523	bn	KCNRG
LOC100506523	bn	CD53
VCPIP1	bn	TRIM6
LOC284889	bn	CUTA
LOC284889	bn	CHCHD10
CNPY3	bn	NINJ1
CNPY3	bn	EEPD1
LOC284513	bn	GNRH1
LOC439914	bn	PLA2G4C
DLEU2	bn	ZNF350
KCP	bn	GSTO1
KCP	bn	KDELR1
KCP	bn	LGALS1
KCP	bn	DDA1
APOL6	bn	GBP2
ZNF587	bn	ZNF418
MYCBP2	bn	NASP
CCDC147	bn	PDE6H
RAF1	bn	BCL2L11
RAF1	bn	ZSCAN30
RAF1	bn	GPR143
RAF1	bn	VNN3
RAF1	bn	JMJD1C
RAF1	bn	SORL1
RAF1	bn	RBM5
RAF1	bn	LOC100130175
RAF1	bn	LINC00173
RAF1	bn	LOC646014
RAF1	bn	LOC100507006
RAF1	bn	STK19
PPP2R5C	bn	SLC6A16
PPP2R5C	bn	TRAF3IP2
PPP2R5C	bn	NKTR
PPP2R5C	bn	FNBP1
AFG3L2	bn	VWA5A
GSTO1	bn	GGCX
TCTE3	bn	LOC340544
STRAP	bn	SYMPK
STRAP	bn	ZNF551
STRAP	bn	PBRM1
LOC399491	bn	C16orf62
LOC399491	bn	POGZ
LOC399491	bn	LOC100505915
TAF11	bn	LOC100190986
LOC439911	bn	ARHGEF40
FTX	bn	LOC100506599
FTX	bn	ANKRD10
LOC100508047	bn	LOC100287195
LOC100131541	bn	HEATR5B
LOC100131541	bn	ZMYND8
ZNF621	bn	GATAD1
ZNF621	bn	GTF3C3
FAM13A-AS1	bn	AIF1
FAM13A-AS1	bn	CTRL
FAM13A-AS1	bn	ABCC6
FAM13A-AS1	bn	YPEL3
PIK3R6	bn	ACSF2
PIK3R6	bn	CACNG8
THEMIS	bn	CD226
FOXP1	bn	LOC100507577
PTPRE	bn	TSC22D4
PTPRE	bn	LINC00537
9-Sep	bn	IKZF1
NDUFB6	bn	XYLT1
HCG27	bn	SLC35E3
MB21D1	bn	DNAJC13
MB21D1	bn	LOC100505876
MB21D1	bn	XIAP
C14orf64	bn	PCSK5
C14orf64	bn	PDE9A
C14orf64	bn	MAN1C1
C14orf64	bn	BTBD18
C14orf64	bn	KIAA0664L3
C14orf64	bn	SEMA6A
