source	target
SRSF10	FANCD2
FANCD2	C18orf54
DKC1	CSPP1
DKC1	HMGB3P1
DKC1	LYAR
CSPP1	YLPM1
CSPP1	IWS1
CSPP1	ESF1
CSPP1	RBM17
LYAR	TRMT6
NT5C3	PCGF5
NT5C3	USP38
NT5C3	RSAD2
NT5C3	FGD6
PCGF5	ZDHHC2
PCGF5	LOC338758
USP38	CYB5R4
USP38	IFIT5
USP38	CDC42SE2
RSAD2	PKDCC
C16orf48	S100A6
NNT	FAM188A
NNT	UBL3
FAM188A	FKBP1A
FAM188A	RAB28
UBL3	SMPDL3A
UBL3	GNA13
UBL3	RNF138
UBL3	CITED2
UBL3	SUV420H1
UBL3	SLC17A5
UBL3	MTM1
KRT8	CALML4
KRT8	GCNT3
KRT8	KRT18
KRT8	KRT19
CALML4	S100A14
GCNT3	SGPP2
GCNT3	RHOF
MTDH	KDM4B
CASP1	CBR3
CASP1	HLA-DRB4
CASP1	CARD16
CBR3	NMT2
CARD16	RASGEF1B
REEP3	CCDC126
REEP3	KLHL28
REEP3	ADC
CCDC126	ORC1
ADC	LGALS9
ADC	ASAP3
SACS	EBF1
SACS	WHAMMP2
SACS	MAP4K4
SACS	ZCCHC11
EBF1	ZFPM2
EBF1	FAM167A
EBF1	NOTCH3
EBF1	LIX1L
EBF1	GLI3
MAP4K4	LYST
MAP4K4	ADAM23
MAP4K4	SYNE1
MAP4K4	ARHGAP24
MAP4K4	RAI14
MAP4K4	RNF141
KIAA1919	STAG3L1
STAG3L1	RDH5
NAT2	SOCS6
NAT2	NT5DC1
NAT2	CAT
SOCS6	SLC2A13
NT5DC1	C6orf120
NT5DC1	BBS12
NT5DC1	KLHL13
NT5DC1	DYNC2LI1
NT5DC1	SDC3
CAT	PDK4
CAT	CDC14B
CYYR1	TEK
CYYR1	PLCB1
CYYR1	ELTD1
CYYR1	PALMD
CYYR1	CLEC1A
CYYR1	FLT1
ELTD1	MMRN2
ELTD1	KIAA1462
CLEC1A	HIP1
FLT1	APOLD1
VSIG2	KLK3
VSIG2	ALPI
VSIG2	B4GALNT3
VSIG2	ESRP2
VSIG2	COX6B2
VSIG2	RALBP1
VSIG2	DHRS7C
VSIG2	DENND2A
VSIG2	GPER
VSIG2	CA4
VSIG2	CASC4
VSIG2	PARVA
VSIG2	FAM59B
KLK3	KLK1
ALPI	SLC5A11
ALPI	CIDEC
ALPI	FAM151A
B4GALNT3	PITPNM3
B4GALNT3	SCN8A
B4GALNT3	EML2
B4GALNT3	DIAPH2
B4GALNT3	IL20RA
B4GALNT3	MUC12
B4GALNT3	AGSK1
B4GALNT3	TLE1
B4GALNT3	GAL3ST2
B4GALNT3	EPS8L1
B4GALNT3	PYGB
B4GALNT3	INPP5F
B4GALNT3	LOC100505565
B4GALNT3	BSPRY
B4GALNT3	RHOV
B4GALNT3	GIPC1
B4GALNT3	ALS2CL
ESRP2	TLN2
ESRP2	SPATA20
ESRP2	SAV1
ESRP2	ATP6V1B2
ESRP2	SCNN1A
ESRP2	PRRT3-AS1
ESRP2	ELOVL6
ESRP2	EPN3
ESRP2	AP2B1
RALBP1	PCDH18
DENND2A	TEX11
DENND2A	ITM2C
CA4	LOC646627
PARVA	HSPA12A
FAM59B	SLC37A2
ZNF521	RUNX1T1
ZNF521	CD34
ZNF521	MYCT1
ZNF521	FGD5
RUNX1T1	SLC9A9
CD34	NUAK1
MYCT1	JAM2
MYCT1	NR2F1
FGD5	C11orf96
FGD5	COL27A1
FGD5	ATP8B3
FGD5	LOXL1
DAG1	SLC7A6OS
SLC7A6OS	NOL12
SLC7A6OS	RPUSD3
SLC7A6OS	ERVK13-1
SLC7A6OS	CHKB
LOC113230	DUSP8
LOC113230	REEP4
LOC113230	SPPL2B
LOC113230	ZNF214
LOC113230	EFCAB4A
LOC113230	RAB26
DUSP8	SRC
REEP4	PPP2R1B
REEP4	HR
SPPL2B	PATL1
SPPL2B	ENGASE
SPPL2B	C10orf95
SPPL2B	ALS2CL
EFCAB4A	MACROD1
EFCAB4A	CFD
EFCAB4A	RNF186
EFCAB4A	GCAT
EFCAB4A	FXYD1
RAB26	HES6
RAB26	RAP1GAP
RAB26	WFDC1
ANKRD36BP2	KIAA1024
ANKRD36BP2	FAM46C
ANKRD36BP2	KIAA0125
ANKRD36BP2	NDUFA2
ANKRD36BP2	LY9
ANKRD36BP2	LOC96610
ANKRD36BP2	DENND2C
FAM46C	EIF2AK3
FAM46C	FZD3
FAM46C	ERLEC1
KIAA0125	SLC15A2
KIAA0125	FCRL5
LOC96610	CYAT1
SLC16A10	HAL
FAM214A	SPIN3
FAM214A	ST6GAL1
SPIN3	MORN4
SPIN3	ZNF678
ST6GAL1	SLC15A2
ST6GAL1	LOC100506029
ST6GAL1	DAPK2
ST6GAL1	PKIA
ST6GAL1	RBM38
ST6GAL1	LDHB
UBE2T	DIAPH3
UBE2T	CENPW
UBE2T	POLE2
UBE2T	TMEM48
UBE2T	RPAIN
UBE2T	TYMS
UBE2T	FSBP
DIAPH3	KIAA0101
CENPW	LOC284889
CENPW	RNASEH2A
POLE2	RFC3
POLE2	CHEK1
TMEM48	AGPS
RPAIN	RABGGTB
RPAIN	C15orf24
RPAIN	EEF1E1
RPAIN	WDR61
RPAIN	ZHX2
RPAIN	C1QBP
CNKSR3	PCK1
CNKSR3	LPIN2
PCK1	CDKN2B-AS1
PCK1	C1orf21
PCK1	ZSWIM5
PCK1	ISX
ACSS2	NR2F6
ACSS2	CDX2
ACSS2	NOS1AP
NR2F6	A2MP1
CDX2	TPRN
CDX2	GNA11
TMEM133	NT5E
TMEM133	LGALSL
TMEM133	ARHGAP42
RBBP4	DMAP1
RBBP4	DCAF7
DMAP1	ZNF213
DMAP1	LIN37
DMAP1	CCDC137
DMAP1	FAM98C
CXorf24	NHLRC3
NHLRC3	ZNF302
NHLRC3	MCM3AP-AS1
TUG1	SYNE2
TUG1	PRKCI
TUG1	KIAA1147
TUG1	SREK1
PRKCI	RFWD2
PRKCI	LPP
SREK1	SCAF11
SLC35F5	IL13RA1
GJB3	DMKN
GJB3	TRIM7
DHRS7	TMED4
DHRS7	PRKAG2
TMED4	MALL
PRKAG2	APOE
PALLD	TTL
PALLD	MACF1
PALLD	RNF145
PALLD	ATG4B
MACF1	FLT1
MACF1	UBR1
RNF145	SLC39A6
RNF145	VMP1
ATG4B	ARAF
SLC30A4	SLC1A1
SLC30A4	KCTD3
