source	target
KLHL17	MIR3064
KLHL17	CAPN10
AGRN	TECPR2
TNFRSF4	TNFRSF18
FAM132A	FAM211B
SCNN1D	SLC25A45
SCNN1D	ENO3
ACAP3	MICALL2
MXRA8	EFS
MXRA8	MRC2
MXRA8	SCARF2
MXRA8	RNF215
CCNL2	CSAD
CCNL2	ITGA7
CCNL2	GOLGA8A
CCNL2	SGSM2
CCNL2	P2RX1
CCNL2	POFUT2
VWA1	NRSN2
ATAD3B	ASMTL-AS1
MIB2	C11orf35
PRKCZ	IGBP1P1
C1orf86	SCAND1
SKI	CXCL12
SKI	BCL9L
SKI	PDPR
SKI	ZBTB4
SKI	DAAM2
LOC115110	LOC100133445
LOC115110	LOC388152
ARHGEF16	ELMO3
ARHGEF16	SPIRE2
ARHGEF16	SH2D3A
ARHGEF16	HOOK2
ARHGEF16	FAM83E
TPRG1L	FAM213A
TPRG1L	MMP28
TP73-AS1	CRTC1
CEP104	RBBP5
KCNAB2	VAV1
KCNAB2	GMIP
KCNAB2	TRIB2
KCNAB2	PPM1M
GPR153	SYT7
ESPN	DHRS3
ESPN	TMEM82
ESPN	PRR13
ESPN	EEF1E1
ESPN	MSANTD3
PLEKHG5	DLL1
PLEKHG5	DTX2P1-UPK3BP1-PMS2P11
KLHL21	SLC35E3
KLHL21	COL6A1
DNAJC11	PEX10
PER3	TEF
PER3	NR1D2
ERRFI1	F3
ERRFI1	LDLR
ERRFI1	CCRN4L
ERRFI1	SPRY4
RERE	ZMYND8
PIK3CD	AGAP2
PIK3CD	ITGAL
PIK3CD	FGD3
PIK3CD	SASH3
LZIC	MRPL45P2
LZIC	RSPH3
UBE4B	KDM4A
UBE4B	MIA3
UBE4B	PCYOX1
UBE4B	GTF2I
KIF1B	ARHGAP21
KIF1B	ZMIZ1
KIF1B	LRP6
CASZ1	GUCY2C
CASZ1	EPPK1
CASZ1	PTPRD
SRM	NPM3
EXOSC10	EIF2D
EXOSC10	SLTM
EXOSC10	MPHOSPH10
MTOR	VPS53
FBXO44	HOXC4
FBXO44	AGER
MAD2L2	TESC
AGTRAP	IFITM2
AGTRAP	OSCAR
CLCN6	SCAND2P
MFN2	ABTB2
MFN2	AGPAT3
MFN2	OGDH
TNFRSF1B	PRF1
LOC440563	LOC649330
LOC440563	HSP90B2P
LOC440563	RNF126P1
LOC440563	LSP1P3
LOC440563	EIF3IP1
PDPN	TEAD4
PDPN	WARS
PDPN	CCL2
PRDM2	C10orf137
PRDM2	B3GALTL
PRDM2	DNMT3A
PRDM2	ASB1
PRDM2	ASXL1
AGMAT	LY96
PLEKHM2	KLHL21
PLEKHM2	ZDHHC18
PLEKHM2	XPO6
PLEKHM2	LLGL1
PLEKHM2	TFE3
TMEM82	FCGR2B
SPEN	ASH1L
SPEN	MLL2
SPEN	CREBBP
SPEN	SRCAP
SPEN	EP300
SPEN	NSD1
SPEN	LOC441155
SPEN	MLL5
EPHA2	TINAGL1
MST1P2	MST1L
MST1P2	MST1
CROCC	C19orf71
RCC2	C11orf84
RCC2	CDK4
RCC2	CDCA4
RCC2	GINS3
RCC2	CBFB
RCC2	FAIM
RCC2	KIAA0226
ARHGEF10L	FGFRL1
AKR7L	LTK
AKR7A3	AKR7A2P1
AKR7A3	AKR1C3
AKR7A3	AGPHD1
AKR7A3	MALL
AKR7A3	GLOD5
PLA2G2D	PDE6G
CAMK2N1	TPRG1L
CAMK2N1	CDKN2B
HP1BP3	KIN
HP1BP3	MLLT10
HP1BP3	HERC2
HP1BP3	POLR3E
HP1BP3	MAP3K14-AS1
HP1BP3	DHX35
HP1BP3	TBCK
HP1BP3	CEP44
HP1BP3	GUSBP1
HP1BP3	ANKRA2
HP1BP3	BRD8
HP1BP3	KRIT1
HP1BP3	CSPP1
EIF4G3	NT5C2
EIF4G3	AFAP1L2
EIF4G3	VPS8
EIF4G3	HMGXB3
ALPL	IFITM2
ALPL	CLYBL
RAP1GAP	NEURL
USP48	COX18
LDLRAD2	OVCA2
HSPG2	SVIL
HSPG2	OSBPL5
HSPG2	LRP1
HSPG2	PTPRM
HSPG2	LAMA5
HSPG2	TRAM2
HSPG2	IGF2R
ZBTB40	ZFYVE26
ZBTB40	ZNF318
C1QC	CPVL
C1QB	C1QA
C1QB	C1QC
C1QB	SERPING1
EPHB2	MANEAL
EPHB2	OLFM4
EPHB2	HOXB9
EPHB2	SOX9
EPHB2	EPHB3
EPHB2	SLC12A2
EPHB2	MYB
LUZP1	MIA2
LUZP1	NEDD4
LUZP1	KIF3B
LUZP1	TNIK
HTR1D	GALNT6
HTR1D	GALNT14
HTR1D	TM4SF4
HNRNPR	HNRPDL
TCEA3	SELENBP1
TCEA3	REP15
TCEA3	MT1E
TCEA3	HSD11B2
TCEA3	IMPA2
TCEA3	OVOL2
TCEA3	MB
TCEA3	WNK2
ASAP3	GAS8
GALE	CAPN2
GALE	CALML4
IL22RA1	UCN3
IL22RA1	LILRB5
NIPAL3	CNNM2
SRRM1	ZCCHC8
C1orf63	CES4A
PAFAH2	FNBP1L
CEP85	C1orf109
CEP85	DHODH
CEP85	GTPBP5
CEP85	LOC389906
UBXN11	ARHGAP4
CD52	RPS27
CD52	CERKL
ARID1A	SETD1B
ARID1A	CDK12
ARID1A	HTT
ZDHHC18	IER5
C1orf172	HIST1H2BD
SLC9A1	LETM1
LOC644961	LOC341056
LOC644961	HNRNPA1P10
SYTL1	CCDC88B
SYTL1	C16orf74
SYTL1	KCNN4
SYTL1	DENND6B
MAP3K6	KLC2
MAP3K6	PLCXD1
FGR	FCGR2C
FGR	SRGN
FGR	FAM49A
FGR	PLEK
FGR	CDC25B
IFI6	ISG15
SMPDL3B	SDC1
PTAFR	ICAM1
PHACTR4	MAVS
SNHG3	SNORD22
SNHG3	MIR17HG
RCC1	BCDIN3D
RCC1	TFDP1
RCC1	LMNB2
RCC1	KIF20A
SNHG12	TNFRSF25
SNHG12	ACYP1
SNHG12	AGER
EPB41	GFI1
EPB41	PDCD7
TMEM200B	CLEC11A
LAPTM5	SMAP2
LAPTM5	ISLR
LAPTM5	IL21R
LAPTM5	CNN2
LAPTM5	GYPC
LAPTM5	MMP9
LAPTM5	LPCAT1
LAPTM5	BASP1
LAPTM5	AKR1B1
SDC3	CX3CL1
SDC3	ADAP2
SDC3	CXCR2P1
SERINC2	ABP1
KPNA6	EYA3
KPNA6	KSR1
KPNA6	TMEM39A
MTMR9LP	THBS3
MTMR9LP	SLC22A17
MTMR9LP	ADAM33
MTMR9LP	LRP5L
MTMR9LP	FAM156A
FAM167B	C1QTNF6
LCK	CD247
LCK	PRKCQ
LCK	GPR18
LCK	EVL
LCK	LAT
LCK	SKAP1
LCK	SIRPG
LCK	UBASH3A
LCK	SIT1
FAM229A	PRR22
TSSK3	SLX1A-SULT1A3
TSSK3	RBM33
RBBP4	PIGB
RBBP4	SLC7A6OS
KIAA1522	RAPGEFL1
KIAA1522	LOC100130899
KIAA1522	OCLN
KIAA1522	DOLPP1
S100PBP	ARHGAP19
S100PBP	ZNF346
S100PBP	KRBOX4
TMEM54	SCGB2A1
TMEM54	C15orf48
TMEM54	PRSS8
TMEM54	FAM3D
RNF19B	GALK2
RNF19B	ALAS1
RNF19B	NFIL3
TRIM62	PAPD7
GJA4	RAMP2
ZMYM6	IRAK4
ZMYM6	MSL1
ZMYM1	RAB2B
ZMYM4	KIF20B
ZMYM4	ERCC8
NCDN	PIP5K1C
AGO4	KDM6B
AGO4	PRKCA
AGO4	C20orf194
AGO1	SGPL1
AGO1	SARM1
EVA1B	TMEM91
EVA1B	EGFL7
CSF3R	MNDA
CSF3R	GPR97
CSF3R	LILRB3
ZC3H12A	LIPG
ZC3H12A	NFKBIZ
GNL2	GTPBP4
GNL2	CCT2
GNL2	WDR12
GNL2	LTV1
CDCA8	BORA
CDCA8	KIFC1
MTF1	NDEL1
MTF1	TRIM25
MTF1	LHFPL2
INPP5B	YPEL1
MACF1	RNF213
MACF1	RECK
MACF1	WWC3
SMAP2	RNF144B
GUCA2B	FTH1
GUCA2B	APOA1
GUCA2B	SAT2
GUCA2B	ACSF2
GUCA2B	TMEM37
GUCA2B	CDKN2B-AS1
GUCA2B	C9orf24
GUCA2A	GUCA2B
GUCA2A	CTSK
GUCA2A	LOC100505633
GUCA2A	PRAP1
GUCA2A	C2orf88
GUCA2A	TCN2
GUCA2A	LGALS2
GUCA2A	NT5DC2
FOXJ3	UBR4
FOXJ3	MED14
LEPRE1	SRGAP2
LEPRE1	PHF21A
LEPRE1	LPPR2
LEPRE1	SLC29A1
LEPRE1	MSC
LEPRE1	ARMCX2
