source target
LOC100506373 HOXB9
WDR59 GSTT1
LOC100652849 PBLD
PCDHGA1 ZBTB49
DKC1 EPHB2
SNX17 HAUS7
NT5C3 KDM1B
NT5C3 ZNF146
NNT ATL3
NNT ZNF506
MTDH AP5M1
TM4SF4 GLTP
REEP3 ARL5A
REEP3 ATP2B1
REEP3 SPATS2L
REEP3 PGAP1
SACS AMIGO2
SACS C2orf74
KIAA1919 SPRYD7
KIAA1919 RDH5
C6orf132 AGSK1
NAT2 LOC727916
VSIG2 WFDC2
ZNF521 FBN1
ZNF521 LINC00086
RPA1 TMLHE
DAG1 EP300
LOC113230 FLYWCH1
LOC113230 TMEM178A
LOC113230 MGC12982
FAM214A LOC283357
FAM214A CCDC75
GKN1 DPCR1
CRYZ LOC100422737
CNKSR3 CDKN2B-AS1
CNKSR3 GNG4
ACSS2 AMACR
TMEM133 TMEM192
TMEM133 RNF125
TMEM133 ADAM33
TMEM133 ARHGAP42
RBBP4 FAM135A
RBBP4 CTNNB1
RBBP4 SCUBE3
CPNE3 RBMXL1
CPNE3 SLC4A4
CPNE3 PRO2852
CPNE3 INF2
CPNE3 XIAP
COL1A2 COL1A1
COL1A2 COL5A1
COL1A2 GPR116
SLC35F5 PIEZO1
SLC29A2 NUP35
SLC29A2 CHMP4B
ANGPTL4 HIST2H2AA3
PFAS GUF1
PALLD TIA1
SLC30A4 SLC25A15
SLC30A4 TEAD2
SLC30A4 TECPR2
SLC30A4 LGALS9
SLC30A4 C17orf103
SLC30A4 SEC22C
SLC30A4 PYCR1
SLC30A4 IYD
SLC30A4 TMEM144
SLC30A4 SAR1B
SLC30A4 DDHD2
SLC30A4 RTEL1
SLC30A4 BDH2
ARFIP2 PRRT3
RAB7A FLJ36848
RAB7A ZC3H3
EMC8 C9orf100
EMC8 HKDC1
EMC8 POLR3B
IL18RAP CCRL2
IL18RAP SYTL3
NDUFA13 EIF4G1
NDUFA13 MGMT
NDUFA13 LSM7
C8orf82 SLC26A6
KIF21A CGN
KIF21A GGNBP2
DHX35 RGNEF
DHX35 SS18
DHX35 RHEB
DHX35 ZNF155
DHX35 NMNAT1
GLCCI1 E2F5
GLCCI1 RUNX2
CSTA ST3GAL1
CSTA UCP2
CSTA CD86
CSTA KYNU
CSTA CFP
CSTA NINJ2
CSTA F5
CSTA MRAS
CSTA RASSF5
RIF1 EEA1
RIF1 THOC2
DDX24 SPON1
DDX24 SMC1A
DDX24 TES
DDX24 HERC2P7
DDX24 C6orf106
DDX24 PQLC3
LTB LTA
LTB GGA2
ISY1 CCT2
ISY1 ADSS
ISY1 SYNGR2
ISY1 TFAM
ISY1 ARMC8
ANXA1 ASAH1
ANXA1 DCTD
ANXA1 LOC100652886
PPM1D STON2
PRKAA1 MYSM1
PRKAA1 SHC2
PRKAA1 PPP2R5E
PRKAA1 MIR210HG
CDK19 FAM210B
SLC17A5 LOC100652993
SLC17A5 LRRFIP2
SLC17A5 ZNF440
SLC17A5 FUS
LPAR6 RQCD1
LPAR6 TM6SF1
LPAR6 CREB1
LPAR6 ATP8B4
ATG9A MED7
ATG9A PFKL
SLC17A9 ATP6V0E2
SLC17A9 MARS
CD1C ERP27
CD1C LOC439949
LAMB2 TSC2
LAMB2 HTT
LAMB2 MIR143HG
DHRS11 THY1
BPNT1 DEPDC1B
BPNT1 UGT2B28
BPNT1 CA13
BPNT1 HIST1H3H
EGLN1 LRRC19
EGLN1 MARCH5
EGLN1 RARS2
EGLN1 EIF4E3
GTF2IRD2 PLXDC2
GTF2IRD2 MAPKAP1
R3HCC1 SH3GLB2
AGMAT BCMO1
TMOD2 CASP4
TMOD2 RNFT2
SLC39A5 PRKCZ
SLC39A5 TRIM3
SLC39A5 EMILIN3
SLC39A5 MYO1A
SLC39A5 KIAA2013
SLC39A5 AMN
ADNP HERPUD2
ADNP FYTTD1
MSRA CNNM3
MSRA MFI2
MSRA FAM211A
MSRA CEP76
CLN8 SPDYE2
TRMT1 PRKD2
TRMT1 CAD
TRMT1 SMARCD3
TRMT1 ATG16L2
TRMT1 TMEM41B
COX16 FAM105A
TUBAL3 B3GALT5
TUBAL3 FLVCR1-AS1
TUBAL3 ETFDH
KRI1 KLHL34
ZZEF1 FAM223A
ASAP1 STON1
ASAP1 TSHZ2
SRPK2 LOC727820
MIR181A2HG AIF1L
GRAMD1C SPAG5-AS1
GRAMD1C FMO4
GRAMD1C CDC14A
LOC282997 LRRC17
TELO2 SZT2
TELO2 CENPT
CXorf40A BOP1
CXorf40A BANP
CXorf40A POLE
VAC14 SLC29A3
PKP2 ESRP1
PKP2 MYO5C
PKP2 USP53
PKP2 ADAM9
PKP2 SPTSSA
PKP2 FUT4
PKP2 KIAA1244
PKP2 SARS
PKP2 FOXA1
CDHR2 ABCD1
CDHR2 BEGAIN
CDHR2 EPS8L2
PSMB10 TSTA3
LOC100128893 HCN3
PCYOX1L ZMAT1
PCYOX1L IPW
PTPRR DSC2
NCK1 FAS
NCK1 SEMA3C
FCRL2 CR1
FCRL2 FCRL4
FCRL2 LCN10
ST3GAL1 ADAM12
MEF2C KAL1
OVOL1 EPB41L1
OVOL1 IHH
OVOL1 ATP2C2
BCAR1 LOC653562
RBBP6 NIPBL
SEPT6 ARHGEF6
SEPT6 LOC100128751
SEPT6 PYHIN1
RABGGTB DDX52
C1orf54 ASPHD2
C1orf54 CPVL
APOL3 SPIRE2
APOL3 C2
MAP3K5 LPIN1
MAP3K5 E2F3
MAP3K5 SNRNP40
MAP3K5 TRIM16
MAOA SEPSECS
MAOA ABCA8
MAOA BMP8B
MAOA NAAA
SLC12A2 FAM54A
GALNT3 PLEKHA5
PRMT2 VAMP5
METTL7B CNTNAP2
METTL7B PNLIPRP2
SCNN1B PWWP2B
SCNN1B TMEM72
SYNC ATG4B
SUPT16H OTUD4
SUPT16H DDX18
SUPT16H TOP1
SUPT16H ATRX
SUPT16H EPRS
SUPT16H ZCCHC6
SUPT16H EWSR1
SUPT16H NAA35
SUPT16H CDC27
SUPT16H HSPD1
LOC401397 SLC12A2
FARS2 ATF7IP2
SPOPL WNT10B
SPOPL SERINC1
SPOPL PIGL
SPOPL PLEKHF2
SPOPL OSBPL11
SPOPL BCOR
NRXN2 RTF1
PHLPP2 CNGA1
PHLPP2 ZSWIM5
PHLPP2 TEF
DENND4A FAM114A2
YTHDF3 MTRR
KIAA1804 PITX2
KIAA1804 S100A4
ATG5 NUDCD2
NF1 CRTC3
NOS2 TGM2
PELI2 SGPL1
PELI2 TIRAP
TNFRSF17 SLC47A1
TNFRSF17 CCDC163P
KIAA0232 C2orf63
RNF145 LOC100506029
SERPINB8 RTN4IP1
SERPINB8 NRG1
SERPINB8 MXD1
WBP11 RPA1
WBP11 MIA3
WBP11 ALG2
WBP11 CDK5RAP2
WBP11 HSPA14
WBP11 CDK7
WBP11 FKBP1A
WBP11 DHPS
C19orf69 C19orf77
C19orf69 CIDEB
C19orf69 GPD1
C19orf69 ACE2
BTBD3 FKTN
BTBD3 STEAP2
RBM39 MKLN1
RBM39 EIF3B
RBM39 MIRLET7DHG
RBM39 LUC7L
EXD2 PLP1
SMTN RPP25
MON2 LOC730102
MYO15B PLXNA2
MYO15B MYO5B
MYO15B AIM1L
MYO15B FAM83F
MYO15B CRAT
PRKD2 LOC100652989
PRKD2 TACC3
CACNA1A PRPH
CACNA1A EFHD1
CACNA1A ZNF540
IKZF1 RUNX1-IT1
IKZF1 ARL10
IKZF1 SLC44A5
ANTXR1 FGF7
ANTXR1 PTPN12
ANTXR1 SDHAF1
ANTXR1 HMCN1
ANTXR1 PPAP2B
ANTXR1 COL4A2
TIMP3 TIMP2
TIMP3 LMO3
TIMP3 CAV1
TIMP3 MPZ
PAK6 LOC729680
CTNND1 ALDH3A2
CAPN9 PPP1R36
RBM28 ZNF254
LPIN1 NAB1
EXOC6B CLCN5
EXOC6B RAB11FIP1
EXOC6B RETSAT
EXOC6B PET117
HMOX2 GTF2H4
HMOX2 PLEKHF1
HMOX2 DCTN1
SLC16A9 KRT2
SLC16A9 NPY1R
SLC41A3 MSRB2
SLC41A3 WARS2
ERBB2 ELMO3
EML3 FAM100A
SLC52A1 SFTA1P
SLC52A1 HEXIM1
SLC52A1 NOX1
CLIC6 SLC17A9
CLIC6 GRIN3A
SPTBN1 MECOM
SPTBN1 KCTD20
ORAI1 SNHG5
IFT52 LOC100507239
IFT52 C8orf33
TLE3 AGPAT3
TLE3 BCL11A
KCNJ2 JHDM1D
AP2A2 C8orf73
AP2A2 MRPL2
AP2A2 VWA5B2
AP2A2 KIAA0556
FLJ45340 SNRPN
MITF FAM92A1
MITF PDE1C
MITF CLEC1A
KLF4 UGP2
KLF4 PPA2
SEPSECS GJA4
