Gene	Status
RNF14	non_indicated
UBE2Q1	non_indicated
RNF10	non_indicated
RNF11	non_indicated
RNF13	non_indicated
NDP	non_indicated
PMM2	non_indicated
PMM1	non_indicated
ASS1	non_indicated
DISC1	non_indicated
CAMK1	non_indicated
SPR	non_indicated
ZNF706	non_indicated
RNF114	non_indicated
RNF115	non_indicated
ZC3H15	non_indicated
ZC3H14	non_indicated
RNF111	non_indicated
DHX9	non_indicated
TCOF1	non_indicated
NUP98	non_indicated
SP2	non_indicated
SP3	non_indicated
NUP93	non_indicated
GOLIM4	non_indicated
OPA1	non_indicated
RAB40B	non_indicated
COL7A1	non_indicated
GTSE1	non_indicated
ARFRP1	non_indicated
KIAA0831	non_indicated
ITGA8	non_indicated
UGCG	non_indicated
ATP2A2	non_indicated
ATP2A3	non_indicated
ITGA2	non_indicated
ITGA3	non_indicated
ITGA4	non_indicated
ITGA5	non_indicated
RIT1	RASopathy_gene
DENND4C	non_indicated
SWAP70	non_indicated
PREB	non_indicated
PHLDA1	non_indicated
PHLDA3	non_indicated
PHLDA2	non_indicated
PAMR1	non_indicated
AI582773	non_indicated
FBXL15	non_indicated
FBXL14	non_indicated
HRH1	non_indicated
FBXL18	non_indicated
GRP	non_indicated
COL4A6	non_indicated
COL4A5	non_indicated
COL4A4	non_indicated
COL4A3	non_indicated
COL4A2	non_indicated
COL4A1	non_indicated
CHST1	non_indicated
CHST3	non_indicated
CHST2	non_indicated
CHST7	non_indicated
ITGAX	non_indicated
BCL2A1	non_indicated
ITGAV	non_indicated
HIBCH	non_indicated
ITGAL	non_indicated
ITGAM	non_indicated
HLF	non_indicated
NOV	non_indicated
FAM134C	non_indicated
ITGAE	non_indicated
FAM134A	non_indicated
SMAD4	non_indicated
SMAD5	non_indicated
SMAD6	non_indicated
SMAD7	non_indicated
GOLPH3L	non_indicated
SMAD1	non_indicated
SMAD2	non_indicated
SMAD3	non_indicated
RFK	non_indicated
NECAP1	non_indicated
IGF2R	non_indicated
TMPRSS11E	non_indicated
CKS1B	non_indicated
NSBP1	non_indicated
ARTN	non_indicated
SPTLC1	non_indicated
TCEA2	non_indicated
TCEA1	non_indicated
COX4I1	non_indicated
BFAR	non_indicated
CADPS2	non_indicated
RLF	non_indicated
MCF2L	non_indicated
ATP1A1	non_indicated
MGRN1	non_indicated
AI523613	non_indicated
SPHK1	non_indicated
DPT	non_indicated
CUEDC1	non_indicated
C2CD2	non_indicated
ZNF44	non_indicated
ABAT	non_indicated
IFT81	non_indicated
IFT88	non_indicated
AI004009	non_indicated
GRINA	non_indicated
MCM10	non_indicated
IL10RB	non_indicated
ATG4B	non_indicated
ATG4A	non_indicated
PHOX2B	non_indicated
TNRC4	non_indicated
CFH	non_indicated
CFI	non_indicated
CFD	non_indicated
CFB	non_indicated
CREBBP	non_indicated
PNN	non_indicated
ATP6V0E1	non_indicated
ATP6V0E2	non_indicated
HAMP	non_indicated
SIDT1	non_indicated
SIDT2	non_indicated
LOC220594	non_indicated
MR1	non_indicated
SIX2	non_indicated
SIX3	non_indicated
CNPY2	non_indicated
HMG20A	non_indicated
HMG20B	non_indicated
AAGAB	non_indicated
BE503392	non_indicated
C4orf18	non_indicated
C4orf19	non_indicated
C4orf16	non_indicated
W88821	non_indicated
SHOX2	non_indicated
CHFR	non_indicated
EFHA1	non_indicated
SYPL1	non_indicated
RFX5	non_indicated
APP	non_indicated
NRXN3	non_indicated
RCOR1	non_indicated
ABCE1	non_indicated
UQCRC2	non_indicated
XPNPEP1	non_indicated
UQCRC1	non_indicated
GGCX	non_indicated
ADNP	non_indicated
KHDRBS1	non_indicated
AK022473	non_indicated
GGCT	non_indicated
REG1A	non_indicated
NM_022907	non_indicated
C11orf2	non_indicated
DPYSL2	non_indicated
DPYSL3	non_indicated
NM_025024	non_indicated
C11orf9	non_indicated
IGFBP2	non_indicated
IGFBP3	non_indicated
IGFBP1	non_indicated
IGFBP6	non_indicated
IGFBP7	non_indicated
IGFBP4	non_indicated
IGFBP5	non_indicated
SKP2	non_indicated
CKLF	non_indicated
GJA1	non_indicated
C15orf24	non_indicated
C15orf29	non_indicated
KDM3B	non_indicated
ZNF117	non_indicated
KDM3A	non_indicated
NSL1	non_indicated
TMC6	non_indicated
APIP	non_indicated
GTPBP2	non_indicated
EIF2B2	non_indicated
PRKAR2B	non_indicated
MAGT1	non_indicated
TXNIP	non_indicated
MLF1	non_indicated
QPRT	non_indicated
IFT140	non_indicated
MLF2	non_indicated
TMEM14B	non_indicated
TMEM14A	non_indicated
CFLAR	non_indicated
MECOM	non_indicated
IFI16	non_indicated
C9orf125	non_indicated
PHACTR4	non_indicated
CLIC4	non_indicated
CLIC5	non_indicated
PHACTR1	non_indicated
CLIC3	non_indicated
CLIC1	non_indicated
KIAA0020	non_indicated
TMEM147	non_indicated
ASGR1	non_indicated
ASGR2	non_indicated
ITGA6	non_indicated
TMEM140	non_indicated
SF1	non_indicated
TMEM149	non_indicated
API5	non_indicated
SECISBP2L	non_indicated
FANCI	non_indicated
KIAA1199	non_indicated
HLA-DPA1	non_indicated
FER1L4	non_indicated
C19orf22	non_indicated
ZMAT3	non_indicated
C19orf21	non_indicated
ZMAT4	non_indicated
MYBL1	non_indicated
C19orf28	non_indicated
MYBL2	non_indicated
ITGB1BP1	non_indicated
ZNF7	non_indicated
ZNF3	non_indicated
TIPIN	non_indicated
ZAP70	non_indicated
UFSP2	non_indicated
CTSW	non_indicated
CDC5L	non_indicated
RAC2	non_indicated
RAC3	non_indicated
RAC1	non_indicated
VCL	non_indicated
Z83821	non_indicated
VCP	non_indicated
ORC3L	non_indicated
LILRB4	non_indicated
AP2A2	non_indicated
PBX2	non_indicated
PBX3	non_indicated
PBX1	non_indicated
NSUN5	non_indicated
NSUN6	non_indicated
TUBG1	non_indicated
TARS	non_indicated
PTCH1	non_indicated
TUFM	non_indicated
ERGIC2	non_indicated
ERGIC3	non_indicated
CDR2L	non_indicated
S100PBP	non_indicated
B3GAT1	non_indicated
UXT	non_indicated
CALM3	non_indicated
SPG21	non_indicated
CALM1	non_indicated
GSDMB	non_indicated
GSDMD	non_indicated
UPK1B	non_indicated
DLGAP4	non_indicated
DLGAP5	non_indicated
BRDT	non_indicated
MBNL1	non_indicated
MBNL2	non_indicated
NPEPL1	non_indicated
CYP27B1	non_indicated
OIP5	non_indicated
CLCN3	non_indicated
HIST1H4H	non_indicated
BRD8	non_indicated
BRD9	non_indicated
BRD4	non_indicated
BRD7	non_indicated
BRD1	non_indicated
BRD2	non_indicated
BRD3	non_indicated
DNAJA2	non_indicated
DNAJA1	non_indicated
SPAG4	non_indicated
GLG1	non_indicated
PTPN13	non_indicated
PTPN12	non_indicated
PTPN11	RASopathy_gene
MYCBP	non_indicated
UTRN	non_indicated
AK026168	non_indicated
CH25H	non_indicated
CSF2RB	non_indicated
MRPL24	non_indicated
CSF2RA	non_indicated
DMD	non_indicated
MRPL20	non_indicated
MRPL23	non_indicated
9-Sep	non_indicated
LYRM4	non_indicated
GAB2	non_indicated
NPTX2	non_indicated
HABP2	non_indicated
NDRG1	non_indicated
NDRG2	non_indicated
NDRG3	non_indicated
NDRG4	non_indicated
CHD1L	non_indicated
CDK2	non_indicated
RNF130	non_indicated
DNAJB12	non_indicated
VIL1	non_indicated
HLA-DQB1	non_indicated
MSMB	non_indicated
HLA-DQB2	non_indicated
RNF138	non_indicated
RNF139	non_indicated
CISD1	non_indicated
CLNS1A	non_indicated
NOSIP	non_indicated
VILL	non_indicated
AA554945	non_indicated
ZNF580	non_indicated
TIPARP	non_indicated
ZNF587	non_indicated
LPAR3	non_indicated
CAMKK2	non_indicated
NPTXR	non_indicated
MYO1F	non_indicated
MYO1E	non_indicated
MYO1D	non_indicated
MYO1B	non_indicated
GRN	non_indicated
RPL36AL	non_indicated
CHMP7	non_indicated
BCR	non_indicated
PGBD5	non_indicated
TSSC1	non_indicated
HOXA10	non_indicated
SRC	non_indicated
ZNF323	non_indicated
SRI	non_indicated
ZNF329	non_indicated
SRM	non_indicated
LGALS9	non_indicated
LGALS8	non_indicated
E2F8	non_indicated
LGALS2	non_indicated
LGALS1	non_indicated
LGALS4	non_indicated
NMU	non_indicated
AKIRIN1	non_indicated
EIF2AK1	non_indicated
EIF2AK3	non_indicated
HLX	non_indicated
TDG	non_indicated
HN1	non_indicated
NMB	non_indicated
EREG	non_indicated
AVPI1	non_indicated
MYO16	non_indicated
ASAP1	non_indicated
ASAP2	non_indicated
NMI	non_indicated
PLAUR	non_indicated
SLCO1B3	non_indicated
LRRC23	non_indicated
MPDU1	non_indicated
LRRC20	non_indicated
LOX	non_indicated
LPGAT1	non_indicated
TIMM17B	non_indicated
TIMM17A	non_indicated
GCNT1	non_indicated
C14orf139	non_indicated
GCNT3	non_indicated
C14orf135	non_indicated
C14orf132	non_indicated
LPCAT4	non_indicated
LPCAT3	non_indicated
LPCAT1	non_indicated
ALOX5	non_indicated
MID1IP1	non_indicated
PIGA	non_indicated
PIGB	non_indicated
PIGC	non_indicated
PIGF	non_indicated
CALCRL	non_indicated
PIGH	non_indicated
PIGK	non_indicated
TMEM194A	non_indicated
PIGR	non_indicated
PIGT	non_indicated
PIGV	non_indicated
RMND1	non_indicated
TAX1BP1	non_indicated
SNAPC3	non_indicated
TAX1BP3	non_indicated
ANKLE2	non_indicated
INPPL1	non_indicated
OLR1	non_indicated
SRRM1	non_indicated
SRRM2	non_indicated
FAM134B	non_indicated
PDK1	non_indicated
PDK3	non_indicated
EBP	non_indicated
PDK4	non_indicated
ROD1	non_indicated
ZNF292	non_indicated
SEC61A1	non_indicated
ALPL	non_indicated
PTGS2	non_indicated
PTGS1	non_indicated
TM2D3	non_indicated
ZFAND6	non_indicated
ZFAND5	non_indicated
ZFAND1	non_indicated
PECI	non_indicated
PLVAP	non_indicated
SLC39A14	non_indicated
NPDC1	non_indicated
EIF1AX	non_indicated
EIF1AY	non_indicated
NTRK2	non_indicated
RSBN1	non_indicated
LRPAP1	non_indicated
ARHGAP26	non_indicated
ARHGAP25	non_indicated
ARHGAP29	non_indicated
HHAT	non_indicated
DDIT4	non_indicated
ATG2B	non_indicated
PPPDE1	non_indicated
PPPDE2	non_indicated
BMP7	non_indicated
BMP6	non_indicated
BMP5	non_indicated
BMP4	non_indicated
BMP2	non_indicated
BMP1	non_indicated
NDUFAF4	non_indicated
DR1	non_indicated
ASF1A	non_indicated
TERF1	non_indicated
NDUFAF1	non_indicated
GOLGA8A	non_indicated
GOLGA8B	non_indicated
RASSF9	non_indicated
PTOV1	non_indicated
RASSF2	non_indicated
RASSF4	non_indicated
RASSF7	non_indicated
LPPR4	non_indicated
NHP2	non_indicated
RSAD2	non_indicated
ATP5C1	non_indicated
CHD3	non_indicated
CHD4	non_indicated
CHD7	non_indicated
MRP63	non_indicated
CHD9	non_indicated
CHD8	non_indicated
CAP1	non_indicated
CAP2	non_indicated
NPC2	non_indicated
NPC1	non_indicated
6-Mar	non_indicated
RAB3GAP2	non_indicated
IL4R	non_indicated
TTC3	non_indicated
