Gene	Status
RNF12	non_indicated
NM_016641	non_indicated
Contig63171_RC	non_indicated
AL832253	non_indicated
AL832252	non_indicated
PMM2	non_indicated
ASS1	non_indicated
Contig13957_RC	non_indicated
C6orf142	non_indicated
NM_205855	non_indicated
ZNF702	non_indicated
SPR	non_indicated
hCT1957917.1	non_indicated
ZNF706	non_indicated
Contig37920_RC	non_indicated
HMGCLL1	non_indicated
AK057974	non_indicated
GRIN1	non_indicated
Contig24308_RC	non_indicated
FOXQ1	non_indicated
IXL	non_indicated
SP6	non_indicated
XM_211811	non_indicated
OPA1	non_indicated
Contig45303_RC	non_indicated
Contig404	non_indicated
Contig48021_RC	non_indicated
XM_210492	non_indicated
ITGA8	non_indicated
ITGA9	non_indicated
UGCG	non_indicated
ATP2A2	non_indicated
ITGA1	non_indicated
ITGA2	non_indicated
ITGA5	non_indicated
RIT1	RASopathy_gene
PHLDA2	non_indicated
AK026818	non_indicated
GAP43	non_indicated
AL110176	non_indicated
HRH3	non_indicated
FBXL17	non_indicated
FBXL16	non_indicated
FBXL19	non_indicated
H19	non_indicated
GRP	non_indicated
THSD4	non_indicated
THSD3	non_indicated
COL4A6	non_indicated
COL4A5	non_indicated
COL4A4	non_indicated
COL4A3	non_indicated
COL4A2	non_indicated
COL4A1	non_indicated
CHST1	non_indicated
CHST3	non_indicated
CHST7	non_indicated
HSS00046440	non_indicated
BCL2A1	non_indicated
Contig53080_RC	non_indicated
ITGAV	non_indicated
PREP	non_indicated
ITGAM	non_indicated
HLF	non_indicated
NOV	non_indicated
SMAD9	non_indicated
SMAD6	non_indicated
SMAD3	non_indicated
Contig23804_RC	non_indicated
Contig565_RC	non_indicated
HS3ST2	non_indicated
AA082669	non_indicated
SLC36A1	non_indicated
AK091357	non_indicated
C14orf111	non_indicated
ART3	non_indicated
ART5	non_indicated
HERC2P4	non_indicated
HERC2P7	non_indicated
HSS00008035	non_indicated
HSS00008036	non_indicated
Contig51566_RC	non_indicated
HSS00264849	non_indicated
Contig15167_RC	non_indicated
PIPOX	non_indicated
CADPS2	non_indicated
CCDC113	non_indicated
ATP1A3	non_indicated
ATP1A2	non_indicated
ATP1A1	non_indicated
DPT	non_indicated
CUEDC1	non_indicated
CPEB1	non_indicated
hCT1641284.2	non_indicated
CPEB3	non_indicated
ABAT	non_indicated
XM_113795	non_indicated
RSE_00000397169	non_indicated
AK056610	non_indicated
Contig45091_RC	non_indicated
Contig42274_RC	non_indicated
IGFBPL1	non_indicated
TNRC9	non_indicated
AK024121	non_indicated
CAMKV	non_indicated
TNRC4	non_indicated
CFH	non_indicated
GPT2	non_indicated
CFB	non_indicated
AK092114	non_indicated
ATP6V0E2	non_indicated
HAMP	non_indicated
SIDT1	non_indicated
SIX4	non_indicated
SIX5	non_indicated
MR1	non_indicated
SIX3	non_indicated
AL832082	non_indicated
AL832086	non_indicated
KNDC1	non_indicated
TMEM142A	non_indicated
C4orf18	non_indicated
C4orf19	non_indicated
MRO	non_indicated
ENST00000274460	non_indicated
EFHA2	non_indicated
RFPL1	non_indicated
BC034606	non_indicated
AK055705	non_indicated
RFX4	non_indicated
AK000908	non_indicated
NRXN3	non_indicated
3-Sep	non_indicated
NRXN1	non_indicated
HSS00138245	non_indicated
RFPL2	non_indicated
UQCRC1	non_indicated
PAPLN	non_indicated
AL137364	non_indicated
KHDRBS3	non_indicated
KHDRBS2	non_indicated
AK094210	non_indicated
AF074993	non_indicated
Contig36928	non_indicated
DPYSL2	non_indicated
PODN	non_indicated
C11orf9	non_indicated
Contig45345_RC	non_indicated
IGFBP2	non_indicated
IGFBP3	non_indicated
IGFBP1	non_indicated
IGFBP6	non_indicated
IGFBP7	non_indicated
IGFBP4	non_indicated
IGFBP5	non_indicated
AL109696	non_indicated
PPM2C	non_indicated
HSS00248228	non_indicated
GJA1	non_indicated
GJA4	non_indicated
GJA5	non_indicated
C15orf21	non_indicated
NM_015980	non_indicated
C15orf28	non_indicated
SEZ6L	non_indicated
TMC6	non_indicated
TMC7	non_indicated
HIST1H4C	non_indicated
TMC8	non_indicated
PRKAR2B	non_indicated
C20orf54	non_indicated
TXNIP	non_indicated
C20orf58	non_indicated
TMEM14A	non_indicated
IFI16	non_indicated
MYT1L	non_indicated
ECGF1	non_indicated
C9orf125	non_indicated
CLIC6	non_indicated
CLIC4	non_indicated
CLIC5	non_indicated
hCT2329700	non_indicated
CLIC3	non_indicated
CLIC1	non_indicated
CXorf6	non_indicated
RIT2	non_indicated
PSCDBP	non_indicated
TMEM144	non_indicated
Contig23404_RC	non_indicated
TMEM140	non_indicated
AK021687	non_indicated
TMEM149	non_indicated
NM_022129	non_indicated
KIAA1199	non_indicated
HLA-DPA1	non_indicated
AK021689	non_indicated
HSS00136257	non_indicated
HSS00058585	non_indicated
FER1L3	non_indicated
Contig51943_RC	non_indicated
ZMAT1	non_indicated
NM_175059	non_indicated
ZMAT4	non_indicated
SMOC2	non_indicated
SMOC1	non_indicated
Contig43527	non_indicated
CTCFL	non_indicated
M6PRBP1	non_indicated
RSE_00000565165	non_indicated
BC035119	non_indicated
C11orf11	non_indicated
AK021972	non_indicated
AF038190	non_indicated
AK021977	non_indicated
RAC2	non_indicated
VCL	non_indicated
CPLX2	non_indicated
CPLX1	non_indicated
CADPS	non_indicated
PBX1	non_indicated
Contig15728_RC	non_indicated
Contig26616_RC	non_indicated
ENST00000276514	non_indicated
CDR2L	non_indicated
Contig14720_RC	non_indicated
hCT1654206.2	non_indicated
CLEC14A	non_indicated
hCT1970919	non_indicated
CALM3	non_indicated
SPG20	non_indicated
HSS00142930	non_indicated
UPK1B	non_indicated
DLGAP2	non_indicated
HSS00004048	non_indicated
SRPX2	non_indicated
MBNL3	non_indicated
HRH1	non_indicated
CLCN4	non_indicated
Contig6323_RC	non_indicated
Contig32183_RC	non_indicated
DNAJA1	non_indicated
PTPN13	non_indicated
BC035072	non_indicated
AK093652	non_indicated
Contig44568_RC	non_indicated
MAGEL2	non_indicated
AK022117	non_indicated
ENST00000254279	non_indicated
CH25H	non_indicated
C16orf74	non_indicated
XM_066394	non_indicated
CSF2RA	non_indicated
C16orf70	non_indicated
4-Mar	non_indicated
DMN	non_indicated
GAB1	non_indicated
AK023601	non_indicated
NKX2-2	non_indicated
NPTX2	non_indicated
NPTX1	non_indicated
NDRG1	non_indicated
NDRG3	non_indicated
NDRG4	non_indicated
Contig30343_RC	non_indicated
RNF130	non_indicated
VIL2	non_indicated
TUSC5	non_indicated
AK026384	non_indicated
ENOSF1	non_indicated
TSHZ2	non_indicated
MRC2	non_indicated
Contig26278_RC	non_indicated
AI962169	non_indicated
TIPARP	non_indicated
AK056396	non_indicated
AK022016	non_indicated
AF086190	non_indicated
CAMKK2	non_indicated
CAMKK1	non_indicated
AK096685	non_indicated
NPTXR	non_indicated
hCT1645818.3	non_indicated
MYO1F	non_indicated
MYO1E	non_indicated
MYO1D	non_indicated
NM_173519	non_indicated
hCT1971424.1	non_indicated
CHMP6	non_indicated
BCR	non_indicated
PGBD5	non_indicated
PGBD1	non_indicated
PPAPDC1A	non_indicated
NM_001001681	non_indicated
CHST6	non_indicated
GALNTL5	non_indicated
CEP55	non_indicated
GALNTL1	non_indicated
NM_175917	non_indicated
