Gene	Status
ARHGEF10L	non_indicated
GTF2IP1	non_indicated
C16orf13	non_indicated
MZT2A	non_indicated
MZT2B	non_indicated
PMM1	non_indicated
ZNF709	non_indicated
ZNF708	non_indicated
ZNF879	non_indicated
ZNF878	non_indicated
NID2	non_indicated
CAMK1	non_indicated
SPR	non_indicated
ZNF707	non_indicated
CAMK4	non_indicated
ZNF704	non_indicated
SPN	non_indicated
LOC441204	non_indicated
GRINA	non_indicated
SP4	non_indicated
LOC441208	non_indicated
GOLIM4	non_indicated
RAB40C	non_indicated
RAB40B	non_indicated
COL7A1	non_indicated
GTSE1	non_indicated
ITGA9	non_indicated
UGCG	non_indicated
ATP2A1	non_indicated
ATP2A3	non_indicated
ITGA1	non_indicated
ITGA2	non_indicated
ITGA3	non_indicated
ITGA4	non_indicated
ITGA5	non_indicated
ITGA6	non_indicated
ITGA7	non_indicated
DENND4A	non_indicated
DENND4C	non_indicated
SWAP70	non_indicated
PHLDA1	non_indicated
PHLDA3	non_indicated
UFSP2	non_indicated
ZNF37BP	non_indicated
SQLE	non_indicated
FBXL13	non_indicated
FBXL15	non_indicated
CYP27B1	non_indicated
FBXL17	non_indicated
FBXL16	non_indicated
FAM169A	non_indicated
FAM116B	non_indicated
GHDC	non_indicated
RPL34	non_indicated
SDK2	non_indicated
TPRN	non_indicated
THSD1	non_indicated
COL4A4	non_indicated
COL4A3	non_indicated
GRN	non_indicated
CHST2	non_indicated
GCLM	non_indicated
CHST7	non_indicated
ITGAX	non_indicated
BCL2A1	non_indicated
HLCS	non_indicated
NOG	non_indicated
ITGAV	non_indicated
HIBCH	non_indicated
ZNF703	non_indicated
ITGAL	non_indicated
ITGAM	non_indicated
FAM134B	non_indicated
TRERF1	non_indicated
LRPAP1	non_indicated
SMAD5	non_indicated
SMAD7	non_indicated
GOLPH3L	non_indicated
SMAD1	non_indicated
SMAD3	non_indicated
RFK	non_indicated
IGF2R	non_indicated
ABHD14B	non_indicated
SLC36A4	non_indicated
CKS1B	non_indicated
SLC36A1	non_indicated
C14orf118	non_indicated
ARTN	non_indicated
HERC2P2	non_indicated
TCEA2	non_indicated
MGC57346	non_indicated
MEI1	non_indicated
CRTAM	non_indicated
PIPOX	non_indicated
CCDC114	non_indicated
CCDC112	non_indicated
CCDC113	non_indicated
ATP1A3	non_indicated
SPHK1	non_indicated
IPO11	non_indicated
CPEB4	non_indicated
CPEB3	non_indicated
CPEB2	non_indicated
BEGAIN	non_indicated
ZNF44	non_indicated
ABAT	non_indicated
ZNF780A	non_indicated
ZNF780B	non_indicated
TP53TG5	non_indicated
RHEBL1	non_indicated
IFT80	non_indicated
IFT81	non_indicated
IFT88	non_indicated
DEPDC1	non_indicated
XPA	non_indicated
INE2	non_indicated
CNTF	non_indicated
MCM10	non_indicated
IL10RB	non_indicated
ATG4D	non_indicated
CFH	non_indicated
GPT2	non_indicated
PNP	non_indicated
ANKFY1	non_indicated
CFB	non_indicated
ATP6V0E2	non_indicated
CFP	non_indicated
SIDT1	non_indicated
SIDT2	non_indicated
SIX5	non_indicated
WASH3P	non_indicated
NAALAD2	non_indicated
SNORD102	non_indicated
