Gene	Status
RNF14	non_indicated
UBE2Q2	non_indicated
RNF10	non_indicated
RNF11	non_indicated
RNF13	non_indicated
LOC100506866	non_indicated
LOC100506860	non_indicated
C16orf13	non_indicated
MZT2A	non_indicated
ATRX	non_indicated
FHIT	non_indicated
ALDH6A1	non_indicated
ZNF709	non_indicated
ZNF708	non_indicated
ZNF879	non_indicated
LOC100653024	non_indicated
CAMK1	non_indicated
ZNF701	non_indicated
ZNF700	non_indicated
ZNF706	non_indicated
ZC3H13	non_indicated
ZC3H15	non_indicated
ZC3H14	non_indicated
RNF111	non_indicated
A2M-AS1	non_indicated
REM2	non_indicated
FOXQ1	non_indicated
DHX9	non_indicated
NUP98	non_indicated
SP1	non_indicated
XPA	non_indicated
SP3	non_indicated
SP4	non_indicated
SPPL3	non_indicated
GOLIM4	non_indicated
OPA1	non_indicated
RAB40C	non_indicated
RAB40B	non_indicated
LOC100131015	non_indicated
SPPL2B	non_indicated
NSL1	non_indicated
ITGA9	non_indicated
UGCG	non_indicated
ATP2A2	non_indicated
ITGA1	non_indicated
NOP2	non_indicated
ITGA4	non_indicated
ITGA6	non_indicated
ITGA7	non_indicated
DENND4A	non_indicated
DENND4C	non_indicated
SWAP70	non_indicated
PHLDA1	non_indicated
UFSP2	non_indicated
ZNF37BP	non_indicated
FBXL13	non_indicated
HRH2	non_indicated
FBXL14	non_indicated
FBXL16	non_indicated
FAM116B	non_indicated
FAM116A	non_indicated
H19	non_indicated
SDK2	non_indicated
ACTG1P4	non_indicated
KANSL1-AS1	non_indicated
FAM212B	non_indicated
ZFP161	non_indicated
CHST2	non_indicated
CHST7	non_indicated
HLX	non_indicated
NOG	non_indicated
ITGAV	non_indicated
SIGMAR1	non_indicated
ZNF703	non_indicated
ITGAM	non_indicated
NOV	non_indicated
ITGAD	non_indicated
FAM134B	non_indicated
SMAD9	non_indicated
TRERF1	non_indicated
SMAD4	non_indicated
SMAD5	non_indicated
SMAD7	non_indicated
SMAD1	non_indicated
SMAD2	non_indicated
SMAD3	non_indicated
F12	non_indicated
NECAP1	non_indicated
IGF2R	non_indicated
SLC36A4	non_indicated
CKS1B	non_indicated
