Gene	Status
UBE2Q1	non_indicated
HIF3A	non_indicated
UBE2Q2	non_indicated
RNF13	non_indicated
REM2	non_indicated
LOC100506860	non_indicated
C16orf13	non_indicated
FGFR1OP2	non_indicated
NDP	non_indicated
PMM1	non_indicated
ASS1	non_indicated
ZNF709	non_indicated
DISC1	non_indicated
CAMK1	non_indicated
CAMK4	non_indicated
ZNF704	non_indicated
ZC3H15	non_indicated
RNF111	non_indicated
FOXQ1	non_indicated
DHX9	non_indicated
TCOF1	non_indicated
NUP98	non_indicated
SP1	non_indicated
SP3	non_indicated
NUP93	non_indicated
SP6	non_indicated
SPPL3	non_indicated
GOLIM4	non_indicated
OPA1	non_indicated
RAB40C	non_indicated
RAB40B	non_indicated
COL7A1	non_indicated
GTSE1	non_indicated
LOC100131015	non_indicated
SPPL2B	non_indicated
ITGA8	non_indicated
UGCG	non_indicated
ATP2A2	non_indicated
ATP2A3	non_indicated
ITGA1	non_indicated
ITGA2	non_indicated
ITGA3	non_indicated
ITGA4	non_indicated
ITGA5	non_indicated
RIT1	RASopathy_gene
ITGA7	non_indicated
DENND4A	non_indicated
DENND4C	non_indicated
SWAP70	non_indicated
UFSP1	non_indicated
PHLDA2	non_indicated
LOC100652777	non_indicated
PAMR1	non_indicated
ZNF37BP	non_indicated
TIPRL	non_indicated
FBXL14	non_indicated
HRH1	non_indicated
SDK1	non_indicated
ACTG1P4	non_indicated
KANSL1-AS1	non_indicated
TPRN	non_indicated
THSD4	non_indicated
FAM212B	non_indicated
COL4A6	non_indicated
COL4A5	non_indicated
HMGB3P1	non_indicated
COL4A3	non_indicated
COL4A2	non_indicated
COL4A1	non_indicated
CHST2	non_indicated
CHST5	non_indicated
CHST7	non_indicated
CHST6	non_indicated
ITGAX	non_indicated
BCL2A1	non_indicated
LOC100653024	non_indicated
GPSM3	non_indicated
ZNF703	non_indicated
ITGAL	non_indicated
ITGAM	non_indicated
HLF	non_indicated
NOV	non_indicated
GPSM1	non_indicated
FAM134B	non_indicated
FAM134A	non_indicated
LOC100287896	non_indicated
SMAD9	non_indicated
TRERF1	non_indicated
SMAD4	non_indicated
SMAD5	non_indicated
SMAD7	non_indicated
RIC3	non_indicated
SMAD2	non_indicated
IGF2R	non_indicated
PLRG1	non_indicated
SLC36A1	non_indicated
ERICH1	non_indicated
HERC2P7	non_indicated
TCEA2	non_indicated
TCEA3	non_indicated
TCEA1	non_indicated
MGC57346	non_indicated
MEI1	non_indicated
COX4I1	non_indicated
CRTAM	non_indicated
LAPTM4B	non_indicated
PIPOX	non_indicated
MCF2L	non_indicated
ATP1A2	non_indicated
GUSBP1	non_indicated
MGRN1	non_indicated
CRTAP	non_indicated
DHX8	non_indicated
SPHK1	non_indicated
DPT	non_indicated
IPO11	non_indicated
IPO13	non_indicated
CPEB4	non_indicated
CPEB3	non_indicated
CPEB2	non_indicated
RBMXL1	non_indicated
ABAT	non_indicated
ZNF780A	non_indicated
ZNF780B	non_indicated
FRG1	non_indicated
IFT80	non_indicated
TP53TG1	non_indicated
NPY6R	non_indicated
MCM10	non_indicated
ATG4B	non_indicated
CFH	non_indicated
CFI	non_indicated
ANKFY1	non_indicated
CFB	non_indicated
TPT1-AS1	non_indicated
MLLT4	non_indicated
CREBBP	non_indicated
PNN	non_indicated
ATP6V0E1	non_indicated
ATP6V0E2	non_indicated
CFP	non_indicated
ADCY10P1	non_indicated
MR1	non_indicated
CNPY3	non_indicated
HMG20B	non_indicated
PHOSPHO2	non_indicated
AAGAB	non_indicated
C4orf19	non_indicated
C3orf78	non_indicated
C3orf75	non_indicated
COPG1	non_indicated
C3orf70	non_indicated
MRO	non_indicated
ZFP82	non_indicated
SYPL1	non_indicated
RCOR3	non_indicated
RFX5	non_indicated
RFX6	non_indicated
RFX7	non_indicated
NRXN3	non_indicated
NRXN2	non_indicated
RFX2	non_indicated
RFX3	non_indicated
IBA57	non_indicated
APC	non_indicated
XPNPEP1	non_indicated
XPNPEP2	non_indicated
XPNPEP3	non_indicated
GGCX	non_indicated
PAPLN	non_indicated
RETSAT	non_indicated
ZNF57	non_indicated
KHDRBS1	non_indicated
ZBED4	non_indicated
C11orf1	non_indicated
DPYSL3	non_indicated
C11orf9	non_indicated
IGFBP2	non_indicated
IGFBP3	non_indicated
IGFBP6	non_indicated
IGFBP7	non_indicated
IGFBP5	non_indicated
GJA1	non_indicated
C15orf24	non_indicated
GJA4	non_indicated
GJA5	non_indicated
GJA9	non_indicated
PMS2P5	non_indicated
C15orf29	non_indicated
KDM3B	non_indicated
ZNF117	non_indicated
TMC4	non_indicated
TMC5	non_indicated
TMC6	non_indicated
APIP	non_indicated
TMC8	non_indicated
PRKAR2A	non_indicated
PRKAR2B	non_indicated
MAGT1	non_indicated
TXNIP	non_indicated
CEP70	non_indicated
TMEM14B	non_indicated
MECOM	non_indicated
RSPH1	non_indicated
LOC440944	non_indicated
CEPT1	non_indicated
CLIC6	non_indicated
PHACTR4	non_indicated
CLIC4	non_indicated
NOP2	non_indicated
NLGN2	non_indicated
PHACTR2	non_indicated
TMEM144	non_indicated
TMEM143	non_indicated
ITGA6	non_indicated
FOXL1	non_indicated
SF1	non_indicated
API5	non_indicated
MAP3K8	non_indicated
SOWAHA	non_indicated
SECISBP2L	non_indicated
SOWAHC	non_indicated
FANCI	non_indicated
KIAA1199	non_indicated
HLA-DPA1	non_indicated
FER1L4	non_indicated
ZMAT1	non_indicated
ZMAT3	non_indicated
C19orf24	non_indicated
MYBL1	non_indicated
NR1D1	non_indicated
SMOC1	non_indicated
ZNF7	non_indicated
LOC100506676	non_indicated
ZNF3	non_indicated
TIPIN	non_indicated
PHLDA1	non_indicated
ZAP70	non_indicated
CDC5L	non_indicated
RAC2	non_indicated
RAC1	non_indicated
SBDS	non_indicated
VCP	non_indicated
AP2A2	non_indicated
LOC389332	non_indicated
CADPS	non_indicated
PBX2	non_indicated
PBX3	non_indicated
LOC100507286	non_indicated
NSUN5	non_indicated
NSUN4	non_indicated
NSUN7	non_indicated
NSUN6	non_indicated
TUBG1	non_indicated
TUBG2	non_indicated
TARP	non_indicated
TUFM	non_indicated
LOC100652770	non_indicated
RAD9A	non_indicated
ERGIC2	non_indicated
RRP7A	non_indicated
CDR2L	non_indicated
B3GAT3	non_indicated
LOC100506268	non_indicated
CPPED1	non_indicated
LOC728537	non_indicated
CALM1	non_indicated
GSDMB	non_indicated
SRPX2	non_indicated
DLGAP5	non_indicated
MBNL1	non_indicated
MBNL2	non_indicated
CYP27B1	non_indicated
PLK2	non_indicated
OIP5	non_indicated
CLCN3	non_indicated
CLCN5	non_indicated
CLCN4	non_indicated
BRD4	non_indicated
BRD7	non_indicated
RRN3P1	non_indicated
BRD2	non_indicated
DNAJA2	non_indicated
DNAJA4	non_indicated
PTPN13	non_indicated
PTPN12	non_indicated
PTPN11	RASopathy_gene
PTPN14	non_indicated
LYAR	non_indicated
HCRP1	non_indicated
CSF2RB	non_indicated
LOC100506848	non_indicated
CSF2RA	non_indicated
MRPL21	non_indicated
MRPL20	non_indicated
MRPL23	non_indicated
H19	non_indicated
GAB3	non_indicated
GAB1	non_indicated
HABP4	non_indicated
C2orf82	non_indicated
NPTX2	non_indicated
C2orf88	non_indicated
NDRG2	non_indicated
NDRG3	non_indicated
LOC100653004	non_indicated
SRSF4	non_indicated
SRSF7	non_indicated
SRSF6	non_indicated
CHD1L	non_indicated
SRSF3	non_indicated
HOXA6	non_indicated
MZB1	non_indicated
HOXA5	non_indicated
GLIS3-AS1	non_indicated
DNAJB13	non_indicated
DNAJB12	non_indicated
VIL1	non_indicated
CDK3	non_indicated
HLA-DQB1	non_indicated
RNF135	non_indicated
HLA-DQB2	non_indicated
CISD3	non_indicated
CLNS1A	non_indicated
MRC1	non_indicated
TSHZ2	non_indicated
TSHZ3	non_indicated
TSHZ1	non_indicated
NOSIP	non_indicated
VILL	non_indicated
ZNF581	non_indicated
ZNF580	non_indicated
ZNF586	non_indicated
ZNF589	non_indicated
LPAR6	non_indicated
LSM12	non_indicated
CAMKK2	non_indicated
COL4A4	non_indicated
MTRF1L	non_indicated
ARHGAP5-AS1	non_indicated
MYO1G	non_indicated
MYO1F	non_indicated
