Gene	Status
AF085998	non_indicated
AF085999	non_indicated
GTF2IP1	non_indicated
AF085997	non_indicated
AL832253	non_indicated
AL832252	non_indicated
ASS1	non_indicated
Contig13957_RC	non_indicated
C6orf142	non_indicated
ZNF701	non_indicated
CAMK4	non_indicated
RNF114	non_indicated
RNF112	non_indicated
AK026368	non_indicated
HMGCLL1	non_indicated
AK057974	non_indicated
AK057970	non_indicated
ENST00000299129	non_indicated
Contig24308_RC	non_indicated
SP4	non_indicated
SP5	non_indicated
XM_211811	non_indicated
GOLIM4	non_indicated
OPA3	non_indicated
OPA1	non_indicated
Contig45303_RC	non_indicated
ITGA8	non_indicated
ITGA9	non_indicated
ITGA1	non_indicated
ITGA2	non_indicated
HSS00369006	non_indicated
ITGA6	non_indicated
AK096731	non_indicated
Contig62768_RC	non_indicated
DENND4C	non_indicated
PHLDA1	non_indicated
PHLDA3	non_indicated
PHLDA2	non_indicated
GAP43	non_indicated
AL110176	non_indicated
AK026816	non_indicated
FBXL16	non_indicated
FAM169A	non_indicated
SDK1	non_indicated
THSD4	non_indicated
THSD3	non_indicated
COL4A6	non_indicated
COL4A5	non_indicated
COL4A4	non_indicated
COL4A3	non_indicated
COL4A2	non_indicated
COL4A1	non_indicated
CHST3	non_indicated
CHST2	non_indicated
CHST4	non_indicated
ITGAX	non_indicated
hCT1786154.2	non_indicated
BCL2A1	non_indicated
HSS00133812	non_indicated
HIBCH	non_indicated
ITGAM	non_indicated
NOV	non_indicated
hCT1826921.1	non_indicated
ITGAD	non_indicated
FAM134B	non_indicated
SMAD9	non_indicated
SMAD5	non_indicated
SMAD7	non_indicated
SMAD1	non_indicated
hCT1970544.1	non_indicated
Contig23804_RC	non_indicated
HSS00175926	non_indicated
Contig565_RC	non_indicated
F10	non_indicated
HSS00373488	non_indicated
NSBP1	non_indicated
AB062477	non_indicated
HERC2P3	non_indicated
ART5	non_indicated
ART4	non_indicated
HSS00008035	non_indicated
TCEA3	non_indicated
Contig51566_RC	non_indicated
Contig28455_RC	non_indicated
HSS00264849	non_indicated
CRTAM	non_indicated
ENST00000299128	non_indicated
CCDC113	non_indicated
ATP1A2	non_indicated
AJ410921	non_indicated
CRTAP	non_indicated
DPT	non_indicated
CPEB4	non_indicated
HSS00223986	non_indicated
ZNF780A	non_indicated
Contig45091_RC	non_indicated
NM_018059	non_indicated
C20orf149	non_indicated
CFH	non_indicated
CFI	non_indicated
CFD	non_indicated
CFB	non_indicated
MLLT4	non_indicated
PNN	non_indicated
CFP	non_indicated
HAMP	non_indicated
GPR42P	non_indicated
SIDT1	non_indicated
hCT1846674.1	non_indicated
AL833423	non_indicated
AL833425	non_indicated
SIX4	non_indicated
MR1	non_indicated
HSS00102527	non_indicated
WASH3P	non_indicated
COPG2	non_indicated
KNDC1	non_indicated
PHOSPHO2	non_indicated
C4orf19	non_indicated
MRO	non_indicated
XM_171631	non_indicated
Contig52981_RC	non_indicated
NUDT9P1	non_indicated
AK000908	non_indicated
APP	non_indicated
NRXN3	non_indicated
NRXN2	non_indicated
NRXN1	non_indicated
RFX3	non_indicated
hCT8490.1	non_indicated
APC	non_indicated
XPNPEP3	non_indicated
PAPLN	non_indicated
RETSAT	non_indicated
AK022474	non_indicated
LHCGR	non_indicated
AK094210	non_indicated
Contig6270_RC	non_indicated
AF074993	non_indicated
DPYSL4	non_indicated
DPYSL3	non_indicated
PTPRCAP	non_indicated
C11orf9	non_indicated
MRGPRE	non_indicated
IGFBP2	non_indicated
NM_016459	non_indicated
IGFBP1	non_indicated
IGFBP6	non_indicated
IGFBP7	non_indicated
IGFBP4	non_indicated
IGFBP5	non_indicated
PPM2C	non_indicated
CYP2R1	non_indicated
AL109691	non_indicated
GJA1	non_indicated
C15orf23	non_indicated
CYP8B1	non_indicated
Contig33975_RC	non_indicated
TMC4	non_indicated
BC023568	non_indicated
AK096407	non_indicated
TMC8	non_indicated
PRKAR2B	non_indicated
TXNIP	non_indicated
C20orf59	non_indicated
S1PR4	non_indicated
MLF1	non_indicated
QPRT	non_indicated
TMEM14B	non_indicated
RSPH1	non_indicated
C9orf125	non_indicated
CLIC6	non_indicated
CFHR1	non_indicated
NLGN2	non_indicated
CLIC3	non_indicated
PHACTR3	non_indicated
PHACTR2	non_indicated
ASGR1	non_indicated
HSS00186073	non_indicated
FOXL2	non_indicated
RIT1	RASopathy_gene
TMEM140	non_indicated
AK021687	non_indicated
TMEM149	non_indicated
Contig29721_RC	non_indicated
UBE2NL	non_indicated
KIAA1199	non_indicated
HLA-DPA1	non_indicated
FER1L3	non_indicated
Contig51943_RC	non_indicated
ZMAT1	non_indicated
ZMAT3	non_indicated
MYBL1	non_indicated
SMOC2	non_indicated
NM_178531	non_indicated
ITGB1BP1	non_indicated
hCT1816228	non_indicated
C11orf17	non_indicated
AF038199	non_indicated
AK021971	non_indicated
AF038190	non_indicated
AK021977	non_indicated
RAC2	non_indicated
RAC1	non_indicated
SBDS	non_indicated
AP2A2	non_indicated
Contig15261_RC	non_indicated
PBX4	non_indicated
PBX2	non_indicated
NSUN6	non_indicated
Contig26616_RC	non_indicated
ENST00000276514	non_indicated
HSS00166327	non_indicated
RRP7A	non_indicated
CDR2L	non_indicated
Contig14720_RC	non_indicated
hCT1970919	non_indicated
CALM2	non_indicated
GSDMA	non_indicated
GSDMB	non_indicated
HSS00142930	non_indicated
HSS00004048	non_indicated
SRPX2	non_indicated
MBNL2	non_indicated
HRH1	non_indicated
CLCN5	non_indicated
BRD4	non_indicated
LRRFIP1	non_indicated
DNAJA1	non_indicated
PTPN13	non_indicated
PTPN12	non_indicated
BC035072	non_indicated
Contig44568_RC	non_indicated
GALR1	non_indicated
AK022111	non_indicated
AK022117	non_indicated
ENST00000254279	non_indicated
CH25H	non_indicated
C16orf75	non_indicated
CSF2RA	non_indicated
DMD	non_indicated
LYRM5	non_indicated
9-Sep	non_indicated
Contig11523_RC	non_indicated
NPTX2	non_indicated
NPTX1	non_indicated
NDRG1	non_indicated
NDRG2	non_indicated
NDRG4	non_indicated
AF211977	non_indicated
Contig30343_RC	non_indicated
RAPH1	non_indicated
HLA-DQB1	non_indicated
AK022801	non_indicated
DNAJB14	non_indicated
XM_087349	non_indicated
HSS00067123	non_indicated
TSHZ2	non_indicated
CHML	non_indicated
FOXS1	non_indicated
Contig26278_RC	non_indicated
TIPARP	non_indicated
AK056396	non_indicated
AK098218	non_indicated
BC035400	non_indicated
AF086196	non_indicated
AF086191	non_indicated
AF086190	non_indicated
CAMKK2	non_indicated
hCT1970898.1	non_indicated
AL050027	non_indicated
AK096685	non_indicated
LPAR4	non_indicated
hCT29540.1	non_indicated
hCT1645818.3	non_indicated
hCT1833679.2	non_indicated
MYO1F	non_indicated
MYO1D	non_indicated
XM_211749	non_indicated
tcag7.907	non_indicated
BCR	non_indicated
