source	target
RSE_00000753518	GATM
RSE_00000753518	NIPSNAP3B
RSE_00000753518	CIDEA
RSE_00000753518	SRPX
RSE_00000733189	C9orf80
RSE_00000733189	ZNF432
RSE_00000733189	HSS00094923
RSE_00000733189	HSS00061138
RSE_00000733189	HSS00049121
DDX6	MIRN101-1
DDX6	CDC14B
HSP90AA5P	CDC42BPA
HSP90AA5P	C13orf31
HSP90AA5P	AKAP2
HSP90AA5P	PTMAP7
RSE_00000840432	EPHA4
RSE_00000840432	UBE2H
RSE_00000840432	HSS00031488
POU2F2	FZD2
POU2F2	Contig35866_RC
EEF1A2	NELL1
EEF1A2	EPPK1
EEF1A2	HSS00296809
GSTZ1	SURF1
GSTZ1	AHNAK
BTNL3	BTNL8
RPL9	EEF1B2
RPL9	hCT20524.3
RPL9	hCT1640337.3
RPL9	hCT1817470.1
RPL9	RPL9
HLA-B	Contig14433_RC
HLA-B	PSME2
HLA-B	TAP1
HLA-B	HLA-G
HLA-B	HLA-A
HLA-B	XM_167124
Contig31335_RC	AK055510
GPR160	KLRG1
GPR160	TM4SF18
AL137347	PTHR1
Contig53177_RC	Contig40234_RC
Contig53177_RC	AK056037
Contig53177_RC	C8orf59
Contig53177_RC	AK023363
Contig53177_RC	SNORD54
Contig53177_RC	SNORD47
RB1CC1	Contig46242_RC
RB1CC1	CHML
RB1CC1	AL832164
RB1CC1	HSS00296528
MAP1B	ADAM22
MAP1B	ENPP1
MAP1B	RANBP3L
IL18	DFNA5
PLEK	FAM119A
PLEK	SIGLEC7
ASS1	ENST00000297572
ASS1	ELOVL1
ASS1	hCT1641141.3
PPIF	GLI3
PPIF	THRSP
PPIF	MRAP
Contig45062_RC	PCDHGA10
Contig45062_RC	BC023568
LZTS1	DYSF
LZTS1	BCAN
LZTS1	NID2
Contig8581_RC	Contig44425_RC
Contig56513_RC	SERPINA3
Contig56513_RC	NM_001085_sat
FUBP1	ZNF711
FUBP1	TTC32
FUBP1	SFRS18
FUBP1	FKTN
Contig51058_RC	Contig38965_RC
Contig51058_RC	SMC6
Contig51058_RC	HNRNPA2B1
Contig51058_RC	AK026259
XPO1	WBSCR27
Contig33077	AK026368
Contig33077	BC022881
DMD	CD302
DMD	LRP1B
DMD	Contig42977_RC
DMD	ITGB1
DMD	LGR4
Contig6270_RC	Contig39806_RC
Contig6270_RC	Contig33279_RC
Contig6270_RC	NM_018705
Contig6270_RC	AK024962
Contig6270_RC	AK024914
CYP4F2	PLG
MYOT	GPM6B
LIMK1	TOMM20
ITGA6	PTPRB
Contig13480_RC	Contig40128_RC
Contig13480_RC	PHLDA1
Contig13480_RC	AK023718
Contig13480_RC	BC036621
TUBB3	VCAN
TUBB3	PLA2G2A
TUBB3	SEC14L2
TUBB3	MFI2
TUBB3	MLLT11
TUBB3	PDLIM4
DHDH	SFXN2
DHDH	LYPD2
CKMT1B	UCP1
CKMT1B	CKMT1A
ARHGAP23	PLXNA2
ARHGAP23	AL049370
ARHGAP23	KLF2
ARHGAP23	GJC2
ARHGAP23	CELSR1
ARHGAP23	FGFRL1
ARHGAP23	SHB
ARHGAP23	AHDC1
ARHGAP23	MICAL2
ARHGAP23	PODXL
ARHGAP23	ABLIM2
ARHGAP23	AK092660
ARHGAP23	AF147321
ARHGAP23	AK025016
NM_007281	ST6GALNAC5
MORF4	ADSS
MORF4	ARFGAP3
MORF4	AHCYL1
MORF4	OTUD1
MORF4	ENST00000282683
MORF4	RBM18
MORF4	RALB
MORF4	SBDSP
MORF4	SNORD54
EPS8	LMO3
EPS8	TGFBR3
EPS8	CMPK1
EPS8	SASH1
EPS8	hCG_1806964
EPS8	Contig40026_RC
EPS8	PTPN12
EPS8	SVEP1
EPS8	BC040538
EPS8	HSS00063134
EPS8	TNFSF10
CHST4	GALNT14
CHST4	TFPI2
CHST4	RNF182
GAS7	TPPP3
GAS7	ADCY8
GAS7	TGFBI
GAS7	DNM1
GAS7	BDKRB2
GAS7	ANPEP
GAS7	DPYSL3
GAS7	HAS2
GAS7	EMILIN2
GAS7	C14orf139
GAS7	MYADML
GAS7	ZDHHC11
GAS7	KCNMA1
GAS7	SOX9
GAS7	FN1
GAS7	MYADM
GAS7	COL8A2
GAS7	PLXDC1
GAS7	CAMK1D
LPL	Contig44076_RC
LPL	FZD4
LPL	MOSC1
ITLN1	TTC23L
AZIN1	CRY1
SNCG	UCHL1
SNCG	ESR1
SNCG	MB
GADD45B	C14orf82
GADD45B	AXUD1
VAMP2	C14orf4
TULP4	C1orf226
PLEKHA5	AL049227
PLEKHA5	MAN1A2
PLEKHA5	PRUNE2
PLEKHA5	BC031314
CCDC40	ASTN1
CCDC40	WIT1
CCDC40	NGF
CCDC40	NM_018723
CCDC40	GAL3ST1
CCDC40	VTN
CCDC40	Contig48007_RC
CCDC40	KCNJ16
CCDC40	TRIM17
CCDC40	COL9A2
CCDC40	XM_212102
ERBB3	DLEC1
ERBB3	SSTR1
ERBB3	CMTM4
ERBB3	NEK5
AL080082	CLK4
PALMD	CAP2
PALMD	ASPA
PALMD	PPP2R1B
Contig1063_RC	PPM1K
Contig31928_RC	AF038171
CALD1	CNTN1
CALD1	Contig47146_RC
CALD1	MCPH1
CALD1	RRAGD
Contig40234_RC	Contig46563_RC
Contig40234_RC	HSS00300718
FAM65C	VWCE
FAM65C	FAM65C
NPY1R	LIMCH1
NPY1R	MAP4K3
NPY1R	NPY5R
NPY1R	HNMT
NPY1R	OSGIN2
EEF1G	EEF1DP1
FBXO2	PSAPL1
FBXO2	C19orf33
FBXO2	TMEM125
FBXO2	COL17A1
FBXO2	WFDC2
WAPAL	PRPF40A
WAPAL	USP48
WAPAL	TCF4
WAPAL	RPS6KA3
WAPAL	RIT1
IL1R1	CCDC80
IL1R1	SLC7A2
Contig30955_RC	Contig33579_RC
Contig30955_RC	Contig23128_RC
