Term	Overlap	P-value	Adjusted P-value	Z-score	Combined Score	Genes
19520915-Table1	3/19	0.00001747357004	0.00200061998267	-2.99696046188144	18.62400586924857	NQO1;TXNRD1;GCLM
19489030-SuppTable4	6/150	0.00000160860886	0.00087508322096	-2.17794350247903	15.33531742188343	NQO1;RIT1;SERTAD1;TXNRD1;GCLM;SOS1
16790086-tableW1	6/268	0.00003999028451	0.00310781639585	-2.35415054811781	13.59247664852202	NQO1;TXNRD1;SERPINH1;KRAS;GCLM;YWHAH
20460173-ImmPortNaturalKillerCellCytotoxicity	5/130	0.00001515866779	0.00200061998267	-2.06080022363072	12.80642702778689	NRAS;MAP2K1;SHC1;KRAS;SOS1
15793299-TableC	11/967	0.0000122297969	0.00200061998267	-1.99869177932255	12.42046663690503	TPST1;NQO1;GNA14;ARMET;CMAS;PEG3;FXYD3;ACOX1;KIF1B;SCAMP1;CCDC50
19129520-TableS27	3/39	0.00012605961046	0.00748166215582	-2.38870666336422	11.69343644180688	MAP2K1;SHC1;SOS1
15172037-Table1	3/41	0.00014495452569	0.00748166215582	-2.38505461547569	11.67555857068858	PEG3;FXYD3;SERPINH1
17115125-Table2	2/11	0.00040300532685	0.01217971654467	-2.45805857282661	10.83508111281102	NQO1;PIR
17676974-TableS4	6/364	0.00020761200209	0.00868776377963	-2.2696943398622	10.7716055173061	OGFRL1;CSNK2A1;PEG3;SERPINH1;KIF1B;PPIG
17115125-SuppTable2	4/112	0.00015128360977	0.00748166215582	-2.05557267270837	10.06264551796304	NQO1;TXNRD1;PIR;KRAS
15885264-Table1	4/121	0.00020163540764	0.00868776377963	-2.07307247758263	9.83846967634425	TUBB2B;TXNRD1;KRAS;GCLM
18787218-tableS1	8/742	0.00030953381291	0.01122575961478	-2.13472162968669	9.58392705983119	MAGEH1;MLKL;ABHD3;SPAG1;RGS20;UPP1;GCLM;MARK1
12606954-table1b	2/11	0.00040300532685	0.01217971654467	-2.14346353690086	9.44835145159572	TXNRD1;GCLM
17177833-SuppTable1	9/847	0.00013981871378	0.00748166215582	-1.90463176177646	9.32374443164677	CLEC2B;P4HA1;SHC1;ACOX1;MGST1;PPIG;SCAMP1;ZNF124;UHMK1
17115125-SuppTable5	2/17	0.0008756803565	0.0226842911399	-2.39163753504871	9.05493729120324	NQO1;PIR
