Term	Overlap	P-value	Adjusted P-value	Z-score	Combined Score	Genes
fc epsilon ri signaling pathway	5/74	0.00000078440476	0.0000313761903	-2.07650328627153	21.53222030705011	NRAS;MAP2K1;RAC3;KRAS;SOS1
gap junction	5/90	0.00000198098549	0.00003961970979	-1.9110598283914	19.37085375278944	GUCY1B3;NRAS;MAP2K1;KRAS;SOS1
acute myeloid leukemia	4/52	0.00000823764991	0.00007078471364	-1.87011208240256	17.87054325009369	NRAS;MAP2K1;KRAS;SOS1
endometrial cancer	4/52	0.00000823764991	0.00007078471364	-1.8218480119897	17.40933818872081	NRAS;MAP2K1;KRAS;SOS1
non small cell lung cancer	4/53	0.00000884808921	0.00007078471364	-1.81224027958854	17.31752797101999	NRAS;MAP2K1;KRAS;SOS1
natural killer cell mediated cytotoxicity	5/129	0.00001092712564	0.00007284750428	-1.68636503095099	16.06623959315642	NRAS;MAP2K1;RAC3;KRAS;SOS1
glioma	4/62	0.00001595983581	0.00009119906177	-1.65248466534047	15.37218232979439	NRAS;MAP2K1;KRAS;SOS1
vegf signaling pathway	4/68	0.00002260813482	0.00010616996866	-1.52103708781168	13.91820313070066	NRAS;MAP2K1;RAC3;KRAS
renal cell carcinoma	4/69	0.00002388824295	0.00010616996866	-1.45807667162056	13.34208577711117	NRAS;MAP2K1;KRAS;SOS1
chronic myeloid leukemia	4/75	0.00003272432973	0.00011899756266	-1.40494726448041	12.69567606381167	NRAS;MAP2K1;KRAS;SOS1
long term depression	4/73	0.00002954960334	0.00011819841337	-1.3098235815381	11.84492572009699	GUCY1B3;NRAS;MAP2K1;KRAS
colorectal cancer	4/84	0.00005020722945	0.00015024164249	-1.30530246816749	11.490924328866	MAP2K1;RAC3;KRAS;SOS1
erbb signaling pathway	4/85	0.00005250269129	0.00015024164249	-1.26939460495623	11.17481787152424	NRAS;MAP2K1;KRAS;SOS1
prostate cancer	4/86	0.00005487439689	0.00015024164249	-1.22905969871934	10.8197389785603	NRAS;MAP2K1;KRAS;SOS1
regulation of actin cytoskeleton	5/201	0.0000888131967	0.00019736265933	-1.02387300168053	8.73411547895502	NRAS;MAP2K1;RAC3;KRAS;SOS1
gnrh signaling pathway	4/96	0.00008313896313	0.00019562108971	-0.97266223247136	8.30588474021958	NRAS;MAP2K1;KRAS;SOS1
mapk signaling pathway	5/248	0.00023732452445	0.00047464904891	-0.96777379583135	7.4063098297592	NRAS;MAP2K1;RAC3;KRAS;SOS1
melanoma	3/71	0.00076543591303	0.00133119289223	-0.43888939325685	2.90618504173584	NRAS;MAP2K1;KRAS
pancreatic cancer	3/73	0.00082778904233	0.00137964840389	-0.43195299123414	2.84481069149083	MAP2K1;RAC3;KRAS
melanogenesis	3/100	0.00200552431251	0.00320883890002	-0.45895304879953	2.63523778281643	NRAS;MAP2K1;KRAS
b cell receptor signaling pathway	3/62	0.00052226531037	0.00099479106737	-0.37809415733923	2.6137565255968	NRAS;RAC3;KRAS
long term potentiation	3/67	0.00064997146686	0.00118176630338	-0.37915383605964	2.55577935969345	NRAS;MAP2K1;KRAS
focal adhesion	3/192	0.01212831280919	0.01796787082843	-0.49824079131673	2.00251447610868	MAP2K1;RAC3;SOS1
axon guidance	3/126	0.00382196517561	0.00587994642402	-0.38197341085626	1.96189474679095	NRAS;RAC3;KRAS
bladder cancer	3/40	0.00015213251955	0.00032027898854	-0.12603892214095	1.01414926088365	NRAS;MAP2K1;KRAS
tight junction	2/131	0.04529847691168	0.06387007165359	-0.2851524429009	0.78442710686501	NRAS;KRAS
thyroid cancer	3/29	0.00006208293987	0.00015520734969	-0.06931821374655	0.60797262583348	NRAS;MAP2K1;KRAS
dorso ventral axis formation	3/28	0.00005634061593	0.00015024164249	-0.05051230343034	0.44467322367789	MAP2K1;KRAS;SOS1
oxidative phosphorylation	1/126	0.28781921154083	0.31115590436847	0.24136218985538	-0.28178098991857	ATP6V0E1
cell communication	1/137	0.30883161047838	0.32060669695899	0.28247490746887	-0.32132654866833	LMNB1
toll like receptor signaling pathway	1/99	0.23378465459024	0.25976072732249	0.26691078482176	-0.35979423021747	MAP2K1
purine metabolism	1/139	0.31259152953501	0.32060669695899	0.32131457895469	-0.36550823440382	GUCY1B3
jak stat signaling pathway	1/148	0.3292843932721	0.3292843932721	0.38644999770566	-0.42928159748607	SOS1
adherens junction	1/75	0.18268625774929	0.20878429457061	0.42230097469687	-0.66151490041529	RAC3
epithelial cell signaling in helicobacter pylori infection	1/65	0.16050508712392	0.18882951426343	0.5892516431914	-0.98222987606426	ATP6V0E1
cholera infection	1/41	0.10504352775965	0.12732548819352	1.55386478494494	-3.20252864148083	ATP6V0E1
neurodegenerative diseases	1/38	0.09788390945036	0.12235488681295	1.5295170195115	-3.21325454972652	SNCA
alzheimers disease	1/28	0.07364466186246	0.09818669574802	2.15313025772186	-4.99716675785616	SNCA
aminosugars metabolism	1/29	0.07609468920472	0.09818669574802	2.17858312954951	-5.05623993493539	CMAS
parkinsons disease	1/17	0.04630580194886	0.06387007165359	3.88508831904728	-10.68750651062965	SNCA
