Term	Overlap	P-value	Adjusted P-value	Z-score	Combined Score	Genes
cycloserine-3562	15/100	0.00000391849841	0.0223746259303	-1.70122584197627	6.46436513470998	EDEM3;ZNF254;C11ORF63;SSR3;DENND4C;SCD5;LIG4;ARID4A;LIN7A;GTF2H3;UBE2W;C10ORF118;TRIM16;TEAD1;PCYOX1
methotrexate-1957	14/100	0.00001670605997	0.04769580121659	-1.63803633138038	4.98440026139616	VASP;CDKN1A;SAR1B;CSGALNACT2;THUMPD1;PTPLB;TRHDE;KTN1;DMXL1;UBE2NL;SFRS16;ACADM;GCLM;TEAD1
trichostatin A-4302	13/100	0.00006699861872	0.12752070430185	-1.62409087407382	3.34477705542173	DENND5B;CCDC15;YIPF5;FNDC3B;GABPB1;GTF2H3;TOMM22;COL4A3BP;PSAT1;TRIM16;ZNF148;GABPA;CBR3
etifenin-3998	12/100	0.0002516469461	0.23948401037306	-1.65432517167334	2.36447506655386	UBE2W;NFAT5;CDKN1A;COL4A3BP;ITGA2;CCDC15;GTF2H3;ZNF148;TEAD1;SMAD5;LRP6;PCYOX1
sulpiride-4566	12/100	0.0002516469461	0.23948401037306	-1.62734813099352	2.32591762866375	ZNF280D;RIT1;PALMD;PSAT1;IMPAD1;TMOD3;C4ORF19;GDE1;PLA2G4A;ARID4A;GCLM;GABPA
captopril-4585	12/100	0.0002516469461	0.23948401037306	-1.60539439289875	2.29453983956185	UBE2W;COL4A3BP;PTER;DENND5B;PSAT1;ITGA2;CCDC15;FNDC3B;PHACTR2;ZNF148;GLI3;PCYOX1
PHA-00851261E-3773	11/100	0.0008808269034	0.41912680153632	-1.68045742918025	1.46129515555384	ZNF254;MMP14;THRB;PALMD;PRKAR2B;IMPAD1;IREB2;KLHL28;ST3GAL5;ZNF701;SLC16A10
valproic acid-1647	11/100	0.0008808269034	0.41912680153632	-1.66525718185247	1.44807729748877	PRPF39;PTER;NNT;SSR3;YIPF5;FNDC3B;GDE1;B3GNT2;CEPT1;PGD;GABPA
neostigmine bromide-6735	11/100	0.0008808269034	0.41912680153632	-1.65984472667194	1.44337072510102	UBE2W;COL4A3BP;PTER;FNDC3B;LIG4;PHACTR2;DNAJB14;GTF2H3;ZNF148;TEAD1;SMAD5
amantadine-1344	11/100	0.0008808269034	0.41912680153632	-1.62779421087251	1.41550018065435	COL4A3BP;PTER;PCOLCE2;PSAT1;ITGA2;IREB2;YIPF5;SCD5;GDE1;LIG4;B3GNT2
CP-863187-7512	11/100	0.0008808269034	0.41912680153632	-1.60996285082022	1.39999435491376	PANX1;PPP1R2;C11ORF73;RIT1;AKR1B10;PALMD;NNT;PSAT1;ITGA2;NPY1R;CNN3
tretinoin-1636	11/100	0.0008808269034	0.41912680153632	-1.6091699410208	1.39930485500227	PDIA3;PRPF39;COL4A3BP;ANXA1;SEMA3C;PERP;EIF5A2;SSR3;IREB2;YIPF5;B3GNT2
