Term	Overlap	P-value	Adjusted P-value	Z-score	Combined Score	Genes
pirenperone-5274	3/100	0.00858467554588	0.31466738000906	-1.72666750311585	1.99644053942266	GNA14;RGS20;UPP1
sulfafurazole-3218	3/100	0.00858467554588	0.31466738000906	-1.69514141433553	1.95998884181621	OGFRL1;GNA14;RGS20
azlocillin-5788	3/100	0.00858467554588	0.31466738000906	-1.69236960498898	1.95678396737627	C13ORF1;CLEC2B;SERPINH1
memantine-2934	4/100	0.00083483268603	0.31466738000906	-1.69014120935063	1.954207409132	3-MAR;C13ORF1;KIF1B;UPP1
sulfadimidine-4322	3/100	0.00858467554588	0.31466738000906	-1.69011804263024	1.95418062286326	MAGEH1;TUBB2B;ZNF124
acenocoumarol-2077	3/100	0.00858467554588	0.31466738000906	-1.68925685957054	1.95318488930764	TUBB2B;PEG3;ZNF124
solasodine-4305	3/100	0.00858467554588	0.31466738000906	-1.68924554482647	1.95317180675775	C13ORF1;CLEC2B;ZNF124
methacholine chloride-5773	3/100	0.00858467554588	0.31466738000906	-1.68664946186274	1.9501701140386	3-MAR;C13ORF1;CLEC2B
IC-86621-7518	3/100	0.00858467554588	0.31466738000906	-1.67916696162474	1.9415185544393	3-MAR;C13ORF1;PEG3
aceclofenac-2117	3/100	0.00858467554588	0.31466738000906	-1.67468291073742	1.93633391932216	3-MAR;CLEC2B;ZNF124
bacitracin-3109	3/100	0.00858467554588	0.31466738000906	-1.67099578444798	1.93207071961235	C13ORF1;IL3RA;KIF1B
bucladesine-2741	3/100	0.00858467554588	0.31466738000906	-1.67090016047065	1.93196015542757	MAGEH1;C13ORF1;PIR
xylometazoline-2107	3/100	0.00858467554588	0.31466738000906	-1.66842560019198	1.92909897199262	3-MAR;MAGEH1;ZNF124
etofylline-2093	4/100	0.00083483268603	0.31466738000906	-1.66365051552844	1.92357783223394	PCID2;TUBB2B;SERPINH1;UPP1
fenofibrate-7474	3/100	0.00858467554588	0.31466738000906	-1.6633008432269	1.92317352743464	3-MAR;TPST1;MAGEH1
pentoxyverine-1268	4/100	0.00083483268603	0.31466738000906	-1.65639662457593	1.91519059963704	TPST1;NRAS;CMAS;ABHD3
sulfamethoxazole-4690	3/100	0.00858467554588	0.31466738000906	-1.65482516239529	1.91337361356535	TUBB2B;RGS20;UPP1
