Term	Overlap	P-value	Adjusted P-value	Z-score	Combined Score	Genes
15-delta prostaglandin J2-2691	8/100	0.00000000863655	0.00000688332782	-1.69917906349296	20.19713617195554	TPST1;NQO1;RIT1;ABHD3;TXNRD1;SERPINH1;PIR;GCLM
etacrynic acid-1565	8/100	0.00000000863655	0.00000688332782	-1.65250906416034	19.64239750319608	TPST1;NQO1;RIT1;ABHD3;TXNRD1;PIR;GCLM;SOS1
15-delta prostaglandin J2-1172	6/100	0.00000358376696	0.00114250490641	-1.71052559013691	11.58801058796131	NQO1;RIT1;ABHD3;TXNRD1;PIR;GCLM
15-delta prostaglandin J2-6190	6/100	0.00000358376696	0.00114250490641	-1.69361142748308	11.47342504942907	NQO1;RIT1;ABHD3;TXNRD1;PIR;GCLM
myricetin-1334	6/100	0.00000358376696	0.00114250490641	-1.69112936355967	11.45661022760449	NQO1;RIT1;CHD9;TXNRD1;PIR;GCLM
"1,4-chrysenequinone"-1773	5/100	0.00005733195046	0.00913871290381	-1.71117523229615	8.0343710799896	NQO1;RIT1;ABHD3;TXNRD1;GCLM
securinine-2729	5/100	0.00005733195046	0.00913871290381	-1.6968668868047	7.96719002509273	NQO1;RIT1;TXNRD1;PIR;GCLM
15-delta prostaglandin J2-1656	5/100	0.00005733195046	0.00913871290381	-1.67900616792232	7.88332973974731	RIT1;ABHD3;TXNRD1;SERPINH1;GCLM
securinine-4493	5/100	0.00005733195046	0.00913871290381	-1.6777875461887	7.87760802345006	NQO1;RIT1;ABHD3;TXNRD1;GCLM
parthenolide-1736	5/100	0.00005733195046	0.00913871290381	-1.62413009884107	7.62567365982712	NQO1;RIT1;TXNRD1;PIR;GCLM
5182598-976	4/100	0.00075593348542	0.05238947720697	-1.70189554882635	5.01897425898495	RIT1;TXNRD1;GCLM;SREBF2
15-delta prostaglandin J2-5228	4/100	0.00075593348542	0.05238947720697	-1.68589903468293	4.97179974655691	RIT1;ABHD3;TXNRD1;GCLM
menadione-2439	4/100	0.00075593348542	0.05238947720697	-1.68541287105814	4.97036602595042	NQO1;RIT1;SERPINH1;GCLM
15-delta prostaglandin J2-1231	4/100	0.00075593348542	0.05238947720697	-1.68526255759488	4.96992274410306	ABHD3;TXNRD1;SERPINH1;GCLM
nifuroxazide-4835	4/100	0.00075593348542	0.05238947720697	-1.6729646524606	4.93365561281469	TXNRD1;RGS20;KRAS;GCLM
oxyphenbutazone-6160	4/100	0.00075593348542	0.05238947720697	-1.66461827011667	4.90904171793216	NQO1;SERPINH1;PIR;GCLM
withaferin A-4376	4/100	0.00075593348542	0.05238947720697	-1.66404606893429	4.90735426830736	RIT1;ABHD3;TXNRD1;GCLM
tanespimycin-2685	4/100	0.00075593348542	0.05238947720697	-1.65411868360124	4.87807791731159	ABHD3;ACOX1;SERPINH1;PIR
dapsone-1705	4/100	0.00075593348542	0.05238947720697	-1.65057751657957	4.8676348403902	PLEKHA1;SYT1;KRAS;SNCA
docosahexaenoic acid ethyl ester-664	4/100	0.00075593348542	0.05238947720697	-1.65028441730219	4.86677047610563	ABHD3;SERPINH1;GCLM;SCAMP1
geldanamycin-6187	4/100	0.00075593348542	0.05238947720697	-1.65022223470664	4.86658709655178	ABHD3;SERPINH1;PIR;PKN2
