Term	Overlap	P-value	Adjusted P-value	Z-score	Combined Score	Genes
hydrocortisone_homo sapiens_gpl570_normal scar_gds3071_chdir_up	105/1191	0	0	-1.3135328989793	152.27478061618407	APP;SPARC;DENND5B;PLOD2;ARID4B;FTH1;LAMP2;SLC16A3;SOX4;PDIA3;GABARAPL2;POSTN;WSB2;LIMCH1;ARRDC3;FNDC3B;DNAJB14;SCAMP1;COL4A2;LOX;PRKAR1A;KDELR2;MALAT1;OPTN;PPIC;RHOBTB3;AK3;HIF1A;LPP;CNN3;SNX3;ARHGAP21;PRDX4;CALHM2;RDH10;DSEL;LPXN;JUN;FZD7;TFPI2;FN1;DSTN;SMAD9;IRF2BP2;IGF1;GNG12;QKI;EXT1;STAG2;RHEB;CCPG1;COL5A2;GNAS;TCF4;PICALM;ITGB1;CDKN1A;BMPR2;THRB;SLC44A1;DOCK7;RSF1;AFF3;N4BP2L2;TMEM47;SIPA1L1;AKAP11;RB1CC1;TLK1;TMED2;PHACTR2;RAC1;TEAD1;ITGA2;SSR3;ATP6AP2;H2AFV;ASPH;IMPAD1;CDH11;PPAP2A;CD47;CD44;DDR2;PCYOX1;NFAT5;SEC23A;WDR26;SEMA3C;LRP6;CLPTM1;ZNF503;MAP4K5;WASF3;CSNK1A1;YIPF5;AKR1C3;GTF2H3;KTN1;KITLG;TSPAN13;PSAT1;RAB18;ATP13A3;EIF3A
vitamin c_homo sapiens_gpl570_gse11919_chdir_up	186/3257	0	0	-0.92175621959578	136.80517856560252	ZNF451;LPGAT1;AHCYL1;PLEKHB2;DENND5B;PITPNA;PLOD2;ARID4B;ALDH1L2;PALM2-AKAP2;TOMM22;FADS3;COL4A3BP;SMCHD1;FNTA;FTH1;LAMP2;EPC1;PTGFRN;PRKACB;SLC16A3;KPNA3;SOX4;MEF2A;NANOS1;GABARAPL2;MAP2K1;LIMCH1;ARRDC3;F2R;FNDC3B;EBF1;PGD;SCAMP1;MID1;SAP30;PIAS1;CD2AP;ADFP;KATNAL1;COL4A2;PRKAR1A;DDIT4;KDELR2;MALAT1;TRIM16;TSHZ2;IREB2;UTP23;MGST1;MTMR9;AK3;LPP;SNX3;LDHA;CALHM2;RDH10;DHX36;SFRS16;TSPAN3;ZNF148;ZNF664;VASP;EDEM3;TIA1;RPL23AP7;ZRANB2;CAV2;FZD7;CAV1;FN1;DSTN;SMAD9;IFFO2;IRF2BP2;MLL5;GNG12;ACADSB;AZIN1;QKI;EXT1;STAG2;RHEB;CCPG1;GNAS;NMT2;ITGBL1;DEGS1;CD24;PICALM;ITGB1;GPI;CDKN1A;SYNM;BMPR2;THRB;SLC44A1;PIGN;DOCK7;PTEN;RSF1;PIK3C2A;N4BP2L2;TSPAN10;PTPRG;TMEM47;UCHL1;SIPA1L1;AKAP11;PTER;RB1CC1;REV3L;TMED2;PHACTR2;ZNF404;FTHP1;RAC1;TEAD1;PGM1;MAPK1IP1L;NPCDR1;METRN;ITGA2;RIPK5;ATP6AP2;RRAS2;ARFGAP3;WDR32;MYH2;TRAF4;RRM2B;CSDE1;IMPAD1;PPAP2A;ALDOC;TKT;SOS1;CD44;DDR2;PCYOX1;NFAT5;PRKAA1;WDR26;SLC24A3;C6ORF170;PTPLB;TANK;AGPAT2;LRP6;PPP2CB;PPP1R2;NFIL3;PERP;FAM177A1;AK3L1;CLPTM1;ZNF503;WASF3;JAM2;LMLN;NPM1;NQO2;NEGR1;CSNK1A1;YIPF5;SCD5;PTPN11;PPP2R3A;SORBS1;GTF2H3;HIPK2;KTN1;RIT1;RYBP;PSAT1;CCNG1;RGS10;RAB18;RAB3GAP2;KRAS;TACC1;STUB1;CDO1;MORF4;RNF141;EIF3A
estradiol_homo sapiens_gpl570_gds3283_chdir_up	224/6814	0	0	-1.37207094531063	127.73158956040076	APP;LPGAT1;HHIP;GABPB1;ZDHHC2;PALM2-AKAP2;NUDT4;RPS6KA3;HERC4;CHEK1;PRKACB;MEF2A;WSB2;LIMCH1;GLCE;ARRDC3;EBF1;TMEM170B;CD2AP;KIAA1217;KATNAL1;PRKAR1A;FDX1;DDIT4;NHLRC2;OPTN;SKAP2;EIF5A2;MGST1;MTMR9;MBTD1;PRKAR2B;RDH10;AF070565;ZNF701;ZNF148;C5ORF42;EDEM3;IRF2BP2;PBX2;SLC16A10;OSGIN2;ACADSB;EXT1;NMT2;ITGBL1;SCN2A;CPEB4;ATG2B;ZNF254;SLC44A1;N4BP2L2;LYST;GLI3;IKBKB;TMEM47;AK000019;FAM102B;UCHL1;AKAP11;RAC1;SHPRH;ANXA1;MMD;SSR3;RRAS2;ANO5;WDR33;HEATR5A;BANK1;B3GNT2;NCOA7;CD47;CD44;RHOQ;VGLL3;WDR26;TMF1;ATL3;C6ORF170;AKAP5;SPTY2D1;TANK;AL109705;PURB;PPP1R2;FAM184A;CEPT1;CD58;C11ORF63;MYEF2;CSNK1A1;MTX3;AKR1C1;YIPF5;SCD5;AKR1C2;FMO2;AP2B1;SORBS1;MIB1;RIT1;PRPF39;KITLG;STK17B;RAB3GAP2;PKN2;TACC1;ZNF451;MIDN;CD83;RORA;ARID4B;FGF1;ALDH1L2;SMCHD1;LAMP2;PDIA3;NANOS1;POSTN;TMOD3;AK055572;AK025101;DNAJB14;MID1;SAP30;PIAS1;GPD1;MALAT1;ZCCHC6;UBA6;IREB2;CREM;DPT;GLYAT;TRHDE;LPP;FOXO1;ARHGAP21;ODF2L;ARHGAP20;AK024924;ZMAT1;CALHM2;COBLL1;AL390143;LONRF3;MPDZ;SRGAP1;BPTF;TIA1;CBX5;IDH1;DENND4C;KLHL28;ARHGAP28;FOXN2;HOPX;QKI;UBE2W;AHI1;CDK6;RHEB;CCPG1;GNAS;SLC26A7;DEGS1;FGF12;PICALM;FGFR1;ITGB1;BMPR2;THRB;DOCK7;PTEN;PIK3C2A;TSPAN10;SENP7;DUSP10;PTER;POLI;PGM2;TLK1;PHACTR2;WAPAL;TNPO1;USP48;HMGCS1;VPS13C;ABCC9;PTBP2;DNM3;MYH2;PPM1B;AF086074;TRAF4;ASPH;IMPAD1;CDH11;IRF8;TMEM45A;NFAT5;PRKAA1;PARD6G;DLEU2L;LRP6;PALMD;HECTD2;OXCT1;ZNF507;AL832406;LRRC8C;RGS22;FNIP1;KCNJ2;FKTN;SLC12A2;LCA5;PPP2R3A;ATP2B1;CLCN5;ZNF616;KRAS;FAM98A
vitamin c_mus musculus_gpl1261_gse37676_chdir_up	82/948	0	0	-1.32574974875519	117.10117884857407	ITGB1;APP;BMPR2;AHCYL1;RIF1;SLC44A1;DOCK7;PTEN;ALDH1L2;NUDT4;PTPRG;EPS8;FGF7;FAM102B;FNTA;NNT;FAM174A;FTH1;LAMP2;RAC1;PRKACB;TEAD1;SOX4;GABPA;POSTN;ELOVL5;MMD;GLCE;F2R;FNDC3B;H2AFV;UGDH;PPM1B;ASPH;COL4A2;PRKAR1A;PPAP2A;CKS2;MALAT1;CD47;STEAP2;CD44;RHOQ;DDR2;SKAP2;PCYOX1;SLC24A3;SEMA3C;PIK3R1;LPP;CNN3;ARHGAP21;PPP1R2;LDHA;BMS1;MPDZ;BPTF;SLC12A2;TIA1;NPM1;ZRANB2;CSNK1A1;FZD7;CAV1;FN1;DSTN;PTPN11;IGF1;MLL5;HIPK2;CDK6;RYBP;GPAM;PSAT1;COL5A2;SLC26A7;TACC1;STUB1;TCF4;ATP13A3;RAN;EIF3A
cisplatin_homo sapiens_gpl570_gse23553_chdir_up	137/2231	0	0	-0.96999657404002	110.78059717033763	ZNF451;LPGAT1;AHCYL1;PLEKHB2;C4ORF19;YEATS4;SMC3;PALM2-AKAP2;EPS8;FADS3;HERC4;HELB;COL4A3BP;SMCHD1;SLK;FAM174A;CHEK1;LAMP2;SVEP1;SLC16A3;SLC30A7;MEF2A;FNDC3B;RECQL;LIG4;DNAJB14;SCAMP1;KIAA1217;PRKAR1A;C10ORF118;FAR1;MALAT1;SKAP2;ABHD2;IREB2;UTP23;AK3;LPP;CNN3;MBTD1;KIAA1128;ODF2L;DSEL;COBLL1;DHX36;LPXN;ZNF148;VASP;EDEM3;RPL23AP7;CBX5;CAV2;IDH1;DENND4C;TFPI2;KLHL28;IRF2BP2;MLL5;SMAD5;AZIN1;QKI;UBE2W;CDK6;STAG2;IL7;RHEB;CCPG1;DMXL1;ITGBL1;GCLM;CD24;FGFR1;CPEB4;CDKN1A;BMPR2;THRB;DOCK8;RSF1;PIK3C2A;IKBKB;PTER;ZC3H7B;RB1CC1;PGM2;PHACTR2;RAC1;TNPO1;TEAD1;ELOVL5;SSR3;ABCC9;WIPI1;PPM1B;ASPH;CRY1;CD47;CD44;MGLL;PCYOX1;NFAT5;ASAH1;PDXK;WDR26;TMF1;PTGER3;C6ORF170;SPTY2D1;PTPLB;TANK;AGPAT2;EHBP1;LRP6;PBLD;BCLAF1;LRRC8C;CLPTM1;FNIP1;MAP4K5;MOBKL1B;MYEF2;CSNK1A1;AKR1C1;YIPF5;SCD5;AKR1C2;PTPN11;PPP2R3A;ATP2B1;GTF2H3;HIPK2;MIB1;RIT1;RAB18;PKN2;KRAS;TACC1;EIF3A
decitabine_homo sapiens_gpl570_gse30985_chdir_up	157/2805	0	0	-0.88779916892964	107.31861475792726	ZNF451;SPARC;GMFB;PLEKHB2;PITPNA;ARID4B;PALM2-AKAP2;NUDT4;FADS3;HERC4;CDH1;FAM174A;FTH1;LAMP2;PTGFRN;PDIA3;SLC30A7;MEF2A;NANOS1;GABARAPL2;PCID2;MAP2K1;WSB2;TMOD3;CSGALNACT2;FNDC3B;EPDR1;ACSL4;SCAMP1;ADFP;KATNAL1;PRKAR1A;SUB1;FDX1;KDELR2;OPTN;SKAP2;PPIC;ZCCHC6;UBA6;SAR1B;DCUN1D3;ABHD2;AK3;TRHDE;HIF1A;CNN3;SNX3;LDHA;PRDX4;RDH10;LONRF3;VASP;JUN;RPL23AP7;ZRANB2;CAV2;CAV1;TFPI2;KLHL28;FN1;DSTN;IRF2BP2;EIF2S1;SMAD5;QKI;UBE2W;CDK6;RHEB;DMXL1;GNAS;DEGS1;GCLM;CD24;PICALM;CPEB4;ITGB1;CLIC5;CDKN1A;BMPR2;WDR41;PTEN;PIK3C2A;DUSP14;PANX1;RBM3;UCHL1;AKAP11;H2AFJ;RB1CC1;TMED2;WAPAL;FTHP1;RAC1;TNPO1;TEAD1;MAPK1IP1L;ANXA2;HMGCS1;ITGA2;SSR3;ATP6AP2;RRAS2;LSR;WIPI1;ARFGAP3;DUSP6;C12ORF4;PPM1B;TRAF4;HEATR5A;RRM2B;IMPAD1;PPAP2A;CRY1;ALDOC;CD44;MGLL;RHOQ;EXOC1;TMEM45A;ASAH1;PDXK;SEC23A;WDR26;PCNA;SEMA3C;PCOLCE2;ATL3;PURB;PPP2CB;PPP1R2;PERP;PRRG1;FAM177A1;AK3L1;ZNF503;SLC12A2;CSNK1A1;YIPF5;SCD5;AP2B1;MIB1;RIT1;RYBP;STK17B;QPCT;CCNG1;RGS10;RAB18;TACC1;STUB1;FAM98A;CDO1;MORF4;SLC25A33;EIF3A
paclitaxel_homo sapiens_gpl570_gse19136_chdir_down	60/659	0	0	-1.50637439064046	100.06371387089733	ITGB1;ZDHHC2;PALM2-AKAP2;TOMM22;FADS3;FNTA;FTH1;TMED2;FTHP1;RAC1;PDIA3;POSTN;ANXA1;WSB2;ANXA2;ITGA2;SSR3;CSGALNACT2;RECQL;UGDH;BDH2;ASPH;PPA1;PRKAR1A;CDH11;KDELR2;MALAT1;CD44;MGLL;ASAH1;SEC23A;PCOLCE2;MGST1;DDX21;HIF1A;CNN3;SNX3;LDHB;PPP2CB;PRDX4;NPM1;CSNK1A1;IDH1;AKR1C1;TFPI2;YIPF5;FN1;DSTN;PTPN11;GTF2H3;EIF2S1;HIPK2;MIB1;RHEB;RAB18;DEGS1;PSMG1;ATP13A3;FAM98A;RAN
cisplatin_mus musculus_gpl339_gds3099_chdir_up	201/4251	0	0	-0.73731536813297	98.21277016595073	APP;LPGAT1;SPARC;PITPNA;GABPB1;SMC3;ZDHHC2;NUDT4;RPS6KA3;HERC4;EPC1;PRKACB;MEF2A;COG6;WSB2;LIMCH1;GLCE;RECQL;EBF1;SCAMP1;CD2AP;PRKAR1A;SUB1;KDELR2;FAR1;SKAP2;SLC22A5;MTMR9;ELTD1;PIK3R1;C9;HLTF;ST3GAL5;TSPAN3;VASP;EDEM3;FZD7;FN1;PBX2;IGF1;GNG12;ACADSB;DERA;EXT1;STAG2;PPP1R1A;NOX4;ITGBL1;XKR6;CPEB4;ATG2B;LYST;GLI3;PTPRG;IKBKB;TMEM47;UCHL1;NNT;REV3L;ANXA6;TMED2;RAC1;TEAD1;UPF2;SHPRH;ANXA1;ANXA2;ELOVL5;MMD;METRN;SSR3;RAB7L1;RRAS2;PARP8;MMP14;PITPNM1;CSDE1;KIT;SGK3;ALDOC;MGLL;RHOQ;DDR2;WDR26;TANK;PURB;PPP1R2;SRPX2;MAP4K5;JAM2;CSNK1A1;YIPF5;AP2B1;SORBS1;AIG1;HIPK2;KTN1;RIT1;PRPF39;GPAM;STK17B;IL17D;RNF141;RORA;PLOD2;ARID4B;TOMM22;FADS3;FAM174A;LAMP2;SVEP1;KPNA3;PDIA3;POSTN;PCID2;MAP2K1;ATPBD4;F2R;NPY1R;EPDR1;PIAS1;COL4A2;LOX;TBC1D23;PPIC;AK3;LPP;FOXO1;CNN3;MPDZ;BPTF;TIA1;CBX5;IDH1;CAV1;TFPI2;DSTN;PHKB;ZFHX4;HOPX;AZIN1;UBE2W;CDK6;RHEB;CCPG1;DMXL1;COL5A2;BCL2;GNAS;DEGS1;TCF4;PICALM;FGFR1;ITGB1;LRRK2;DOCK8;DOCK7;PTEN;PIK3C2A;PTER;RB1CC1;POLI;TNPO1;USP48;PEG3;HMGCS1;ATP6AP2;PLA2G4A;WIPI1;ARFGAP3;PTBP2;DNM3;PPM1B;ASPH;RRM2B;IMPAD1;CDH11;PPAP2A;ATP6V1B2;IRF8;NFAT5;SEC23A;RALB;SLC24A3;SEMA3C;PCOLCE2;EHBP1;PALMD;OXCT1;SLC12A2;PTPN11;CLCN5;TSPAN13;PSAT1;RAB18;KRAS;ATP13A3;FAM98A;SLC25A33;RAN;EIF3A
hydrocortisone_homo sapiens_keloid scar_gds3071_chdir_up	89/1249	0	0	-1.17440741573955	96.68137666576249	ITGB1;APP;GPI;CDKN1A;BMPR2;SPARC;PTEN;RORA;PLOD2;AFF3;N4BP2L2;ALDH1L2;TMEM47;RB1CC1;TLK1;PTGFRN;RAC1;PRKACB;PDIA3;MAPK1IP1L;POSTN;ANXA1;ATP6AP2;ARRDC3;F2R;FNDC3B;EBF1;RRAS2;H2AFV;ARFGAP3;SCAMP1;PTBP2;ASPH;LOX;PRKAR1A;CSDE1;SUB1;CDH11;FAR1;MALAT1;TKT;CD44;OPTN;RHOQ;DDR2;PPIC;NFAT5;HDAC2;SEC23A;WDR26;SEMA3C;UBA6;EHBP1;CNN3;PRDX4;RDH10;ST3GAL5;ZNF503;TSPAN3;MAP4K5;ZNF148;ZNF664;WASF3;JUN;CSNK1A1;FZD7;YIPF5;FN1;PPP2R3A;GNG12;SMAD5;QKI;MIB1;EXT1;STAG2;TSPAN13;RHEB;CCPG1;PSAT1;STK17B;COL5A2;CCNG1;GNAS;RAB18;NMT2;KRAS;TCF4;ATP13A3;PICALM
cisplatin_mus musculus_gpl339_gse6206_chdir_up	199/4225	0	0	-0.69794805126311	91.70584961074792	APP;LPGAT1;SPARC;PITPNA;GABPB1;SMC3;ZDHHC2;NUDT4;RPS6KA3;HERC4;EPC1;PRKACB;MEF2A;COG6;WSB2;LIMCH1;GLCE;RECQL;EBF1;SCAMP1;PRKAR1A;SUB1;KDELR2;FAR1;SKAP2;SLC22A5;MTMR9;ELTD1;PIK3R1;C9;HLTF;ST3GAL5;TSPAN3;VASP;EDEM3;FZD7;FN1;PBX2;IGF1;GNG12;ACADSB;DERA;EXT1;STAG2;PPP1R1A;NOX4;ITGBL1;XKR6;CPEB4;ATG2B;LYST;GLI3;PTPRG;IKBKB;TMEM47;UCHL1;NNT;REV3L;ANXA6;TMED2;RAC1;TEAD1;UPF2;SHPRH;ANXA1;ANXA2;ELOVL5;MMD;METRN;SSR3;RAB7L1;RRAS2;PARP8;MMP14;PITPNM1;CSDE1;KIT;SGK3;ALDOC;MGLL;RHOQ;DDR2;WDR26;TANK;PURB;PPP1R2;SRPX2;MAP4K5;JAM2;CSNK1A1;YIPF5;AP2B1;SORBS1;AIG1;HIPK2;KTN1;RIT1;PRPF39;GPAM;STK17B;IL17D;RNF141;RORA;PLOD2;ARID4B;TOMM22;FADS3;FAM174A;LAMP2;SVEP1;KPNA3;PDIA3;POSTN;PCID2;MAP2K1;ATPBD4;F2R;NPY1R;EPDR1;PIAS1;COL4A2;LOX;TBC1D23;PPIC;AK3;LPP;FOXO1;CNN3;MPDZ;BPTF;TIA1;CBX5;IDH1;CAV1;TFPI2;DSTN;PHKB;ZFHX4;HOPX;AZIN1;UBE2W;CDK6;RHEB;CCPG1;DMXL1;COL5A2;BCL2;GNAS;DEGS1;TCF4;PICALM;FGFR1;ITGB1;LRRK2;DOCK8;DOCK7;PTEN;PIK3C2A;PTER;RB1CC1;POLI;TNPO1;USP48;PEG3;HMGCS1;ATP6AP2;PLA2G4A;WIPI1;ARFGAP3;PTBP2;DNM3;PPM1B;ASPH;IMPAD1;CDH11;PPAP2A;ATP6V1B2;IRF8;NFAT5;SEC23A;RALB;SLC24A3;SEMA3C;PCOLCE2;EHBP1;PALMD;OXCT1;SLC12A2;PTPN11;CLCN5;TSPAN13;PSAT1;RAB18;KRAS;ATP13A3;FAM98A;SLC25A33;RAN;EIF3A
