Term	Overlap	P-value	Adjusted P-value	Z-score	Combined Score	Genes
rituximab_homo sapiens_gpl570_gds3829_chdir_up	7/429	0.00000110108042	0.00002649933536	-2.30642407032936	24.30599844836087	SMCHD1;PKN2;KRAS;PPIG;UHMK1;YWHAH;SNCA
decitabine_homo sapiens_gpl570_gse30985_chdir_up	19/2805	0.00000000054528	0.00000019684764	-0.94990526348445	14.66733122534539	PCID2;MAP2K1;CSNK2A1;PLEKHA1;ABHD3;SCAMP1;TPST1;RIT1;NRAS;TUBB2B;SERTAD1;P4HA1;ACOX1;SPAG1;KIF1B;UPP1;GCLM;EXOC1;SNCA
nicotine_mus musculus_gpl1261_gse31004_chdir_up	14/1917	0.00000006610776	0.00000397748346	-1.05662609986113	13.13899892898872	NQO1;CMAS;CSNK2A1;ABHD3;TXNRD1;SCAMP1;TUBB2B;FXYD3;ACOX1;SERPINH1;PPIG;GCLM;SOS1;YWHAH
cisplatin_homo sapiens_gpl570_gse23553_chdir_up	15/2231	0.00000005981949	0.00000397748346	-1.02822688116335	12.78585858530116	CMAS;PLEKHA1;ABHD3;SHC1;CHD9;SEMA6D;SCAMP1;UHMK1;RIT1;SMCHD1;CLEC2B;PKN2;KRAS;PPIG;GCLM
bexarotene_homo sapiens_gpl96_gds2777_chdir_up	13/1755	0.00000018034937	0.00000930087449	-1.08115487791952	12.52561402718944	NQO1;PCID2;MAP2K1;CSNK2A1;ABHD3;SHC1;TXNRD1;NRAS;SMCHD1;P4HA1;ACOX1;SERPINH1;GCLM
fluoxetine_mus musculus_gpl1261_gse35765_chdir_down	4/210	0.00014428975772	0.00153201772168	-1.87477934834052	12.15076299427002	MAP2K1;TUBB2B;YWHAH;SNCA
vorinostat_homo sapiens_gpl570_gse34880_chdir_up	5/341	0.00006875357732	0.0009396010924	-1.72173705384832	12.0006022063145	SMCHD1;SHC1;MGST1;KRAS;SNCA
hydrocortisone_homo sapiens_gpl201_gse21909_chdir_up	10/1270	0.00000334379837	0.00007544445067	-1.12374700666578	10.6667346104343	TPST1;ARMET;RIT1;MAP2K1;CLEC2B;ACOX1;UPP1;GCLM;YWHAH;SNCA
cisplatin_homo sapiens_gpl6883_gse47980_chdir_up	4/237	0.00022716057688	0.00210269149365	-1.71391501820873	10.56549270097741	NQO1;SERTAD1;TXNRD1;YWHAH
cetuximab_homo sapiens_gpl570_gse21483_chdir_up	20/3901	0.00000001963952	0.00000177246676	-0.78463442148476	10.39102218385307	MAP2K1;SYT1;SHC1;TXNDC13;UHMK1;OGFRL1;ARMET;TUBB2B;ACOX1;SLC9A9;SERPINH1;RGS20;KIF1B;PPIG;UPP1;GCLM;CCDC50;ZNF124;YWHAH;SNCA
trovafloxacin_homo sapiens_gpl96_gse9166_chdir_up	20/3831	0.00000001450044	0.0000017448865	-0.78276061890987	10.37848297061617	NQO1;MAP2K1;CMAS;ABHD3;SHC1;TXNDC13;SCAMP1;SREBF2;ARMET;NRAS;SMCHD1;P4HA1;FXYD3;ACOX1;SERPINH1;KIF1B;KRAS;GCLM;YWHAH;EXOC1
dexamethasone_homo sapiens_gpl570_gse33135_chdir_up	4/257	0.00030742981126	0.00270688199672	-1.71728766525837	10.1525323125694	OGFRL1;SMCHD1;CLEC2B;SPAG1
