Term	Overlap	P-value	Adjusted P-value	Z-score	Combined Score	Genes
neurotrophin TRK receptor signaling pathway (GO:0048011)	27/274	0.00000054590596	0.00082014496572	-2.43024952040665	17.26942465282236	CDKN1A;HDAC2;RALB;PTEN;PIK3R1;FGF1;FOXO1;IKBKB;RPS6KA3;FGF7;PRKAR2B;RAC1;PRKACB;MEF2A;MAP2K1;PTPN11;AP2B1;DUSP6;RIT1;KITLG;PRKAR1A;KIT;DDIT4;KRAS;SOS1;FGFR1;ARHGEF6
neurotrophin signaling pathway (GO:0038179)	27/278	0.00000070803882	0.00082014496572	-2.42732947454638	17.248674720956	CDKN1A;HDAC2;RALB;PTEN;PIK3R1;FGF1;FOXO1;IKBKB;RPS6KA3;FGF7;PRKAR2B;RAC1;PRKACB;MEF2A;MAP2K1;PTPN11;AP2B1;DUSP6;RIT1;KITLG;PRKAR1A;KIT;DDIT4;KRAS;SOS1;FGFR1;ARHGEF6
monocarboxylic acid metabolic process (GO:0032787)	38/473	0.0000003608419	0.00082014496572	-2.35453125081587	16.7313683995199	GPI;PRKAA1;GLYAT;PTPLB;HIF1A;FADS3;LDHB;LDHA;AS3MT;PRDX4;PRKAR2B;RDH10;DSEL;ACADM;SLC16A3;PGM1;GGT7;ELOVL5;IDH1;AKR1C1;ADIPOQ;SCD5;AKR1C3;PLA2G4A;AKR1C2;MTHFS;ACSL4;IGF1;PGD;ACADSB;QKI;UGDH;BDH2;GPAM;DEGS1;ALDOC;DLD;MGLL
hemostasis (GO:0007599)	37/478	0.00000118940876	0.00103329885927	-2.37278404888082	16.31288753310736	ITGB1;APP;GPI;HDAC2;SPARC;DOCK8;AK3;PIK3R1;LYST;DOCK11;PRKAR2B;LAMP2;RAC1;CD58;PRKACB;SLC16A3;JAM2;CBX5;ANGPT1;CAV1;ITGA2;TFPI2;ITGA1;F2R;FN1;PLA2G4A;PTPN11;ATP2B1;IGF1;PRKAR1A;GNAS;CD48;KRAS;CD47;SOS1;CD44;MGLL
blood coagulation (GO:0007596)	36/472	0.00000228830866	0.00132531209913	-2.3715121231252	15.71389379289588	ITGB1;APP;HDAC2;SPARC;DOCK8;AK3;PIK3R1;LYST;DOCK11;PRKAR2B;LAMP2;RAC1;CD58;PRKACB;SLC16A3;JAM2;CBX5;ANGPT1;CAV1;ITGA2;TFPI2;ITGA1;F2R;FN1;PLA2G4A;PTPN11;ATP2B1;IGF1;PRKAR1A;GNAS;CD48;KRAS;CD47;SOS1;CD44;MGLL
coagulation (GO:0050817)	36/472	0.00000228830866	0.00132531209913	-2.36891314201045	15.69667266515684	ITGB1;APP;HDAC2;SPARC;DOCK8;AK3;PIK3R1;LYST;DOCK11;PRKAR2B;LAMP2;RAC1;CD58;PRKACB;SLC16A3;JAM2;CBX5;ANGPT1;CAV1;ITGA2;TFPI2;ITGA1;F2R;FN1;PLA2G4A;PTPN11;ATP2B1;IGF1;PRKAR1A;GNAS;CD48;KRAS;CD47;SOS1;CD44;MGLL
cellular response to nitrogen compound (GO:1901699)	32/438	0.00001898812015	0.00599851977317	-2.53272368983711	12.95802869582031	PRKAA1;LRRK2;PIK3R1;PIK3C2A;FGF1;FOXO1;RBM3;FGF7;CDH1;PRKAR2B;CHEK1;PRKACB;MEF2A;MAP2K1;NPM1;DENND4C;ADIPOQ;PTPN11;SORBS1;GNG12;RHEB;PRKAR1A;COL5A2;GPD1;ATP6V1B2;GNAS;NOX4;KRAS;SOS1;RHOQ;FGFR1;CPEB4
cellular response to organonitrogen compound (GO:0071417)	30/411	0.00003520931872	0.00711514870126	-2.52367800965537	12.48092315685028	PRKAA1;LRRK2;PIK3R1;PIK3C2A;FGF1;FOXO1;FGF7;CDH1;PRKAR2B;CHEK1;PRKACB;MEF2A;MAP2K1;DENND4C;ADIPOQ;PTPN11;SORBS1;GNG12;RHEB;PRKAR1A;COL5A2;GPD1;ATP6V1B2;GNAS;NOX4;KRAS;SOS1;RHOQ;FGFR1;CPEB4
cellular response to fibroblast growth factor stimulus (GO:0044344)	19/183	0.00001352981694	0.0055761938204	-2.35909603904957	12.2419363991196	CDKN1A;MAP2K1;PTEN;PTPN11;PIK3R1;FGF1;FOXO1;PPP2CB;FGF7;KITLG;PRKAR1A;PRKAR2B;KIT;KRAS;SOS1;PRKACB;FGF12;CD44;FGFR1
fibroblast growth factor receptor signaling pathway (GO:0008543)	18/163	0.00001061480159	0.00526949078792	-2.33243688987828	12.23554769109744	CDKN1A;MAP2K1;PTEN;PTPN11;PIK3R1;FGF1;FOXO1;PPP2CB;FGF7;KITLG;PRKAR1A;PRKAR2B;KIT;KRAS;SOS1;PRKACB;FGF12;FGFR1
