Term	Overlap	P-value	Adjusted P-value	Z-score	Combined Score	Genes
melanoma	12/71	0.00007445627391	0.00908366541747	-1.98463572437774	9.33032325188116	CDKN1A;FGF7;MAP2K1;CDK6;CDH1;PTEN;KRAS;IGF1;PIK3R1;FGF1;FGF12;FGFR1
prostate cancer	11/86	0.00126601124296	0.05148445721387	-1.93045921042618	5.72665960117005	IKBKB;CDKN1A;MAP2K1;BCL2;PTEN;KRAS;IGF1;PIK3R1;SOS1;FOXO1;FGFR1
small cell lung cancer	11/85	0.00116105288844	0.05148445721387	-1.86557059223848	5.53416911686234	IKBKB;ITGB1;CDK6;TRAF4;COL4A2;ITGA2;FN1;BCL2;PTEN;PIK3R1;PIAS1
focal adhesion	17/192	0.00295723369563	0.09019562771669	-1.98465944100399	4.77464272960812	VASP;ITGB1;JUN;MAP2K1;CAV2;CAV1;ITGA2;ITGA1;FN1;PTEN;IGF1;PIK3R1;COL4A2;COL5A2;BCL2;RAC1;SOS1
regulation of actin cytoskeleton	17/201	0.00458058669954	0.0968149269179	-1.82348843691714	4.25776178911818	ITGB1;MAP2K1;ITGA2;ITGA1;F2R;FN1;RRAS2;PIK3R1;GNG12;FGF1;FGF7;KRAS;RAC1;SOS1;FGF12;FGFR1;ARHGEF6
chronic myeloid leukemia	9/75	0.00512990585635	0.0968149269179	-1.74437112696288	4.07302650242199	IKBKB;CDKN1A;MAP2K1;HDAC2;CDK6;PTPN11;KRAS;PIK3R1;SOS1
glioma	8/62	0.00555495482316	0.0968149269179	-1.65248466534047	3.85847583277552	CDKN1A;MAP2K1;CDK6;PTEN;KRAS;IGF1;PIK3R1;SOS1
mapk signaling pathway	19/248	0.00746507453742	0.11384238669569	-1.72590017898832	3.7502781563726	JUN;MAP2K1;PLA2G4A;RRAS2;GNG12;FGF1;DUSP6;DUSP14;IKBKB;RPS6KA3;FGF7;PPM1B;DUSP10;KRAS;RAC1;SOS1;PRKACB;FGF12;FGFR1
renal cell carcinoma	8/69	0.00982857620505	0.12208185749775	-1.45807667162056	3.06642782266974	JUN;MAP2K1;PTPN11;KRAS;RAC1;PIK3R1;SOS1;HIF1A
pancreatic cancer	8/73	0.01317070840015	0.14607512952891	-1.34276934637952	2.58299704252759	IKBKB;MAP2K1;RALB;CDK6;KRAS;RAC1;PIK3R1;ARHGEF6
colorectal cancer	8/84	0.02657430609017	0.22895608714186	-1.1724593273817	1.72846891407529	JUN;MAP2K1;FZD7;BCL2;KRAS;RAC1;PIK3R1;SOS1
endometrial cancer	6/52	0.02476773195177	0.22895608714186	-1.12857284994862	1.66377036955457	MAP2K1;CDH1;PTEN;KRAS;PIK3R1;SOS1
acute myeloid leukemia	6/52	0.02476773195177	0.22895608714186	-1.02339801422112	1.50871899177762	IKBKB;MAP2K1;KIT;PIM1;KRAS;SOS1
