Term	Overlap	P-value	Adjusted P-value	Z-score	Combined Score	Genes
GCM_AQP4	12/45	0.00000065489077	0.00022528242355	-2.25186778938206	18.91153637213229	TMEM47;ARHGAP21;FMNL2;AHCYL1;PSAT1;SCD5;ZNF404;TACC1;IL17D;RNF141;QKI;HIPK2
MODULE_239	19/120	0.00000053723766	0.00022528242355	-1.97473343609467	16.58411891588803	ITGB1;BIVM;LPGAT1;HMGCS1;ELOVL5;SAR1B;ZNF271;TMOD3;RHOBTB3;AP2B1;PIK3R1;STAG2;TMED2;B3GNT2;DEGS1;TACC1;TNPO1;SOS1;PCYOX1
MODULE_47	23/225	0.00003043875721	0.00698062165268	-2.02252402709716	10.04105778305627	CDKN1A;POSTN;JUN;NNMT;SPARC;SEMA3C;MMD;FZD7;AKR1C1;F2R;FN1;HIF1A;CNN3;TMEM47;COL4A2;LOX;COL5A2;CDH11;TCF4;FGF12;DDR2;FGFR1;PPIC
MODULE_86	9/43	0.00008654023873	0.01347342031886	-2.310215400274	9.95018181982889	RIT1;RALB;RAB5C;RHEB;RAB7L1;KRAS;RAC1;RAN;RHOQ
MODULE_3	31/385	0.00009791729883	0.01347342031886	-2.04227157197405	8.79613799830068	CDKN1A;SEC23A;PCNA;NNMT;RAB5C;GMFB;DDX21;PLOD2;TYMS;CNN3;DUSP14;TSPAN3;TNPO1;SLC16A3;SOX4;ANXA1;ANXA2;CAV2;CAV1;F2R;FN1;GNG12;DUSP6;LOX;CCNG1;CKS2;DEGS1;PSMG1;CD44;MGLL;FGFR1
GCM_MAPK10	12/82	0.00013302133775	0.01525311339554	-1.99757742257273	8.35580970668999	DNM3;ARHGAP21;PDXK;AHCYL1;PRRG1;SCD5;TACC1;ALDOC;IL17D;FGF1;RNF141;HIPK2
MODULE_2	30/384	0.00020765533352	0.02040955277978	-1.99654332358567	7.77005190034935	CDKN1A;SYNM;ASAH1;NNMT;RHOBTB3;DDX21;FGF1;CNN3;EPS8;TMEM47;NFIL3;TSPAN3;JUN;ANXA1;ANGPT1;CAV2;MMD;CAV1;AKR1C1;FN1;GNG12;DUSP6;UGDH;PPP1R1A;DDIT4;CD24;CD44;OPTN;MGLL;FGFR1
MODULE_1	28/368	0.00050064720795	0.0382716976741	-1.99335053054774	6.50439172465115	CDKN1A;SEMA3C;RHOBTB3;DDX21;CNN3;EPS8;TMEM47;NFIL3;PIM1;TSPAN3;SOX4;JUN;ANXA1;PEG3;CAV2;CAV1;AKR1C1;FN1;IGF1;GNG12;DUSP6;UGDH;COL5A2;CDH11;CD44;OPTN;DDR2;FGFR1
MODULE_212	26/329	0.00046665035518	0.0382716976741	-1.98558722178774	6.47905970176775	HDAC2;PCNA;NNMT;RAB5C;SAR1B;MGST1;RHOBTB3;GLYAT;LDHA;PRDX4;PIM1;ACADM;PDIA3;NQO2;IDH1;AKR1C1;AKR1C3;MTHFS;PGD;ACADSB;DUSP6;UGDH;PPAP2A;MGLL;PCYOX1;CES1
MODULE_52	31/433	0.00066446892473	0.04571546202136	-2.08726731480264	6.43988488004898	CDKN1A;LPGAT1;PCNA;NNMT;SEMA3C;DDX21;PLOD2;CNN3;EPS8;TSPAN3;SLC16A3;SOX4;ANXA1;ANXA2;ANGPT1;CAV2;MMD;CAV1;FN1;AKR1C3;GNG12;DUSP6;UGDH;LOX;QPCT;COL5A2;DDIT4;CKS2;CD24;MGLL;FGFR1
