Term	Overlap	P-value	Adjusted P-value	Z-score	Combined Score	Genes
paracetamol-5384	5/100	0.00523632786584	0.66455312753205	-1.68853391528835	0.69000326385593	BST2;GNA14;SEMA4D;FANCC;CLIC2
oleandomycin-5676	5/100	0.00523632786584	0.66455312753205	-1.67428415515619	0.68418023542202	BST2;TPST1;DDIT3;RFTN1;CLGN
fludrocortisone-3977	5/100	0.00523632786584	0.66455312753205	-1.66710272753734	0.68124561358749	GNA14;MAOB;SEMA6D;RGS20;BCMO1
pioglitazone-7523	5/100	0.00523632786584	0.66455312753205	-1.66550104061395	0.68059109951773	3-MAR;KIAA1731;SPARCL1;FANCC;LARP6
monorden-1219	5/100	0.00523632786584	0.66455312753205	-1.66258947993976	0.67940131804523	3-MAR;MAGEH1;CDKN1A;DDIT3;DDIT4
chrysin-5505	5/100	0.00523632786584	0.66455312753205	-1.65711934748205	0.67716600064037	3-MAR;RASA2;RFTN1;SPAG1;AKR1C3
sulfafurazole-3218	4/100	0.02506370901485	0.66455312753205	-1.65507752892186	0.67633163097922	OGFRL1;GNA14;RGS20;LARP6
benzocaine-4224	4/100	0.02506370901485	0.66455312753205	-1.65506186953763	0.67632523192136	3-MAR;C13ORF1;FANCC;PAK3
lidocaine-1917	4/100	0.02506370901485	0.66455312753205	-1.65409236248268	0.67592905211935	OGFRL1;ABHD3;DDIT4;OXR1
PHA-00745360-4384	4/100	0.02506370901485	0.66455312753205	-1.65292525288613	0.67545212392525	SEMA4D;DDIT3;PTX3;LARP6
pheneticillin-6239	4/100	0.02506370901485	0.66455312753205	-1.65256884575542	0.67530648155394	SEMA4D;DDIT3;RASA2;AKR1C3
ethambutol-1981	5/100	0.00523632786584	0.66455312753205	-1.64989781060235	0.67421498853932	VASP;OGFRL1;ABHD3;GCLM;OXR1
6-azathymine-2466	4/100	0.02506370901485	0.66455312753205	-1.64795986485002	0.67342306550942	C13ORF1;KIAA1731;ZNF124;TNFRSF10D
etofylline-2093	5/100	0.00523632786584	0.66455312753205	-1.64604127800815	0.67263905331346	PCID2;TUBB2B;SERPINH1;CCDC6;UPP1
desoxycortone-3099	5/100	0.00523632786584	0.66455312753205	-1.64470224467345	0.67209187012513	MAGEH1;C13ORF1;CDKN1A;UPP1;CLGN
citiolone-3836	4/100	0.02506370901485	0.66455312753205	-1.64256161896355	0.67121712386558	BST2;SEMA4D;DDIT3;LARP6
rosiglitazone-4457	6/100	0.00092106411975	0.66455312753205	-1.64254842694064	0.67121173307137	RIT1;TUBB2B;CLEC2B;SEMA4D;SYT1;PAK3
trifluoperazine-5442	4/100	0.02506370901485	0.66455312753205	-1.64224438010434	0.67108748723448	OGFRL1;C13ORF1;SEMA4D;FANCC
pentoxyverine-1268	5/100	0.00523632786584	0.66455312753205	-1.64213523874817	0.67104288766127	TPST1;NRAS;CMAS;ABHD3;ATP6V0E2
doxazosin-3363	4/100	0.02506370901485	0.66455312753205	-1.64141775100259	0.67074969314398	SEMA4D;RFTN1;RGS20;CLGN
L-methionine sulfoximine-2470	5/100	0.00523632786584	0.66455312753205	-1.64022289770741	0.6702614277523	TPST1;SEMA4D;IL3RA;KIAA1731;TNFRSF10D
Prestwick-983-7480	5/100	0.00523632786584	0.66455312753205	-1.6397468790896	0.67006690728874	VASP;3-MAR;TPST1;DDIT3;RFTN1
khellin-1922	4/100	0.02506370901485	0.66455312753205	-1.6384030006745	0.66951774420457	OGFRL1;ABHD3;PTX3;GCLM
timolol-5280	4/100	0.02506370901485	0.66455312753205	-1.63525612119793	0.66823180195009	MAOB;UPP1;LARP6;CLGN
tiapride-7362	5/100	0.00523632786584	0.66455312753205	-1.63444774500338	0.66790146673584	VASP;3-MAR;CLEC2B;PAK3;EFNA4
cicloheximide-2723	5/100	0.00523632786584	0.66455312753205	-1.63380056429205	0.66763700251687	XBP1;SEMA4D;DDIT3;DDIT4;RFTN1
isoxsuprine-1904	5/100	0.00523632786584	0.66455312753205	-1.63307084948485	0.66733881152758	CDKN1A;POU2F1;BAG3;DDIT4;OXR1
rimexolone-2955	4/100	0.02506370901485	0.66455312753205	-1.63014578204462	0.66614351064408	CDKN1A;P4HA1;PLOD2;CLGN
sulfamethoxazole-4690	4/100	0.02506370901485	0.66455312753205	-1.62722120056595	0.66494840834414	TUBB2B;RGS20;UPP1;CLIC2
pyrvinium-2957	4/100	0.02506370901485	0.66455312753205	-1.62636124757595	0.66459699676484	P4HA1;PLOD2;GCLM;ATP6V0E2
alvespimycin-1213	5/100	0.00523632786584	0.66455312753205	-1.62536056452602	0.66418807719012	VASP;MAGEH1;CDKN1A;DDIT4;RGS20
metergoline-5344	4/100	0.02506370901485	0.66455312753205	-1.62051342182783	0.66220733860273	3-MAR;PCID2;RASA2;ZNF124
memantine-2934	4/100	0.02506370901485	0.66455312753205	-1.62032381343936	0.662129856945	3-MAR;C13ORF1;KIF1B;UPP1
phenanthridinone-1115	5/100	0.00523632786584	0.66455312753205	-1.61968568020184	0.66186908988982	MLLT11;MAGEH1;SERPINA3;RIT1;SPAG1
stachydrine-1751	5/100	0.00523632786584	0.66455312753205	-1.61961126487451	0.66183868077676	VASP;NRAS;CMAS;ABHD3;CCDC6
hydroxyzine-2024	5/100	0.00523632786584	0.66455312753205	-1.61895706471969	0.66157134812921	CDKN1A;XBP1;ABHD3;BAG3;CCDC6
acenocoumarol-2077	4/100	0.02506370901485	0.66455312753205	-1.61166403092888	0.65859111949803	TUBB2B;PEG3;ARSJ;ZNF124
acacetin-4324	4/100	0.02506370901485	0.66455312753205	-1.61151021895933	0.65852826570513	GNA14;CDKN1A;SEMA4D;DDIT3
harmine-7209	4/100	0.02506370901485	0.66455312753205	-1.6110353473406	0.65833421395179	RIT1;ABHD3;ARMCX5;EFNA4
tracazolate-2919	5/100	0.00523632786584	0.66455312753205	-1.61088957543236	0.65827464565319	MLLT11;POU2F1;SEMA4D;PLOD2;FANCC
sirolimus-4466	4/100	0.02506370901485	0.66455312753205	-1.60998168341221	0.6579036442469	CDKN1A;DDIT4;KIAA1731;PTX3
moracizine-2959	5/100	0.00523632786584	0.66455312753205	-1.60874435246995	0.65739802077029	MLLT11;CDKN1A;ABHD3;ATP6V0E2;CLGN
chlorpromazine-4441	4/100	0.02506370901485	0.66455312753205	-1.60693284688626	0.65665776630817	GNA14;TUBB2B;CLEC2B;FANCC
pyridoxine-7171	4/100	0.02506370901485	0.66455312753205	-1.60621705027869	0.65636526285827	OGFRL1;PLEKHA1;DDIT3;CCDC6
benzethonium chloride-2508	4/100	0.02506370901485	0.66455312753205	-1.60519212197442	0.65594643569184	C13ORF1;CDKN1A;P4HA1;PLOD2
hexamethonium bromide-1982	4/100	0.02506370901485	0.66455312753205	-1.6051351729076	0.65592316399939	OGFRL1;ARMCX5;GCLM;OXR1
oleandomycin-1935	4/100	0.02506370901485	0.66455312753205	-1.60325589067614	0.65515521325722	CMAS;SERPINH1;FANCC;PAK3
ipratropium bromide-1769	4/100	0.02506370901485	0.66455312753205	-1.60233383108265	0.65477842240735	OGFRL1;P4HA1;ABHD3;CHEK1
remoxipride-6342	4/100	0.02506370901485	0.66455312753205	-1.6001643822393	0.65389189784949	CMAS;CLEC2B;ABHD3;PTX3
xylometazoline-2107	4/100	0.02506370901485	0.66455312753205	-1.60004830245552	0.65384446295408	3-MAR;MAGEH1;FANCC;ZNF124
PNU-0230031-3735	4/100	0.02506370901485	0.66455312753205	-1.59839936075702	0.65317063867162	MAGEH1;CDKN1A;SEMA4D;MARK1
phenformin-3725	4/100	0.02506370901485	0.66455312753205	-1.59758890584667	0.65283945401001	MAGEH1;SEMA4D;KIAA1731;MARK1
sirolimus-1221	5/100	0.00523632786584	0.66455312753205	-1.59547628861258	0.6519761531467	3-MAR;MAGEH1;ARSJ;DDIT4;POLR3K
sulfasalazine-5446	4/100	0.02506370901485	0.66455312753205	-1.59493656471374	0.65175560012825	C13ORF1;SEMA4D;UPP1;CLGN
dipyridamole-1934	4/100	0.02506370901485	0.66455312753205	-1.5917929699558	0.65047100014267	VASP;OGFRL1;PLEKHA1;SPAG1
trifluoperazine-7420	4/100	0.02506370901485	0.66455312753205	-1.58901128226728	0.64933429002585	OGFRL1;TPST1;POLR3G;FANCC
bucladesine-2741	4/100	0.02506370901485	0.66455312753205	-1.58888430451264	0.64928240177869	MAGEH1;C13ORF1;KIAA1731;PIR
minocycline-2405	4/100	0.02506370901485	0.66455312753205	-1.58870867304118	0.64921063165465	SDF2L1;BAG3;RFTN1;GCLM
16-phenyltetranorprostaglandin E2-7509	4/100	0.02506370901485	0.66455312753205	-1.58812176294312	0.64897079644637	ARMCX5;RGS20;KIF1B;ZNF124
levonorgestrel-3708	4/100	0.02506370901485	0.66455312753205	-1.58785843972386	0.6488631919268	3-MAR;SEMA4D;PAK3;MARK1
dequalinium chloride-1276	4/100	0.02506370901485	0.66455312753205	-1.58715978525612	0.64857769344869	CDKN1A;P4HA1;DDIT4;ATP6V0E2
diflunisal-1908	4/100	0.02506370901485	0.66455312753205	-1.58697785941606	0.64850335119102	PTX3;FANCC;EXOC1;CLGN
ketoprofen-4751	4/100	0.02506370901485	0.66455312753205	-1.58670292195683	0.64839100062317	GNA14;SEMA4D;EFNA4;CLGN
griseofulvin-4687	4/100	0.02506370901485	0.66455312753205	-1.58560066692574	0.64794057462807	TUBB2B;SEMA4D;RGS20;LARP6
R-atenolol-4259	4/100	0.02506370901485	0.66455312753205	-1.58557033073012	0.64792817803135	C13ORF1;KIAA1731;FANCC;PAK3
diltiazem-5309	4/100	0.02506370901485	0.66455312753205	-1.58243647593643	0.64664755818918	TPST1;PLEKHA1;RFTN1;CCDC6
amrinone-6826	3/100	0.0978451144598	0.66455312753205	-1.58209813420588	0.64650929807117	SEMA4D;DDIT3;UPP1
guanabenz-1961	4/100	0.02506370901485	0.66455312753205	-1.58179244025095	0.64638437915499	VASP;CDKN1A;FANCC;PAK3
LY-294002-1661	4/100	0.02506370901485	0.66455312753205	-1.58139391433777	0.64622152534534	MLLT11;3-MAR;SPAG1;SLC39A14
