Term	Overlap	P-value	Adjusted P-value	Z-score	Combined Score	Genes
regulation of neuron death (GO:1901214)	11/225	0.00001917334039	0.02245918250858	-2.48523913121904	9.43410623949664	SRPK2;NQO1;NRAS;DDIT3;DDIT4;UBE2V2;FAIM2;KRAS;GCLM;OXR1;SNCA
regulation of neuron apoptotic process (GO:0043523)	10/188	0.00002339498178	0.02245918250858	-2.43832975420801	9.25603563019733	SRPK2;NQO1;NRAS;DDIT3;UBE2V2;FAIM2;KRAS;GCLM;OXR1;SNCA
response to cadmium ion (GO:0046686)	5/36	0.0000456681476	0.02922761446501	-2.46224354127407	8.69822326333044	PRNP;MAPK9;MT1A;AKR1C3;B2M
negative regulation of cysteine-type endopeptidase activity (GO:2000117)	6/71	0.00010188526479	0.04890492709789	-2.20399646387286	6.6513905205623	PCID2;TNFAIP8;CSNK2A1;LEF1;CD44;SNCA
Ras protein signal transduction (GO:0007265)	8/148	0.00014114539392	0.05419983126612	-2.15121788053112	6.27096680609605	CDKN1A;RIT1;NRAS;MAP2K1;SHC1;MAPKAPK2;KRAS;SOS1
regulation of cholesterol homeostasis (GO:2000188)	3/10	0.00023932676266	0.07658456405044	-2.40060786161864	6.16802518215372	ACOX1;RORA;SREBF2
axon guidance (GO:0007411)	12/367	0.00032699404379	0.07847857050978	-2.39762915249882	6.10179758846642	VASP;PRNP;NRAS;MAP2K1;SEMA4D;CSNK2A1;SEMA6D;TBR1;KRAS;SCN3B;SOS1;EFNA4
neuron projection guidance (GO:0097485)	12/367	0.00032699404379	0.07847857050978	-2.39518057822573	6.09556613912858	VASP;PRNP;NRAS;MAP2K1;SEMA4D;CSNK2A1;SEMA6D;TBR1;KRAS;SCN3B;SOS1;EFNA4
positive regulation of small GTPase mediated signal transduction (GO:0051057)	4/35	0.00053997407948	0.0819869383034	-2.36830410798329	5.9235911829329	NRAS;MAP2K1;KRAS;SOS1
cellular response to fibroblast growth factor stimulus (GO:0044344)	8/183	0.00055511989476	0.0819869383034	-2.3460285942203	5.86787577186007	CDKN1A;NRAS;MAP2K1;SHC1;KRAS;SOS1;CD44;SNCA
response to oxidative stress (GO:0006979)	10/290	0.00069917125989	0.08464091578615	-2.35285644722816	5.80999663643684	PRNP;NQO1;MAP2K1;PLEKHA1;MGST1;AKR1C3;FANCC;GCLM;OXR1;SNCA
negative regulation of endopeptidase activity (GO:0010951)	9/222	0.00042643597772	0.0819869383034	-2.32012568834189	5.80308754455579	BST2;SERPINA3;PCID2;TNFAIP8;CSNK2A1;LEF1;SERPINH1;CD44;SNCA
negative regulation of peptidase activity (GO:0010466)	9/230	0.00054564381943	0.0819869383034	-2.31989052582697	5.80249935717087	BST2;SERPINA3;PCID2;TNFAIP8;CSNK2A1;LEF1;SERPINH1;CD44;SNCA
response to fibroblast growth factor (GO:0071774)	8/187	0.00063631249592	0.08464091578615	-2.34746846077062	5.79669187947543	CDKN1A;NRAS;MAP2K1;SHC1;KRAS;SOS1;CD44;SNCA
negative regulation of neuron apoptotic process (GO:0043524)	7/133	0.00043239150976	0.0819869383034	-2.30965413688728	5.77689614892416	NRAS;UBE2V2;FAIM2;KRAS;GCLM;OXR1;SNCA
immune response-regulating cell surface receptor signaling pathway (GO:0002768)	11/444	0.00485945016395	0.18703718840952	-3.43091564187741	5.75175102578241	VASP;MAPK9;CDKN1A;NRAS;MAP2K1;PLEKHA1;SHC1;RFTN1;KRAS;PPAPDC1A;SOS1
negative regulation of hydrolase activity (GO:0051346)	11/354	0.00087358068285	0.08827762689828	-2.35340299515305	5.71234114500736	BST2;SERPINA3;PCID2;TNFAIP8;SEMA4D;CSNK2A1;LEF1;SERPINH1;PTX3;CD44;SNCA
insulin receptor signaling pathway (GO:0008286)	7/148	0.0007935085855	0.08464091578615	-2.27477645299214	5.61719077936098	NRAS;MAP2K1;SHC1;ATP6V1B2;KRAS;ATP6V0E2;SOS1
cellular response to oxidative stress (GO:0034599)	7/148	0.0007935085855	0.08464091578615	-2.25571076404639	5.57011115885264	NQO1;PLEKHA1;MGST1;AKR1C3;FANCC;OXR1;SNCA
epithelial tube branching involved in lung morphogenesis (GO:0060441)	3/20	0.00138019580952	0.12045345246699	-2.62826856283997	5.56270909079218	NRAS;HHEX;KRAS
negative regulation of neuron death (GO:1901215)	7/155	0.00102824119914	0.09871115511782	-2.33950510721745	5.41725817265055	NRAS;UBE2V2;FAIM2;KRAS;GCLM;OXR1;SNCA
negative regulation of cysteine-type endopeptidase activity involved in apoptotic process (GO:0043154)	5/69	0.00075960347994	0.08464091578615	-2.18071839575206	5.38492969227325	TNFAIP8;CSNK2A1;LEF1;CD44;SNCA
