Term	Overlap	P-value	Adjusted P-value	Z-score	Combined Score	Genes
erbb signaling pathway	8/85	0.00004067516081	0.00321333770373	-2.04717003865537	11.75166721510974	MAPK9;CDKN1A;NRAS;MAP2K1;SHC1;KRAS;PAK3;SOS1
thyroid cancer	5/29	0.00009981577559	0.00394272313582	-1.88612389143909	10.44136239963385	NRAS;MAP2K1;LEF1;CCDC6;KRAS
glioma	6/62	0.00035405110807	0.00932334584581	-1.97503837816748	9.23376602069656	CDKN1A;NRAS;MAP2K1;SHC1;KRAS;SOS1
chronic myeloid leukemia	6/75	0.00091048146237	0.01541464411612	-1.88014067195587	7.84476907787741	CDKN1A;NRAS;MAP2K1;SHC1;KRAS;SOS1
acute myeloid leukemia	5/52	0.00117073246452	0.01541464411612	-1.70076926876627	7.09635314380083	NRAS;MAP2K1;LEF1;KRAS;SOS1
endometrial cancer	5/52	0.00117073246452	0.01541464411612	-1.64852922147943	6.87838482169844	NRAS;MAP2K1;LEF1;KRAS;SOS1
prostate cancer	6/86	0.00177356876154	0.02001599030884	-1.67540484253278	6.55288331054616	CDKN1A;NRAS;MAP2K1;LEF1;KRAS;SOS1
renal cell carcinoma	5/69	0.00374844441549	0.03290301209149	-1.45807667162056	4.97815235522171	NRAS;MAP2K1;KRAS;PAK3;SOS1
fc epsilon ri signaling pathway	5/74	0.00496911106897	0.03925597744484	-1.45337869963667	4.70553380653477	MAPK9;NRAS;MAP2K1;KRAS;SOS1
bladder cancer	4/40	0.00329784205099	0.03256619025351	-1.31896558378582	4.51677210329161	CDKN1A;NRAS;MAP2K1;KRAS
colorectal cancer	5/84	0.0082172949442	0.05509848818576	-1.37172403856038	3.97612456622318	MAPK9;MAP2K1;LEF1;KRAS;SOS1
non small cell lung cancer	4/53	0.00836939061049	0.05509848818576	-1.21145906739643	3.51157523192791	NRAS;MAP2K1;KRAS;SOS1
axon guidance	6/126	0.0105198794791	0.05663651623232	-1.10952246843741	3.18555144443292	NRAS;SEMA4D;SEMA6D;KRAS;PAK3;EFNA4
gap junction	5/90	0.01075376890487	0.05663651623232	-1.09867509135353	3.15440752556616	NRAS;MAP2K1;TUBB2B;KRAS;SOS1
natural killer cell mediated cytotoxicity	6/129	0.01168135382376	0.0576766845048	-1.07086450760537	3.0550717830073	NRAS;MAP2K1;SHC1;KRAS;SOS1;TNFRSF10D
gnrh signaling pathway	5/96	0.0137835455183	0.06405294682034	-0.97266223247136	2.67291982154679	MAPK9;NRAS;MAP2K1;KRAS;SOS1
focal adhesion	7/192	0.02168212425922	0.08156608649898	-0.88600217819166	2.22062421437974	VASP;MAPK9;MAP2K1;FLT1;SHC1;PAK3;SOS1
mapk signaling pathway	8/248	0.02709690062482	0.0930719630157	-0.7782422000421	1.84784449647776	MAPK9;NRAS;MAP2K1;DDIT3;MAPKAPK2;RASA2;KRAS;SOS1
vegf signaling pathway	4/68	0.01862841533016	0.07745499005699	-0.68647637739895	1.75604658452165	NRAS;MAP2K1;MAPKAPK2;KRAS
long term potentiation	4/67	0.01777832546343	0.07745499005699	-0.67600197533658	1.72925245354771	GRIA2;NRAS;MAP2K1;KRAS
melanoma	4/71	0.02132946929378	0.08156608649898	-0.64967298386424	1.62830249733899	CDKN1A;NRAS;MAP2K1;KRAS
long term depression	4/73	0.02325766222689	0.08351615072383	-0.49275168936112	1.22336213067704	GRIA2;NRAS;MAP2K1;KRAS
dorso ventral axis formation	3/28	0.00931345286509	0.05659713664172	-0.31416188718869	0.90220912883251	MAP2K1;KRAS;SOS1
pyrimidine metabolism	4/84	0.03574022564269	0.11764490940717	-0.33020513138669	0.70666686160924	TXNRD1;POLR3G;UPP1;POLR3K
melanogenesis	4/100	0.05971175368287	0.18143186695948	-0.39737101968487	0.67826269276517	NRAS;MAP2K1;LEF1;KRAS
pancreatic cancer	3/73	0.09327937866115	0.27292855237891	-0.2217646015852	0.28797136578149	MAPK9;MAP2K1;KRAS
tight junction	4/131	0.1250363877156	0.32926248765107	-0.16624747976713	0.18468432718715	NRAS;CSNK2A1;EPB41L3;KRAS
regulation of actin cytoskeleton	5/201	0.16837025279236	0.41566406158115	-0.16274868681033	0.14287347365306	NRAS;MAP2K1;KRAS;PAK3;SOS1
cell cycle	3/104	0.19520930247832	0.4393274589404	0.22040121827148	-0.18128225537278	CDKN1A;CHEK1;YWHAH
glycan structures biosynthesis 1	3/106	0.20256544850457	0.4393274589404	0.24640408273421	-0.20266987724222	HS3ST3B1;ALG11;CHST3
calcium signaling pathway	1/169	0.91778937922729	0.91778937922729	2.7582043866233	-0.23661904254557	GNA14
oxidative phosphorylation	1/126	0.84365671193192	0.85447282362335	2.71577965931353	-0.42711224425496	ATP6V1B2
leukocyte transendothelial migration	1/110	0.80179148441965	0.82261723726172	2.62475602424736	-0.51252106584235	VASP
toll like receptor signaling pathway	2/99	0.4252567006857	0.61082326098492	1.4450124879343	-0.7123154719205	MAPK9;MAP2K1
apoptosis	2/81	0.33278902415303	0.54005832184925	1.18565764321773	-0.73045775768158	IL3RA;TNFRSF10D
adherens junction	2/75	0.30100713808538	0.50860624758369	1.09277562067277	-0.73880498977637	CSNK2A1;LEF1
metabolism of xenobiotics by cytochrome p450	2/70	0.27436115322039	0.50405886289327	1.12976434480268	-0.77395887721716	MGST1;AKR1C3
cytokine cytokine receptor interaction	4/247	0.48573506965378	0.61616645797436	1.62341884094165	-0.78612130044587	FLT1;IL3RA;CXCL5;TNFRSF10D
neuroactive ligand receptor interaction	3/238	0.67834589079034	0.71452433829915	2.39001247020803	-0.80337453462774	GRIA2;SSTR1;GABRG2
ecm receptor interaction	1/87	0.72172624977073	0.75021544384063	2.83592997250127	-0.81503168394167	CD44
hematopoietic cell lineage	2/88	0.36937336259422	0.55057538952724	1.39663692727374	-0.83350088592646	IL3RA;CD44
b cell receptor signaling pathway	2/62	0.23175508929379	0.45771630135524	1.07509023525062	-0.84018916422429	NRAS;KRAS
epithelial cell signaling in helicobacter pylori infection	2/65	0.24770025984653	0.47084813222279	1.12997668047293	-0.85112066672841	MAPK9;ATP6V1B2
purine metabolism	2/139	0.60413665683367	0.67220839281493	2.2034000924215	-0.87516160408401	POLR3G;POLR3K
jak stat signaling pathway	2/148	0.63830434115638	0.69076771166239	2.36956499395767	-0.87662453688275	IL3RA;SOS1
glycine serine and threonine metabolism	2/44	0.13916867715701	0.35465566114207	0.95505108102763	-0.99001352304484	MAOB;SARDH
adipocytokine signaling pathway	1/71	0.64808073096697	0.69186996954582	3.21172993384951	-1.18306399429684	MAPK9
ppar signaling pathway	1/67	0.62686337939039	0.68780843016446	3.49991411933744	-1.3098250948232	ACOX1
neurodegenerative diseases	2/38	0.11058654493182	0.30125300171082	1.18705209186513	-1.4242308333308	PRNP;SNCA
glutathione metabolism	2/37	0.10599258885617	0.29905051855848	1.27122272589249	-1.53454731178205	MGST1;GCLM
tryptophan metabolism	1/57	0.56817101235651	0.64122157108807	3.489219696116	-1.55054020595023	MAOB
tyrosine metabolism	1/53	0.54223535213558	0.6299498943928	3.6187051356808	-1.67225790737984	MAOB
basal cell carcinoma	1/55	0.55538882018509	0.63587995354525	3.69430877015651	-1.67258161863767	LEF1
fatty acid metabolism	1/45	0.48569266233199	0.61616645797436	3.50627560178408	-1.69787233354846	ACOX1
lysine degradation	1/47	0.50044001855109	0.61616645797436	3.56086361547862	-1.7243059311094	PLOD2
pathogenic escherichia coli infection epec	1/48	0.50765719716509	0.61616645797436	3.77633476202698	-1.82864527574514	TUBB2B
type ii diabetes mellitus	1/42	0.46276683279178	0.61616645797436	3.78223235291405	-1.83150111411581	MAPK9
arachidonic acid metabolism	1/51	0.52870002939225	0.62339257196996	3.87826476214984	-1.83278581236851	AKR1C3
taste transduction	1/49	0.5147719775482	0.61616645797436	3.9111397611568	-1.89392299616451	KCNB1
histidine metabolism	1/40	0.44692858948551	0.61616645797436	3.94870682765551	-1.91211440211911	MAOB
pathogenic escherichia coli infection ehec	1/48	0.50765719716509	0.61616645797436	3.96079143239311	-1.91796622849448	TUBB2B
abc transporters general	1/44	0.47815953222174	0.61616645797436	3.99119440674522	-1.93268850787941	ABCC12
n glycan biosynthesis	1/41	0.45490418665221	0.61616645797436	4.17129457635273	-2.0198998768569	ALG11
cholera infection	1/41	0.45490418665221	0.61616645797436	4.22382885179763	-2.04533897605251	PDIA4
arginine and proline metabolism	1/34	0.39661231810493	0.5802291320424	4.46295836992735	-2.42933194002194	P4HA1
urea cycle and metabolism of amino groups	1/28	0.34180906446155	0.54005832184925	4.68766801144098	-2.88796979801027	MAOB
glutamate metabolism	1/30	0.36059890685839	0.54783295465025	4.87177460404309	-2.93176022622383	GCLM
aminosugars metabolism	1/29	0.3512707741998	0.54412531689773	4.91870418334478	-2.99340382529473	CMAS
alzheimers disease	1/28	0.34180906446155	0.54005832184925	4.93784539104214	-3.04209861316316	SNCA
phenylalanine metabolism	1/24	0.30258852704346	0.50860624758369	4.84401469726961	-3.27494698929098	MAOB
maturity onset diabetes of the young	1/24	0.30258852704346	0.50860624758369	5.16479326847509	-3.49181933210006	HHEX
biosynthesis of steroids	1/22	0.28212675177277	0.50654575886474	5.34087904297667	-3.63254876284366	NQO1
rna polymerase	2/23	0.04863175391676	0.15367634237696	2.12904576831431	-3.98750378827096	POLR3G;POLR3K
parkinsons disease	1/17	0.2283584298286	0.45771630135524	5.68299665730296	-4.44129437253767	SNCA
heparan sulfate biosynthesis	1/19	0.25032432346022	0.47084813222279	5.93120012590181	-4.46749662439436	HS3ST3B1
alpha linolenic acid metabolism	1/15	0.20576096178221	0.4393274589404	5.98817373841523	-4.92533412191406	ACOX1
chondroitin sulfate biosynthesis	1/17	0.2283584298286	0.45771630135524	6.55535558450537	-5.12304786067992	CHST3
prion disease	1/13	0.18251410572138	0.42407689270557	6.85686829461341	-5.88209925409315	PRNP
polyunsaturated fatty acid biosynthesis	1/13	0.18251410572138	0.42407689270557	6.90586334981676	-5.92412919623048	ACOX1
