Term	Overlap	P-value	Adjusted P-value	Z-score	Combined Score	Genes
MODULE_52	17/433	0.00001960157664	0.00443975711007	-2.16096221843469	11.70626860237113	NQO1;CDKN1A;CSNK2A1;MAOB;AKR1C3;C10ORF10;PLOD2;EMP2;PDIA4;MLLT11;DDIT3;DDIT4;EPB41L3;SERPINH1;PIR;PDLIM4;CHST3
MODULE_2	16/384	0.0000175002939	0.00443975711007	-2.050063274075	11.10551176390393	SERPINA3;CDKN1A;MAOB;SYT1;RFTN1;C10ORF10;TBC1D9;EMP2;SNAP91;MLLT11;DDIT3;DDIT4;EPB41L3;SERPINH1;PDLIM4;CD44
GNF2_MAPT	5/41	0.00019492434979	0.0294335768182	-2.24150093667622	7.90267871149382	GRIA2;SYT1;KIF1B;SCN3B;SNAP91
GNF2_MMP1	4/32	0.00080789012332	0.04066380287384	-2.18405146425356	6.9942434212232	SERPINH1;PTX3;PLOD2;CXCL5
GNF2_RTN1	5/52	0.00053708045934	0.04054957468022	-2.10354033034788	6.74233054621979	MLLT11;KIF1B;SCN3B;SNAP91;YWHAH
MODULE_18	15/451	0.00036627333547	0.04054957468022	-2.09726971371436	6.72223177774749	NQO1;CSNK2A1;LEF1;PLOD2;EMP2;PDIA4;MLLT11;DDIT4;EPB41L3;SERPINH1;PIR;GCLM;PDLIM4;CD44;CHST3
MODULE_5	14/434	0.00077766071587	0.04066380287384	-1.99700002079347	6.39522670881334	SERPINA3;CDKN1A;MAOB;RARRES3;RFTN1;C10ORF10;EMP2;CLEC2B;CASP4;EPB41L3;SERPINH1;PTX3;UPP1;CD44
MODULE_321	7/112	0.0004996484652	0.04054957468022	-1.93923330710748	6.21568874821395	MLLT11;PRNP;SHC1;CASP4;PIR;GCLM;CD44
MODULE_12	12/360	0.00142928517208	0.05886056208669	-1.96949949967956	5.57877274454571	MLLT11;GRIA2;SERPINA3;CDKN1A;PEG3;MAOB;DDIT4;EPB41L3;SERPINH1;C10ORF10;PTX3;C1ORF61
MODULE_396	3/12	0.00065520639795	0.04066380287384	-1.7232573551708	5.51858855743453	FXYD3;CLIC2;GABRG2
MODULE_141	3/16	0.00134819402579	0.05886056208669	-1.85877604537632	5.26513926093762	FXYD3;CLIC2;GABRG2
MODULE_3	12/385	0.0024638948373	0.0797245972355	-1.96117249291213	4.96015259356567	MLLT11;NQO1;CDKN1A;DDX1;CASP4;EPB41L3;SERPINH1;PIR;PTX3;PLOD2;PDLIM4;CD44
GCM_PTK2	7/145	0.00209708711398	0.07307542020247	-1.84711805442737	4.83254702456807	AHCYL1;PLEKHA1;PEG3;EPB41L3;DDHD2;KIF1B;PPIG
MODULE_223	7/142	0.00187207654111	0.07067088942679	-1.81974615945074	4.82182059370696	BST2;SHC1;AKR1C3;EMP2;MXD1;B2M;CXCL5
