Term	Overlap	P-value	Adjusted P-value	Z-score	Combined Score	Genes
letrozole-4824	4/100	0.00001896419313	0.01991240278509	-1.68011310687587	6.58001594943034	BRIP1;CMAS;KRAS;SCAMP1
pentetrazol-1408	3/100	0.00054766074488	0.03594023638275	-1.77354514343371	5.89862992710241	NIPSNAP3B;ATP6V0E1;SYT1
nortriptyline-7300	3/100	0.00054766074488	0.03594023638275	-1.72212208965845	5.72760210462787	GUCY1B3;RAC3;SNCA
ramipril-7144	3/100	0.00054766074488	0.03594023638275	-1.71754673260436	5.71238493457367	GUCY1B3;ATP6V0E1;LMNB1
amitriptyline-1701	3/100	0.00054766074488	0.03594023638275	-1.68394179717954	5.60061835308628	RAC3;AP2B1;SCAMP1
bretylium tosilate-5020	3/100	0.00054766074488	0.03594023638275	-1.67731714768604	5.57858544577426	RAC3;AP2B1;LMNB1
amoxapine-4996	3/100	0.00054766074488	0.03594023638275	-1.6764398727602	5.57566771901044	C20ORF7;AP2B1;LMNB1
dapsone-1705	3/100	0.00054766074488	0.03594023638275	-1.67063715773252	5.5563684817469	SYT1;KRAS;SNCA
6-bromoindirubin-3'-oxime-6559	3/100	0.00054766074488	0.03594023638275	-1.66295367824022	5.5308140140496	RAC3;AP2B1;LMNB1
clorsulon-7264	3/100	0.00054766074488	0.03594023638275	-1.66012164647328	5.52139496576837	AP2B1;SCAMP1;LMNB1
trichostatin A-7285	3/100	0.00054766074488	0.03594023638275	-1.65809208694506	5.51464485815688	GUCY1B3;ATP6V0E1;SYT1
isoxicam-1698	3/100	0.00054766074488	0.03594023638275	-1.65736150759197	5.51221502587875	AP2B1;SCAMP1;LMNB1
valproic acid-1240	3/100	0.00054766074488	0.03594023638275	-1.65202223721192	5.49445715815867	GUCY1B3;SYT1;RAC3
naproxen-1706	3/100	0.00054766074488	0.03594023638275	-1.64820577876942	5.48176400734275	KRAS;AP2B1;SCAMP1
merbromin-2577	3/100	0.00054766074488	0.03594023638275	-1.64746371478955	5.47929597836943	RAC3;KRAS;SNCA
pseudopelletierine-7184	3/100	0.00054766074488	0.03594023638275	-1.62059543461772	5.38993482390537	SOS1;SNCA;LMNB1
doxorubicin-3291	2/100	0.01129418810576	0.09337714575627	-1.70347891929063	4.03913361051372	AP2B1;SNCA
ifosfamide-3485	2/100	0.01129418810576	0.09337714575627	-1.68962304743145	4.00627983281466	ATP6V0E1;KRAS
dilazep-4688	2/100	0.01129418810576	0.09337714575627	-1.68382553715392	3.99253330601349	C20ORF7;KRAS
hydrastinine-2119	2/100	0.01129418810576	0.09337714575627	-1.68365592289658	3.99213113217974	GUCY1B3;LMNB1
tomatidine-5808	2/100	0.01129418810576	0.09337714575627	-1.68045169273554	3.98453355430971	SYT1;RAC3
pimozide-7132	2/100	0.01129418810576	0.09337714575627	-1.67989547734123	3.98321470717377	ATP6V0E1;SYT1
metformin-1858	2/100	0.01129418810576	0.09337714575627	-1.6779962292265	3.97871138352941	BRIP1;ATP6V0E1
prilocaine-3727	2/100	0.01129418810576	0.09337714575627	-1.67163263828029	3.96362261795484	ATP6V0E1;AP2B1
spiramycin-2558	2/100	0.01129418810576	0.09337714575627	-1.66364693051593	3.94468763715203	RAC3;SNCA
heliotrine-3717	2/100	0.01129418810576	0.09337714575627	-1.66301931674773	3.94319949671374	C20ORF7;AP2B1
flupentixol-6708	2/100	0.01129418810576	0.09337714575627	-1.65888786633286	3.93340337887402	NIPSNAP3B;SYT1
sulfachlorpyridazine-4326	2/100	0.01129418810576	0.09337714575627	-1.65795948576037	3.9312020876627	C20ORF7;KRAS
etamivan-7260	2/100	0.01129418810576	0.09337714575627	-1.65413045188821	3.92212303230504	SYT1;AP2B1
trichostatin A-6546	2/100	0.01129418810576	0.09337714575627	-1.65308985907711	3.91965567368347	GUCY1B3;SYT1
metampicillin-2123	2/100	0.01129418810576	0.09337714575627	-1.65169437357989	3.91634682594197	AP2B1;LMNB1
sulfamethoxazole-3667	2/100	0.01129418810576	0.09337714575627	-1.64814351545956	3.90792735551731	RAC3;AP2B1
pioglitazone-7523	2/100	0.01129418810576	0.09337714575627	-1.64707052877101	3.90538318749254	ATP6V0E1;SCAMP1
valinomycin-5906	2/100	0.01129418810576	0.09337714575627	-1.64636758407498	3.90371642923923	NIPSNAP3B;SNCA
neostigmine bromide-3294	2/100	0.01129418810576	0.09337714575627	-1.64483805071331	3.90008973944602	RAC3;AP2B1
nimesulide-2112	2/100	0.01129418810576	0.09337714575627	-1.64402686214338	3.89816632320637	GUCY1B3;ATP6V0E1
trichostatin A-7387	2/100	0.01129418810576	0.09337714575627	-1.64186779909057	3.8930469501134	GUCY1B3;SYT1
lobeline-5784	2/100	0.01129418810576	0.09337714575627	-1.64134759096454	3.89181348012297	C20ORF7;SNCA
kawain-2337	2/100	0.01129418810576	0.09337714575627	-1.63973938383187	3.88800024627035	SCAMP1;SOS1
iohexol-2461	2/100	0.01129418810576	0.09337714575627	-1.63613924023505	3.87946391462581	RAC3;AP2B1
fludroxycortide-6039	2/100	0.01129418810576	0.09337714575627	-1.63423924782734	3.87495882618191	SCAMP1;SNCA
nalidixic acid-4691	2/100	0.01129418810576	0.09337714575627	-1.62787206191176	3.85986153654435	C20ORF7;KRAS
zidovudine-6733	2/100	0.01129418810576	0.09337714575627	-1.62746306411981	3.85889175833965	NIPSNAP3B;KRAS
viomycin-7036	2/100	0.01129418810576	0.09337714575627	-1.62623662224043	3.85598373138361	KRAS;LMNB1
valproic acid-5211	2/100	0.01129418810576	0.09337714575627	-1.62590774472072	3.85520392704992	RAC3;LMNB1
betazole-1812	2/100	0.01129418810576	0.09337714575627	-1.62484433156094	3.85268245890207	SNCA;LMNB1
valproic acid-1209	2/100	0.01129418810576	0.09337714575627	-1.62346957439602	3.84942276028869	GUCY1B3;SYT1
digoxin-2423	2/100	0.01129418810576	0.09337714575627	-1.62237442670339	3.84682604611532	SOS1;SNCA
flunixin-4735	2/100	0.01129418810576	0.09337714575627	-1.62122261758645	3.8440949815483	NIPSNAP3B;KRAS
dyclonine-7261	2/100	0.01129418810576	0.09337714575627	-1.62014150356456	3.84153154273308	SYT1;LMNB1
aconitine-7149	2/100	0.01129418810576	0.09337714575627	-1.61999077724819	3.84117415425969	RAC3;LMNB1
trifluoperazine-5442	2/100	0.01129418810576	0.09337714575627	-1.61893442560263	3.83866942972932	NIPSNAP3B;C20ORF7
terconazole-2484	2/100	0.01129418810576	0.09337714575627	-1.61628817412815	3.83239487995275	RAC3;SNCA
nialamide-4525	2/100	0.01129418810576	0.09337714575627	-1.61581396353739	3.83127047511631	NIPSNAP3B;SNCA
PF-00539745-00-5939	2/100	0.01129418810576	0.09337714575627	-1.61565938758465	3.8309039587368	AP2B1;LMNB1
dosulepin-7284	2/100	0.01129418810576	0.09337714575627	-1.61481149407797	3.82889351110391	ATP6V0E1;RAC3
chlorpromazine-5214	2/100	0.01129418810576	0.09337714575627	-1.61449881981683	3.82815212645687	NIPSNAP3B;RAC3
acacetin-3849	2/100	0.01129418810576	0.09337714575627	-1.61276599514331	3.82404341087449	RAC3;AP2B1
pepstatin-4206	2/100	0.01129418810576	0.09337714575627	-1.61250570439791	3.82342623323504	SCAMP1;SNCA
riluzole-3666	2/100	0.01129418810576	0.09337714575627	-1.61150908243523	3.82106313427278	RAC3;AP2B1
trichostatin A-6671	2/100	0.01129418810576	0.09337714575627	-1.60992245138516	3.81730105965637	GUCY1B3;SYT1
isocarboxazid-3684	2/100	0.01129418810576	0.09337714575627	-1.6078990006244	3.81250323804294	AP2B1;LMNB1
