Term	Overlap	P-value	Adjusted P-value	Z-score	Combined Score	Genes
MODULE_86	2/43	0.00224871495065	0.14797158934411	-2.37662510486614	4.5411007401255	RIT1;KRAS
MODULE_87	2/44	0.00234875538641	0.14797158934411	-2.26369101841887	4.32531362986522	RIT1;NRAS
MODULE_100	4/544	0.00932397569381	0.24709446729872	-2.09580406648359	2.92990171896734	GUCY1B3;SYT1;QPCT;RAC3
MODULE_137	4/546	0.00944280531776	0.24709446729872	-2.09436336904371	2.9278876461954	GUCY1B3;SYT1;QPCT;RAC3
MODULE_66	4/552	0.00980533600392	0.24709446729872	-2.09322706760702	2.92629911433507	GUCY1B3;SYT1;QPCT;RAC3
MODULE_118	3/410	0.02571625509296	0.30419107320935	-2.07994229460895	2.47533775388455	QPCT;RAC3;LMNB1
MODULE_52	3/433	0.02959894261973	0.30419107320935	-2.07805545184864	2.47309222374059	QPCT;RAC3;LMNB1
MODULE_18	3/451	0.0328477344223	0.30419107320935	-2.02502602005225	2.40998193701154	QPCT;RAC3;LMNB1
MODULE_116	1/29	0.04661823573034	0.30419107320935	-2.00026586079471	2.38051489017989	ATP6V0E1
GNF2_RRM2	1/40	0.06319509581157	0.30419107320935	-1.97222169304729	2.34713954732476	LMNB1
GNF2_SMC1L1	1/27	0.04357487225896	0.30419107320935	-1.96309546583017	2.33627843120649	LMNB1
MODULE_11	3/540	0.05159904575982	0.30419107320935	-1.93845533685504	2.30695423232326	GUCY1B3;SYT1;RAC3
MODULE_67	2/230	0.05123493939897	0.30419107320935	-1.93590667665274	2.30392107374145	C20ORF7;RAC3
MODULE_239	2/120	0.01561460088464	0.30419107320935	-1.92400681529873	2.28975905773172	AP2B1;SOS1
MODULE_249	1/22	0.03592656939107	0.30419107320935	-1.91618971148979	2.28045592839276	QPCT
GCM_PPM1D	1/26	0.04204977737589	0.30419107320935	-1.91217606912693	2.27567929564813	LMNB1
MODULE_22	1/45	0.07064035843793	0.30419107320935	-1.88658161975275	2.24521936077878	ATP6V0E1
MODULE_176	2/230	0.05123493939897	0.30419107320935	-1.87986683152343	2.23722809637858	SYT1;QPCT
MODULE_497	1/29	0.04661823573034	0.30419107320935	-1.87167402758659	2.22747784660117	SNCA
MODULE_181	2/306	0.08432604853773	0.30419107320935	-1.85199300394672	2.20405547523196	QPCT;RAC3
MODULE_54	2/263	0.06489179898978	0.30419107320935	-1.84502873375332	2.19576730253474	CMYA5;LMNB1
MODULE_112	2/260	0.06360248968116	0.30419107320935	-1.8389708675549	2.18855784054736	SYT1;QPCT
MODULE_533	1/45	0.07064035843793	0.30419107320935	-1.82272020805765	2.1692179429534	LMNB1
GNF2_BUB1B	1/49	0.07655658949099	0.30419107320935	-1.80064232654019	2.14294307283436	LMNB1
MODULE_104	2/353	0.1073738370314	0.30419107320935	-1.79598233976455	2.13739722609224	QPCT;RAC3
GNF2_RAB3A	1/37	0.05870113626323	0.30419107320935	-1.78861272274619	2.12862665044478	SYT1
GNF2_MCM4	1/53	0.08243749811205	0.30419107320935	-1.77790561979437	2.11588413530864	LMNB1
GNF2_MAPT	1/41	0.06468860701628	0.30419107320935	-1.76661693955822	2.10244948548566	SYT1
MODULE_445	1/15	0.02512257422392	0.30419107320935	-1.74721634596727	2.07936085370587	GUCY1B3
MORF_REV3L	1/57	0.08828328120417	0.30419107320935	-1.71342208703211	2.03914233167111	SCAMP1
MODULE_312	1/47	0.07360290161923	0.30419107320935	-1.70239743472606	2.02602190128832	NRAS
MODULE_381	1/12	0.02045763178916	0.30419107320935	-1.67135829197425	1.9890822409425	SYT1
GNF2_MCM5	1/61	0.09409413465482	0.30419107320935	-1.66564580729596	1.98228381724137	LMNB1
MODULE_53	2/405	0.13466811097477	0.30419107320935	-1.66063728069813	1.97632317352012	RAC3;LMNB1
MODULE_254	1/60	0.09264468527336	0.30419107320935	-1.65859500631415	1.97389266431822	NRAS
MODULE_3	2/385	0.12397322671032	0.30419107320935	-1.63677617666447	1.94792609163136	RAC3;LMNB1
GNF2_BNIP3L	1/68	0.1041796643394	0.30419107320935	-1.614756748644	1.92172078697493	SNCA
GNF2_RAD23A	1/69	0.10561183114336	0.30419107320935	-1.61310792625637	1.91975852469673	SNCA
GNF2_SPTB	1/74	0.11274052395833	0.30419107320935	-1.58916515943568	1.89126425598681	SNCA
MODULE_438	1/68	0.1041796643394	0.30419107320935	-1.58135141929612	1.88196512974825	LMNB1
GNF2_ANK1	1/74	0.11274052395833	0.30419107320935	-1.57599998350931	1.87559639006018	SNCA
GNF2_TAL1	1/73	0.11131906089847	0.30419107320935	-1.56246082723083	1.85948345039895	SNCA
GNF2_MAP2K3	1/75	0.11415985525324	0.30419107320935	-1.55960871142416	1.85608914953156	SNCA
GNF2_DNM1	1/73	0.11131906089847	0.30419107320935	-1.54088202058933	1.83380252891284	SYT1
GNF2_SPTA1	1/81	0.1226312427372	0.30419107320935	-1.52079409193101	1.8098959001885	SNCA
