Term	Overlap	P-value	Adjusted P-value	Z-score	Combined Score	Genes
pentoxyverine-1268	4/100	0.00001263790419	0.00809457763357	-1.65639662457593	7.97813516618078	NIPSNAP3B;NRAS;BRIP1;CMAS
amantadine-1344	4/100	0.00001263790419	0.00809457763357	-1.63545357967425	7.87726171562073	NIPSNAP3B;NRAS;BRIP1;CMAS
galantamine-4772	3/100	0.00042171867434	0.05402216218306	-1.66188462332845	4.84997911469831	BRIP1;CMAS;LMNB1
stachydrine-1751	3/100	0.00042171867434	0.05402216218306	-1.63065796436829	4.75884845396972	NRAS;CMAS;LMNB1
amiloride-4109	3/100	0.00042171867434	0.05402216218306	-1.62652190147669	4.74677792972291	BRIP1;CMAS;RAC3
lidocaine-4596	3/100	0.00042171867434	0.05402216218306	-1.6256632162287	4.74427197626476	BRIP1;CMAS;LMNB1
Chicago Sky Blue 6B-1330	3/100	0.00042171867434	0.05402216218306	-1.62099742023644	4.73065549964642	NIPSNAP3B;BRIP1;LMNB1
ionomycin-882	3/100	0.00042171867434	0.05402216218306	-1.61873036740169	4.72403942128208	RIT1;BRIP1;LMNB1
pioglitazone-7528	3/100	0.00042171867434	0.05402216218306	-1.61856588118533	4.72355939113872	NRAS;BRIP1;LMNB1
trichostatin A-4344	3/100	0.00042171867434	0.05402216218306	-1.60482650539343	4.6834629339573	BRIP1;CMAS;LMNB1
meteneprost-7552	2/100	0.00974247779318	0.10229601682841	-1.69482807846038	3.86401233906712	RAC3;LMNB1
prochlorperazine-1053	2/100	0.00974247779318	0.10229601682841	-1.69103268037463	3.85535926963701	BRIP1;LMNB1
propidium iodide-2541	2/100	0.00974247779318	0.10229601682841	-1.69085997724601	3.85496552644354	C20ORF7;RAC3
succinylsulfathiazole-2166	2/100	0.00974247779318	0.10229601682841	-1.69065304653341	3.85449374831041	BRIP1;LMNB1
perphenazine-4637	2/100	0.00974247779318	0.10229601682841	-1.68088252697261	3.832218091787	C20ORF7;RAC3
doxazosin-3024	2/100	0.00974247779318	0.10229601682841	-1.67805339710128	3.82576800232331	BRIP1;LMNB1
methoxamine-6627	2/100	0.00974247779318	0.10229601682841	-1.67348052315374	3.81534237769339	C20ORF7;RAC3
picrotoxinin-2161	2/100	0.00974247779318	0.10229601682841	-1.67118267189918	3.81010354213608	BRIP1;LMNB1
chlorpromazine-1864	2/100	0.00974247779318	0.10229601682841	-1.66946962087663	3.80619798358844	NIPSNAP3B;LMNB1
metergoline-5344	2/100	0.00974247779318	0.10229601682841	-1.66256718621149	3.79046122948657	BRIP1;LMNB1
luteolin-3379	2/100	0.00974247779318	0.10229601682841	-1.66200430832492	3.78917793289341	BRIP1;LMNB1
CP-645525-01-7527	2/100	0.00974247779318	0.10229601682841	-1.65919667840659	3.78277686084021	BRIP1;LMNB1
(+)-chelidonine-2779	2/100	0.00974247779318	0.10229601682841	-1.65887948793471	3.78205370318621	RIT1;BRIP1
quinostatin-973	2/100	0.00974247779318	0.10229601682841	-1.6567130788379	3.77711454057264	BRIP1;LMNB1
ribostamycin-2705	2/100	0.00974247779318	0.10229601682841	-1.65525069995424	3.77378048555983	QPCT;RAC3
cromoglicic acid-5754	2/100	0.00974247779318	0.10229601682841	-1.65504564854593	3.77331299202352	BRIP1;RAC3
etiocholanolone-4764	2/100	0.00974247779318	0.10229601682841	-1.65491144195134	3.77300701648294	C20ORF7;LMNB1
meclocycline-6637	2/100	0.00974247779318	0.10229601682841	-1.65138638807465	3.76497030063636	RAC3;LMNB1
resveratrol-2865	2/100	0.00974247779318	0.10229601682841	-1.64559059887322	3.75175657042174	RAC3;LMNB1
fusaric acid-3245	2/100	0.00974247779318	0.10229601682841	-1.64435527508469	3.74894017481069	BRIP1;RAC3
sparteine-4391	2/100	0.00974247779318	0.10229601682841	-1.64315710956299	3.74620849575787	BRIP1;LMNB1
metoclopramide-4285	2/100	0.00974247779318	0.10229601682841	-1.64263140922332	3.7450099596792	RAC3;LMNB1
promethazine-5317	2/100	0.00974247779318	0.10229601682841	-1.63623809829847	3.73043394892326	SOS1;LMNB1
prednisolone-5101	2/100	0.00974247779318	0.10229601682841	-1.63546035406565	3.72866078186848	BRIP1;RAC3
prochlorperazine-995	2/100	0.00974247779318	0.10229601682841	-1.63501270575306	3.72764019539993	BRIP1;RAC3
5230742-970	2/100	0.00974247779318	0.10229601682841	-1.62937958747021	3.71479733609816	BRIP1;LMNB1
seneciphylline-4822	2/100	0.00974247779318	0.10229601682841	-1.62927285126325	3.71455398986972	BRIP1;CMAS
dicycloverine-4581	2/100	0.00974247779318	0.10229601682841	-1.62855846287938	3.71292526683567	RAC3;LMNB1
famprofazone-3753	2/100	0.00974247779318	0.10229601682841	-1.62446017693859	3.70358164806661	RAC3;LMNB1
0179445-0000-4289	2/100	0.00974247779318	0.10229601682841	-1.6242392323973	3.70307792002208	BRIP1;LMNB1
betulinic acid-4101	2/100	0.00974247779318	0.10229601682841	-1.62367616635273	3.70179419445037	BRIP1;LMNB1
oxedrine-6798	2/100	0.00974247779318	0.10229601682841	-1.6228604807231	3.69993452539148	RAC3;LMNB1
cefadroxil-1323	2/100	0.00974247779318	0.10229601682841	-1.62263546306544	3.69942151111187	BRIP1;LMNB1
lactobionic acid-1309	2/100	0.00974247779318	0.10229601682841	-1.62242302517013	3.69893717723802	NIPSNAP3B;BRIP1
PHA-00767505E-6591	2/100	0.00974247779318	0.10229601682841	-1.62078274596029	3.69519753002136	BRIP1;LMNB1
flutamide-3885	2/100	0.00974247779318	0.10229601682841	-1.619630992395	3.69257166487054	QPCT;RAC3
mevalolactone-5738	2/100	0.00974247779318	0.10229601682841	-1.61944182722994	3.69214039013465	RAC3;LMNB1
disopyramide-7035	2/100	0.00974247779318	0.10229601682841	-1.61843337364397	3.68984123239169	BRIP1;RAC3
eticlopride-3393	2/100	0.00974247779318	0.10229601682841	-1.61821649352929	3.68934677077057	QPCT;C20ORF7
griseofulvin-2293	2/100	0.00974247779318	0.10229601682841	-1.61554599945627	3.68325835261142	BRIP1;RAC3
nystatin-4807	2/100	0.00974247779318	0.10229601682841	-1.61445314999123	3.68076678200827	BRIP1;QPCT
propranolol-3396	2/100	0.00974247779318	0.10229601682841	-1.61296457004295	3.67737299159323	QPCT;RAC3
palmatine-4957	2/100	0.00974247779318	0.10229601682841	-1.60798344230017	3.66601659544592	RIT1;LMNB1
fluphenazine-1662	2/100	0.00974247779318	0.10229601682841	-1.60769244852973	3.6653531632466	BRIP1;RAC3
spectinomycin-4773	2/100	0.00974247779318	0.10229601682841	-1.60747930479977	3.66486722015122	BRIP1;LMNB1
PHA-00767505E-6550	2/100	0.00974247779318	0.10229601682841	-1.60653383963818	3.66271166874339	BRIP1;RAC3
ethionamide-4418	2/100	0.00974247779318	0.10229601682841	-1.60578590368057	3.66100646111452	QPCT;LMNB1
PHA-00767505E-6596	2/100	0.00974247779318	0.10229601682841	-1.60201036682422	3.65239867299432	BRIP1;RAC3
acetylsalicylic acid-6164	2/100	0.00974247779318	0.10229601682841	-1.59972933113448	3.64719817498334	NRAS;QPCT
ciclosporin-4411	2/100	0.00974247779318	0.10229601682841	-1.59972729191852	3.64719352580638	RAC3;LMNB1
sertaconazole-4475	2/100	0.00974247779318	0.10229601682841	-1.59957580354296	3.64684814980052	RAC3;LMNB1
seneciphylline-2797	2/100	0.00974247779318	0.10229601682841	-1.59817109044321	3.64364556611709	BRIP1;LMNB1
ketanserin-3209	2/100	0.00974247779318	0.10229601682841	-1.59744708930617	3.64199492711567	BRIP1;RAC3
aminocaproic acid-7258	2/100	0.00974247779318	0.10229601682841	-1.59678244696152	3.64047961930749	NRAS;BRIP1
thioridazine-4454	2/100	0.00974247779318	0.10229601682841	-1.59668672564722	3.64026138576258	GUCY1B3;LMNB1
luteolin-6658	2/100	0.00974247779318	0.10229601682841	-1.59627888619914	3.63933155890889	BRIP1;SYT1
corbadrine-7208	2/100	0.00974247779318	0.10229601682841	-1.59540895806603	3.63734822320472	RAC3;LMNB1
trichostatin A-4565	2/100	0.00974247779318	0.10229601682841	-1.59458290146427	3.63546490952676	CMAS;LMNB1
chlormezanone-5697	2/100	0.00974247779318	0.10229601682841	-1.59322048091302	3.63235874797093	QPCT;LMNB1
eldeline-3750	2/100	0.00974247779318	0.10229601682841	-1.59305835318178	3.63198911546251	RAC3;LMNB1
prednicarbate-5544	2/100	0.00974247779318	0.10229601682841	-1.59114089576873	3.62761753394469	QPCT;RAC3
AG-013608-5909	2/100	0.00974247779318	0.10229601682841	-1.58818202324675	3.62087164621723	BRIP1;LMNB1
cyclizine-5525	2/100	0.00974247779318	0.10229601682841	-1.58483398316972	3.61323850139636	QPCT;RAC3
dilazep-7364	2/100	0.00974247779318	0.10229601682841	-1.58395078519863	3.6112249119937	RAC3;LMNB1
remoxipride-6342	2/100	0.00974247779318	0.10229601682841	-1.58276609699888	3.60852395967887	BRIP1;CMAS
valproic acid-1647	2/100	0.00974247779318	0.10229601682841	-1.58113734624479	3.60481059601028	BRIP1;LMNB1
colchicine-3213	2/100	0.00974247779318	0.10229601682841	-1.58088686149644	3.60423951970426	BRIP1;RAC3
famprofazone-3928	2/100	0.00974247779318	0.10229601682841	-1.58018201246321	3.60263254528827	BRIP1;CMAS
picotamide-2070	2/100	0.00974247779318	0.10229601682841	-1.57984825638494	3.6018716199643	BRIP1;LMNB1
apramycin-4959	2/100	0.00974247779318	0.10229601682841	-1.57960733837303	3.60132235471283	QPCT;LMNB1
dacarbazine-4480	2/100	0.00974247779318	0.10229601682841	-1.57861248764537	3.59905420991626	NIPSNAP3B;BRIP1
hydrocotarnine-4489	2/100	0.00974247779318	0.10229601682841	-1.57636548913381	3.59393131274169	NIPSNAP3B;LMNB1
sulfapyridine-6101	2/100	0.00974247779318	0.10229601682841	-1.57634735221504	3.59388996266095	QPCT;C20ORF7
fludrocortisone-4342	2/100	0.00974247779318	0.10229601682841	-1.57497448846235	3.59075999181158	BRIP1;LMNB1
betonicine-6063	2/100	0.00974247779318	0.10229601682841	-1.57274507908808	3.58567719583925	RAC3;LMNB1
difenidol-7406	2/100	0.00974247779318	0.10229601682841	-1.57124512564327	3.58225747516524	RAC3;LMNB1
cefixime-4390	2/100	0.00974247779318	0.10229601682841	-1.57095424103678	3.58159429184712	BRIP1;LMNB1
pioglitazone-7088	2/100	0.00974247779318	0.10229601682841	-1.56974468723239	3.57883664882461	BRIP1;LMNB1
PF-00562151-00-6868	2/100	0.00974247779318	0.10229601682841	-1.56507375022007	3.56818745172906	BRIP1;LMNB1
MS-275-7074	2/100	0.00974247779318	0.10229601682841	-1.56269869112885	3.56277259121834	BRIP1;LMNB1
octopamine-6491	2/100	0.00974247779318	0.10229601682841	-1.56155711129267	3.56016992099528	QPCT;LMNB1
