Term	Overlap	P-value	Adjusted P-value	Z-score	Combined Score	Genes
positive regulation of small GTPase mediated signal transduction (GO:0051057)	4/35	0.00000008442347	0.00005031639057	-2.4170125784997	23.9216077728348	NRAS;MAP2K1;KRAS;SOS1
neurotrophin TRK receptor signaling pathway (GO:0048011)	6/274	0.00000036574942	0.00006260332252	-2.43024952040665	23.52163709136681	RIT1;NRAS;MAP2K1;KRAS;AP2B1;SOS1
neurotrophin signaling pathway (GO:0038179)	6/278	0.00000039757578	0.00006260332252	-2.42732947454638	23.49337486625839	RIT1;NRAS;MAP2K1;KRAS;AP2B1;SOS1
insulin receptor signaling pathway (GO:0008286)	5/148	0.00000052519566	0.00006260332252	-2.3087467668332	22.34564933736933	NRAS;MAP2K1;ATP6V0E1;KRAS;SOS1
cellular response to organonitrogen compound (GO:0071417)	6/411	0.00000373628851	0.00020243890478	-2.53952123935486	21.59881205729526	NRAS;MAP2K1;ATP6V0E1;KRAS;SOS1;SNCA
response to fibroblast growth factor (GO:0071774)	5/187	0.00000161541456	0.0001206430351	-2.3657192325853	21.34511458385535	NRAS;MAP2K1;KRAS;SOS1;SNCA
cellular response to fibroblast growth factor stimulus (GO:0044344)	5/183	0.00000145613803	0.0001206430351	-2.36432301698128	21.33251698493443	NRAS;MAP2K1;KRAS;SOS1;SNCA
ERBB signaling pathway (GO:0038127)	5/196	0.000002024212	0.0001206430351	-2.35123474920374	21.21442580506502	NRAS;MAP2K1;KRAS;AP2B1;SOS1
cellular response to insulin stimulus (GO:0032869)	5/195	0.00000197513708	0.0001206430351	-2.35024369815224	21.20548387401872	NRAS;MAP2K1;ATP6V0E1;KRAS;SOS1
epidermal growth factor receptor signaling pathway (GO:0007173)	5/193	0.00000187980563	0.0001206430351	-2.3477682664124	21.18314885919385	NRAS;MAP2K1;KRAS;AP2B1;SOS1
cellular response to nitrogen compound (GO:1901699)	6/438	0.00000536648116	0.00022979710626	-2.52745006656441	21.17576973379217	NRAS;MAP2K1;ATP6V0E1;KRAS;SOS1;SNCA
regulation of long-term neuronal synaptic plasticity (GO:0048169)	3/27	0.00000460002584	0.00022846795016	-2.51525173941062	21.08815887969295	NRAS;KRAS;SNCA
Ras protein signal transduction (GO:0007265)	5/148	0.00000052519566	0.00006260332252	-2.15121788053112	20.82097573332529	RIT1;NRAS;MAP2K1;KRAS;SOS1
Fc-epsilon receptor signaling pathway (GO:0038095)	4/295	0.00028100709802	0.00452649271405	-3.80251870988581	20.52526543580312	NRAS;MAP2K1;KRAS;SOS1
cellular response to peptide hormone stimulus (GO:0071375)	5/261	0.00000797496657	0.00026406000422	-2.40802984640837	19.84056264872099	NRAS;MAP2K1;ATP6V0E1;KRAS;SOS1
positive regulation of Ras protein signal transduction (GO:0046579)	3/30	0.00000616904983	0.00022979710626	-2.36036263656047	19.775858815677	NRAS;MAP2K1;KRAS
response to insulin (GO:0032868)	5/246	0.00000601077796	0.00022979710626	-2.34600744839432	19.65558654477714	NRAS;MAP2K1;ATP6V0E1;KRAS;SOS1
cellular response to peptide (GO:1901653)	5/273	0.00000988263059	0.00031000251732	-2.41118527762583	19.47979741283506	NRAS;MAP2K1;ATP6V0E1;KRAS;SOS1
small GTPase mediated signal transduction (GO:0007264)	6/439	0.00000543649015	0.00022979710626	-2.31720814100033	19.41429691063738	RIT1;NRAS;MAP2K1;RAC3;KRAS;SOS1
regulation of small GTPase mediated signal transduction (GO:0051056)	5/256	0.00000727137694	0.00025492592081	-2.30159865684787	19.04466453789017	NRAS;MAP2K1;RAC3;KRAS;SOS1
Fc receptor signaling pathway (GO:0038093)	4/352	0.00054503924053	0.00812108468388	-3.65980858621939	17.61572574987987	NRAS;MAP2K1;KRAS;SOS1
regulation of neuronal synaptic plasticity (GO:0048168)	3/47	0.00002190555845	0.00065278564182	-2.27283206883907	16.66954530510038	NRAS;KRAS;SNCA
response to peptide hormone (GO:0043434)	5/364	0.00003872114537	0.00099956762391	-2.3894221183457	16.50657660411838	NRAS;MAP2K1;ATP6V0E1;KRAS;SOS1
neuron projection guidance (GO:0097485)	5/367	0.00004025104526	0.00099956762391	-2.35716308633533	16.28372515440363	NRAS;MAP2K1;KRAS;AP2B1;SOS1
fibroblast growth factor receptor signaling pathway (GO:0008543)	4/163	0.0000294278324	0.00083518990994	-2.2958974906031	16.27298029336578	NRAS;MAP2K1;KRAS;SOS1
axon guidance (GO:0007411)	5/367	0.00004025104526	0.00099956762391	-2.35454508834446	16.26563953275735	NRAS;MAP2K1;KRAS;AP2B1;SOS1
