Term	Overlap	P-value	Adjusted P-value	Z-score	Combined Score	Genes
doxorubicin-3291	4/100	0.00082184856932	0.16564814497191	-1.74488046719358	3.13710200685848	ACTN2;AP2B1;NPM3;SNCA
ramipril-7144	4/100	0.00082184856932	0.16564814497191	-1.72315494074524	3.09804191426041	GUCY1B3;ATP6V0E1;NPM3;LMNB1
colchicine-1598	4/100	0.00082184856932	0.16564814497191	-1.68104208412739	3.02232765790057	OGFRL1;RIT1;EPB41L3;ATP2B1
bretylium tosilate-5020	4/100	0.00082184856932	0.16564814497191	-1.67956114113816	3.01966508627408	RAC3;AP2B1;NPM3;LMNB1
letrozole-4824	4/100	0.00082184856932	0.16564814497191	-1.67562331548473	3.01258531147444	BRIP1;CMAS;KRAS;SCAMP1
6-bromoindirubin-3'-oxime-6559	4/100	0.00082184856932	0.16564814497191	-1.66518823010427	2.99382418261532	RAC3;AP2B1;PAK3;LMNB1
clorsulon-7264	4/100	0.00082184856932	0.16564814497191	-1.66452054210518	2.99262375347344	AP2B1;SCAMP1;NPM3;LMNB1
trichostatin A-6143	4/100	0.00082184856932	0.16564814497191	-1.66116484480826	2.98659058104558	BMPR2;QPCT;PECI;SNCA
merbromin-2577	4/100	0.00082184856932	0.16564814497191	-1.64968293676328	2.96594738086786	BMPR2;RAC3;KRAS;SNCA
pentetrazol-1408	3/100	0.00841089744384	0.21190788837685	-1.72053134585995	2.66958260867032	NIPSNAP3B;ATP6V0E1;SYT1
metrizamide-3255	3/100	0.00841089744384	0.21190788837685	-1.71198088838844	2.65631568818262	OGFRL1;AP2B1;NPM3
nortriptyline-7300	3/100	0.00841089744384	0.21190788837685	-1.70870170128232	2.65122768970463	GUCY1B3;RAC3;SNCA
prilocaine-3727	3/100	0.00841089744384	0.21190788837685	-1.6973881113794	2.63367348302357	ATP6V0E1;AP2B1;NPM3
isocarboxazid-3684	3/100	0.00841089744384	0.21190788837685	-1.69006099529587	2.62230470342222	AP2B1;NPM3;LMNB1
valproic acid-5237	3/100	0.00841089744384	0.21190788837685	-1.68922271520733	2.6210040250295	RAC3;AP2B1;NPM3
antazoline-1556	3/100	0.00841089744384	0.21190788837685	-1.68921724347408	2.62099553506856	CUL5;MRPL12;SOS1
digoxin-2423	3/100	0.00841089744384	0.21190788837685	-1.68651183592715	2.61679781501304	EPHA4;SOS1;SNCA
heliotrine-3717	3/100	0.00841089744384	0.21190788837685	-1.68442390660886	2.61355817639231	C20ORF7;AP2B1;NPM3
pimozide-7132	3/100	0.00841089744384	0.21190788837685	-1.68100356671299	2.60825116473935	ATP6V0E1;SYT1;NPM3
trichostatin A-7047	3/100	0.00841089744384	0.21190788837685	-1.6755705115514	2.59982121685945	EPHA4;GUCY1B3;SYT1
cotinine-4650	3/100	0.00841089744384	0.21190788837685	-1.67287789838078	2.59564334860412	ACTN2;B3GALT2;SNCA
sulfachlorpyridazine-4326	3/100	0.00841089744384	0.21190788837685	-1.66801565965636	2.58809908155596	ANKH;C20ORF7;KRAS
riluzole-3666	3/100	0.00841089744384	0.21190788837685	-1.6671340240011	2.58673113251037	ACTN2;RAC3;AP2B1
"2,6-dimethylpiperidine"-4543	3/100	0.00841089744384	0.21190788837685	-1.66636312209399	2.58553499834568	ACTN2;CAMK4;C20ORF7
trifluoperazine-5442	3/100	0.00841089744384	0.21190788837685	-1.66440461871239	2.58249617747262	NIPSNAP3B;ANKH;C20ORF7
fulvestrant-6918	3/100	0.00841089744384	0.21190788837685	-1.65901645353472	2.57413588105283	ATP6V0E1;KRAS;NPM3
brinzolamide-5016	3/100	0.00841089744384	0.21190788837685	-1.65803341505812	2.57261059502586	C20ORF7;AP2B1;CDH8
cyanocobalamin-3252	3/100	0.00841089744384	0.21190788837685	-1.65738535458326	2.57160506206814	RAC3;AP2B1;NPM3
droperidol-4629	3/100	0.00841089744384	0.21190788837685	-1.65622618284031	2.56980648703324	KRAS;CDH8;SNCA
valproic acid-5211	3/100	0.00841089744384	0.21190788837685	-1.65560867970723	2.56884836695664	RAC3;NPM3;LMNB1
acenocoumarol-1394	3/100	0.00841089744384	0.21190788837685	-1.65518364037972	2.56818887441125	CUL5;KRAS;SCAMP1
ciclacillin-3882	3/100	0.00841089744384	0.21190788837685	-1.65427876641642	2.56678486872354	CAMK4;C20ORF7;PAK3
etifenin-4117	3/100	0.00841089744384	0.21190788837685	-1.65184801978233	2.56301331352574	ACTN2;CAMK4;SNCA
amitriptyline-1701	3/100	0.00841089744384	0.21190788837685	-1.65180127492913	2.56294078404382	RAC3;AP2B1;SCAMP1
fenbufen-4743	3/100	0.00841089744384	0.21190788837685	-1.65113438400813	2.56190603369831	EPB41L3;CDH8;SNCA
diloxanide-5025	3/100	0.00841089744384	0.21190788837685	-1.6489543745516	2.55852352320474	AP2B1;NPM3;LMNB1
prilocaine-2352	3/100	0.00841089744384	0.21190788837685	-1.64679996165811	2.55518072843021	SCAMP1;NPM3;PECI
dapsone-1705	3/100	0.00841089744384	0.21190788837685	-1.64611981854558	2.55412541593678	SYT1;KRAS;SNCA
tridihexethyl-3526	3/100	0.00841089744384	0.21190788837685	-1.64438363310378	2.55143154437669	RAC3;AP2B1;NPM3
6-benzylaminopurine-3726	3/100	0.00841089744384	0.21190788837685	-1.63747984838273	2.54071960723608	ACTN2;RAC3;NPM3
nimesulide-7024	3/100	0.00841089744384	0.21190788837685	-1.63663247295568	2.53940481648349	OGFRL1;GABRA1;SNCA
naproxen-1706	3/100	0.00841089744384	0.21190788837685	-1.63607338976268	2.53853734099551	KRAS;AP2B1;SCAMP1
spiramycin-2558	3/100	0.00841089744384	0.21190788837685	-1.63530241646657	2.5373410960634	ACTN2;RAC3;SNCA
diclofenamide-3366	3/100	0.00841089744384	0.21190788837685	-1.635031954436	2.53692144620647	RAC3;NPM3;CDH8
chlorpromazine-5214	3/100	0.00841089744384	0.21190788837685	-1.63364280286015	2.53476603363778	NIPSNAP3B;RAC3;NPM3
monorden-1057	3/100	0.00841089744384	0.21190788837685	-1.63213024138054	2.53241913781967	PRNP;ABHD4;NPM3
valproic acid-1240	3/100	0.00841089744384	0.21190788837685	-1.63108745912559	2.5308011531319	GUCY1B3;SYT1;RAC3
aconitine-7149	3/100	0.00841089744384	0.21190788837685	-1.63100024573648	2.53066583252448	RAC3;NPM3;LMNB1
trichostatin A-5882	3/100	0.00841089744384	0.21190788837685	-1.63037518965862	2.52969599327167	EPHA4;GUCY1B3;SYT1
amoxapine-4996	3/100	0.00841089744384	0.21190788837685	-1.62816990982335	2.52627427316779	C20ORF7;AP2B1;LMNB1
metformin-1858	3/100	0.00841089744384	0.21190788837685	-1.62470067253368	2.52089139214318	BRIP1;ATP6V0E1;CUL5
etamivan-7260	3/100	0.00841089744384	0.21190788837685	-1.62375278028386	2.5194206391278	SYT1;AP2B1;NPM3
trichostatin A-7285	3/100	0.00841089744384	0.21190788837685	-1.62333753400038	2.51877634150464	GUCY1B3;ATP6V0E1;SYT1
nimesulide-2112	3/100	0.00841089744384	0.21190788837685	-1.62176949570469	2.51634336765968	GUCY1B3;ATP6V0E1;PAK3
sulfamethoxazole-3667	3/100	0.00841089744384	0.21190788837685	-1.61911334590419	2.51222207610025	RAC3;AP2B1;NPM3
nadide-5873	3/100	0.00841089744384	0.21190788837685	-1.61876410966344	2.51168019989621	EPHA4;CAMK4;AP2B1
isoniazid-2083	3/100	0.00841089744384	0.21190788837685	-1.6180920511483	2.5106374314931	EPHA4;GUCY1B3;SCAMP1
