Term	Overlap	P-value	Adjusted P-value	Z-score	Combined Score	Genes
MODULE_86	2/43	0.0135959685587	0.49196948199899	-2.35448853666876	1.67012958553153	RIT1;KRAS
MODULE_87	2/44	0.01417868792326	0.49196948199899	-2.24256256994828	1.5907361777923	RIT1;NRAS
MODULE_66	7/552	0.00579104631625	0.49196948199899	-2.1292581628417	1.51036498908923	EPHA4;GUCY1B3;SYT1;QPCT;EPB41L3;RAC3;ATP2B1
MODULE_118	5/410	0.02303175915168	0.49196948199899	-2.10753665907068	1.49495708816926	QPCT;EPB41L3;RAC3;NPM3;LMNB1
MODULE_52	5/433	0.02826793614582	0.49196948199899	-2.10569104071065	1.49364791983878	GOT1;QPCT;EPB41L3;RAC3;LMNB1
MODULE_11	6/540	0.01944017157053	0.49196948199899	-2.08252401197377	1.47721465227355	EPHA4;GUCY1B3;SYT1;EPB41L3;RAC3;ATP2B1
MODULE_100	6/544	0.02007958120213	0.49196948199899	-2.07777958257021	1.47384924539646	EPHA4;GUCY1B3;SYT1;QPCT;EPB41L3;RAC3
MODULE_137	6/546	0.02040467557921	0.49196948199899	-2.07633480229895	1.47282440699183	EPHA4;GUCY1B3;SYT1;QPCT;EPB41L3;RAC3
MODULE_18	5/451	0.03286127994619	0.49196948199899	-2.03405648176001	1.44283476259179	QPCT;EPB41L3;RAC3;MRPL12;LMNB1
GNF2_RAD23A	2/69	0.0319985577306	0.49196948199899	-1.99384101598657	1.41430838068841	TSPAN5;SNCA
GNF2_BNIP3L	2/68	0.03117406712319	0.49196948199899	-1.98594617835175	1.40870826766958	TSPAN5;SNCA
GNF2_SPTB	2/74	0.03624862141322	0.49196948199899	-1.94842509620972	1.38209311605995	TSPAN5;SNCA
GNF2_TAL1	2/73	0.03538184966	0.49196948199899	-1.93546648276095	1.37290107143065	TSPAN5;SNCA
GNF2_ANK1	2/74	0.03624862141322	0.49196948199899	-1.93514350293893	1.37267196937817	TSPAN5;SNCA
MODULE_16	5/511	0.05146124288692	0.49196948199899	-1.9154079049415	1.3586727480652	EPB41L3;RAC3;MRPL12;NPM3;LMNB1
GNF2_SPTA1	2/81	0.04254221888897	0.49196948199899	-1.90659408763173	1.35242076729687	TSPAN5;SNCA
MORF_IL4	3/196	0.04367043708552	0.49196948199899	-1.88713225764964	1.33861574020268	CAMK4;RAC3;CDH8
GNF2_DNM1	2/73	0.03538184966	0.49196948199899	-1.8837167539117	1.33619299158726	GABRA1;SYT1
MODULE_243	2/81	0.04254221888897	0.49196948199899	-1.8757978441781	1.33057580329976	SCAMP1;PJA2
GCM_BMPR2	2/84	0.04535660087735	0.49196948199899	-1.80396199129666	1.27961986049915	BMPR2;PJA2
MODULE_235	2/81	0.04254221888897	0.49196948199899	-1.80151548040279	1.27788445590425	GOT1;QPCT
MODULE_26	3/207	0.0498665791085	0.49196948199899	-1.79484297418721	1.27315138973437	MPPED1;ACTN2;UBE2T
MODULE_274	2/82	0.0434727315997	0.49196948199899	-1.77305219838997	1.25769435149279	GABRA1;SYT1
MODULE_53	4/405	0.07711758023552	0.55217594753999	-1.87181298382182	1.11164827627805	EPB41L3;RAC3;NPM3;LMNB1
MODULE_3	4/385	0.06667202125805	0.54937221916501	-1.82600736114227	1.09374019531995	EPB41L3;RAC3;MRPL12;LMNB1
MORF_MAGEA9	4/428	0.09010402491238	0.55217594753999	-1.83278116385475	1.08846772578428	GABRA1;CAMK4;SCAMP1;CDH8
MODULE_54	3/263	0.08753053015203	0.55217594753999	-1.73635994166984	1.03120426711352	UBE2T;CMYA5;LMNB1
GCM_CALM1	2/109	0.07125748449421	0.54937221916501	-1.67849994863781	1.00538634221016	BMPR2;PJA2
MORF_ARL3	3/307	0.12349935513741	0.56649625686834	-1.74402581163537	0.9911033700342	GABRA1;CAMK4;SCAMP1
MODULE_152	2/124	0.08861715802484	0.55217594753999	-1.66528837929836	0.98899568084688	ATP6V0E1;MRPL12
MODULE_239	2/120	0.0838706473928	0.55217594753999	-1.6399377388415	0.97394022604986	AP2B1;SOS1
MORF_THPO	2/129	0.09466166958019	0.56560347574166	-1.67502266254309	0.95453179666483	CAMK4;CDH8
MORF_ERCC4	3/326	0.14049494832997	0.56649625686834	-1.65122189011048	0.93836431149386	GABRA1;CAMK4;SCAMP1
MORF_SUPT3H	3/332	0.14602419822666	0.56649625686834	-1.64596416112317	0.93537642399627	GABRA1;CAMK4;CDH8
MODULE_17	3/367	0.1796504435338	0.56649625686834	-1.49235792172395	0.84808433203801	GOT1;RAC3;MRPL12
MODULE_126	2/183	0.16612331470329	0.56649625686834	-1.47806933586032	0.83996434579241	UBE2T;CMYA5
MORF_MAP2K7	2/185	0.16893495790693	0.56649625686834	-1.47604684995299	0.83881499778091	CAMK4;CDH8
MORF_CTSB	2/190	0.17600090371632	0.56649625686834	-1.4192051604407	0.80651272928338	CAMK4;CDH8
MORF_RAD51L3	3/392	0.2048980150467	0.56649625686834	-1.41755734444924	0.80557630049234	GABRA1;CAMK4;CDH8
MORF_FOSL1	3/409	0.22253897558634	0.56649625686834	-1.37935325967394	0.78386549958718	GABRA1;CAMK4;SCAMP1
MORF_IFNA1	2/207	0.20036455678513	0.56649625686834	-1.36780765330524	0.77730430691173	CAMK4;CDH8
GCM_RAN	2/197	0.18597441873469	0.56649625686834	-1.36426066479598	0.77528860723483	BMPR2;PJA2
MODULE_105	2/200	0.19027509411016	0.56649625686834	-1.36067184518962	0.77324913558104	ATP2B1;MRPL12
MODULE_2	3/384	0.1967219249994	0.56649625686834	-1.35430391771374	0.76963033915076	SYT1;GOT1;EPB41L3
MODULE_67	2/230	0.23393110386747	0.56649625686834	-1.23666411438914	0.70277742633988	C20ORF7;RAC3
MODULE_8	3/421	0.23518445836001	0.56649625686834	-1.23589878732122	0.70234250259556	GOT1;MRPL12;LMNB1
MODULE_389	2/218	0.21635094686685	0.56649625686834	-1.2343183526239	0.70144436557019	ACTN2;UBE2T
MODULE_55	5/834	0.23559757807619	0.56649625686834	-1.21139113132145	0.68841517406007	MPPED1;GOT1;QPCT;EPB41L3;RAC3
MODULE_176	2/230	0.23393110386747	0.56649625686834	-1.19523903588889	0.6792361836406	SYT1;QPCT
MODULE_207	2/227	0.22952499057713	0.56649625686834	-1.19084114023423	0.67673692636166	ACTN2;UBE2T
MODULE_88	5/838	0.23858938309577	0.56649625686834	-1.18994829572832	0.67622953639482	MPPED1;GOT1;QPCT;EPB41L3;RAC3
MODULE_32	2/241	0.25013354945539	0.56649625686834	-1.12969833365103	0.64199039838388	RIT1;MRPL12
MORF_MSH3	2/245	0.25603875865471	0.56649625686834	-1.12795110368003	0.64099747413876	CAMK4;SCAMP1
GNF2_RRM2	1/40	0.15041399883206	0.56649625686834	-1.12479910530304	0.63920624135256	LMNB1
GNF2_PAK2	1/28	0.10883724600436	0.56649625686834	-1.09507476315925	0.62231434934373	USP3
MODULE_22	1/45	0.16717389829804	0.56649625686834	-1.08687726152967	0.61765583372043	ATP6V0E1
GCM_CSNK1D	1/32	0.12291189598247	0.56649625686834	-1.08194655415083	0.61485378763418	PJA2
MODULE_373	1/22	0.0873114971855	0.55217594753999	-1.01677008363136	0.60384809839929	GOT1
MODULE_116	1/29	0.11237641500213	0.56649625686834	-1.05961106632747	0.60216086926943	ATP6V0E1
MORF_MAGEA8	2/263	0.28264649722364	0.56649625686834	-1.04525878175334	0.59400468401448	CAMK4;CDH8
GNF2_PCAF	1/36	0.13676972836294	0.56649625686834	-1.04437938594585	0.59350493673863	TSPAN5
MODULE_533	1/45	0.16717389829804	0.56649625686834	-1.0393499270592	0.59064677167091	LMNB1
GNF2_SMC1L1	1/27	0.10528431964172	0.56649625686834	-1.0352892561384	0.58833915408443	LMNB1
GNF2_BNIP2	1/34	0.12986770976702	0.56649625686834	-1.02138244868695	0.58043612670973	USP3
MORF_BRCA1	2/264	0.2841246484929	0.56649625686834	-1.02013880610583	0.57972938352677	CAMK4;SCAMP1
MODULE_112	2/260	0.27821133144091	0.56649625686834	-1.01987906661088	0.57958177751827	SYT1;QPCT
MODULE_51	1/36	0.13676972836294	0.56649625686834	-1.01688000769948	0.57787745790661	EPHA4
GNF2_MYL2	1/32	0.12291189598247	0.56649625686834	-1.01671133445717	0.57778160346582	ACTN2
MODULE_78	1/20	0.08002422829696	0.55217594753999	-0.97281909028618	0.57774610722006	GOT1
MORF_PAX7	2/269	0.2915126557163	0.56927110567787	-1.0219917637829	0.57578862512921	CAMK4;RAC3
MODULE_249	1/22	0.0873114971855	0.55217594753999	-0.9579579889617	0.56892026948213	QPCT
GNF2_BUB1B	1/49	0.18034931251345	0.56649625686834	-0.99638024111827	0.56622775203184	LMNB1
GNF2_SELL	1/47	0.17378721157898	0.56649625686834	-0.99525841792912	0.56559023695842	USP3
GCM_AQP4	1/45	0.16717389829804	0.56649625686834	-0.991389627373	0.56339166206776	OGFRL1
