Term	Overlap	P-value	Adjusted P-value	Z-score	Combined Score	Genes
renal cell carcinoma	5/69	0.00003799390333	0.00137146399395	-2.04895141625571	13.50643469245524	NRAS;MAP2K1;KRAS;PAK3;SOS1
fc epsilon ri signaling pathway	5/74	0.00005222659388	0.00137146399395	-2.00726722108988	13.23165762587952	NRAS;MAP2K1;RAC3;KRAS;SOS1
regulation of actin cytoskeleton	7/201	0.00007741467436	0.00137146399395	-1.94650619618431	12.8311284536294	NRAS;MAP2K1;ACTN2;RAC3;KRAS;PAK3;SOS1
erbb signaling pathway	5/85	0.00009796171385	0.00137146399395	-1.85272618023059	12.21294217020296	NRAS;MAP2K1;KRAS;PAK3;SOS1
gap junction	5/90	0.00012688400001	0.00142110080008	-1.72358642753651	11.30039019287196	GUCY1B3;NRAS;MAP2K1;KRAS;SOS1
endometrial cancer	4/52	0.0002058326686	0.00154403086504	-1.64852922147943	10.67152120435759	NRAS;MAP2K1;KRAS;SOS1
non small cell lung cancer	4/53	0.00022057583786	0.00154403086504	-1.55476261722049	10.06453632803743	NRAS;MAP2K1;KRAS;SOS1
acute myeloid leukemia	4/52	0.0002058326686	0.00154403086504	-1.53142645512999	9.91347297694096	NRAS;MAP2K1;KRAS;SOS1
glioma	4/62	0.00038968541458	0.0023922057376	-1.49120780892697	9.00024353788749	NRAS;MAP2K1;KRAS;SOS1
vegf signaling pathway	4/68	0.00054442172834	0.0023922057376	-1.29342962133548	7.80654548712001	NRAS;MAP2K1;RAC3;KRAS
long term potentiation	4/67	0.00051602240956	0.0023922057376	-1.26969825389045	7.66331388303791	NRAS;MAP2K1;CAMK4;KRAS
axon guidance	5/126	0.0005736339311	0.0023922057376	-1.23078064470093	7.42842511802395	EPHA4;NRAS;RAC3;KRAS;PAK3
natural killer cell mediated cytotoxicity	5/129	0.00063669711687	0.0023922057376	-1.19396461227449	7.20622050244113	NRAS;MAP2K1;RAC3;KRAS;SOS1
chronic myeloid leukemia	4/75	0.00077539714339	0.00255424941352	-0.99763862950144	5.95589949561681	NRAS;MAP2K1;KRAS;SOS1
long term depression	4/73	0.00070341236194	0.00246194326679	-0.90128763544961	5.41385843967568	GUCY1B3;NRAS;MAP2K1;KRAS
colorectal cancer	4/84	0.00116519346172	0.00362504632536	-0.90677304581013	5.09596315051542	MAP2K1;RAC3;KRAS;SOS1
prostate cancer	4/86	0.00126764263916	0.00373620988385	-0.9102417388526	5.08796330279973	NRAS;MAP2K1;KRAS;SOS1
focal adhesion	5/192	0.00357892652041	0.00910999477922	-0.82137528037918	3.85913576959751	MAP2K1;ACTN2;RAC3;PAK3;SOS1
gnrh signaling pathway	4/96	0.00187676072318	0.00500469526182	-0.72008902603281	3.81458430808424	NRAS;MAP2K1;KRAS;SOS1
tight junction	4/131	0.00558506972029	0.01303182934734	-0.52296236916844	2.26984521151727	NRAS;ACTN2;EPB41L3;KRAS
mapk signaling pathway	5/248	0.01034513965201	0.02145658594492	-0.52553340565644	2.01895411005157	NRAS;MAP2K1;RAC3;KRAS;SOS1
dorso ventral axis formation	3/28	0.00058275597857	0.0023922057376	-0.31416188718869	1.89613645938132	MAP2K1;KRAS;SOS1
melanoma	3/71	0.00721875171124	0.01617000383318	-0.29836699951858	1.23064374101336	NRAS;MAP2K1;KRAS
thyroid cancer	3/29	0.000640769394	0.0023922057376	-0.19909004786744	1.20161583519741	NRAS;MAP2K1;KRAS
pancreatic cancer	3/73	0.00777344792539	0.01674281091621	-0.29182739813485	1.19351169832208	MAP2K1;RAC3;KRAS
b cell receptor signaling pathway	3/62	0.00502132629669	0.01222583793976	-0.22512737917187	0.99150683695948	NRAS;RAC3;KRAS
melanogenesis	3/100	0.01777801184269	0.03555602368538	-0.27420696145555	0.91493147733157	NRAS;MAP2K1;KRAS
bladder cancer	3/40	0.00153344350987	0.00429364182763	-0.0175910438096	0.09588209512671	NRAS;MAP2K1;KRAS
neuroactive ligand receptor interaction	1/238	0.74336201413184	0.75660442030673	1.21105875567326	-0.33778211915616	GABRA1
cytokine cytokine receptor interaction	1/247	0.75660442030673	0.75660442030673	1.25931718788104	-0.35124210647877	BMPR2
cell communication	1/137	0.53908516164501	0.57513800722491	1.11733921449033	-0.61805088407061	LMNB1
oxidative phosphorylation	1/126	0.50921269511879	0.55913550836573	1.08628522820694	-0.63152649873427	ATP6V0E1
adherens junction	2/75	0.06576725002758	0.11160503034984	0.28820604550169	-0.63197509104825	ACTN2;RAC3
purine metabolism	1/139	0.54432704255215	0.57513800722491	1.14472699109642	-0.63320030272933	GUCY1B3
jak stat signaling pathway	1/148	0.56722092018806	0.58822910241725	1.22777151126712	-0.65150317318436	SOS1
leukocyte transendothelial migration	1/110	0.46245159189221	0.51794578291927	1.03291807610195	-0.6795410072763	ACTN2
toll like receptor signaling pathway	1/99	0.42787425850459	0.48899915257667	1.07298037116192	-0.76760428025867	MAP2K1
calcium signaling pathway	2/169	0.2414211231654	0.30043517549472	0.67789692180975	-0.81518682342611	CAMK4;ATP2B1
epithelial cell signaling in helicobacter pylori infection	1/65	0.30710100858409	0.35828451001477	1.67070171775445	-1.71485483478577	ATP6V0E1
glycan structures biosynthesis 2	1/60	0.28741230201347	0.34244870027137	1.8015035244308	-1.93055136992661	B3GALT2
tyrosine metabolism	1/53	0.25895114804589	0.31524487588196	1.76601231952206	-2.0386944378777	GOT1
cholera infection	1/41	0.20762511049649	0.26425014063189	2.77759831558576	-3.6965920556584	ATP6V0E1
neurodegenerative diseases	2/38	0.01979274951345	0.03822048181908	1.18705209186513	-3.87499353983989	PRNP;SNCA
alanine and aspartate metabolism	1/33	0.17154571426955	0.22872761902607	2.94440651326818	-4.34365744618645	GOT1
arginine and proline metabolism	1/34	0.17613973064068	0.22939127711344	3.14588723489914	-4.63177188296542	GOT1
glutamate metabolism	1/30	0.15761682751199	0.21528152050418	3.40112600257803	-5.22347893745873	GOT1
aminosugars metabolism	1/29	0.15292450745489	0.21409431043685	3.41163760375738	-5.25848892598084	CMAS
