Term	Overlap	P-value	Adjusted P-value	Z-score	Combined Score	Genes
iproniazid-2288	4/100	0.00353106232205	0.46061111647422	-1.71100288272882	1.32637141452467	BRAF;TLN1;CBL;KIAA0319L
5211181-834	4/100	0.00353106232205	0.46061111647422	-1.68834211509072	1.30880476123043	DENND4C;SPATA1;TLN1;CPPED1
harmol-2900	3/100	0.02427605152525	0.46061111647422	-1.67631446512964	1.29948091306318	CLDN9;BRAF;RAB8B
xamoterol-5363	3/100	0.02427605152525	0.46061111647422	-1.6742567036865	1.29788573401138	BRAF;TLN1;CPPED1
iohexol-3322	3/100	0.02427605152525	0.46061111647422	-1.67242410871153	1.29646510426625	CBL;FBXO22;KIAA0319L
meticrane-5984	3/100	0.02427605152525	0.46061111647422	-1.67070550061512	1.29513283728129	SSR3;BRAF;TLN1
valproic acid-5582	3/100	0.02427605152525	0.46061111647422	-1.67066250344424	1.29509950582466	CBL;FBXO22;KIAA0319L
molindone-4199	3/100	0.02427605152525	0.46061111647422	-1.66943277108378	1.29414621587589	SPATA1;TLN1;KIAA0319L
bezafibrate-6653	3/100	0.02427605152525	0.46061111647422	-1.66723219507427	1.29244032680699	SPATA1;CBL;KIAA0319L
diclofenamide-3366	3/100	0.02427605152525	0.46061111647422	-1.66259048282327	1.288842066099	SSR3;DENND4C;KIAA0319L
sulfinpyrazone-6230	3/100	0.02427605152525	0.46061111647422	-1.66126561662194	1.2878150282867	FCHSD2;JMJD1C;CPPED1
pentoxyverine-1268	5/100	0.00041115418173	0.46061111647422	-1.65749365425499	1.28489099869524	NRAS;SSR3;JMJD1C;RBM7;RAB8B
clobetasol-6835	3/100	0.02427605152525	0.46061111647422	-1.65261014990139	1.28110530046953	SSR3;STK19;RAB8B
genistein-6994	3/100	0.02427605152525	0.46061111647422	-1.64612338993747	1.27607675663955	DCAF17;FCHSD2;BRAF
foliosidine-4295	3/100	0.02427605152525	0.46061111647422	-1.6456151384017	1.27568275946092	CBL;FBXO22;KIAA0319L
5182598-868	4/100	0.00353106232205	0.46061111647422	-1.6380946961496	1.26985290392504	ARMCX1;ABHD10;CLDN9;SORL1
SB-203580-6915	3/100	0.02427605152525	0.46061111647422	-1.63796852561916	1.26975509638386	SSR3;TLN1;UBE2M
cobalt chloride-379	4/100	0.00353106232205	0.46061111647422	-1.63576312314284	1.2680454658323	CLDN9;DENND4C;BRAF;CBL
mexiletine-3781	3/100	0.02427605152525	0.46061111647422	-1.63245966886778	1.26548462425578	HAL;LOC282997;CBL
sulpiride-4566	5/100	0.00041115418173	0.46061111647422	-1.63170652622617	1.26490078720853	RIT1;IMPAD1;JMJD1C;SELT;OSBPL11
prazosin-3098	4/100	0.00353106232205	0.46061111647422	-1.62928807990512	1.26302600482202	DCAF17;SPATA1;BRAF;KIAA0319L
fluspirilene-3086	3/100	0.02427605152525	0.46061111647422	-1.62765736998459	1.2617618766047	SPATA1;KIAA0319L;RAB11B
isoxsuprine-4205	3/100	0.02427605152525	0.46061111647422	-1.62755709253535	1.26168414141002	SPATA1;TLN1;RAB11B
medrysone-3403	3/100	0.02427605152525	0.46061111647422	-1.62675554333828	1.26106277954496	CLDN9;SSR3;BRAF
iohexol-2461	3/100	0.02427605152525	0.46061111647422	-1.62557836616459	1.26015023043778	STK19;CBL;CPPED1
seneciphylline-4822	3/100	0.02427605152525	0.46061111647422	-1.62493367605536	1.25965046591913	DCAF17;IMPAD1;DENND4C
fluvoxamine-2913	3/100	0.02427605152525	0.46061111647422	-1.62344650402017	1.25849760843661	DCAF17;BRAF;TLN1
guaifenesin-3431	3/100	0.02427605152525	0.46061111647422	-1.62197617846997	1.25735781036876	SSR3;TLN1;CPPED1
5230742-862	3/100	0.02427605152525	0.46061111647422	-1.62185770111221	1.25726596658393	FCHSD2;FBXO22;CPPED1
meclofenamic acid-2291	3/100	0.02427605152525	0.46061111647422	-1.6208990817811	1.25652284376922	GPR143;CBL;KIAA0319L
diltiazem-1948	3/100	0.02427605152525	0.46061111647422	-1.61863793799598	1.25477000249059	SSR3;SELT;OSBPL11
bucladesine-5886	3/100	0.02427605152525	0.46061111647422	-1.61842173534196	1.25460240194302	FCHSD2;BRAF;TLN1
