Term	Overlap	P-value	Adjusted P-value	Z-score	Combined Score	Genes
GNF2_CBFB	3/30	0.00125446607695	0.10286621830988	-2.33972561604095	5.32129876949395	HNRPDL;RBM15;INPP5D
MODULE_261	5/101	0.0006152773894	0.06727032790752	-1.95366133971252	5.27300235110399	MGEA5;PRKCI;NRAS;PTPN11;RAB8B
MODULE_97	5/99	0.00056394907336	0.06727032790752	-1.94327338787626	5.24496489479447	PRKCI;NRAS;PTPN11;BRAF;RAB8B
MODULE_182	5/101	0.0006152773894	0.06727032790752	-1.93121496655012	5.21241878114067	PRKCI;NRAS;PTPN11;BRAF;RAB8B
MODULE_4	2/21	0.00968997452802	0.29139531319747	-2.18674418831986	2.69641842905415	UBE2H;UBE2M
MODULE_323	3/61	0.00829959228905	0.29139531319747	-2.12181521117351	2.61635616503068	SPAG9;MGEA5;JMJD1C
MODULE_233	2/22	0.01052676717073	0.29139531319747	-2.05134124450958	2.5294565160017	UBE2H;UBE2M
MODULE_183	3/65	0.00980102423725	0.29139531319747	-2.03573233493021	2.51020956810899	HNRPDL;TRA2B;RBM5
GCM_DDX5	3/65	0.00980102423725	0.29139531319747	-2.01118575973976	2.47994181293798	TRA2B;SSR1;RAF1
GCM_RAN	5/197	0.010038136307	0.29139531319747	-1.93744579582165	2.38901494607875	SPAG9;TP53INP2;FOXO3;FBXO30;RTN4
GCM_ZNF198	4/118	0.00813292057226	0.29139531319747	-1.90452364778967	2.34841948587282	SPAG9;UBE2H;FOXO3;FBXO30
MODULE_82	2/24	0.01229248026938	0.31014873295042	-1.99181113150764	2.33181989023012	UBE2H;UBE2M
GCM_NCAM1	4/128	0.01066080414137	0.29139531319747	-1.81117966254082	2.23331940081909	SPAG9;UBE2H;FOXO3;FBXO30
MODULE_358	3/81	0.01731402684964	0.33405887098128	-1.86079071910019	2.04024173097423	MGEA5;PTPN11;RAB8B
GCM_SUFU	3/77	0.01520564201382	0.33405887098128	-1.85367582338371	2.03244068865211	SPAG9;FOXO3;FBXO30
GCM_PTK2	4/145	0.01603154452998	0.33405887098128	-1.82813589087646	2.00443773508366	UBE2H;TP53INP2;RTN4;MEGF9
GCM_RBM8A	3/81	0.01731402684964	0.33405887098128	-1.81297347893438	1.98781308983532	SPAG9;FOXO3;FBXO30
MODULE_278	2/34	0.02285597467475	0.39456629964836	-2.03366415870456	1.89124277921169	UBE2H;UBE2M
MODULE_366	2/33	0.02167613994621	0.39456629964836	-1.96253870220996	1.82509837408079	B4GALT1;CPPED1
GCM_BCL2L1	2/35	0.02406182232243	0.39461388608789	-1.88595062600935	1.75364646665424	FOXO3;RTN4
MODULE_86	2/43	0.03460045239661	0.44200156651133	-1.86748403632643	1.52469212663197	RIT1;KRAS
GCM_MYST2	4/173	0.02809298157303	0.43067064741618	-1.78915981714184	1.5072090560024	SPAG9;CEBPG;FOXO3;FBXO30
MORF_BECN1	3/101	0.03019946612979	0.43067064741618	-1.77855446024422	1.49827497990417	CAPZA2;KRAS;STK19
MODULE_87	2/44	0.03602383404834	0.44200156651133	-1.77773670359528	1.45141864801601	RIT1;NRAS
GNF2_HDAC1	3/110	0.03726981743081	0.44200156651133	-1.75470792189938	1.43261698682123	HNRPDL;RBM15;TRA2B
MORF_RAB1A	4/194	0.03993846779777	0.44200156651133	-1.75138836203252	1.42990675921316	SSR1;STK19;RAF1;RTN4
MODULE_177	3/101	0.03019946612979	0.43067064741618	-1.68656188876352	1.42077936688389	SSR1;SORL1;IGF2R
MODULE_456	3/113	0.03979958888864	0.44200156651133	-1.73201791067738	1.41409191201983	NRAS;RGL3;SORL1
MORF_TERF2IP	3/112	0.03894679894071	0.44200156651133	-1.7268971201906	1.40991108434717	KRAS;STK19;RAF1
GCM_VAV1	2/47	0.04042697254677	0.44200156651133	-1.68976559508055	1.37959535319024	INPP5D;NSMAF
GNF2_DENR	2/51	0.0465955707406	0.46313173342172	-1.69919531731481	1.30794496522715	RBM15;TRA2B
MODULE_285	2/49	0.04346984210939	0.45993897457677	-1.64598881353109	1.27837607878589	B4GALT1;CPPED1
MODULE_239	3/120	0.04603364422265	0.46313173342172	-1.66022838715987	1.27795041452002	SSR1;SOS1;IGF2R
MORF_PRKAG1	4/219	0.05725559011407	0.54495925804988	-1.76686883224848	1.07256755272612	SSR1;STK19;RAF1;RTN4
GCM_PTPRD	2/58	0.05815114034069	0.54495925804988	-1.61249765259357	0.9788574168338	UBE2H;MEGF9
MORF_CDC10	3/143	0.06966142934275	0.58587048267747	-1.6729682350951	0.89446339665474	PTP4A2;KRAS;SHOC2
MORF_SNRP70	2/61	0.06337807825888	0.57744471302532	-1.57704676717057	0.86602352449643	PTP4A2;RBM5
GNF2_DDX5	2/63	0.06694825173706	0.58587048267747	-1.60866396563091	0.86008269887594	HNRPDL;RBM5
GCM_CRKL	2/64	0.0687581369125	0.58587048267747	-1.60298344004364	0.85704556875895	UBE2H;RTN4
MORF_DDB1	4/241	0.07535403282901	0.60283226263211	-1.68354835450726	0.8520712512164	SSR1;STK19;STX3;RAF1
MORF_CSNK1D	2/70	0.07994698889326	0.60982819434857	-1.58600433250722	0.78440286677205	STK19;RAF1
MODULE_525	2/67	0.07428360093975	0.60283226263211	-1.50555978296202	0.76198833530089	PTPN11;RAB8B
MODULE_15	5/358	0.08728369951577	0.65066030548117	-1.73184644692142	0.74429145146697	SCP2;CLDN9;INPP5D;SSR1;NSMAF
GNF2_RBBP6	2/70	0.07994698889326	0.60982819434857	-1.48824982641752	0.73605563767248	HNRPDL;RBM15
MODULE_37	6/477	0.09382768008884	0.66309890591216	-1.73458191369242	0.71262023131875	SPAG9;HNRPDL;TLN1;RBM7;NUPL1;ANKRD13A
MODULE_136	6/497	0.10855867142921	0.66309890591216	-1.68786993602735	0.69342949719067	SPAG9;HNRPDL;TLN1;RBM7;NUPL1;ANKRD13A
MODULE_69	6/532	0.13706054847473	0.66309890591216	-1.60850850214352	0.66082535037832	SPAG9;HNRPDL;TLN1;RBM7;NUPL1;ANKRD13A
MORF_GNB1	4/303	0.13959827975671	0.66309890591216	-1.6016736337055	0.65801737371899	PTP4A2;MAP2K2;TRA2B;RTN4
MODULE_36	3/162	0.09255416595951	0.66309890591216	-1.57694467787129	0.64785794908315	CBL;HSPA13;NSMAF
GCM_NF2	4/301	0.13725109118418	0.66309890591216	-1.5669990593179	0.64377197946813	TMEM167B;IMPAD1;FOXO3;RTN4
GCM_MAP4K4	3/171	0.10436209127597	0.66309890591216	-1.56503459452778	0.64296491619709	SPAG9;UBE2H;RTN4
GCM_RAB10	3/176	0.11116970804417	0.66309890591216	-1.56392115077743	0.64250747885344	UBE2H;C5ORF24;IMPAD1
