Term	Overlap	P-value	Adjusted P-value	Z-score	Combined Score	Genes
chronic myeloid leukemia	9/75	0.00000000177076	0.00000005748967	-2.08379498944535	34.74032274681593	NRAS;MAP2K2;PTPN11;BRAF;KRAS;RAF1;CBL;SOS1;SOS2
endometrial cancer	8/52	0.00000000283937	0.00000005748967	-1.99516680249997	33.26274369775247	NRAS;MAP2K2;BRAF;KRAS;RAF1;FOXO3;SOS1;SOS2
non small cell lung cancer	8/53	0.00000000325413	0.00000005748967	-1.98389205450056	33.07477492617361	NRAS;MAP2K2;BRAF;KRAS;RAF1;FOXO3;SOS1;SOS2
renal cell carcinoma	8/69	0.00000002172494	0.00000028785547	-1.82737338701753	27.5217184774054	NRAS;MAP2K2;PTPN11;BRAF;KRAS;RAF1;SOS1;SOS2
erbb signaling pathway	8/85	0.00000009822083	0.00000086761734	-1.72309694128073	24.05015152919343	NRAS;MAP2K2;BRAF;KRAS;RAF1;CBL;SOS1;SOS2
acute myeloid leukemia	7/52	0.00000007545788	0.00000079985356	-1.70076926876627	23.87682284376213	NRAS;MAP2K2;BRAF;KRAS;RAF1;SOS1;SOS2
glioma	7/62	0.00000022835932	0.00000172900627	-1.65248466534047	21.9251065937488	NRAS;MAP2K2;BRAF;KRAS;RAF1;SOS1;SOS2
fc epsilon ri signaling pathway	7/74	0.0000006980467	0.00000462455941	-1.59185082999997	19.55450166644099	NRAS;MAP2K2;INPP5D;KRAS;RAF1;SOS1;SOS2
prostate cancer	7/86	0.00000180359486	0.00000970604929	-1.54787765858608	17.86678222441967	NRAS;MAP2K2;BRAF;KRAS;RAF1;SOS1;SOS2
natural killer cell mediated cytotoxicity	8/129	0.0000019965451	0.00000970604929	-1.44016482161274	16.62347866596203	NRAS;MAP2K2;PTPN11;BRAF;KRAS;RAF1;SOS1;SOS2
gap junction	7/90	0.00000240277242	0.00001061224487	-1.28614849220842	14.73090438898445	NRAS;MAP2K2;GNAQ;KRAS;RAF1;SOS1;SOS2
gnrh signaling pathway	7/96	0.00000360877007	0.00001471267799	-1.22523543890991	13.63295089143107	NRAS;MAP2K2;GNAQ;KRAS;RAF1;SOS1;SOS2
long term potentiation	6/67	0.0000066729044	0.00002526170951	-0.97285011461351	10.29880608627154	NRAS;MAP2K2;GNAQ;BRAF;KRAS;RAF1
long term depression	6/73	0.00001060318718	0.00003512305754	-0.90128763544961	9.24419428940531	NRAS;MAP2K2;GNAQ;BRAF;KRAS;RAF1
