Term	Overlap	P-value	Adjusted P-value	Z-score	Combined Score	Genes
heliotrine-3717	5/100	0.0004994730479	0.19548126412171	-1.75765013508116	2.86899603937819	HAL;NF1;PTPN11;FBXO22;SOS2
tanespimycin-381	5/100	0.0004994730479	0.19548126412171	-1.71127455017277	2.79329760157739	DNAJB1;STX3;NUPL1;HSPA13;MED13L
pararosaniline-893	5/100	0.0004994730479	0.19548126412171	-1.70172632636207	2.77771212426922	GPR143;CEBPG;SOS1;HSPA13;MED13L
proscillaridin-7340	5/100	0.0004994730479	0.19548126412171	-1.68987764974757	2.75837163915197	MGEA5;UBE2H;NF1;STX3;RBM5
Prestwick-972-6511	5/100	0.0004994730479	0.19548126412171	-1.6760501900745	2.73580120477205	PRKCI;MAP2K2;GNAQ;SPATA1;STX3
bacitracin-6488	5/100	0.0004994730479	0.19548126412171	-1.65977655451421	2.7092379001434	MGEA5;MAP2K2;NF1;PTPN11;RAB11B
tanespimycin-428	5/100	0.0004994730479	0.19548126412171	-1.65774846927862	2.70592747539373	DNAJB1;EHBP1L1;SSR1;HSPA13;MED13L
parthenolide-5530	5/100	0.0004994730479	0.19548126412171	-1.63939743086732	2.67597324532845	DNAJB1;RIT1;UBE2H;MAP1LC3B;HSPA13
dicloxacillin-5012	4/100	0.00407415099657	0.27730797326664	-1.70661167741354	2.1889454881956	PRKCI;GPR143;MED20;PTPN11
arachidonic acid-441	4/100	0.00407415099657	0.27730797326664	-1.70341249353118	2.18484212993438	FCHSD2;B4GALT1;DENND4C;RBM5
"1,4-chrysenequinone"-1773	4/100	0.00407415099657	0.27730797326664	-1.70095904187499	2.18169526764322	DNAJB1;RIT1;NF1;RAB11B
clofilium tosylate-4492	4/100	0.00407415099657	0.27730797326664	-1.69150842482967	2.16957365508437	MGEA5;LOC282997;NF1;KIAA0319L
prednisolone-2393	4/100	0.00407415099657	0.27730797326664	-1.68813396984833	2.16524548945402	INPP5D;EHBP1L1;PTPN11;SOS2
digoxin-3283	4/100	0.00407415099657	0.27730797326664	-1.68697421732212	2.16375796004515	MGEA5;UBE2H;STX3;RBM5
strophanthidin-2525	4/100	0.00407415099657	0.27730797326664	-1.68145582831847	2.15667992766584	MGEA5;UBE2H;RBM15;NUPL1
myricetin-1334	4/100	0.00407415099657	0.27730797326664	-1.68003672385718	2.15485974657313	PRKCI;RIT1;IMPAD1;PTPN11
tomatidine-5808	4/100	0.00407415099657	0.27730797326664	-1.67713842435093	2.15114231060829	HAL;BCL2L11;PTPN11;RAB11B
nordihydroguaiaretic acid-5220	4/100	0.00407415099657	0.27730797326664	-1.67619704741889	2.14993487553951	GPR143;INPP5D;NF1;SOS2
sulindac-1815	4/100	0.00407415099657	0.27730797326664	-1.67546442064938	2.14899518897644	MGEA5;FCHSD2;NF1;PTPN11
benzathine benzylpenicillin-4022	4/100	0.00407415099657	0.27730797326664	-1.6752121558595	2.14867162745337	MGEA5;PRKCI;B4GALT1;SOS2
oleandomycin-1935	4/100	0.00407415099657	0.27730797326664	-1.67074027293556	2.14293587158129	GNAQ;PTPN11;STK19;CEP63
15-delta prostaglandin J2-1069	4/100	0.00407415099657	0.27730797326664	-1.66473237942433	2.13522998771266	DNAJB1;MAP1LC3B;CEBPG;HSPA13
dorzolamide-6259	4/100	0.00407415099657	0.27730797326664	-1.66266941743378	2.13258397784336	EHBP1L1;NF1;CBL;MEGF9
glafenine-7257	4/100	0.00407415099657	0.27730797326664	-1.66144681900956	2.13101584061565	BCL2L11;NF1;F11R;MED13L
5224221-956	4/100	0.00407415099657	0.27730797326664	-1.65831636169216	2.12700063287297	DNAJB1;MAP1LC3B;BCL2L11;CEBPG
scriptaid-6896	4/100	0.00407415099657	0.27730797326664	-1.65784005513664	2.1263897094277	SPAG9;DNAJB1;MAP1LC3B;MEGF9
Prestwick-1082-7027	4/100	0.00407415099657	0.27730797326664	-1.65776535166625	2.12629389277144	BCL2L11;EHBP1L1;NF1;MEGF9
isoxicam-1862	4/100	0.00407415099657	0.27730797326664	-1.65744075087484	2.12587755117057	KDM6B;UBE2H;NF1;RBM5
scopoletin-6510	4/100	0.00407415099657	0.27730797326664	-1.65723595448725	2.12561487388169	MGEA5;B4GALT1;NDUFA2;PTPN11
N-acetyl-L-aspartic acid-3265	4/100	0.00407415099657	0.27730797326664	-1.65670602476588	2.12493517193894	B4GALT1;PTPN11;CBL;KIAA0319L
hexamethonium bromide-1482	4/100	0.00407415099657	0.27730797326664	-1.65308727090934	2.12029366207937	MGEA5;CBL;SOS2;RAB11B
felodipine-5294	4/100	0.00407415099657	0.27730797326664	-1.64895969626697	2.11499952515873	MGEA5;NF1;FBXO22;SOS2
helveticoside-2192	4/100	0.00407415099657	0.27730797326664	-1.64826792293574	2.11411223830121	KDM6B;RBM15;IMPAD1;NUPL1
haloperidol-983	4/100	0.00407415099657	0.27730797326664	-1.64233174864112	2.10649834340565	B4GALT1;F11R;SOS2;RAB11B
15-delta prostaglandin J2-6990	4/100	0.00407415099657	0.27730797326664	-1.64154092156001	2.10548400757633	DNAJB1;RIT1;MAP1LC3B;PTPN11
tanespimycin-5953	4/100	0.00407415099657	0.27730797326664	-1.64047853356555	2.10412136050322	DNAJB1;NF1;SOS2;RBM5
naltrexone-2209	4/100	0.00407415099657	0.27730797326664	-1.63398075393413	2.09578713567883	MGEA5;LOC282997;SSR3;CBL
amiprilose-4000	4/100	0.00407415099657	0.27730797326664	-1.62684225992535	2.08663111356797	PRKCI;NF1;SOS2;KIAA0319L
etacrynic acid-1565	4/100	0.00407415099657	0.27730797326664	-1.62466071251703	2.08383300289059	MGEA5;RIT1;NBR1;SOS1
nifedipine-1814	4/100	0.00407415099657	0.27730797326664	-1.62276687779842	2.08140392015457	UBE2H;RBM7;SOS2;KIAA0319L
hydrocortisone-3284	4/100	0.00407415099657	0.27730797326664	-1.62028660386743	2.07822265490098	PRKCI;NF1;SOS2;KIAA0319L
niclosamide-4018	4/100	0.00407415099657	0.27730797326664	-1.61611895401644	2.07287711645281	MGEA5;CEBPG;STX3;SOS2
hydroflumethiazide-7019	4/100	0.00407415099657	0.27730797326664	-1.614712495474	2.07107315535167	NF1;KRAS;CBL;MEGF9
digoxin-5324	4/100	0.00407415099657	0.27730797326664	-1.61381215072245	2.06991834924798	UBE2H;UBXN7;STX3;RBM5
alcuronium chloride-7345	4/100	0.00407415099657	0.27730797326664	-1.60854736486883	2.06316559500803	NF1;KIAA0319L;MEGF9;RAB11B
alprostadil-4099	4/100	0.00407415099657	0.27730797326664	-1.60068608038291	2.05308250262408	PRKCI;B4GALT1;NF1;SOS2
lysergol-3261	3/100	0.0267555634563	0.30133693950237	-1.68245178193487	2.01814505988916	GPR143;NF1;CBL
methyldopate-6640	3/100	0.0267555634563	0.30133693950237	-1.66394037261792	1.99594013867494	GNAQ;SOS2;KIAA0319L
acepromazine-4494	3/100	0.0267555634563	0.30133693950237	-1.65926551553309	1.99033252493364	KDM6B;NDUFA2;CPPED1
LY-294002-1157	3/100	0.0267555634563	0.30133693950237	-1.64870776399899	1.97766822493357	PTPN11;SOS1;SOS2
thiamazole-4550	3/100	0.0267555634563	0.30133693950237	-1.64827299406038	1.97714670698387	NF1;CBL;RAB11B
noscapine-5851	3/100	0.0267555634563	0.30133693950237	-1.64243407071557	1.97014276521868	MAP2K2;FBXO22;B3GNTL1
ceforanide-3309	3/100	0.0267555634563	0.30133693950237	-1.64096904199821	1.96838542482992	PRKCI;RBM5;RAB11B
securinine-2729	3/100	0.0267555634563	0.30133693950237	-1.63554659952487	1.96188106279851	DNAJB1;RIT1;RAB11B
