Term	Overlap	P-value	Adjusted P-value	Z-score	Combined Score	Genes
neurotrophin TRK receptor signaling pathway (GO:0048011)	14/274	0.00000000034238	0.00000028390868	-2.43282115901892	36.67383797699516	PRKCI;MAP2K2;PTPN11;BRAF;FOXO3;RTN4;FGD4;RIT1;NRAS;BCL2L11;KRAS;RAF1;SOS1;SOS2
neurotrophin signaling pathway (GO:0038179)	14/278	0.00000000041027	0.00000028390868	-2.42989706515227	36.62975839297079	PRKCI;MAP2K2;PTPN11;BRAF;FOXO3;RTN4;FGD4;RIT1;NRAS;BCL2L11;KRAS;RAF1;SOS1;SOS2
small GTPase mediated signal transduction (GO:0007264)	16/439	0.00000000187144	0.00000086335795	-2.34419662639918	32.7306964307346	ARL11;MAP2K2;BRAF;RAB11B;FGD4;RIT1;NRAS;NF1;KRAS;RGL3;SHOC2;RAF1;SOS1;SOS2;REM2;RAB8B
fibroblast growth factor receptor signaling pathway (GO:0008543)	10/163	0.00000002747711	0.0000095070809	-2.34026676115153	27.06161309535236	NRAS;MAP2K2;PTPN11;BRAF;KRAS;SHOC2;RAF1;CBL;FOXO3;SOS1
cellular response to fibroblast growth factor stimulus (GO:0044344)	10/183	0.00000007745525	0.00002143961273	-2.36693650594713	25.44520718604501	NRAS;MAP2K2;PTPN11;BRAF;KRAS;SHOC2;RAF1;CBL;FOXO3;SOS1
response to fibroblast growth factor (GO:0071774)	10/187	0.00000009393577	0.00002166785058	-2.36832648570168	25.43507080890275	NRAS;MAP2K2;PTPN11;BRAF;KRAS;SHOC2;RAF1;CBL;FOXO3;SOS1
positive regulation of small GTPase mediated signal transduction (GO:0051057)	5/35	0.00000222266124	0.00038452039494	-2.38291664913822	18.738097782413	NRAS;KRAS;SHOC2;SOS1;SOS2
regulation of neuron death (GO:1901214)	9/225	0.00000432417354	0.00066496179708	-2.46399141519907	18.02602149805561	PRKCI;NRAS;BCL2L11;NF1;BRAF;KRAS;FOXO3;SORL1;UBE2M
Ras protein signal transduction (GO:0007265)	8/148	0.00000182514113	0.00036085647503	-2.14619004516627	17.01291342054206	RIT1;NRAS;MAP2K2;NF1;KRAS;SHOC2;RAF1;SOS1
regulation of neuron apoptotic process (GO:0043523)	8/188	0.00000991226846	0.00131146969052	-2.41711903137748	16.04146876796355	PRKCI;NRAS;BCL2L11;NF1;BRAF;KRAS;FOXO3;UBE2M
ERBB signaling pathway (GO:0038127)	8/196	0.0000132663119	0.00131146969052	-2.34082455467169	15.53513231975534	NRAS;MAP2K2;PTPN11;KRAS;RAF1;CBL;FOXO3;SOS1
cellular response to insulin stimulus (GO:0032869)	8/195	0.00001280088531	0.00131146969052	-2.33992832302684	15.52918438266452	PRKCI;NRAS;MAP2K2;DENND4C;PTPN11;KRAS;RAF1;SOS1
epidermal growth factor receptor signaling pathway (GO:0007173)	8/193	0.00001191123369	0.00131146969052	-2.33738111124903	15.51227953948195	NRAS;MAP2K2;PTPN11;KRAS;RAF1;CBL;FOXO3;SOS1
regulation of small GTPase mediated signal transduction (GO:0051056)	9/256	0.00001181256343	0.00131146969052	-2.31666130300519	15.37477031775678	FGD4;NRAS;NF1;KRAS;RGL3;SHOC2;RAF1;SOS1;SOS2
Fc-epsilon receptor signaling pathway (GO:0038095)	7/295	0.00116875497246	0.02837819091025	-3.7340503898619	13.30118917522201	NRAS;MAP2K2;PTPN11;KRAS;RAF1;FOXO3;SOS1
blood coagulation (GO:0007596)	11/472	0.0000505939422	0.00411894211761	-2.34385142822291	12.8728045196732	NRAS;INPP5D;GNAQ;CAPZA2;JMJD1C;PTPN11;KRAS;TLN1;F11R;RAF1;SOS1
coagulation (GO:0050817)	11/472	0.0000505939422	0.00411894211761	-2.34125292360799	12.85853311938369	NRAS;INPP5D;GNAQ;CAPZA2;JMJD1C;PTPN11;KRAS;TLN1;F11R;RAF1;SOS1
regulation of Rac protein signal transduction (GO:0035020)	3/13	0.00007925681168	0.00522340130324	-2.43855220974181	12.81363228853868	NRAS;NF1;KRAS
hemostasis (GO:0007599)	11/478	0.00005656072689	0.00434889144555	-2.3376682796268	12.71185276808179	NRAS;INPP5D;GNAQ;CAPZA2;JMJD1C;PTPN11;KRAS;TLN1;F11R;RAF1;SOS1
activation of MAPKK activity (GO:0000186)	5/60	0.00002513136543	0.0023187873174	-2.08844489182408	12.66999146859956	NRAS;MAP2K2;BRAF;KRAS;RAF1
response to insulin (GO:0032868)	8/246	0.00006356075097	0.00462989891303	-2.33580954551243	12.55549075554153	PRKCI;NRAS;MAP2K2;DENND4C;PTPN11;KRAS;RAF1;SOS1
cellular response to peptide hormone stimulus (GO:0071375)	8/261	0.00009490864302	0.00597061645168	-2.39770980915642	12.27844438684194	PRKCI;NRAS;MAP2K2;DENND4C;PTPN11;KRAS;RAF1;SOS1
single-organism cellular localization (GO:1902580)	11/496	0.00007823848977	0.00522340130324	-2.27912777351261	11.97591960988956	MGEA5;PRKCI;GPR143;SCP2;MTX2;SSR3;DENND4C;SSR1;SORL1;RAB8B;RAB11B
cellular response to peptide (GO:1901653)	8/273	0.00012839352547	0.00740402663549	-2.39830207183002	11.76542550904807	PRKCI;NRAS;MAP2K2;DENND4C;PTPN11;KRAS;RAF1;SOS1
response to peptide hormone (GO:0043434)	9/364	0.00016762061276	0.00892257415615	-2.37917066266427	11.22771269922408	PRKCI;NRAS;MAP2K2;DENND4C;PTPN11;BRAF;KRAS;RAF1;SOS1
regulation of intracellular transport (GO:0032386)	9/394	0.00029774330556	0.01248717378479	-2.48963708497524	10.91221193825267	MGEA5;BCL2L11;MAP2K2;SCP2;GNAQ;NF1;PTPN11;SORL1;RAB11B
positive regulation of neuron apoptotic process (GO:0043525)	4/47	0.00015853821314	0.00877667547963	-2.29205309763521	10.85437864851618	BCL2L11;NF1;FOXO3;UBE2M
response to peptide (GO:1901652)	9/384	0.00024734402903	0.01115964018999	-2.37525033873286	10.6778228491714	PRKCI;NRAS;MAP2K2;DENND4C;PTPN11;BRAF;KRAS;RAF1;SOS1
visual learning (GO:0008542)	4/44	0.00012495565114	0.00740402663549	-2.15898603618057	10.59140534552221	NRAS;NF1;BRAF;KRAS
insulin receptor signaling pathway (GO:0008286)	6/148	0.00017595775353	0.00901946410671	-2.24864544234516	10.58745554716588	NRAS;MAP2K2;PTPN11;KRAS;RAF1;SOS1
Fc receptor signaling pathway (GO:0038093)	7/352	0.00311035407328	0.05380912546781	-3.52579264532436	10.30346688973365	NRAS;MAP2K2;PTPN11;KRAS;RAF1;FOXO3;SOS1
immune response-regulating cell surface receptor signaling pathway (GO:0002768)	8/444	0.0028724004844	0.05096669577449	-3.33843454718867	9.93712713118234	NRAS;MAP2K2;INPP5D;PTPN11;KRAS;RAF1;FOXO3;SOS1
leukocyte migration (GO:0050900)	7/226	0.00024996303894	0.01115964018999	-2.1951478463185	9.86818081804103	NRAS;B4GALT1;INPP5D;PTPN11;KRAS;F11R;SOS1
visual behavior (GO:0007632)	4/49	0.00018426814587	0.00910811120991	-2.0790571241808	9.7686368482772	NRAS;NF1;BRAF;KRAS
striated muscle cell differentiation (GO:0051146)	4/53	0.00024456912269	0.01115964018999	-2.12827682991101	9.56756540277318	KDM6B;SPAG9;NRAS;KRAS
activation of protein kinase activity (GO:0032147)	7/252	0.00047347679891	0.01680235614587	-2.31898877697928	9.47593578499	SPAG9;NRAS;MAP2K2;PTPN11;BRAF;KRAS;RAF1
positive regulation of neuron death (GO:1901216)	4/55	0.00027951311982	0.01208894243202	-2.13221928146548	9.4147376752593	BCL2L11;NF1;FOXO3;UBE2M
regulation of long-term neuronal synaptic plasticity (GO:0048169)	3/27	0.00054436321066	0.01788445134044	-2.32966522175164	9.37416186169103	NRAS;NF1;KRAS
MAPK cascade (GO:0000165)	6/170	0.00036170071826	0.01399770247949	-2.16907434250657	9.25947919086461	NRAS;MAP2K2;NF1;BRAF;KRAS;RAF1
GTP catabolic process (GO:0006184)	7/243	0.0003829714841	0.01432520362156	-2.18000193471818	9.25571008279714	RIT1;NRAS;GNAQ;KRAS;REM2;RAB8B;RAB11B
guanosine-containing compound catabolic process (GO:1901069)	7/246	0.00041144446322	0.0149852404498	-2.1812256268815	9.16265165844654	RIT1;NRAS;GNAQ;KRAS;REM2;RAB8B;RAB11B
regulation of tissue remodeling (GO:0034103)	4/58	0.00033845525403	0.01377711975229	-2.13794962279396	9.16057120514567	B4GALT1;INPP5D;NF1;TMEM64
regulation of Ras protein signal transduction (GO:0046578)	5/109	0.00036410208762	0.01399770247949	-2.10210161972415	8.97358187475752	NRAS;NF1;KRAS;SHOC2;RAF1
GTP metabolic process (GO:0046039)	7/258	0.00054277163438	0.01788445134044	-2.20740584552005	8.88221170026715	RIT1;NRAS;GNAQ;KRAS;REM2;RAB8B;RAB11B
positive regulation of protein kinase activity (GO:0045860)	9/456	0.00083682072595	0.02311702938264	-2.34382405773763	8.82962054474413	SPAG9;NRAS;MAP2K2;SSR1;PTPN11;BRAF;KRAS;TLN1;RAF1
regulation of bone resorption (GO:0045124)	3/33	0.00093544199137	0.02353912211007	-2.29985385949153	8.62236249005221	INPP5D;NF1;TMEM64
neuron projection guidance (GO:0097485)	8/367	0.00088526196335	0.02311702938264	-2.28366260201389	8.60298116722498	NRAS;MAP2K2;PTPN11;KRAS;TLN1;RAF1;SOS1;SOS2
axon guidance (GO:0007411)	8/367	0.00088526196335	0.02311702938264	-2.28104874361056	8.59313427714681	NRAS;MAP2K2;PTPN11;KRAS;TLN1;RAF1;SOS1;SOS2
positive regulation of glucose import (GO:0046326)	3/30	0.00072312511411	0.02175663386786	-2.22862470815026	8.5308111420223	MGEA5;PRKCI;PTPN11
positive regulation of Ras protein signal transduction (GO:0046579)	3/30	0.00072312511411	0.02175663386786	-2.20169214135733	8.42771767812948	NRAS;KRAS;SHOC2
guanosine-containing compound metabolic process (GO:1901068)	7/269	0.00069068580384	0.02172520801162	-2.19834515860411	8.41808361843507	RIT1;NRAS;GNAQ;KRAS;REM2;RAB8B;RAB11B
regulation of synaptic transmission, GABAergic (GO:0032228)	3/32	0.00086079833844	0.02311702938264	-2.22547285441969	8.38376958043584	NRAS;NF1;KRAS
protein targeting (GO:0006605)	7/273	0.00075178870342	0.02213777798993	-2.19610715076787	8.36819979664831	MGEA5;PRKCI;MTX2;SSR3;SSR1;SORL1;RAB8B
regulation of synaptic plasticity (GO:0048167)	5/120	0.00055565853153	0.01788445134044	-2.05943067748331	8.28678572930109	NRAS;NF1;BRAF;KRAS;STX3
positive regulation of kinase activity (GO:0033674)	9/480	0.00119175399234	0.02843771595515	-2.32352581841423	8.27184250381284	SPAG9;NRAS;MAP2K2;SSR1;PTPN11;BRAF;KRAS;TLN1;RAF1
