Term	Overlap	P-value	Adjusted P-value	Z-score	Combined Score	Genes
nifedipine-1814	8/100	0.00006498876861	0.28861512140305	-1.66101261454061	2.06407599241863	PTPRE;FZR1;UBE2H;TM2D1;NNT;RBM7;SOS2;KIAA0319L
tomatidine-5808	7/100	0.00040462958021	0.44923999142272	-1.70254014863291	1.36236927630328	FZR1;HAL;PRPF18;BCL2L11;PSMD5;PTPN11;RAB11B
8-azaguanine-1833	7/100	0.00040462958021	0.44923999142272	-1.68551150020259	1.34874298534206	KDM6B;GNA13;TGIF1;MAP1LC3B;HEY1;PLAUR;RAB8B
gibberellic acid-7330	6/100	0.00222211964989	0.46508894795074	-1.74500905126519	1.3358508560565	ADAM19;FZR1;PRPF18;PIGN;EHBP1L1;NF1
heliotrine-3717	6/100	0.00222211964989	0.46508894795074	-1.74075177466448	1.33259179755053	LMAN1;HAL;NF1;PTPN11;FBXO22;SOS2
trifluoperazine-6984	7/100	0.00040462958021	0.44923999142272	-1.65480804849198	1.32417414370822	PTPRE;LMAN1;FZR1;PTPN11;FOS;F11R;SOS2
clofilium tosylate-4492	5/100	0.01057734378361	0.46508894795074	-1.71389481038293	1.31203207684274	MGEA5;LOC282997;NF1;ARHGAP26;KIAA0319L
dequalinium chloride-5396	5/100	0.01057734378361	0.46508894795074	-1.71025414611301	1.30924505148143	LMAN1;PIGN;CEBPG;SOS2;DCBLD2
sulindac-1815	6/100	0.00222211964989	0.46508894795074	-1.70251795650878	1.30332279251209	LMAN1;MGEA5;FCHSD2;NPEPL1;NF1;PTPN11
glafenine-7257	6/100	0.00222211964989	0.46508894795074	-1.69503300547263	1.29759286335102	BCL2L11;NF1;MAP7;F11R;ARHGAP26;MED13L
tanespimycin-6986	6/100	0.00222211964989	0.46508894795074	-1.69427064819056	1.2970092585685	DNAJB1;FZR1;PRPF18;FAM46C;SMEK2;RBM5
tanespimycin-1631	6/100	0.00222211964989	0.46508894795074	-1.69408453059445	1.29686678059687	DNAJB1;LMAN1;ARMCX1;TM2D1;SMEK2;HSPA13
ritodrine-4619	6/100	0.00222211964989	0.46508894795074	-1.69237945443226	1.29556149942985	PHF20L1;B4GALT1;MAP7;RAPGEF2;CBL;SOS2
ceforanide-3309	5/100	0.01057734378361	0.46508894795074	-1.69004155598429	1.29377177596633	ADAM19;PRKCI;FAM46C;RBM5;RAB11B
fendiline-1573	5/100	0.01057734378361	0.46508894795074	-1.68838861438854	1.292506405197	MGEA5;CHKA;RAPGEF2;F11R;RBM5
proscillaridin-7340	6/100	0.00222211964989	0.46508894795074	-1.68762838963893	1.2919244329248	MGEA5;UBE2H;NF1;FOS;STX3;RBM5
PF-00562151-00-6912	6/100	0.00222211964989	0.46508894795074	-1.68680678559254	1.29129547316788	TGIF1;PTPRE;BCL2L11;NNT;SMEK2;JMJD1C
disulfiram-2053	6/100	0.00222211964989	0.46508894795074	-1.67986076428396	1.28597810905191	PTPRE;DNAJB1;UBE2H;ARHGEF12;FOS;STX3
cefmetazole-5868	6/100	0.00222211964989	0.46508894795074	-1.67735029945603	1.28405628143327	LMAN1;FZR1;TM2D1;GDPD3;STX3;SOS2
fluphenazine-6954	5/100	0.01057734378361	0.46508894795074	-1.67684721172451	1.28367115438976	FZR1;SPATA1;PLAUR;CPPED1;RAB11B
dobutamine-6286	5/100	0.01057734378361	0.46508894795074	-1.67208132778269	1.28002274343227	BCL2L11;NPEPL1;NF1;MAP7;CCRN4L
strophanthidin-2525	5/100	0.01057734378361	0.46508894795074	-1.67036819458877	1.27871129439309	MGEA5;UBE2H;RBM15;FOS;NUPL1
